Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C2H2(37),C4H6(54),C4H7X(140),C4H5X(374),C4H4(459),C4H5X(381),C4H5X(562),C4H6a(380),C4H3X(489),C4H2(708),C4H3X(488),C6H10(384),C2H6(343),C4H4(604),C4H5X(927),C4H5X(926),C8H8(948),C8H8(599),C8H8(974),C4H6(439),C4H7X(141),C6H9X(605),C6H8(619)
3.5155746976570493e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771011,0.66999999999999804,7.3844395953846563e-58,0.0,3.0592090047212033e-39,9.1595240198232367e-66,1.3710009221918704e-90,0.0,0.0,1.232698056751182e-102,0.0,2.0845496587710119e-15,2.0845496587692334e-15,8.8934856971233841e-28,1.4313203843710038e-42,5.4742512810861999e-49,1.7116795087463566e-57,1.0538599223591757e-68,8.5583944428016931e-58,8.6954399762786208e-106,1.4416463263003802e-67,6.1170267595770695e-84,1.0999221011854213e-94,3.0585133798435307e-84,8.3159337506509559e-68,4.8420196042904208e-65,8.0304335564726952e-78,2.3322565744649572e-76,6.9967697233570596e-76,4.2663740104651547e-164,5.4285712202730685e-116,1.1436135892630155e-117,2.4181185613801876e-60,2.2500273253426383e-36,7.1544571900716051e-79,3.7447644369625065e-85
7.034203760820317e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583770595,0.66999999999999593,1.182885125317425e-56,0.0,1.2244807344155151e-38,3.666196648779906e-65,4.3940809163055196e-89,0.0,0.0,7.9031436685722807e-101,0.0,4.170910394571313e-15,4.1709103945641943e-15,3.5597119881100582e-27,1.1461377255972921e-41,4.3827247144912904e-48,2.7414583903660564e-56,3.3758778202873255e-67,1.3707286984652566e-56,1.114676519890158e-103,2.3089681197845034e-66,3.9190564712380868e-82,1.409407967494107e-92,1.9595282356895141e-82,1.3318957338009562e-66,7.7562465116317099e-64,2.5724256105466026e-76,7.4694929902505073e-75,2.2408478970509298e-74,8.7641796858219131e-161,3.4776196971139512e-114,7.3261508126415119e-116,3.8721360951326573e-59,9.0059714761927262e-36,2.29182006227836e-77,2.4001558466136924e-83
1.4071461887146852e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583769762,0.66999999999999171,1.8937162754551298e-55,0.0,4.8995169345786424e-38,1.4669562037405423e-64,1.4072067836768547e-87,0.0,0.0,5.0624484279398333e-99,0.0,8.3436318661769796e-15,8.3436318661484938e-15,1.4243484692015609e-26,9.1734289231380888e-41,3.507503944933878e-47,4.388551312691598e-55,1.0808453402736301e-65,2.1942748611621728e-55,1.4278481409308587e-101,3.6962169874615365e-65,2.5095277915533824e-80,1.8050076013368983e-90,1.2547638958669416e-80,2.132110701148215e-65,1.2417209489849145e-62,8.2360629885359087e-75,2.3912379937342431e-73,7.1737139810476369e-73,1.7976376680294057e-157,2.2267438974433995e-112,4.6909849409983594e-114,6.1979260859598946e-58,3.6035604196857768e-35,7.3376559312604446e-76,1.5372227325445609e-81
2.8145978139799922e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583768092,0.66999999999998339,3.0308248591048066e-54,0.0,1.9601250406089505e-37,5.8687800394808169e-64,4.5048206863745247e-86,0.0,0.0,3.2413767682804812e-97,0.0,1.6689074809408557e-14,1.6689074809294591e-14,5.6983213568209546e-26,7.3404734209785748e-40,2.8065235442488936e-46,7.0234559986574862e-54,3.4596080193385097e-64,3.5117267267515496e-54,1.8283224400601386e-99,5.9154412295771116e-64,1.6065238433873189e-78,2.3110274908709659e-88,8.0326192180921083e-79,3.412238943324699e-64,1.9873303460259286e-61,2.6362281961615676e-73,7.653537987798744e-72,2.2960613962403428e-71,3.6843632293767125e-154,1.4254575195479808e-110,3.002949633853479e-112,9.9186567752708816e-57,1.4416578151547013e-34,2.3486627973152946e-74,9.8418193584052677e-80
5.6295010645106066e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583764755,0.66999999999996673,4.8500180483717727e-53,0.0,7.8411321170539522e-37,2.3477030743046315e-63,1.4418220817982077e-84,0.0,0.0,2.0749187976747654e-95,0.0,3.3379960695952717e-14,3.3379960695496806e-14,2.279514051936679e-25,5.8730693702703602e-39,2.2454119818480887e-45,1.1238946020614527e-52,1.1072187760694217e-62,5.6194709741646244e-53,2.3406775635281754e-97,9.4658989367725189e-63,1.0283113603418542e-76,2.9585098762414824e-86,5.1415568031885266e-77,5.4602704569409402e-63,3.1801882762962635e-60,8.4370291422029287e-72,2.4493687993753338e-70,7.3481063974905438e-70,7.5484428605958442e-151,9.1240183638426471e-109,1.9221174492124121e-110,1.5871328249801792e-55,5.7670925727448773e-34,7.51669943268318e-73,6.2999130638119085e-78
1.1259307565571835e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583758077,0.66999999999993332,7.7605718744377674e-52,0.0,3.13657554279562e-36,9.3911944278711149e-63,4.6142648377800132e-83,0.0,0.0,1.3280707263210036e-93,0.0,6.6761732469365008e-14,6.6761732467541325e-14,9.1184272393317951e-25,4.698729267280314e-38,1.7963827986169916e-44,1.7983437593442284e-51,3.5433290415199055e-61,8.9917155395420134e-52,2.9963176509277813e-95,1.5146384945640702e-61,6.5816249523986257e-75,3.7871433649611006e-84,3.2908124780928837e-75,8.73697879097908e-62,5.0886632419999818e-59,2.7000238127473265e-70,7.8382588726558221e-69,2.3514776613900382e-68,1.5462135397886741e-147,5.8397175070378855e-107,1.2302280158650998e-108,2.539497818572323e-54,2.3069244822015019e-33,2.4054989130105847e-71,4.032309911030963e-76
2.251892056769429e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583744727,0.66999999999986659,1.2417299277490306e-50,0.0,1.2546517971876258e-35,3.7565541986572852e-62,1.4766258935599786e-81,0.0,0.0,8.4998229102196866e-92,0.0,1.3352527601748553e-13,1.3352527601019065e-13,3.6474451033370879e-24,3.7590889275267731e-37,1.4370890471039584e-43,2.8774369728983874e-50,1.1339007792428609e-59,1.4387179655650753e-50,3.8353916496022087e-93,2.4234948313087127e-60,4.2123740580589775e-73,4.8476991210847413e-82,2.1061870314533374e-73,1.3979588540223734e-60,8.142132212224225e-58,8.6403467371125983e-69,2.5082234761593627e-67,7.5246704258751719e-67,3.1669398826776506e-144,3.7375258253972255e-105,7.8736840410585269e-107,4.0631594702832226e-53,9.2278343373938668e-33,7.6978352480333148e-70,2.5807926815830371e-74
4.50381465719392e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583718021,0.66999999999973303,1.9867825836264235e-49,0.0,5.0186266729481079e-35,1.5026369651149342e-61,4.7252474069836927e-80,0.0,0.0,5.4396565156767313e-90,0.0,2.6705236311891039e-13,2.6705236308973051e-13,1.45899288296085e-23,3.0073069514522184e-36,1.1496028029383982e-42,4.6039592459005815e-49,3.6285319205724709e-58,2.3019787904277066e-49,4.9092272730736776e-91,3.8776423412515223e-59,2.6959568848408536e-71,6.2051420404747839e-80,1.3479784455229967e-71,2.2367633607686654e-59,1.3027568886534186e-56,2.7649487042251543e-67,8.0258748451749716e-66,2.4077624518867124e-65,6.4861742706181908e-141,2.3920454970137265e-103,5.0392189746618242e-105,6.5006886563872689e-52,3.691130216799857e-32,2.4633394385395429e-68,1.6517405213884442e-72
9.007659858042903e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583664608,0.66999999999946602,3.1788125552137916e-48,0.0,2.0074356253369458e-34,6.0105784320133828e-61,1.512052194982271e-78,0.0,0.0,3.4809422642591101e-88,0.0,5.3410653734249485e-13,5.3410653722577484e-13,5.836001215011807e-23,2.4058496506925459e-35,9.1955639620602167e-42,7.3663525356718663e-48,1.1611334181062933e-56,3.683174938690521e-48,6.2834019009595673e-89,6.2042426941315531e-58,1.7254174632090462e-69,7.942605780053465e-78,8.6270873557582429e-70,3.5788299998461948e-58,2.0844045772577789e-55,8.847860807568259e-66,2.5679476086013165e-64,7.7038428151443264e-64,1.3283890117286309e-137,1.5309117957984373e-101,3.2251059910365726e-103,1.0399730907919698e-50,1.4764267438497361e-31,7.882699017840404e-67,1.0571202279130397e-70
1.8015350259740868e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583557788,0.66999999999893189,5.0859041548880388e-47,0.0,8.0295608941174504e-34,2.4042374872205279e-60,4.8383056206337756e-77,0.0,0.0,2.2271968555848212e-86,0.0,1.0682148858726039e-12,1.0682148854057226e-12,2.334406422478733e-22,1.9246649825473613e-34,7.3543728956639069e-41,1.1786081202790744e-46,3.7156019544567604e-55,5.8930384840425946e-47,8.0415671431964043e-87,9.9267185430331235e-57,1.1042599130098409e-67,1.0166469289031227e-75,5.5212996158815299e-68,5.7260877553052985e-57,3.3349812663564597e-54,2.831296768429442e-64,8.2152251499945564e-63,2.4645675381780245e-62,2.7205277388469291e-134,9.7977596852672732e-100,2.0640521280319445e-101,1.6635025348916322e-49,5.9054591898421399e-31,2.5224410074979231e-65,6.7655341598161547e-69
3.60307310631368e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583344142,0.66999999999786364,8.1367643100557971e-46,0.0,3.2116668304947127e-33,9.6169621784527779e-60,1.5480763199883574e-75,0.0,0.0,1.42461592580475e-84,0.0,2.1364315832645809e-12,2.1364315813970535e-12,9.3376375614975669e-22,1.5396998963729685e-33,5.8801493164905209e-40,1.8857353129670483e-45,1.1889693608406263e-53,9.4286732067724575e-46,1.0290077937465994e-84,1.5882432367059373e-55,7.0671265303642512e-66,1.3012829898201241e-73,3.5335633302462489e-66,9.1615573774044734e-56,5.3357223108363921e-53,9.0599746043990075e-63,2.6274474940861443e-61,7.8823424386317058e-61,5.5714884121435134e-131,6.2704339528946896e-98,1.3209658398033735e-99,2.6601382943509919e-48,2.3619764618685853e-30,8.0716166951856482e-64,4.3298596124824413e-67
7.206149266992866e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282582916856,0.66999999999572724,1.3016595615646511e-44,0.0,1.2845382781360944e-32,3.846787317877976e-59,4.9526603468368148e-74,0.0,0.0,9.107396219204005e-83,0.0,4.2728649793755719e-12,4.2728649719054572e-12,3.7350573978142931e-21,1.2317051818738505e-32,4.6987583611685105e-39,3.0170470210034789e-44,3.8045414549200393e-52,1.5085229827170636e-44,1.316324155157287e-82,2.5410801416549762e-54,4.5227717096043452e-64,1.6655728195266501e-71,2.261385938080779e-64,1.4657862838797438e-54,8.5363340433543213e-52,2.8990709920911746e-61,8.3987070426920406e-60,2.5196120849165703e-59,1.140968248187936e-127,4.0128972258098037e-96,8.4538054274797818e-98,4.2515273860773342e-47,9.446230530262254e-30,2.5827849664614078e-62,2.770993035641005e-65
1.4412301588351238e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282582062284,0.66999999999145432,2.0819393725136716e-43,0.0,5.1371208702688826e-32,1.5387154169157962e-58,1.5840903950295968e-72,0.0,0.0,5.8157679607603305e-81,0.0,8.5457317769057026e-12,8.5457317470252311e-12,1.4940234328884712e-20,9.8527525013465965e-32,3.7504495895915429e-38,4.8268539499957728e-43,1.2173487320079235e-50,2.4134261609568993e-43,1.6828319287489149e-80,4.0653734557518331e-53,2.8943272437258319e-62,2.1317522694227895e-69,1.4471637284504852e-62,2.3450534095992938e-53,1.3655482649958657e-50,9.2762396847590347e-60,2.6817594892435186e-58,8.045278289611843e-58,2.3363954051872103e-124,2.5680196835451065e-94,5.4099468786737772e-96,6.7874580686017565e-46,3.7771490236112381e-29,8.2640523966344219e-61,1.7732819100739787e-63
2.882460623106798e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282580353134,0.6699999999829086,3.3288114443914994e-42,0.0,2.054022039895887e-31,6.1548626509133087e-58,5.865427979323223e-71,0.0,0.0,4.8916472375798868e-79,0.0,1.7091465393198555e-11,1.7091465273676656e-11,5.9760946719884704e-20,7.8807756042110838e-31,2.9867456076264199e-37,7.7216137779928591e-42,3.894844579367593e-49,3.860805683925057e-42,2.1487595908532808e-78,6.5034585275740805e-52,1.8520525804631405e-60,2.7281779964715344e-67,9.2602642664041371e-61,3.7514284382679222e-52,2.1840272533192913e-49,2.9678908794347814e-58,8.544543788691561e-57,2.5633630231002653e-56,2.7293767084277305e-120,2.5680011806968699e-94,5.4099078940533059e-96,1.0812244228726078e-44,1.5097854085133341e-28,2.6439451251508772e-59,1.1347027430977455e-61
5.764921551650147e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282576934841,0.66999999996581716,5.31877743098286e-41,0.0,8.2094831772724662e-31,2.4619452599919819e-57,1.8808403040863729e-69,0.0,0.0,3.1120067242672588e-77,0.0,3.4182932710714634e-11,3.4182932232627019e-11,2.3904380512281878e-19,6.3023404668035101e-30,2.3678627668529362e-36,1.2350257543012755e-40,1.2459209245694727e-47,6.1751271547674371e-41,2.7370247622956136e-76,1.0401891897969197e-50,1.1849083754540193e-58,3.4908785270529271e-65,5.9245436227086391e-59,6.0001848111151202e-51,3.4917252240090538e-48,9.4940156288097706e-57,2.7107831621045111e-55,8.1323487660543081e-55,5.588145405693584e-117,2.5679643342895726e-94,5.4098299259219878e-96,1.7148701713038972e-43,6.0305636792117615e-28,8.4570965244291235e-58,7.2595681513980129e-60
1.1529843408736845e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282570098254,0.66999999993163417,8.4867067397910438e-40,0.0,3.2785207728652525e-30,9.8477814630342172e-57,5.993220471270948e-68,0.0,0.0,1.9535550505220284e-75,0.0,6.8365867685468241e-11,6.8365865773117745e-11,9.5617525245353875e-19,5.0382374860495663e-29,1.8606139730044629e-35,1.9746622304415731e-39,3.9842087177559511e-46,9.8733095607888906e-40,3.4695879120352886e-74,1.6631414415000539e-49,7.5782439645837528e-57,4.4652903553757851e-63,3.789124214936131e-57,9.5935971200396267e-50,5.5780795956369387e-47,3.0360211718792735e-55,8.5276032752392123e-54,2.5582805293512057e-53,1.1428733832918833e-113,2.568192297956677e-94,5.4096739934783156e-96,2.6965803777184233e-42,2.4053900481115094e-27,2.7040200094596532e-56,4.6428968966398685e-58
2.3059687122910238e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228255642508,0.66999999986326841,1.3504630764551476e-38,0.0,1.307209143904745e-29,3.9391126888773153e-56,1.9011866583841199e-66,0.0,0.0,1.2035088970381394e-73,0.0,1.3673173899386142e-10,1.3673173134445931e-10,3.8247010375433115e-18,4.0248182617825742e-28,1.4369756532889877e-34,3.1550797331073141e-38,1.2732072677099741e-44,1.5775399297921218e-38,4.3568623389468842e-72,2.6573379668149132e-48,4.8435076865335168e-55,5.7078612376659273e-61,2.4217566971961975e-55,1.5328479723226032e-48,8.897270531936856e-46,9.7021508777384661e-54,2.6388473817374868e-52,7.9165393395060552e-52,2.3341896332427645e-110,2.5893601760890308e-94,5.4093621515635163e-96,4.1699809785266318e-41,9.5673080020475641e-27,8.6385525055448514e-55,2.9673542768609761e-56
3.4589530837083636e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282542751907,0.66999999979490255,5.1358819110723443e-38,0.0,2.7716746802835263e-29,8.3706145500857245e-56,8.386988715729066e-66,0.0,0.0,5.9251795176740545e-73,0.0,2.0509761166114041e-10,2.0509759540616102e-10,8.1274896809858713e-18,1.1819946429517812e-27,4.027096453476709e-34,1.1840895381913628e-37,5.9019803275271044e-44,5.9204484567352156e-38,2.8500750273079007e-71,9.972890178981445e-48,2.6944397799556063e-54,3.7212247738452759e-60,1.3472217505894209e-54,5.7527212116591599e-48,3.3873108833411573e-45,4.4974762162640687e-53,1.1885977972363729e-51,3.5657918677977136e-51,1.2520324788115311e-109,1.2420884458422646e-86,2.6167537554817179e-88,1.5100560523181228e-40,2.0251365057259089e-26,4.0039553814608419e-54,1.6754717454174094e-55
4.611937455125703e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282529078733,0.66999999972653668,1.3781689298991992e-37,0.0,4.7185299038988369e-29,1.427928374659772e-55,2.8527751338492528e-65,0.0,0.0,2.4639511884333356e-72,0.0,2.7346348568730522e-10,2.734634579582229e-10,1.3864541151514616e-17,2.5520482357520143e-27,8.3420423936930536e-34,3.0594464866062138e-37,1.7861788279731225e-43,1.5297235483932654e-37,1.2391145594608592e-70,2.5767921254577346e-47,9.3830648346702495e-54,1.4692251230345667e-59,4.6915397634577037e-54,1.4863862382032162e-47,9.1000262761965213e-45,1.3611247194831662e-52,3.4998670391318686e-51,1.0499595932424858e-50,1.7459428282300314e-108,3.9238135151681301e-86,8.266477302644696e-88,3.7743017440194984e-40,3.4422796285199359e-26,1.2116323673309225e-53,6.397444892914003e-55
6.917906197960381e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282501732386,0.66999999958980494,5.5421176175784392e-37,0.0,9.7360052746908346e-29,2.956344348847092e-55,1.7345474961400601e-64,0.0,0.0,2.1303225721620654e-71,0.0,4.1019523692885662e-10,4.1019517951931436e-10,2.8704771038082915e-17,7.2875903173097936e-27,2.2116012947488681e-33,1.1080063596619429e-36,8.0477086537615621e-43,5.5400334434844037e-37,1.1775443763967882e-69,9.3320878749673881e-47,5.1721392717781251e-53,9.7631917781374488e-59,2.5860745174829335e-53,5.3830834282015822e-47,3.6685870211916509e-44,6.132649360646674e-52,1.5004498548917079e-50,4.5013468262850547e-50,1.1013036261143294e-106,7.2951602535989188e-86,1.5369142084281641e-87,1.2880953946269475e-39,7.0843811979361181e-26,5.4580871363982739e-53,4.7866039510401984e-54
9.22387494079506e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282474386038,0.6699999994530732,1.4951748592532031e-36,0.0,1.6505034592518913e-28,5.0279674502721157e-55,5.7870147552888038e-64,0.0,0.0,8.2426395910800025e-71,0.0,5.4692699316751551e-10,5.4692689552892215e-10,4.8819296616569908e-17,1.5754001360549491e-26,4.5072589908586485e-33,2.844897588926333e-36,2.3973999442956697e-42,1.4224493488152088e-36,4.8886170359315812e-69,2.3960906508712122e-46,1.7557187820884701e-52,3.7224234784522408e-58,8.7786125225520514e-53,1.3821511376814645e-46,9.9144695702205216e-44,1.826915422660405e-51,4.302205587925593e-50,1.2906607757017659e-49,8.0019055370798814e-106,2.4841188216318904e-85,5.2334880565762283e-87,3.1547288149166812e-39,1.1980529814009406e-25,1.6257334963867197e-52,1.7925981066289298e-53
