Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.895292112840976e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,7.2737008024864937e-74,8.9859171441067476e-42,4.3006835656983886e-90,3.9798339146002121e-62,1.8950895395922269e-139,7.0115228147943994e-25,-7.4803327107750114e-123,7.0115228147944003e-25,1.2350889983939004e-84,1.6227470010622579e-78,8.8849580151125367e-118,5.3687026606797126e-119,8.6649654039004316e-59,7.6303764423257849e-100,2.780669898587693e-18,1.3369707978709934e-19,5.1534078272583038e-23,5.1534078286961879e-23,7.1894258453464613e-33,1.4485561543952162e-38,1.6065622856378888e-42,5.8844164457855175e-38,4.7077258001637597e-73,5.9398320664921838e-58
1.9306817915954733e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,2.2705216352201741e-72,6.3644324615040567e-41,4.7523895311889358e-88,6.0143250099622643e-61,6.8380536615098421e-137,1.9632263881424322e-24,1.443595561096223e-121,1.9632263881424319e-24,3.4831485887153398e-83,5.1021752297566111e-77,1.7761530087765894e-115,1.0732338146982107e-116,1.0287045059429864e-57,3.9497026002826605e-98,7.785875716045541e-18,3.7435182340387818e-19,1.442954191399389e-22,1.4429541922678722e-22,4.3424047611185333e-32,1.7197228011747608e-37,1.9073167426685239e-41,3.5541868272785823e-37,2.8639481349519247e-71,8.1665644962936386e-57
4.412986952218225e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,5.0550614743598582e-71,4.0185070274447827e-40,4.2996330253297702e-86,6.4699363923919879e-60,2.4759123595031706e-134,4.4873746014684181e-24,1.5243098937492982e-119,4.4873746014684151e-24,7.576608990757618e-82,1.1382667626683109e-75,3.215565087980646e-113,1.9429931817421728e-114,1.0099877883738264e-56,1.7245947298240886e-96,1.7796287350961222e-17,8.5566131063743596e-19,3.2981810078147634e-22,3.2981810119961416e-22,2.0906723616696917e-31,1.688427551096597e-36,1.8726275912634639e-40,1.7111872434710412e-36,1.2929316642795378e-69,1.0379322504268059e-55
9.377597273463728e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,9.4600759802170373e-70,2.5934493054001587e-39,3.2540701302088604e-84,5.9469862091608152e-59,7.5074831518150533e-132,9.5356710281203883e-24,1.2048401204296589e-117,9.5356710281203766e-24,1.4045756147935541e-80,2.1318459262463402e-74,4.8725115504242006e-111,2.9441968865195769e-112,8.9332205716133717e-56,6.4202337641439866e-95,3.7817110620792512e-17,1.8182802851045512e-18,7.0086346369185344e-22,7.0086346551797883e-22,9.1304398583137739e-31,1.493383497905138e-35,1.6563404950689933e-39,7.4731979435345756e-36,4.8819290208145582e-68,1.3380968839786992e-54
1.9306817915954735e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,1.6334112684037323e-68,1.7834271444954873e-38,2.2607414665261137e-82,5.0877718949649138e-58,2.0881771167229796e-129,1.9632263881424338e-23,8.5394800838011816e-116,1.9632263881424282e-23,2.4141066054479763e-79,3.682227649841039e-73,6.7743289635953758e-109,4.0933629477262572e-110,7.508898315730305e-55,2.211867871171024e-93,7.7858757160454815e-17,3.7435182340387825e-18,1.4429541880218172e-21,1.4429541956455943e-21,3.8117157162781298e-30,1.2552593829164807e-34,1.3922920023273187e-38,3.11990775121931e-35,1.6938131381625244e-66,1.8313872314120552e-53
3.9165259200936747e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,2.7134711883604071e-67,1.3011924077127593e-37,1.5068543522641753e-80,4.2066681698677648e-57,5.5699189688559144e-127,3.9825449588032251e-23,5.7466785932276965e-114,3.9825449588032028e-23,4.0012046372277643e-78,6.1180562551682821e-72,9.0333906935170591e-107,5.4583925516284e-108,6.1562290886144329e-54,7.3403829921067293e-92,1.5794205023977832e-16,7.5939941319072389e-18,2.9271356307185821e-21,2.9271356618647144e-21,1.557158604897877e-29,1.0291056193285885e-33,1.1415474394450003e-37,1.2745798015913125e-34,5.6414058428208463e-65,2.6602514185392124e-52
7.888214177090077e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,4.4232501989675946e-66,9.8884945296589141e-37,9.8413774184099624e-79,3.4207926594096956e-56,1.4554437101252821e-124,8.0211821001248148e-23,3.7706059846560868e-112,8.0211821001247243e-23,6.5149244449143499e-77,9.9739104150929862e-71,1.1801395399964268e-104,7.1309490462077512e-106,4.9854424742449536e-53,2.3917569055169962e-90,3.1810863639842088e-16,1.5294945927644146e-17,5.8954984922594635e-21,5.8954986181612836e-21,6.2938666101579001e-29,8.333448093562116e-33,9.2455567098706662e-37,5.1520204620286589e-34,1.8416452474999877e-63,4.0310202636508419e-51
1.5831590691082882e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,0.0,7.1431771619553925e-65,7.6979568245894892e-36,6.3634780456609191e-77,2.7589931520970631e-55,3.7648268105297255e-122,1.6098456382768027e-22,2.44329651714931e-110,1.6098456382767663e-22,1.0515114119494714e-75,1.6107680727159432e-69,1.5262861983694188e-102,9.2225272873456545e-104,4.0126671958132881e-52,7.7228379694603651e-89,6.3844180871568824e-16,3.0696849519117916e-17,1.1832224119930633e-20,1.1832224626209865e-20,2.5304004409474232e-28,6.7066534797363985e-32,7.4432532961958073e-36,2.0715767154193196e-33,5.9531485784862041e-62,6.2650195923699251e-50
3.171834371906849e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996405,0.022821567693054257,0.0,1.1481916288242176e-63,6.0713691472866139e-35,4.0948541085967842e-75,2.2161732527876372e-54,9.6911123473878346e-120,3.2253004948054565e-22,1.5734145010751756e-108,3.2253004948053112e-22,1.6897505458829958e-74,2.5891947242549161e-68,1.9643838531645492e-100,1.1869715986394271e-101,3.2198314618975686e-51,2.4824371634101272e-87,1.2791081533501516e-15,6.1500656702065314e-17,2.3705674993630599e-20,2.3705677024305795e-20,1.0145346365385565e-27,5.3803346129638703e-31,5.9753488536449318e-35,8.3077241624212412e-33,1.9152594908038535e-60,9.87307641142836e-49
6.349184977503971e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999731,0.11866996602996277,0.022821567693054226,0.0,1.8412719385758033e-62,4.820369972719144e-34,2.6295082880478229e-73,1.7765370291114918e-53,2.4893187934521487e-117,6.4562102078628124e-22,1.0101019730037249e-106,6.4562102078622275e-22,2.7094799679067206e-73,4.1521457712940946e-67,2.5228977590933928e-98,1.5244515380636309e-99,2.5796531679888773e-50,7.9616485546925174e-86,2.5604408426187943e-15,1.2310827106795958e-16,4.7452575214461167e-20,4.745258334990735e-20,4.0612762003580555e-27,4.3086813812956222e-30,4.7917247408215847e-34,3.32724272833817e-32,6.1492109698345016e-59,1.5669962824357512e-47
1.2703886188698215e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999465,0.1186699660299602,0.022821567693054164,0.0,2.9491400831187431e-61,3.8387381304101128e-33,1.6878373147530585e-71,1.4226702336368969e-52,6.3914404239043832e-115,1.2918029633977718e-21,6.4746433131961623e-105,1.2918029633975375e-21,4.3398760960749022e-72,6.6504669086345594e-66,3.2388224807271558e-96,1.9570463743239649e-97,2.0650826346389027e-49,2.5505866845384568e-84,5.1231062211549425e-15,2.4632349979974568e-16,9.494636954984566e-20,9.4946402130045218e-20,1.6238470091282494e-26,3.4461535077944788e-29,3.8429677144528992e-33,1.3316199457032799e-31,1.9735248010146555e-57,2.4952283563842631e-46
