Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),H2X(49),CO2X(24),CHOX(53)
6.649310165217264e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999972,0.11866996602996265,0.022821567693054223,3.645355536603775e-99,1.2998199643933159e-54,4.6833730797853067e-36,2.1015393135305814e-74,6.0091563314642053e-51,2.1814634919531747e-118,6.761394464967927e-22,3.9244634629174263e-104,6.7613944649623768e-22,9.5980673368480459e-71,2.045713711116174e-62,2.1112798975554237e-99,1.2757329783351438e-100,7.0247193838401721e-47,2.9536529265054624e-83,2.6814725642086117e-15,1.2892758379774161e-16,4.9695656568803466e-20,4.9695657084993695e-20,2.58088193314619e-28,1.6597226604525593e-32,1.1182779791769831e-37,3.6496290466437316e-32,1.5728518571670935e-62,7.0211684974349379e-46,1.7044377502512319e-49,8.8530563987834791e-90,3.7327239558052017e-91
1.3304397315808305e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999437,0.11866996602995997,0.022821567693054157,9.7794626275537987e-97,2.0814054194911086e-53,1.9172214312608438e-35,1.4087281463630015e-72,4.812198658737653e-50,5.8478612587776874e-116,1.3528663295250015e-21,2.5155385705369846e-102,1.3528663295227801e-21,1.5373588094249647e-69,3.2769509085289645e-61,2.8300767402395113e-97,1.7100632730867655e-98,5.6240465859767423e-46,9.4622977092925928e-82,5.3652748178718675e-15,2.5796718113483488e-16,9.9434488691017342e-20,9.943449075718993e-20,1.0329589268592853e-27,1.3287071189602223e-31,9.3750967861570463e-37,1.4608026695246926e-31,5.2733139594701023e-61,5.6212037074812468e-45,1.393608955094804e-48,1.1876030604911101e-87,5.007303893047423e-89
2.6614571616990387e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998876,0.1186699660299546,0.022821567693054028,2.7267765003677378e-94,3.3316039033220506e-52,8.0126460986360378e-35,9.8161859989098625e-71,3.8517092610935004e-49,1.6292504222429359e-113,2.7063200955844519e-21,1.611188008333748e-100,2.7063200955755629e-21,2.4611092497881534e-68,5.2461702291043184e-60,3.9429400595047465e-95,2.3825067445538787e-96,4.5009461292559551e-45,3.0296335971861338e-80,1.0732879325193391e-14,5.1604637580901121e-16,1.9891215138500646e-19,1.9891215965291962e-19,4.1326495722413583e-27,1.0632411830739987e-30,8.1783822749810945e-36,5.8451129022147245e-31,1.8383114213734849e-59,4.4986709459959311e-44,1.1617560709673196e-47,1.6559124462772244e-85,6.9818418717575465e-87
5.323492021935455e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997749,0.11866996602994385,0.022821567693053772,8.115716357256536e-92,5.3316499812165084e-51,3.4785367807414463e-34,7.3014764754553935e-69,3.0821476433816771e-48,4.8441771636582648e-111,5.4132276277154829e-21,1.0315583392590638e-98,5.4132276276799209e-21,3.9388431169000209e-67,8.3963109104124826e-59,5.8630043077019408e-93,3.542698300346909e-94,3.6014401110149511e-44,9.6975454002986481e-79,2.1468088339816482e-14,1.0322047651573227e-15,3.9786747057123043e-19,3.9786750365251785e-19,1.6529037135840232e-26,8.505491892311411e-30,7.6245039052722025e-35,2.3384253241264366e-30,6.8431560183942098e-58,3.5996195923943451e-43,1.0038821595813899e-46,2.4648099554287804e-83,1.0392405176849176e-84
1.0647561742408289e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995501,0.11866996602992239,0.022821567693053255,2.6574804834433627e-89,8.5315047621327959e-50,1.609753806151869e-33,5.974930120836058e-67,2.4660301031173374e-47,1.5841749659934177e-108,1.0827042692026066e-20,6.6032469338576038e-97,1.0827042691883808e-20,6.3030034076294273e-66,1.3436044528887806e-57,9.5897035285968018e-91,5.7945420719419736e-92,2.8814246287627547e-43,3.1036492847512041e-77,4.2938506368982849e-14,2.0645215438537819e-15,7.9577808413666261e-19,7.957782165065709e-19,6.608753391625644e-26,6.8017567655542154e-29,7.8280244218627166e-34,9.3544589908393807e-30,2.8034127165797414e-56,2.8799680334412442e-42,9.2199171861104628e-46,4.0367324951108242e-81,1.7020118814624272e-82
2.1295701183353955e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990999,0.11866996602987945,0.022821567693052221,9.7666978579366255e-87,1.3651092121401221e-48,8.1826439571042063e-33,5.4876857035008544e-65,1.9729486558771719e-46,5.8141459764775128e-106,2.1654672820841324e-20,4.2264851513713177e-95,2.1654672820272266e-20,1.0085487901496091e-64,2.1499215967543289e-56,1.7603562748218966e-88,1.0636885391301079e-89,2.3052474891296732e-42,9.9323722740687618e-76,8.5879342426996336e-14,4.1291551012460408e-15,1.5915992120394767e-18,1.5915997418121864e-18,2.6408930736038475e-25,5.4364182615738342e-28,9.0235268253750007e-33,3.7419329915384026e-29,1.2891362394168162e-54,2.3040820901312138e-41,9.2746838013185722e-45,7.4203204714011401e-79,3.1286375204561448e-80
4.2591980065245286e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981995,0.11866996602979356,0.022821567693050156,4.0132631761973448e-84,2.1842271413113352e-47,4.6638410690192171e-32,5.635652897594058e-63,1.5784083882134105e-45,2.3863219561935365e-103,4.330993307924818e-20,2.7050801761283897e-93,4.3309933076971923e-20,1.6137322986465099e-63,3.4399939570382931e-55,3.6135508185762698e-86,2.1834739216160612e-87,1.8442391297963486e-41,3.1784695574394905e-74,1.7176101454174625e-13,8.2584222160279254e-15,3.1832410709330053e-18,3.1832431922330323e-18,1.0542122339304951e-24,4.3408682047525775e-27,1.1624053108087806e-31,1.4968013569340486e-28,6.6271784567445388e-53,1.8433066805914375e-40,1.0448994325450203e-43,1.5249923801498054e-76,6.4298404986609303e-78
8.518453782902795e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963993,0.11866996602962179,0.022821567693046028,1.7977594827614226e-81,3.4947977963280986e-46,2.9717738019590497e-31,6.3099352717641117e-61,1.2627459084948793e-44,1.0681088759927408e-100,8.662045359916729e-20,1.7312920375217017e-91,8.6620453590062168e-20,2.5820139029906351e-62,5.5040724772664115e-54,8.088512619440607e-84,4.8874505973196082e-85,1.4754045960846378e-40,1.0171274765543968e-72,3.4352435876613784e-13,1.651695644558117e-14,6.3665232010724344e-18,6.3665317035891562e-18,4.1996589255004881e-24,3.4594183553497386e-26,1.6308293885090843e-30,5.9872479948728047e-28,3.7130662492775843e-51,1.4746584552643094e-39,1.3179027048062304e-42,3.4163253690742249e-74,1.44042823730415e-75
1.7036965335659327e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319927989,0.11866996602927826,0.02282156769303777,8.5033664325732844e-79,5.5916798045073593e-45,2.0636391141340942e-30,7.4605298984011652e-59,1.010203465571264e-43,5.0499279145845503e-98,1.7324149465142713e-19,1.1080389457566814e-89,1.7324149461500638e-19,4.1312523031509702e-61,8.8065388726259673e-53,1.912229632336031e-81,1.1554562288808968e-82,1.1803239324492657e-39,3.254832588413771e-71,6.870510471944883e-13,3.3034024904645548e-14,1.273308111076712e-17,1.2733115257291666e-17,1.6662423574138967e-23,2.7464774084766787e-25,2.4137104235865448e-29,2.3948967083064886e-27,2.1961144826459027e-49,1.1797267400864124e-38,1.8170100768968764e-41,8.0805324734159611e-72,3.4069998859521945e-73
3.4073988441172392e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319855979,0.1186699660285912,0.022821567693021252,4.1311447886883428e-76,8.946613021661178e-44,1.5097162638901779e-29,9.0607343720980167e-57,8.0816396325525343e-43,2.4530476816512008e-95,3.4648357680563317e-19,7.0914751098776141e-88,3.4648357665994995e-19,6.6100158212665096e-60,1.4090343538839802e-51,4.6442461774133722e-79,2.8062616993865503e-80,9.442511501754566e-39,1.0415485274871849e-69,1.3741044239694581e-12,6.6068161822605875e-14,2.5466171527870525e-17,2.5466309180297348e-17,6.5583908656200057e-23,2.1642015374963503e-24,3.6667559027905214e-28,9.5794938307638293e-27,1.3338799248525889e-47,9.4377295301087276e-38,2.6474458475940996e-40,1.9629706148882148e-69,8.2764744359016182e-71
6.814803465219852e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319711956,0.11866996602721706,0.02282156769298822,2.0161787713337131e-73,1.4314273655870783e-42,1.127438256643661e-28,1.1054966897138134e-54,6.4652923938134942e-42,1.1973708932942213e-92,6.9296774131279008e-19,4.5385361183541264e-86,6.9296774073005693e-19,1.057599690937788e-58,2.2544016402072321e-50,1.1332660869684564e-76,6.8476853139341015e-78,7.5538476548960185e-38,3.3329468261001028e-68,2.7482111771924732e-12,1.3213643565785279e-13,5.0932250753339489e-17,5.093280952195507e-17,2.5417993231279142e-22,1.6808109027195009e-23,5.5928646671082533e-27,3.831708516056576e-26,8.1376190897753403e-46,7.5500150024315136e-37,3.9475227689829597e-39,4.7901211409541771e-67,2.0196532648261952e-68
1.3629612707425078e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319423908,0.1186699660244688,0.022821567692922151,9.6788185804797149e-71,2.290180033867021e-41,8.3520879368335048e-28,1.3268013026698114e-52,5.1721876698977973e-41,5.7510063698051391e-90,1.3859360711220791e-18,2.904639801739386e-84,1.3859360687911519e-18,1.6921450368927643e-57,3.6068597076308058e-49,2.7204571564257833e-74,1.6438103939312777e-75,6.042806219953067e-37,1.0665340653654321e-66,5.4964246823308054e-12,2.6427298332565152e-13,1.0186400277257084e-16,1.0186629775180891e-16,9.5686295420437942e-22,1.270234579649591e-22,8.3870970764454389e-26,1.5326092750750306e-25,4.8826575085927288e-44,6.0397287853316748e-36,5.8511729715205024e-38,1.1497276576825547e-64,4.8475494094043452e-66
2.725923119183553e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318847819,0.11866996601897227,0.022821567692790014,4.4569030849895787e-68,3.6639517265022269e-40,5.9546419305520641e-27,1.5275537654327877e-50,4.1376700068593969e-40,2.6511507647191647e-87,2.7718727339204241e-18,1.8589354284225633e-82,2.7718727245968635e-18,2.7073814570718562e-56,5.7703804508723478e-48,6.2653245298230248e-72,3.7857267597069776e-73,4.83380460918347e-36,3.4128463233074299e-65,1.0992851687376673e-11,5.2854607865046877e-13,2.0372588111014885e-16,2.037354689718048e-16,3.4202577648824176e-21,9.1437949351932399e-22,1.2057102362219394e-24,6.1298382849895944e-25,2.8097128219996294e-42,4.8313245664868827e-35,8.3654547547482109e-37,2.6468984501242799e-62,1.1159803069983596e-63
5.451846816065644e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317695641,0.11866996600797922,0.022821567692525739,1.9078228910752298e-65,5.8612433026125927e-39,3.9464672884083728e-26,1.6349921102904349e-48,3.310005348843294e-39,1.1373019092037391e-84,5.5437460722361232e-18,1.1896737536494754e-80,5.5437460349423811e-18,4.3316449688266084e-55,9.2306971163401123e-47,1.3416646837882501e-69,8.1066498069809149e-71,3.8663371366951922e-35,1.0920698092146492e-63,2.1985705676545238e-11,1.0570922692569831e-12,4.0744313518939899e-16,4.0748393446640462e-16,1.1243504456149176e-20,6.08345479896075e-21,1.6099046011670512e-23,2.4514552242513126e-24,1.5026683095523313e-40,3.8643241596757369e-34,1.1149456762958083e-35,5.6642257977532046e-60,2.3880180089074052e-61
1.0903694209829825e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315391279,0.11866996598599309,0.022821567691997193,7.3565472187378844e-63,9.3745340366366912e-38,2.352462192763593e-25,1.5765541359159562e-46,2.6477942653734927e-38,4.4030683564716036e-82,1.1087492799739734e-17,7.6133328158107226e-79,1.108749265056988e-17,6.9301000834376039e-54,1.4762829717986607e-45,2.5888537785178872e-67,1.5641861155598129e-68,3.0919389683102136e-34,3.4943594866426613e-62,4.3971413571189661e-11,2.1141846502975351e-12,8.1485163462464373e-16,8.1502701032028975e-16,3.291674248735409e-20,3.6259529488059162e-20,1.934362265584006e-22,9.8019799487819835e-24,7.2372829636805777e-39,3.0902823042372251e-33,1.3409857393756954e-34,1.0917784967460146e-57,4.6027537312338438e-59
2.180738899735819e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310782554,0.11866996594202085,0.022821567690940101,2.5131972124235404e-60,1.4988206996207425e-36,1.2421477589654351e-24,1.3469655844411959e-44,2.1178990531473245e-37,1.515177760739486e-79,2.21749864582091e-17,4.8717903419472821e-77,2.2174985861571202e-17,1.1086456234516485e-52,2.3600678694249381e-44,4.426992659046318e-65,2.6745870105773389e-66,2.4717435647275028e-33,1.1180259356693841e-60,8.7942829025707707e-11,4.2283694116887456e-12,1.6295646118856457e-15,1.6303142698086903e-15,8.4734226445059638e-20,1.9066696693130297e-19,2.0574084089642842e-21,3.9177221228731894e-23,3.0875033258705826e-37,2.4703442636725081e-32,1.432491084716538e-33,1.8642824646691541e-55,7.8569949563255817e-57
4.3614778572414917e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756301565111,0.11866996585407637,0.022821567688825917,7.6690736510874383e-58,2.394585139086257e-35,5.8878971767492766e-24,1.0279749887467038e-42,1.6937810911692745e-36,4.6846823063538957e-77,4.434997458878199e-17,3.1169950852857964e-75,4.4349972202563429e-17,1.7732877534622034e-51,3.7697729524318258e-43,6.7629462211319502e-63,4.0852446760142524e-64,1.9745086671525649e-32,3.5766007406203279e-59,1.7588565859566058e-10,8.456738931711764e-12,3.2585745862081065e-15,3.2617274074513173e-15,1.9557357538074735e-19,8.9455585678070177e-19,1.9543093726120756e-20,1.564638248114819e-22,1.1764905707499863e-35,1.973271136115695e-31,1.3741495330144016e-32,2.8434502303122458e-53,1.1974769587685747e-54
6.542216814747164e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756292347667,0.11866996576613188,0.022821567686711734,5.952771644314555e-57,8.8074411976406431e-35,1.3201441773811695e-23,5.9337515711147219e-42,5.0275046077912791e-36,3.6245061310917334e-76,6.6524963532781702e-17,1.769555785275686e-74,6.6524958462545263e-17,6.7077153786480481e-51,1.4361625021490182e-42,4.5547040523847373e-62,2.751200497991822e-63,5.641127665219032e-32,1.6682696899873283e-58,2.6382848682653032e-10,1.2685108448975377e-11,4.8871686865394371e-15,4.8939923141544847e-15,3.0792687525117366e-19,1.991423508130412e-18,5.8465990268945929e-20,3.321263459676841e-22,5.6890779274538094e-35,5.6373954569268844e-31,4.1339904344091882e-32,1.9290763323986499e-52,8.1209181987285756e-54
8.722955772252836e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756283130224,0.1186699656781874,0.02282156768459755,2.9861985746918036e-56,2.2323351750893626e-34,2.3189891379466904e-23,2.2150771004160478e-41,1.0952569424671687e-35,1.6935369075746323e-75,8.8699953289986918e-17,6.8045995906465444e-74,8.869994464152541e-17,1.7457513755304616e-50,3.8608476807763111e-42,1.9034074303700042e-61,1.1496440274175054e-62,1.1889727881852557e-31,5.0792649553323293e-58,3.5177131371831686e-10,1.6913477963479909e-11,6.5153470190667825e-15,6.5271175521453813e-15,4.205804342537435e-19,3.474823953888742e-18,1.2637957511450515e-19,5.6600501974399174e-22,1.8806377710958353e-34,1.1881485570229027e-30,8.9819766446852521e-32,8.8939271389401188e-52,3.7441373283635916e-53
1.3084433687264182e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756264695331,0.11866996550229844,0.022821567680369179,3.9282608576088525e-55,7.7982205409101937e-34,4.9446602674640036e-23,1.4876977484507064e-40,3.1779333358055843e-35,1.6292153545928588e-74,1.3304993471226597e-16,5.1772951647743639e-73,1.3304991680940018e-16,6.4046568865425272e-50,1.5586869558285677e-41,1.4978395176623278e-60,9.0442840699451127e-62,3.2433462875823739e-31,2.3135341948943775e-57,5.2765696435914383e-10,2.5370216986014293e-11,9.7707282318267088e-15,9.7954100362237823e-15,6.4595549730684594e-19,7.3262267316533179e-18,3.5312049899812313e-19,1.169898238653712e-21,1.0675571920720702e-33,3.2409270397790838e-30,2.5313954106071105e-31,1.0665612956583843e-50,4.492278185122697e-52
1.7445911602275527e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756246260439,0.11866996532640949,0.022821567676140807,2.0344477982179212e-54,1.9468371671234737e-33,8.5541706571986467e-23,5.5412868545194258e-40,6.9474542337411204e-35,7.7110353243164728e-74,1.7739991912321194e-16,1.9546114874140087e-72,1.7739988867944022e-16,1.6603477579428427e-49,4.2165883340389862e-41,6.2507600289308436e-60,3.7737072771594196e-61,6.7785545720308546e-31,6.9476632789276796e-57,7.0354261007568452e-10,3.3826955998403866e-11,1.3024581399774722e-14,1.3066926354804642e-14,8.7127063320883365e-19,1.2538643743479504e-17,7.4715763331596418e-19,1.986552181347677e-21,3.4677780176934274e-33,6.7731813721777997e-30,5.3971332605473547e-31,4.8529746954269895e-50,2.0438360949256608e-51
2.180738951728687e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756227825546,0.11866996515052053,0.022821567671912436,8.0466187176647854e-54,4.1267144268350622e-33,1.3217366051505802e-22,1.6461169271386204e-39,1.3029897251361065e-34,2.9040740195491474e-73,2.2174990673486993e-16,5.9775865258803329e-72,2.2174986023040192e-16,3.6293653030905316e-49,9.4596076082365221e-41,2.0704898012624715e-59,1.2497839503679526e-60,1.2326031431104058e-30,1.7331907098101547e-56,8.7942825051620443e-10,4.2283694999925058e-11,1.6276798085997628e-14,1.6341942722397077e-14,1.096479873585211e-18,1.9161306730890682e-17,1.3677568127654957e-18,3.0301059174614173e-21,9.1315005800395951e-33,1.2315674297786256e-29,9.9572054767694537e-31,1.7432448113072792e-49,7.3422093829148611e-51
3.053034534730956e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756190955761,0.11866996479874267,0.022821567663455698,1.9166874752275121e-52,1.5074668620667774e-32,2.5767939814258241e-22,1.3931431505718058e-38,3.5621229062205987e-34,7.0300969683249983e-72,3.104498917516769e-16,5.2850056060475101e-71,3.1044980235526131e-16,1.3948798990235192e-48,3.6530546494537988e-40,2.7032701342915442e-58,1.6303435473811352e-59,3.2443422498765166e-30,9.5016249660705144e-56,1.231199515237774e-09,5.919717296968678e-11,2.2776224020912352e-14,2.29029869783308e-14,1.5465361884495117e-18,3.6420109968264317e-17,3.6039526617831739e-18,5.8050576772070529e-21,5.125534403982822e-32,3.2411948920641853e-29,2.6797650089502866e-30,2.5258532178750364e-48,1.0625505743516646e-49
