Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),CH3X(55),COX(50),CHOX(53),O(29),acetyl(44),C2H4X(215),C2H4X(70),CO2X(24),C2H6X(52),HOCO(73),CHO2(74),S(216)
6.4733749816644685e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999967,0.11866996602996215,0.02282156769305424,5.829123724815351e-99,1.687128965324217e-45,2.0880537460922227e-30,1.0187265557779365e-71,1.1183591075240222e-45,9.253328772917987e-110,5.713266769797983e-17,1.7082862269668034e-89,5.713266769797161e-17,8.846236842163638e-61,7.044915230337313e-60,1.1835189651205252e-92,1.3722875399019051e-93,7.521178420149039e-32,2.8169798520656985e-71,3.120171827185736e-15,9.238274222635199e-17,3.698390961389284e-19,6.333594889663407e-32,2.3452218234735044e-31,3.6983909451135615e-19,8.11615483777519e-28,3.331779637719213e-33,1.1828083516648273e-37,8.128636916725864e-63,1.3692170511871484e-45,8.855791662685662e-44,5.613335154411378e-62,2.109907433999266e-31,2.0842882832520785e-86,3.0739934412153203e-89,6.94569730049329e-25,6.470823575611174e-102,5.673781205608978e-76,2.8424419794280756e-85,4.628830289834494e-89,1.1463249271491083e-59,5.112499653959757e-121,6.083614377719942e-123,9.649761795736878e-174
1.2952374094503277e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999935,0.11866996602995897,0.022821567693054195,1.506736852217069e-96,1.3507290212722287e-44,8.357657079132861e-30,6.580157452427734e-70,8.95594315143945e-45,2.3906889695288448e-107,1.143149728135968e-16,1.0949929777303286e-87,1.1431497281356397e-16,1.4169352838689797e-59,1.1284981988620042e-58,1.528884953108731e-90,1.7727386146684307e-91,3.0104314437244133e-31,1.0994110301313806e-69,6.243054490014653e-15,1.8484574747809399e-16,7.399995137159759e-19,2.535088471083967e-31,9.386999112534477e-31,7.399995072014321e-19,3.248563720922129e-27,2.6674385727610157e-32,9.547091583641518e-37,2.625335681134739e-61,1.0962061540200917e-44,7.090018402449016e-43,1.798477603230417e-60,8.445128305010738e-31,2.6925102895758115e-84,3.9729298867337773e-87,1.3897430595928532e-24,1.6725650882796002e-99,3.635760664201685e-74,2.2162842621787616e-83,5.982452169180065e-87,1.836112083670453e-58,2.643382567909948e-118,3.145044440100861e-120,1.5670995091377905e-169
2.5910372320180892e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998706,0.11866996602995261,0.0228215676930541,3.9217895244825064e-94,1.080993734942854e-43,3.3441518427436197e-29,4.280706368787537e-68,7.168384410507943e-44,6.2205146662075675e-105,2.2867958304483697e-16,7.013367269631476e-86,2.286795830447056e-16,2.268327066665916e-58,1.806647198109951e-57,1.9891153525716637e-88,2.3063747117845005e-89,1.2045647043445982e-30,4.781361128704616e-68,1.2488819815667576e-14,3.697717579815716e-16,1.4803203537701137e-18,1.0143655451845415e-30,3.756022353613383e-30,1.480320327703346e-18,1.2998379538893744e-26,2.1347439374427454e-31,7.76451287068738e-36,8.540485866218589e-60,8.772980354046048e-44,5.674170118465304e-42,5.758632408306682e-59,3.379151344145618e-30,3.503019330495678e-82,5.170581782282679e-85,2.78009017053835e-24,4.353162124518872e-97,2.328326875473592e-72,1.9251721792611782e-81,7.785881167987261e-85,2.939374002761273e-57,1.3760691951869582e-115,1.6372070679392233e-117,2.509545491281597e-165
5.182636877153612e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999742,0.11866996602993989,0.022821567693053917,1.0357932115189682e-91,8.649592347803866e-43,1.3378787959040774e-28,2.8259951024117547e-66,5.736159838364271e-43,1.6423630128404085e-102,4.574088035073422e-16,4.490287740405559e-84,4.57408803506817e-16,3.630308076670437e-57,2.8914757999119574e-56,2.6260143279147943e-86,3.0448576176610734e-87,4.819043182811847e-30,2.3378857734203119e-66,2.4980350466953782e-14,7.396237789885012e-16,2.960962053479121e-18,4.058122265331578e-30,1.5026535152065981e-29,2.9609619491942222e-18,5.200112771262699e-26,1.7080913117904625e-30,6.411123785834163e-35,2.8197289462042297e-58,7.0197164496972854e-43,4.540199152038732e-41,1.8433007693881088e-57,1.3518805693694693e-29,4.624658348577752e-80,6.828454579789975e-83,5.560786199863132e-24,1.1495920060613262e-94,1.4905721724724183e-70,1.8802355358746002e-79,1.0282313345516401e-82,4.704274502695008e-56,7.267882398592987e-113,8.648122165029028e-115,3.930797193351383e-161
1.0365836167424658e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999485,0.11866996602991445,0.022821567693053546,2.812940564239215e-89,6.920331008737132e-42,5.3519531367254255e-28,1.9183522857620425e-64,4.5895088649252994e-42,4.4581040925664756e-100,9.148672444324528e-16,2.87433873805711e-82,9.148672444303508e-16,5.809280849204616e-56,4.6270334362759794e-55,3.564456195062011e-84,4.132978813195473e-85,1.9277741573853416e-29,1.2650253434858832e-64,4.9963411769447607e-14,1.4793278210022582e-15,5.922245531304545e-18,1.623380674067962e-29,6.011103220823621e-29,5.922245114124171e-18,2.080146037736451e-25,1.3665577071357825e-29,5.446735017202462e-34,9.574538250937979e-57,5.6163051759437604e-42,3.6325057244518645e-40,5.899280313517006e-56,5.407962339776073e-29,6.277342744578565e-78,9.273104854736742e-81,1.1122185488247847e-23,3.1213253466404926e-92,9.540849037316947e-69,2.0327510775822957e-77,1.39634804230267e-80,7.527860227122544e-55,3.946432658490089e-110,4.69720774693773e-112,5.951942634040046e-157
2.073223474796675e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799897,0.11866996602986356,0.022821567693052807,8.0249391869429235e-87,5.536527790029534e-41,2.1408702918421586e-27,1.3679123674681307e-62,3.671839502733904e-41,1.2708931082542735e-97,1.829784126283073e-15,1.8397542782220918e-80,1.8297841262746647e-15,9.295479739411404e-55,7.403790691053992e-54,5.081581316880979e-82,5.89208190574496e-83,7.711410409248742e-29,7.355777769064035e-63,9.992953437412099e-14,2.9587359050293637e-15,1.184481280062088e-17,6.493784174420489e-29,2.4045391059230996e-28,1.184481113177687e-17,8.320375873750738e-25,1.0932259237843203e-28,4.8653287276842876e-33,3.4160912870627565e-55,4.4932555068477594e-41,2.9061449767851406e-39,1.8877925771197485e-54,2.163272925531878e-28,8.949142710946653e-76,1.3229801053124969e-78,2.22450129839579e-23,8.901511509667737e-90,6.10622809598392e-67,2.362438847428876e-75,1.992149946765915e-78,1.2045393235858209e-53,2.2506062776359964e-107,2.680147073877111e-109,8.631164450909362e-153
4.1465031909050934e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767997941,0.11866996602976178,0.02282156769305133,2.4758376660450385e-84,4.429327614934643e-40,8.563670789723622e-27,1.0547618085493174e-60,2.9375645676043346e-40,3.916699712683883e-95,3.659617889985909e-15,1.1774995353715067e-78,3.659617889952277e-15,1.4873271888178085e-53,1.1846493033964365e-52,7.83239822935298e-80,9.081647759319434e-81,3.0846269207693974e-28,4.4703405456802323e-61,1.9986177958221048e-13,5.917552073081938e-15,2.3689948594202402e-17,2.597564312636938e-28,9.618351919247749e-28,2.36899419182536e-17,3.327780647498743e-24,8.74486088440477e-28,4.7045931962665194e-32,1.3184390261739567e-53,3.5946866313588103e-40,2.324975067146714e-38,6.040384228269333e-53,8.653267476726098e-28,1.3793589681120388e-73,2.0413541216471395e-76,4.449078365114048e-23,2.744801157609992e-87,3.90763529799455e-65,2.8703726023365836e-73,3.0738839155175756e-76,1.9273282685947566e-52,1.387659524304741e-104,1.6538797766962027e-106,1.205116236029011e-148
8.293062623121931e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679958826,0.11866996602955823,0.02282156769304837,8.494836620495704e-82,3.543504544692954e-39,3.4255154726656195e-26,9.044358001101893e-59,2.35008883803784e-39,1.3420727763674372e-92,7.319285417397967e-15,7.536178765399214e-77,7.319285417263437e-15,2.3797638416735008e-52,1.8954725304018078e-51,1.3423406739659345e-77,1.5564409080620534e-78,1.2338633198424283e-27,2.78453595594145e-59,3.997262699933606e-13,1.1835184409180543e-14,4.738022520345337e-17,1.0390345307648398e-27,3.847379752666059e-27,4.738019849589346e-17,1.3307759930998772e-23,6.994125814414148e-27,5.062817381719913e-31,5.660151116457643e-52,2.8757784793691383e-39,1.8600083669239776e-37,1.932458062422148e-51,3.461341979700849e-27,2.3639880045999707e-71,3.503182586336139e-74,8.898278768855553e-23,9.411411836743445e-85,2.500290990488389e-63,3.5751248660409814e-71,5.275124200783476e-74,3.083777507315862e-51,9.513494250523836e-102,1.1352206106648643e-103,1.6645030385132278e-144
1.6586181487555605e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767991766,0.11866996602915114,0.02282156769304245,3.278025579841141e-79,2.8348210953929056e-38,1.3702229997112226e-25,8.722252389334538e-57,1.8800859396775832e-38,5.172060439141152e-90,1.463862047224763e-14,4.823212544779012e-75,1.4638620471709508e-14,3.8076544008158255e-51,3.0327810769104e-50,2.5873857166409546e-75,3.0000676769948265e-76,4.9354783826225164e-27,1.756958358048237e-57,7.994552507955449e-13,2.3670449081351583e-14,9.476079852863045e-17,4.156145150970196e-27,1.5389596065006832e-26,9.476069166992716e-17,5.320334635671764e-23,5.592382475739305e-26,6.127255703084979e-30,2.732855364471768e-50,2.3006285068901057e-38,1.4880254984635657e-36,6.180713932192389e-50,1.3845436567356155e-26,4.556628768246678e-69,6.761283924539009e-72,1.7796864657558514e-22,3.629327030143165e-82,1.5993774224174592e-61,4.5111012613625767e-69,1.0181240510571812e-71,4.934085821161245e-50,7.335478853386162e-99,8.767305860400002e-101,2.3536953436130207e-140
3.317241921642295e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679835325,0.11866996602833695,0.022821567693030616,1.403227643559869e-76,2.2678646256682775e-37,5.480984553020842e-25,9.331879450785555e-55,1.5040746923470176e-37,2.2117136657579054e-87,2.9277290582049134e-14,3.0868746033158704e-73,2.927729057989664e-14,6.09227278776739e-50,4.85246370428638e-49,5.5336042442425735e-73,6.416200817069931e-74,1.9741963737681316e-26,1.1155510543405395e-55,1.5989132123194514e-12,4.734097842558897e-14,1.8952202575218886e-16,1.6624509991909473e-26,6.155853104154529e-26,1.89521598093078e-16,2.1259054176355802e-22,4.469203784253776e-25,8.219908539163601e-29,1.4634424159527475e-48,1.8404955807364704e-37,1.1904398682277954e-35,1.9757855613646597e-48,5.538187292859621e-26,9.74519362978653e-67,1.4475145699207978e-69,3.55947767598442e-22,1.552799591099285e-79,1.0225527135358964e-59,5.728156297310737e-67,2.1797048082348257e-69,7.894570720074584e-49,6.275756170732775e-96,7.517841841084372e-98,3.469737997987049e-136
