Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),CO2X(24)
6.450778387925648e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999726,0.11866996602996273,0.022821567693054223,1.9808114452472082e-97,1.1515672938564853e-54,1.1292256820104331e-35,7.02354311015819e-74,3.1783123339436108e-52,6.8632055716190417e-118,6.5595161307089264e-22,1.8952650466747785e-105,6.5595161307074265e-22,4.9249564465768851e-72,5.8131856592961717e-62,6.8463611102375942e-99,4.1368881029844226e-100,8.5523394070716688e-46,1.4703258547901993e-84,2.6014104975124807e-15,1.2507812848323788e-16,4.8211867750727772e-20,4.8211869770340919e-20,1.0094310243314134e-27,2.6176244725474543e-31,7.0654203018472457e-36,3.4349451374830619e-32,6.4108557576715918e-46,9.3582460197869236e-61,4.958280073023436e-88
1.2907161274885116e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999454,0.11866996602996012,0.02282156769305416,5.1350527341105201e-95,1.844008159191884e-53,7.3147823377477863e-35,4.5498812929200546e-72,2.545227492418133e-51,1.7783205081132022e-115,1.3124731232862747e-21,1.2148443314246072e-103,1.3124731232856744e-21,7.8884891074188107e-71,9.3119210633818806e-61,8.8699204766226576e-97,5.359616284191949e-98,6.8470716919139995e-45,4.7103234281672062e-83,5.2050811257771009e-15,2.5026492606159265e-16,9.6465620420217595e-20,9.6465628504980734e-20,4.0393071975376385e-27,2.0951834246887653e-30,5.7199146722095459e-35,1.3748732227470732e-31,5.1325826550049107e-45,3.0313527192775595e-59,6.4270115114354762e-86
2.581992704880405e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999891,0.11866996602995492,0.022821567693054035,1.3441590939514209e-92,2.9516140233230588e-52,5.1619203083320908e-34,2.9766888956465463e-70,2.0372134284742777e-50,4.6532236710688695e-113,2.6255161437176571e-21,7.781007738369727e-102,2.6255161437152542e-21,1.2628432794004958e-69,1.4907738119362122e-59,1.160513105465226e-94,7.0123570491651949e-96,5.4797382828091557e-44,1.5081488398892124e-81,1.0412422382301648e-14,5.0063852121829258e-16,1.9297311969334396e-19,1.9297315205130258e-19,1.6154113161199724e-26,1.6759713210619783e-29,4.6788891463888774e-34,5.5012837080105693e-31,4.1076259792180901e-44,9.9176043174525855e-58,8.4120345818063849e-84
5.164545859664192e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997816,0.11866996602994451,0.022821567693053785,3.5881545448617e-90,4.7235433826754965e-51,3.85084599710931e-33,1.9861535534222989e-68,1.6301832262190123e-49,1.2416410947804405e-110,5.2516021845828902e-21,4.9817665431539246e-100,5.2516021845732771e-21,2.0210971916408452e-68,2.3859313308029675e-58,1.5484403761166518e-92,9.3563930775264892e-94,4.3846231331284964e-43,4.8274287101391022e-80,2.0827104895331955e-14,1.0013857115316534e-15,3.8598809397618669e-19,3.8598822349600621e-19,6.4560041279617485e-26,1.3397337720262159e-28,3.9055757909564487e-33,2.2008716746551774e-30,3.2867248090695358e-43,3.3096913339941695e-56,1.1228554552720148e-81
1.0329652169231765e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995634,0.11866996602992368,0.022821567693053286,9.9314561712854131e-88,7.5584380431829379e-50,2.9650378509429484e-32,1.3740767892611234e-66,1.3043112886483398e-48,3.434632495770172e-108,1.0503774266323236e-20,3.1889449171687623e-98,1.0503774266284776e-20,3.2341931908205228e-67,3.8180443291544628e-57,2.1419359418549953e-90,1.2942567842331955e-91,3.508031476475236e-42,1.544993262832846e-78,4.1656469921317468e-14,2.0028800921582208e-15,7.7201794548825707e-19,7.7201846414351329e-19,2.5772724669157657e-25,1.0698177281584304e-27,3.3828616137110697e-32,8.8042029487294585e-30,2.6296294046186659e-42,1.1454878963941766e-54,1.5541527522483805e-79
2.0659864788366913e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991266,0.11866996602988202,0.022821567693052283,2.9215025705912099e-85,1.2094115104237727e-48,2.3191949353359837e-31,1.0102682257900597e-64,1.0435144286431581e-47,1.009455357773681e-105,2.1008118429843445e-20,2.0411204355359015e-96,2.1008118429689599e-20,5.1750569289775575e-66,6.1093127985326713e-56,3.1482990791862384e-88,1.9023479469803551e-89,2.8065582669109572e-41,4.9443219800909118e-77,8.3315199972987975e-14,4.0058688534107363e-15,1.5440772602981312e-18,1.5440793392496573e-18,1.0267039130623606e-24,8.5259946192860315e-27,3.1170958330482348e-31,3.5218242875625704e-29,2.1038032246383591e-41,4.214655455643977e-53,2.2863888313408506e-77
4.132029002663721e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319982534,0.11866996602979869,0.022821567693050281,9.3976109045828995e-83,1.935107330493179e-47,1.8238377467844942e-30,8.1217864609091325e-63,8.348369198096247e-47,3.2432612796176576e-103,4.2016806757041903e-20,1.3063785261988563e-94,4.2016806756426515e-20,8.2803618395164077e-65,9.7752491117520653e-55,5.0590288901065281e-86,3.0568992902112135e-87,2.2452996742460993e-40,1.5822365886450991e-75,1.6663266007512709e-13,8.0118463759132912e-15,3.0881943370623719e-18,3.0882026866183801e-18,4.0733114522146287e-24,6.7688151308005242e-26,3.1435432000233836e-30,1.4087582195069242e-28,1.6830822574178332e-40,1.6961267900985519e-51,3.6783912985947644e-75
8.26411405031778e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631996507,0.11866996602963205,0.022821567693046274,3.366718924470191e-80,3.0962101355710897e-46,1.4302734980465288e-29,7.2716931972408457e-61,6.6787843396904261e-46,1.1604065321337356e-100,8.4034183412071043e-20,8.3610041469737751e-93,8.4034183409609488e-20,1.3248771499331795e-63,1.564066188249322e-53,9.0532331207655344e-84,5.4703822589423625e-85,1.7962606839718228e-39,5.0632337280123306e-74,3.3326758027459762e-13,1.6023801420908488e-14,6.1764222791813323e-18,6.1764559403341104e-18,1.6030774069436562e-23,5.3335106284107903e-25,3.5318157376080338e-29,5.6350889463635722e-28,1.3464813512517188e-39,7.6027448740588482e-50,6.5910651439545639e-73
1.6528284145625898e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319930137,0.11866996602929877,0.022821567693038263,1.3331464032078574e-77,4.9539646230339764e-45,1.1080819076319609e-28,7.1965704460896144e-59,5.3430430199100911e-45,4.5899843878000735e-98,1.6806893672465818e-19,5.3510814859169619e-91,1.6806893671481186e-19,2.1198111484529494e-62,2.5025219707386011e-52,1.7909808157158167e-81,1.0821934595575208e-82,1.4370164770717473e-38,1.6202412671915387e-72,6.6653742065430773e-13,3.2047711510859249e-14,1.2352853317881136e-17,1.2352989971757851e-17,6.2114574804307382e-23,4.1418133625224948e-24,4.3833454466769293e-28,2.2540460393574361e-27,1.0771907776070589e-38,3.766151629969183e-48,1.3053061812709087e-70
3.3056624336242133e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319860276,0.11866996602863222,0.022821567693022238,5.6331138232531166e-75,7.926358699714883e-44,8.3632474542525244e-28,7.6008813181906259e-57,4.2744085641902476e-44,1.9382087688032419e-95,3.3613844335994779e-19,3.4246799063362736e-89,3.3613844332056257e-19,3.3916793772365353e-61,4.0040320250732289e-51,3.7819860997603978e-79,2.2852509516850856e-80,1.1496156368417316e-37,5.1847453646860896e-71,1.3330771013368044e-12,6.4095531690602262e-14,2.4705616013928095e-17,2.4706177363819977e-17,2.3372553824457119e-22,3.1295425176111104e-23,5.7981827961936441e-27,9.0161990558964289e-27,8.6175406623838247e-38,1.9901474500331e-46,2.7581774400629927e-68
