Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),HOX(22),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),COX(50)
6.450778387925648e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999726,0.11866996602996273,0.022821567693054223,0.0,1.1515674056076283e-54,4.3076189972581753e-36,1.7517267128631666e-75,1.6144345865120754e-48,1.7073589943061973e-119,6.559518286310523e-22,9.6270642431288963e-102,6.5595182862255019e-22,2.5016478102706913e-68,4.1742772920296106e-60,1.7046189982927803e-100,1.0300092900438974e-101,8.5523528788166949e-46,7.4685663720939561e-81,2.6014104975124807e-15,1.2507812848323788e-16,4.8211868746351003e-20,4.8211868774447624e-20,3.4349451374821762e-32,1.4061166966812393e-29,5.0778319688152011e-35,3.4535670127663539e-41,4.5422445361609439e-66,6.4108557576700461e-46,1.5088901549592106e-90
1.2907161274885116e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999454,0.11866996602996012,0.02282156769305416,0.0,1.8440083381333396e-53,1.7241777509324781e-35,1.6251160238194302e-73,1.2928570325703066e-47,6.3295319723911548e-117,1.3124735546105939e-21,6.1708439552306508e-100,1.312473554576563e-21,4.0069841128351041e-67,6.6866161836321897e-59,3.1607312117527234e-98,1.9098593378775741e-99,6.8470824774992111e-45,2.3926236713959806e-79,5.2050811257771009e-15,2.5026492606159265e-16,9.6465624405305084e-20,9.6465624517765021e-20,1.3748732227463634e-31,5.6281109023409324e-29,4.0653381537684306e-34,4.0193590018315954e-40,2.1097807450266463e-64,5.1325826550024346e-45,2.7978077257773184e-88
2.581992704880405e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999891,0.11866996602995492,0.022821567693054035,0.0,2.9516143097263828e-52,6.899017301284428e-35,1.6844566247919095e-71,1.0348096265195732e-46,2.622022007689706e-114,2.6255170066204719e-21,3.9523901852837061e-98,2.6255170064843048e-21,6.4146546519338793e-66,1.0704807924938913e-57,6.5485586973014901e-96,3.9569407012501349e-97,5.4797469145517501e-44,7.6606902566087136e-78,1.0412422382301648e-14,5.0063852121829258e-16,1.929731356388842e-19,1.9297313608887208e-19,5.5012837080048818e-31,2.2519611869963099e-28,3.2534821166034652e-33,5.2244985935530246e-39,1.0946598935884539e-62,4.1076259792141233e-44,5.7966359207715184e-86
5.164545859664192e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997816,0.11866996602994451,0.022821567693053785,0.0,4.7235438409511171e-51,2.7601045260615663e-34,1.9026057083199372e-69,8.2805735124485403e-46,1.1839267172618648e-111,5.2516039108434078e-21,2.5305061718510517e-96,5.2516039102986533e-21,1.0266232277382007e-64,1.7132671750190807e-56,1.4787371237417832e-93,8.93521060385668e-95,4.3846300398283744e-43,2.4521082094107568e-76,2.0827104895331955e-14,1.0013857115316534e-15,3.8598815776872611e-19,3.8598815956898364e-19,2.2008716746506204e-30,9.0091809638196486e-28,2.6032416913786382e-32,7.3933978493167921e-38,6.1870888657789678e-61,3.2867248090631801e-43,1.3089446226964917e-83
1.0329652169231765e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995634,0.11866996602992368,0.022821567693053286,0.0,7.5584387762962904e-50,1.1041703622033727e-33,2.2729751498789818e-67,6.625297490851599e-45,5.6555166354362236e-109,1.0503777720102006e-20,1.6198364804396845e-94,1.0503777717922802e-20,1.6428199776707597e-63,2.7416258115167802e-55,3.5323296658355023e-91,2.1343962343193301e-92,3.5080370023507082e-42,7.8478461372396138e-75,4.1656469921317468e-14,2.0028800921582208e-15,7.7201820067914467e-19,7.7201820788086522e-19,8.8042029486929266e-30,3.6038615371446751e-27,2.0827297836428552e-31,1.1056356622035e-36,3.6975476440124746e-59,2.6296294046084762e-42,3.1267382207643738e-81
2.0659864788366913e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991266,0.11866996602988202,0.022821567693052283,0.0,1.2094116276627907e-48,4.4171707310169919e-33,2.8053591525604264e-65,5.3005734509315411e-44,2.7915024230811299e-106,2.1008125341870084e-20,1.0367953621034236e-92,2.1008125333152922e-20,2.6286902109920073e-62,4.3869197996798528e-54,8.7181894268570421e-89,5.2679314902411838e-90,2.8065626878066542e-41,2.5114867404695852e-73,8.3315199972987975e-14,4.0058688534107363e-15,1.5440782811029206e-18,1.5440783099118084e-18,3.5218242875332407e-29,1.4415199632184482e-26,1.6661648264113735e-30,1.7070915454305171e-35,2.2824172957040322e-57,2.103803224621998e-41,7.7171437047481332e-79
4.132029002663721e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319982534,0.11866996602979869,0.022821567693050281,0.0,1.9351075178698706e-47,1.7671518522247459e-32,3.5239684768310302e-63,4.2405928928043755e-43,1.4024749470527226e-103,4.2016820598409797e-20,6.6358103005017624e-91,4.2016820563540438e-20,4.2060468868954576e-61,7.0193258828090493e-53,2.1901249095368062e-86,1.3233743167179441e-87,2.2453032110231684e-40,8.037039042791306e-72,1.6663266007512709e-13,8.0118463759132912e-15,3.0881984203622289e-18,3.0881985356067875e-18,1.4087582194832649e-28,5.7655307736230042e-26,1.3328065603315773e-29,2.6815775961145793e-34,1.4337404390797109e-55,1.6830822573914465e-40,1.9386488717960179e-76
8.26411405031778e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631996507,0.11866996602963205,0.022821567693046274,0.0,3.0962104346903711e-46,7.0706595903250293e-32,4.4671194257838956e-61,3.3925278793475879e-42,7.1109394120248981e-101,8.4034211163503439e-20,4.2470208851049716e-89,8.4034211024024608e-20,6.72978889044733e-60,1.1231122833336842e-51,5.5523731608656089e-84,3.3549995264906278e-85,1.7962635133892226e-39,2.5718974663180169e-70,3.3326758027459762e-13,1.6023801420908488e-14,6.1764386125278737e-18,6.1764390735640866e-18,5.635088946171723e-28,2.3057028222622108e-25,1.0660068751222164e-28,4.2499880950386869e-33,9.0879861414388467e-54,1.3464813512089411e-39,4.9148344013110525e-74
1.6528284145625898e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319930137,0.11866996602929877,0.022821567693038263,0.0,4.9539650993433697e-45,2.8298614249032804e-31,5.6881217365408833e-59,2.7140435880215953e-41,3.6217353248315479e-98,1.6806899250174754e-19,2.7181259666380231e-87,1.680689919438294e-19,1.0767752778457697e-58,1.7969951444515876e-50,1.413976662997261e-81,8.5438980646638619e-83,1.4370187405567744e-38,8.2301434397557406e-69,6.6653742065430773e-13,3.2047711510859249e-14,1.23529186514473e-17,1.2352920496027565e-17,2.2540460391987986e-27,9.2185973550740001e-25,8.5240916771652448e-28,6.7652506569031093e-32,5.7862129971602264e-52,1.0771907775364007e-38,1.2516198066443552e-71
3.3056624336242133e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319860276,0.11866996602863222,0.022821567693022238,0.0,7.9263594540175392e-44,1.1332123775103611e-30,7.2568421190342493e-57,2.1712431576083823e-40,1.8482066080070128e-95,3.36138556010463e-19,1.7396108792806086e-85,3.3613855377878484e-19,1.7228475147404153e-57,2.8752026313927173e-49,3.6078436993699876e-79,2.1800252825283603e-80,1.1496174475322786e-37,2.6336570863995304e-67,1.3330771013368044e-12,6.4095531690602262e-14,2.4705877347638836e-17,2.4705884729383004e-17,9.0161990545659593e-27,3.6840440414621019e-24,6.8128793630224597e-27,1.0789264414997286e-30,3.6910492115508884e-50,8.6175406611997597e-38,3.1935798877511038e-69
