Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53),CH3X(55),C2H4X(215),C2H4X(70)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4731972664308945e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,1.4586898572492799e-65,3.1305483177498685e-36,4.885623989936779e-89,1.993720284052175e-54,1.7513361329388667e-132,5.713110174575014e-20,-7.856474666898275e-106,5.713110174575013e-20,2.9547206391391814e-72,8.491328423175467e-71,1.1253679536997622e-112,1.3048614501313496e-113,4.480323666498087e-52,1.4266516433462578e-85,3.1200861683043408e-18,9.238020601909494e-20,3.698289420358261e-22,9.495744842391178e-38,3.5161118787468958e-37,3.6982894203463903e-22,3.58999830718674e-54,5.891759494986439e-34,2.0479919463559924e-42,3.491622383308358e-47,4.645816910388928e-78,2.321931057847476e-52,1.215322883921197e-75,1.981878691195023e-106,-2.1574352583243703e-109,3.163312993305261e-37,2.416362207556167e-92,2.836536001831361e-102
1.8124952346006505e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,3.2632822455848906e-64,1.8908511839412822e-35,5.39889898881497e-87,3.012910099635944e-53,6.3195014395029235e-130,1.5996708488810044e-19,1.5167032308861282e-104,1.5996708488810034e-19,8.33278497468399e-71,2.66980953983309e-69,2.2497284896397855e-110,2.608554801777115e-111,5.3190402568418056e-51,7.400136564941909e-84,8.736241271252152e-18,2.586645768534658e-19,1.0355210377022415e-21,5.735429884775162e-37,2.1237315747609026e-36,1.0355210376950708e-21,4.262045990256996e-53,3.5586227230222154e-33,2.43137603006748e-41,4.145371048023073e-46,2.8263555740738085e-76,2.756596551903698e-51,7.393402154481178e-74,3.96198322506254e-104,2.183441728659431e-107,1.910641047953151e-36,2.6701475015760073e-90,2.676759380166781e-100
4.142846250515773e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,6.447918071595896e-63,9.103634508322047e-35,4.8848087640469305e-85,3.2411511986775925e-52,2.288276373512753e-127,3.656390511728011e-19,1.6014784846491936e-102,3.656390511728006e-19,1.8125627431500393e-69,5.956198218832993e-68,4.073145905346572e-108,4.722802933176979e-109,5.222265265593523e-50,3.244729602836397e-82,1.9968551477147755e-17,5.912333185222075e-19,2.366905229042785e-21,2.7613626001236867e-36,1.0224853343362635e-35,2.3669052290082617e-21,4.184502026748046e-52,1.7133236432176664e-32,2.387139385868847e-40,4.070197609115624e-45,1.2760285325577161e-74,2.706442841111262e-50,3.337735119294047e-72,7.173192598343142e-102,4.5727343574673295e-105,9.198914184483296e-36,2.415748664702761e-88,2.349244321266736e-98
8.803548282346017e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,0.0,1.1473907320217389e-61,3.975796363857943e-34,3.697338915604747e-83,2.979176352799074e-51,6.939265204035917e-125,7.769829837422026e-19,1.265835272164653e-100,7.769829837422009e-19,3.360185850301961e-68,1.1155300078471778e-66,6.1726483881599e-106,7.157171039407675e-107,4.619034487051909e-49,1.2179953048740708e-80,4.24331718889389e-17,1.256370801859691e-18,5.029673611754723e-21,1.2059595949385558e-35,4.465462085974106e-35,5.029673611603952e-21,3.701144654548721e-51,7.482534373414086e-32,2.1113977207274093e-39,3.6004843864601505e-44,4.818621491699356e-73,2.3938180435753462e-49,1.2602652538279973e-70,1.0870613712052875e-99,7.3495235126023325e-103,4.017407501447664e-35,1.8282749826781453e-86,1.7670989036990179e-96
1.8124952346006506e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,0.0,1.9352569570870833e-60,1.6598167183550293e-33,2.5692456596608077e-81,2.548748092261482e-50,1.930537708863329e-122,1.5996708488810061e-18,8.971792121521145e-99,1.599670848880999e-18,5.7753009454818604e-67,1.926800675730977e-65,8.583748032440364e-104,9.952835308911322e-105,3.882576803916548e-48,4.265543245412089e-79,8.736241271252093e-17,2.5866457685346573e-18,1.0355210377302005e-20,5.03464391502968e-35,1.8642425180805976e-34,1.035521037667257e-20,3.1110350926205084e-50,3.123810717544992e-31,1.7747569507188768e-38,3.027165441645598e-43,1.6722066959802225e-71,2.0121483041546674e-48,4.3724454847431844e-69,1.5116786700518354e-97,1.0510236278395165e-100,1.6771885490054332e-34,1.2701470499027782e-84,1.238928366084478e-94
3.676776047332748e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996514,0.022821567693054285,0.0,3.178677316972814e-59,6.78089288058387e-33,1.713210404260036e-79,2.107354210634601e-49,5.151615560001719e-120,3.2450465791586174e-18,6.037604803141627e-97,3.245046579158586e-18,9.572137776588106e-66,3.201408140118866e-64,1.145105351368229e-101,1.3277469154943465e-102,3.18317103900388e-47,1.4616242425301813e-77,1.7722089435968398e-16,5.2471957018845895e-18,2.1006283908890193e-20,2.0568163154974457e-34,7.616038973578407e-34,2.1006283906318746e-20,2.5506145293887222e-49,1.2761785325154109e-30,1.4550528846162216e-37,2.4830689035667814e-42,5.571831363748072e-70,1.6496807489085237e-47,1.4562068148180124e-67,2.0166381026576784e-95,1.4214004237701884e-98,6.851862475637789e-34,8.465475785220819e-83,8.493374912690366e-93
7.405337672796944e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.02282156769305428,0.0,5.152782528970741e-58,2.74094532048752e-32,1.119861767926858e-77,1.7136654460301575e-48,1.3472770870663117e-117,6.535798039713851e-18,3.9614933478425446e-95,6.535798039713724e-18,1.5585744954337267e-64,5.219103260947475e-63,1.4972546522416175e-99,1.7360631873953183e-100,2.577814436251401e-46,5.062570567127299e-76,3.5693785765400604e-16,1.0568295568584446e-17,4.2308430974041043e-20,8.31398040243744e-34,3.0785247229971414e-33,4.230843096364686e-20,2.0655537744552984e-48,5.158517081353896e-30,1.1783394051752876e-36,2.0128227647653793e-41,1.8204913718023342e-68,1.3359542417854029e-46,4.753301001383521e-66,2.6368061046404245e-93,1.8711270096287087e-96,2.7696323643489166e-33,5.5282792484586995e-81,5.882743104248881e-91
1.4862460923725334e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.1186699660299646,0.022821567693054275,0.0,8.298405128098559e-57,1.1021220590616992e-31,7.253375048585014e-76,1.3821332640095868e-47,3.4909148249388954e-115,1.3117300960824369e-17,2.5669887339532428e-93,1.311730096082386e-17,2.515545519308308e-63,8.428865703677895e-62,1.9396905892356628e-97,2.2490665978480367e-98,2.074849322412413e-45,1.8284639850473487e-74,7.163717842426338e-16,2.1210495301984136e-17,8.491272511224071e-20,3.343014952448974e-33,1.2378612511852036e-32,8.491272507044615e-20,1.662537375847249e-47,2.074216555578582e-29,9.484298321435498e-36,1.6232648376907478e-40,5.89484315584161e-67,1.075292199917745e-45,1.5361843740844863e-64,3.415977354722062e-91,2.4322320405097766e-94,1.1136569922907917e-32,3.573852678304637e-79,4.246852235736871e-89
2.9776707425582117e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999844,0.11866996602996387,0.022821567693054264,0.0,1.3320784222335726e-55,4.4200023994662654e-31,4.683316587212915e-74,1.1102046012711196e-46,9.016309355649442e-113,2.6280306803045614e-17,1.6530688857132937e-91,2.6280306803043574e-17,4.042414117819901e-62,1.3549155432334526e-60,2.504878181904706e-95,2.904400259297314e-96,1.664935910714316e-44,7.123282068327006e-73,1.4352396374198242e-15,4.2494894768783434e-17,1.7012131342023187e-19,1.3406985150022907e-32,4.964377263520569e-32,1.7012131325261696e-19,1.334081539643732e-46,8.318532295159597e-29,7.610548341635413e-35,1.3076552000772077e-39,1.9029800880547428e-65,8.628542720787542e-45,4.940136324703953e-63,4.411325801926357e-89,3.146294084221184e-92,4.466262633321332e-32,2.298776114873046e-77,3.3055879490494674e-87
5.960520042929568e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999694,0.1186699660299624,0.022821567693054243,0.0,2.1347992951398876e-54,1.7703064259951542e-30,3.027682715160985e-72,8.899664036630001e-46,2.3315218706918894e-110,5.260631848748892e-17,1.0612386426540614e-89,5.260631848748074e-17,6.481927724274588e-61,2.1729157243634333e-59,3.238689610415975e-93,3.755252854743392e-94,1.3339747770213732e-43,3.083706139136403e-71,2.8729753437739453e-15,8.50636937023817e-17,3.4053849016258155e-19,5.3697870988981e-32,1.9883403102719777e-31,3.405384894912475e-19,1.0688886648113796e-45,3.3317487905073443e-28,6.097693875474404e-34,1.055867646052763e-38,6.151338654034787e-64,6.913334215641191e-44,1.5847493691873733e-61,5.703636664040153e-87,4.071653339873925e-90,1.7888346427243365e-31,1.474910199903544e-75,2.858298836519259e-85
1.1926218643672281e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799994,0.11866996602995947,0.022821567693054202,0.0,3.4184606930633744e-53,7.085839297291748e-30,1.9694098769886812e-70,7.12694917411232e-45,6.065888046175579e-108,1.0525834185637884e-16,6.802424810533154e-88,1.0525834185634604e-16,1.0382349312725536e-59,3.480711134734564e-58,4.213126151540486e-91,4.885109691918909e-92,1.0679909326303918e-42,1.4999118020794e-69,5.748446756481146e-15,1.7020129156957685e-16,6.813728441527526e-19,2.14931424051389e-31,7.958543000939966e-31,6.813728414656641e-19,8.557608579993063e-45,1.3335653526420869e-27,4.881853109017259e-33,8.583895405146925e-38,2.0008161914152694e-62,5.534871006012282e-43,5.077448960006956e-60,7.419710951013993e-85,5.299532654471493e-88,7.1600004019219195e-31,9.451248724523353e-74,2.7769740009070204e-83
2.3857615845157708e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998806,0.11866996602995361,0.022821567693054115,0.0,5.4717636398102966e-52,2.835258725531433e-29,1.2986912669149184e-68,5.704447927835544e-44,1.5997643488350628e-105,2.1056238859417185e-16,4.3569141071089534e-86,2.1056238859404053e-16,1.662077600076757e-58,5.572376688697525e-57,5.555955098589379e-89,6.442116640572113e-90,8.547173259343e-42,8.081146170401135e-68,1.1499389581891383e-14,3.404764873039618e-16,1.3630415541549931e-18,8.600056525881781e-31,3.184453844972258e-30,1.3630415434031198e-18,6.848687633231267e-44,5.3359789147833185e-27,3.9069507357901116e-32,7.0786578691647954e-37,6.598408095345189e-61,4.42957901364876e-42,1.625779811722882e-58,9.784558862241158e-83,6.99163298858948e-86,2.8649327887320156e-30,6.05256802589362e-72,2.9892969512999957e-81
4.772041024812856e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997623,0.1186699660299419,0.022821567693053945,0.0,8.756603376319905e-51,1.1342881378210459e-28,8.794101659107354e-67,4.56471405927587e-43,4.331836138398295e-103,4.2117048206981044e-16,2.789501426003964e-84,4.2117048206928506e-16,2.6600457331918577e-57,8.918394555828646e-56,7.522942850763564e-87,8.72283422528459e-88,6.839037151244015e-41,4.685647062667382e-66,2.3001275232695205e-14,6.810268787727098e-16,2.7263789822471724e-18,3.440582574301702e-30,1.2739888942614654e-29,2.7263789392325217e-18,5.479990561333152e-43,2.1347233855305014e-26,3.1261294726141904e-31,5.998353801588994e-36,2.234959681919384e-59,3.5443362965348756e-41,5.204059424685602e-57,1.3248609033709502e-80,9.471733515627151e-84,1.1461596644893177e-29,3.8748275746623366e-70,3.4642249831686176e-79
9.544599905407026e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995253,0.11866996602991847,0.022821567693053605,0.0,1.401199044962936e-49,4.537522032705268e-28,6.243426269862354e-65,3.652233589667062e-42,1.2295342443589609e-100,8.423866690212983e-16,1.7856254367201552e-82,8.423866690191967e-16,4.25665051208039e-56,1.4271504812641592e-54,1.0678258353891637e-84,1.2381414978386945e-85,5.471749109156752e-40,2.843105754250288e-64,4.600504653423622e-14,1.3621276617101196e-15,5.453053870783142e-18,1.376345007622496e-29,5.096370301670076e-29,5.4530536987092875e-18,4.3844085549809814e-42,8.539463387359054e-26,2.5011014900972103e-30,5.334140414761426e-35,7.939111347859612e-58,2.8357383934778797e-40,1.6655298558009064e-55,1.8805415913964763e-78,1.3454440417727133e-81,4.585011757178387e-29,2.480239875179653e-68,4.2023341296374364e-77
1.9089717666595367e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999051,0.11866996602987162,0.022821567693052925,0.0,2.242032363722444e-48,1.8150828399158906e-27,4.7824604720152027e-63,2.921971818319973e-41,3.7643689694928314e-98,1.684819042925116e-15,1.1429105387111117e-80,1.6848190429167097e-15,6.811102717918237e-55,2.283606569644009e-53,1.635060918848407e-82,1.895849212352933e-83,4.377606917943107e-39,1.7697106622427025e-62,9.20125891370518e-14,2.7243292275845915e-15,1.0906403777268093e-17,5.505603811354791e-29,2.0386310545814064e-28,1.0906403088934666e-17,3.507693102521123e-41,3.415824257741026e-25,2.0009128970710405e-29,5.12351902407244e-34,3.0438553662940957e-56,2.2686986122168262e-39,5.329940435497948e-54,2.879495814714745e-76,2.0623562493532068e-79,1.8340793050977726e-28,1.5874288210156606e-66,5.230437430235526e-75
3.817995318897205e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679981036,0.1186699660297779,0.02282156769305156,0.0,3.5873425170170775e-47,7.260480439222042e-27,4.0673763912235686e-61,2.337651432986446e-40,1.2793545750715561e-95,3.3696837907361205e-15,7.314980285410522e-79,3.3696837907024937e-15,1.0898133863155216e-53,3.653902849902162e-52,2.779353361710644e-80,3.2226535346589634e-81,3.5021683716280003e-38,1.1166014916485802e-60,1.84027674341617e-13,5.44873235933215e-15,2.1813104107942507e-17,2.2022861351803355e-28,8.154689977385918e-28,2.1813101354472843e-17,2.806220678853641e-40,1.3662774329371802e-24,1.6006670640373266e-28,5.468425835079829e-33,1.2960663493061595e-54,1.8150022885675385e-38,1.7055404631766788e-52,4.8947021361235316e-74,3.510337641086908e-77,7.336466265301213e-28,1.0159314649240833e-64,6.599572348892266e-73
7.636042423372542e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679962085,0.11866996602959048,0.022821567693048838,0.0,5.739819396550663e-46,2.904222810315823e-26,3.8912594381810166e-59,1.870150734073924e-39,4.8910177158507224e-93,6.739413286371604e-15,4.681700278938387e-77,6.7394132862370954e-15,1.743730974176257e-52,5.846349451481471e-51,5.314523669146015e-78,6.162177330251128e-79,2.801767485146507e-37,7.0943514298844e-59,3.680578447464838e-13,1.089753862282172e-14,4.362650684052932e-17,8.809232592138752e-28,3.2619090536857854e-27,4.362649582589908e-17,2.2450025288031953e-39,5.46452487412825e-24,1.2803868743476658e-27,6.565637564242213e-32,6.207924145078462e-53,1.4520195724027738e-37,5.457154976971186e-51,9.359374526106448e-72,6.721176772968009e-75,2.934616185608322e-27,6.501285346053638e-63,8.385620052591008e-71
1.5272136632323213e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767992418,0.11866996602921565,0.022821567693043388,0.0,9.183764226836672e-45,1.161695905589227e-25,4.138598874648947e-57,1.4961324158649923e-38,2.07911332138738e-90,1.3478872277696473e-14,2.996324286695529e-75,1.3478872277158439e-14,2.7899931857856536e-51,9.354239896349144e-50,1.129868477092209e-75,1.3100797322664627e-76,2.241426547329169e-36,4.522941857515533e-57,7.361181855391629e-13,2.1795151149778667e-14,8.725332059401573e-17,3.523709710693681e-27,1.3047701625493474e-26,8.72532765301526e-17,1.79601162801019e-38,2.1853088709400848e-23,1.024056501231025e-26,8.756626938272166e-31,3.304762391971635e-51,1.1616233652429792e-36,1.7458715571115993e-49,1.989804136954983e-69,1.4304419575982812e-72,1.1738523063595632e-26,4.159835387342399e-61,1.0692020506912714e-68
3.0544325050224555e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767984837,0.11866996602846595,0.02282156769303249,0.0,1.4694052825639348e-43,4.646802417392304e-25,4.756847868424553e-55,1.1969106536590131e-37,9.553749346259594e-88,2.6957790260561814e-14,1.9176590736808376e-73,2.6957790258409675e-14,4.464007941539326e-50,1.4966838405058252e-48,2.5963920944923272e-73,3.0105101281525843e-74,1.7931453719438165e-35,2.8880326451683705e-55,1.4722388670563024e-12,4.3590376203603815e-14,1.7450698128108987e-16,1.4094864698339797e-26,5.219093160370842e-26,1.7450680498427668e-16,1.4368118813847985e-37,8.737162818643998e-23,8.188333766063424e-26,1.2607760627988801e-29,1.900569948005603e-49,9.29302751456585e-36,5.584034556065433e-48,4.5724885686012934e-67,3.289414749757754e-70,4.695420059234376e-26,2.660992711520914e-59,1.365406474921429e-66
