Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.895292112840976e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,7.3856467551025923e-66,7.3796753843083905e-42,2.4896221138021959e-91,1.1720018251928761e-59,1.0970481211485892e-140,7.0115228147944085e-25,-2.2024951473763102e-120,7.0115228147944003e-25,3.6371531864256231e-82,1.1815221353792906e-71,5.1434121150078481e-119,3.1078875398000548e-120,3.6518557187452984e-53,2.2470322403423404e-97,2.780669898587693e-18,1.3369707978709934e-19,5.1534078279356325e-23,5.1534078280188569e-23,4.1615082651705275e-34,4.8534171114183637e-41,3.1160538617732097e-46,5.8844176563041656e-38,2.0530302630553378e-54,9.1310045656410512e-77
1.9306817915954733e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.6522085770795263e-64,4.4575056428559723e-41,2.7513296518589057e-89,1.7711291582125923e-58,3.9587933664541639e-138,1.963226388142437e-24,4.2512091114819789e-119,1.9632263881424319e-24,1.0257353930124601e-80,3.7148946613830862e-70,1.0282786073536228e-116,6.2133350386453362e-118,4.3354831092925716e-52,1.1631286021179871e-95,7.785875716045541e-18,3.7435182340387818e-19,1.4429541918084961e-22,1.4429541918587635e-22,2.5135507090903599e-33,5.7619761972804479e-40,3.6996935718831916e-45,3.5541882644060627e-37,2.4373575282905074e-53,5.5553000428398764e-75
4.412986952218225e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,3.2645466823949099e-63,2.146282167796397e-40,2.4896427793944628e-87,1.9052999270913373e-57,1.43364060586009e-135,4.4873746014684409e-24,4.4888660113124376e-117,4.4873746014684151e-24,2.2311985283617106e-79,8.2877256350281298e-69,1.8619265172776226e-114,1.1250621365115237e-115,4.2566030257637955e-51,5.0786746786692413e-94,1.7796287350961222e-17,8.5566131063743596e-19,3.2981810097844363e-22,3.2981810100264518e-22,1.2101661789027254e-32,5.6571411331437914e-39,3.6330471053472084e-44,1.7111886544507715e-36,2.3930120745900538e-52,2.5083810716921053e-73
9.377597273463728e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,5.8091362065242773e-62,9.3750042525518725e-40,1.884877703529743e-85,1.7512988871415893e-56,4.3485968102862484e-133,9.5356710281204912e-24,3.5480747555232064e-115,9.5356710281203766e-24,4.1362660420289368e-78,1.5521992893650506e-67,2.8223323220927566e-112,1.7053837532115522e-113,3.764917171785622e-50,1.8906632451830702e-92,3.7817110620792512e-17,1.8182802851045512e-18,7.0086346455206121e-22,7.0086346465775611e-22,5.285111109143604e-32,5.0036750161460996e-38,3.214573808976946e-43,7.473210423480647e-36,2.1165920799423049e-51,9.4746069575265786e-72
1.9306817915954735e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,9.7979978308491741e-61,3.9152387495218814e-39,1.3104135544602193e-83,1.4982730689103198e-55,1.2103794893379648e-130,1.9632263881424758e-23,2.5147497360705997e-113,1.9632263881424282e-23,7.1091845047116612e-77,2.6810382674940888e-66,3.926644515986106e-110,2.372660267460561e-111,3.1646397361513459e-49,6.5136215441659385e-91,7.7858757160454815e-17,3.7435182340387825e-18,1.4429541916130151e-21,1.4429541920542708e-21,2.2064277333362798e-31,4.2058865582545431e-37,2.7040361135815527e-42,3.1199182413493882e-35,1.7791231773757209e-50,3.2895676924074217e-70
3.9165259200936747e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,1.6093273641564898e-59,1.6006133852092896e-38,8.7464241287881798e-82,1.2388011467769193e-54,3.2329676403349422e-128,3.9825449588033973e-23,1.692311288042827e-111,3.9825449588032028e-23,1.1782951950337696e-75,4.4545851791517942e-65,5.2433098661901774e-108,3.1682503824429671e-109,2.5945628551571472e-48,2.1616335059811187e-89,1.5794205023977832e-16,7.5939941319072389e-18,2.9271356453897966e-21,2.927135647192473e-21,9.0139599290927884e-31,3.4482336993281085e-36,2.2202007348292293e-41,1.2745884020065632e-34,1.4586326708161007e-49,1.0971530551264712e-68
7.888214177090077e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,2.6087916461441909e-58,6.4789140071571605e-38,5.7281717196862293e-80,1.0073725184872052e-53,8.4711380789941408e-126,8.0211821001255084e-23,1.1103873348709605e-109,8.0211821001247243e-23,1.9185482709437282e-74,7.2620981192810558e-64,6.8688540527435529e-106,4.1504793794215383e-107,2.1011442686597802e-47,7.0433680591557404e-88,3.1810863639842088e-16,1.5294945927644146e-17,5.8954985515628578e-21,5.8954985588495784e-21,3.6435727368221169e-30,2.7924589928357235e-35,1.8032701432072938e-40,5.1520901099810269e-34,1.1812385542846677e-48,3.5916683018128536e-67
1.5831590691082882e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,0.0,4.2013806380415918e-57,2.6123634775319956e-37,3.7243096736854891e-78,8.1248242979520674e-53,2.2032740969924514e-123,1.6098456382770813e-22,7.19514467276999e-108,1.6098456382767663e-22,3.0965446408389315e-73,1.1728307854278301e-62,8.932411117829076e-104,5.3973760205639656e-105,1.691183702787384e-46,2.274260863088808e-86,6.3844180871568824e-16,3.0696849519117916e-17,1.1832224358386965e-20,1.1832224387686664e-20,1.4650533239862643e-29,2.2475977442439029e-34,1.4599508342170331e-39,2.0716327734421003e-33,9.5076355368169959e-48,1.1674730628755853e-65
3.171834371906849e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996405,0.022821567693054257,0.0,6.7441480829925087e-56,1.0534660911698316e-36,2.4228676741771788e-76,6.5263007079070651e-52,5.7333682673428072e-121,3.2253004948065737e-22,4.6334717418908371e-106,3.2253004948053112e-22,4.9760640976973614e-72,1.8852912316754878e-61,1.1621999311200398e-101,7.0225496302968732e-103,1.3570684143770909e-45,7.3104083083142658e-85,1.2791081533501516e-15,6.1500656702065314e-17,2.3705675949947126e-20,2.3705676067452927e-20,5.875428869210367e-29,1.803529655970743e-33,1.1851952961816861e-38,8.3081739813794659e-33,7.6292787445002922e-47,3.7975609476434271e-64
