Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),CH3X(55),COX(50),CHOX(53),O(29),acetyl(44),C2H4X(215),C2H4X(70),CO2X(24),C2H6X(52),HOCO(73),CHO2(74),S(216)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.030163967924054e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-1.9960469260570627e-120,5.666436824168802e-54,3.692441443663392e-36,2.3794110021384993e-88,2.4976040061121987e-54,1.0060327456648633e-131,6.204677204385183e-20,-1.260743562264983e-105,6.204677204385183e-20,4.0199670430958754e-72,2.5555334733032106e-71,5.952378516082151e-112,6.901769310690911e-113,1.3300190431976794e-37,2.1046191911371328e-85,3.3885445560236222e-18,1.0032878174017489e-19,4.016497560004813e-22,1.120010930143965e-37,4.147208739678988e-37,4.0164975599634935e-22,2.062609329825347e-33,2.3111367341239757e-41,1.1694845908796353e-45,1.835365444528395e-76,4.5986894307685284e-54,2.97432991124965e-52,2.0843332741132398e-76,3.7310869555860913e-37,1.0482698777731292e-105,-3.3893523168443373e-108,7.54311093570893e-28,-1.0644557592591618e-123,4.500742154162028e-93,4.544545936555926e-102,-7.332270093008696e-108,5.209207609903396e-71,-2.8650772553739845e-145,-4.5120188370316354e-147,-8.874969719770946e-212
1.968445911018735e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,3.6161692214714816e-118,6.72719379767448e-53,2.2302346326547244e-35,2.6293418325395393e-86,3.7743791627720323e-53,3.630094308284995e-129,1.7373096172278516e-19,2.4338841011118312e-104,1.7373096172278508e-19,1.133695022362116e-70,8.035006113842796e-70,1.1899221961944201e-109,1.3797120720070063e-110,8.033315020913988e-37,1.0896979126262064e-83,9.487924756866138e-18,2.809205888724897e-19,1.1246193168080533e-21,6.764866017740542e-37,2.5049140787632624e-36,1.1246193167830957e-21,1.2458160217291015e-32,2.7437815021199304e-40,1.3884264278856612e-44,1.1165536927886605e-74,5.459564091943965e-53,3.531124471624479e-51,1.2680016331106975e-74,2.253576521169866e-36,2.0955649775817978e-103,3.430147756747668e-106,2.1120710624294257e-27,1.965480768257449e-121,4.973445330497442e-91,4.2808568034266453e-100,7.420523880256878e-106,1.469079889085474e-69,9.844461820677833e-143,1.4668563786302326e-144,1.6514071846419294e-208
4.499304939471395e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.5265721772161722e-115,6.6047987623171144e-52,1.0737619728403668e-34,2.3788825815556967e-84,4.060304867759258e-52,1.3143990481148754e-126,3.9709934108065183e-19,2.5699245818121303e-102,3.970993410806515e-19,2.4660343029060654e-69,1.792565663375974e-68,2.1542796013473373e-107,2.4978822833634156e-108,3.867695377618856e-36,4.7605695921220174e-82,2.168668515855115e-17,6.421042031371192e-19,2.57055843845002e-21,3.25699178436514e-36,1.206008301494379e-35,2.5705584383298584e-21,5.99806772885099e-32,2.693860888535538e-39,1.3631956360677395e-43,5.040767618872651e-73,5.360232399684054e-52,3.4668789476181594e-50,5.724365362267066e-73,1.0850000866782349e-35,3.793889128991177e-101,7.183412829334309e-104,4.8275910018701954e-27,8.192859537566142e-119,4.4995992672641964e-89,3.743461789131057e-98,1.554005548084581e-103,3.1955696450410547e-68,8.584991719561426e-140,1.2437483816690193e-141,1.4573659530345273e-203
9.561022996376713e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,4.9104325733849775e-113,5.841869708383579e-51,4.689400644024046e-34,1.80045290300789e-82,3.7321197023326774e-51,3.985653120877349e-124,8.438360997963852e-19,2.0313111994003715e-100,8.438360997963835e-19,4.5716119907479875e-68,3.3572771002799064e-67,3.2644560892751568e-105,3.785129388546053e-106,1.6891241848610566e-35,1.7741151967606385e-80,4.608420596192111e-17,1.3644714316663785e-18,5.4624366818412426e-21,1.4224138807728745e-35,5.266955099348184e-35,5.4624366813164665e-21,2.6195136398543776e-31,2.382689341017788e-38,1.2057850673798962e-42,1.9033817909856357e-71,4.7410648538236567e-51,3.0664151717396297e-49,2.1614113452338248e-71,4.7384804335302633e-35,5.749014408966192e-99,1.1544655318979632e-101,1.0258630887646548e-26,2.6371897153382076e-116,3.4053644125664995e-87,2.7956697360399415e-96,2.4974839740192012e-101,5.9240475646777254e-67,5.605530911613362e-137,8.004381888585904e-139,4.2479659797988085e-199
1.9684459110187352e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,1.4047705546702034e-110,4.910443489086795e-50,1.9577324629447128e-33,1.2509278118405856e-80,3.1929069799604995e-50,1.108661077157632e-121,1.7373096172278524e-18,1.4397214405162268e-98,1.737309617227845e-18,7.857432960152839e-67,5.798861294428672e-66,4.538900096002343e-103,5.2628443070319524e-104,7.051760967034129e-35,6.125015796756364e-79,9.48792475686607e-17,2.8092058887248964e-18,1.1246193169052849e-20,5.938297947033647e-35,2.19885007373808e-34,1.1246193166862009e-20,1.0935952785519834e-30,2.002793777430939e-37,1.0136257870160248e-41,6.604297785691399e-70,3.985150678549877e-50,2.5775067234901746e-48,7.498939364196213e-70,1.9782223037940796e-34,7.993430249577276e-97,1.6506998727290373e-99,2.1120710686778503e-26,7.547615726372666e-114,2.365789255462315e-85,1.9324816900349436e-94,3.5710000565695663e-99,1.0181924162949679e-65,3.230417815411612e-134,4.580656250729152e-136,9.175653387369133e-195
3.9931331337808625e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,3.79922614311342e-108,4.02587824907406e-49,7.997975945187743e-33,8.338839260369972e-79,2.63995723579634e-49,2.9575562436749674e-119,3.5242566520907866e-18,9.688665281928974e-97,3.524256652090758e-18,1.3023118894563605e-65,9.634894768493625e-65,6.053240168388272e-101,7.018718166357588e-102,2.880874448327929e-34,2.041245994224259e-77,1.9246933078213872e-16,5.698674802841931e-18,2.2813706145192688e-20,2.4259884712431224e-34,8.983020018157977e-34,2.2813706136242398e-20,4.467692720013849e-30,1.642011044801731e-36,8.311805384821847e-41,2.199894690976303e-68,3.267267296188901e-49,2.1131957485941047e-47,2.497459455911509e-68,8.081683588789454e-34,1.0660325639526962e-94,2.2317206774773138e-97,4.2844870395359414e-26,2.041699242391159e-111,1.576788240300137e-83,1.2887432598684525e-92,4.827936806439646e-97,1.687579259308536e-64,1.7535533403128666e-131,2.477944306352589e-133,1.7214149554240526e-190
8.042507579305118e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,9.997524794592655e-106,3.260260584400634e-48,3.232909787379629e-32,5.447486181017359e-77,2.1467693808469807e-48,7.730095362949936e-117,7.09815072181666e-18,6.357087672237216e-95,7.098150721816541e-18,2.1204773096499972e-64,1.5707310189613544e-63,7.909990867236837e-99,9.171616365861732e-100,1.1644955132336638e-33,6.706996211275817e-76,3.8764949720908993e-16,1.1477612631075991e-17,4.59487321043389e-20,9.806233266692115e-34,3.6310803173318265e-33,4.5948732068160384e-20,1.805912163335965e-29,1.3297426340079642e-35,6.7335268541979e-40,7.183354317370274e-67,2.645917761626495e-48,1.71132072216131e-46,8.152120714317938e-67,3.26674572138787e-33,1.3930238368255394e-92,2.936043177764938e-95,8.629319025378926e-26,5.373223457076403e-109,1.029702747285191e-81,8.470823011194954e-91,6.351615186032568e-95,2.7477853474088084e-63,9.245081695903454e-129,1.3041917018198232e-130,3.016451815490954e-186
1.614125647035363e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996453,0.022821567693054275,2.59608536330096e-103,2.6241413551628276e-47,1.2999388337541167e-31,3.5240861813621623e-75,1.731447277711053e-47,2.000529315779794e-114,1.4245938861268422e-17,4.11929820463404e-93,1.4245938861267935e-17,3.4224589268782856e-63,2.536734789671936e-62,1.0235038699941286e-96,1.186750402355134e-97,4.682385242339334e-33,2.2017440338194758e-74,7.780098300629731e-16,2.3035488287544083e-17,9.22187840500975e-20,3.9430432540820524e-33,1.460041425414566e-32,9.221878390462524e-20,7.261488023064098e-29,1.0702917807949844e-34,5.4236099702493115e-39,2.3231723614113588e-65,2.129664797032542e-47,1.3774198255365987e-45,2.6346226674727854e-65,1.3135440867361467e-32,1.802486642227318e-90,3.811858390751879e-93,1.73189831735721e-25,1.395350752641453e-106,6.6566901519814064e-80,5.561626686311963e-89,8.246288032485105e-93,4.434936628943194e-62,4.80559629437389e-126,6.773440936881753e-128,5.1121315598596236e-182
3.2338754252450648e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999983,0.11866996602996374,0.022821567693054264,6.700432185554267e-101,2.1057081757936654e-46,5.213336352594655e-31,2.269934537647267e-73,1.3907926135938113e-46,5.154588471664818e-112,2.8541515140172006e-17,2.652712730301499e-91,2.854151514017005e-17,5.499799617048516e-62,4.077727081112e-61,1.318563782057532e-94,1.5288716971982757e-95,1.8778459069766859e-32,7.309361787541027e-73,1.558730495770663e-15,4.6151239600480193e-17,1.8475888805147973e-19,1.5813366913201925e-32,5.855419134492915e-32,1.8475888746807049e-19,2.9121771769950417e-28,8.58840504005622e-34,4.3583351559446834e-38,7.481498798816396e-64,1.7089218665118435e-46,1.105292706138179e-44,8.472539566810854e-64,5.267899283446241e-32,2.3221149164700012e-88,4.919040066572134e-91,3.469831217598727e-25,3.6014421497644955e-104,4.28171707504207e-78,3.6920769554428324e-87,1.0641481748619976e-90,7.126824103590964e-61,2.4816994170478525e-123,3.496463810753419e-125,8.524691939030039e-178
