Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C4H7X(141),C2H2X(348),C2H6(343),C4H6(54),C4H7X(140),C4H7X(143),C4H9X(153),C4H9X(171),C4H7X(142),SX(175),SX(150),C4H5X(384),SX(176),SX(168),C4H5X(374),C4H7X(523),C4H7X(145),SX(524),SX(782),SX(174),C4H7X(146),SX(155),SX(178),SX(152),SX(154),SX(177),SX(157),SX(167),SX(172),SX(156),C6H10(477),C6H9X(433),C6H8(701)
3.9209336188953316e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583770967,0.66999999999999782,1.2609902470266567e-63,2.6747949115193853e-90,2.7988149643111999e-36,1.0323756480776531e-59,2.2583357038016284e-85,3.5251115308468164e-171,5.5903603723193231e-128,4.3964073530838035e-101,3.673027846268064e-169,2.3249060367784783e-15,2.3249060367784783e-15,2.7988149643111989e-36,8.0820784161001397e-35,6.0813412375215482e-68,8.2209750485294784e-52,5.9204783702682605e-52,7.9909632947049545e-79,2.888620211310488e-57,5.7037036084152716e-73,5.5554054804116861e-73,1.4194919730986707e-99,9.1588457448935573e-94,1.0965118995431308e-66,5.7037036084152666e-73,7.3323007385499473e-100,5.4825594977158615e-67,5.0449576405393665e-94,5.0046321488445482e-105,5.1796334030408843e-94,9.7411796850816479e-110,1.0899499795890396e-88,1.668210716281515e-105,2.8886202113104869e-57,2.2211739838724105e-116,5.7037036084152691e-73,1.1499998975867802e-100,1.1105869919362161e-116,1.1499998804894787e-100,1.3681162195072714e-115,9.7411739552134085e-110,5.7499994024473935e-101,1.4218693509055913e-111,1.915388368048288e-87,4.260689273466065e-104
7.845273783072066e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583770501,0.66999999999999549,2.0199323700190981e-62,8.5665459319222855e-89,1.1202553779545114e-35,4.1321930408954368e-59,7.2355962463861897e-84,1.8082814134098199e-168,1.4335127538494684e-125,2.8172718770422581e-99,1.8841582534972188e-166,4.651831974544485e-15,4.651831974544485e-15,1.1202553779545102e-35,3.2349376168618493e-34,9.7414694901619019e-67,6.5817787695410881e-51,4.7399826005240233e-51,2.5601832483658161e-77,2.3126525738009421e-56,9.1333571543311486e-72,8.895893334173009e-72,9.0995061788678989e-98,2.9333016924205284e-92,1.7558476969271292e-65,9.1333571543311345e-72,4.6984065134401746e-98,8.7792384846359781e-66,1.6157460065094071e-92,3.2057031393479837e-103,1.6588785441717334e-92,6.2396898141664048e-108,3.4907747593790108e-87,1.0685677131159946e-103,2.3126525738009398e-56,2.846739808720569e-114,9.1333571543311406e-72,7.3692324135279483e-99,1.4233699043602984e-114,7.3692323039126389e-99,1.753345536377754e-113,6.2396824709699999e-108,3.6846161519563194e-99,9.1077672800620645e-110,6.1368099168254557e-86,2.7302619498885666e-102
1.5693954111425536e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583769568,0.66999999999999083,3.2337714031579694e-61,2.7424476687236082e-87,4.4824807120214173e-35,1.6534154594265164e-58,2.3168193682395602e-82,9.267176835621675e-166,3.6728428086990017e-123,1.8041976620678105e-97,9.6560345043471289e-164,9.3056838500761466e-15,9.3056838500761466e-15,4.4824807120214083e-35,1.2943964168823864e-33,1.5595415930546113e-65,5.2674233629413299e-50,3.7934266578965711e-50,8.1975098406857467e-76,1.8508249213698968e-55,1.461931951801014e-70,1.4239243255912903e-70,5.8284110155319447e-96,9.3905448569454004e-91,2.8104998114892417e-64,1.4619319518010104e-70,3.0088163932755336e-96,1.4052499057446741e-64,5.1725691795186376e-91,2.0525268338563495e-101,5.310651547692645e-91,3.9951137777010688e-106,1.1175177460059482e-85,6.841756112854496e-102,1.8508249213698935e-55,3.6461565390239898e-112,1.4619319518010114e-70,4.7192655730724534e-97,1.8230782695120127e-112,4.7192655028569689e-97,2.2456636407213209e-111,3.9951043726678607e-106,2.3596327514284845e-97,5.8314915189994768e-108,1.9649908064617446e-84,1.7484631409509798e-100
3.1391314768132474e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583767709,0.6699999999999815,5.1755384266472404e-60,8.7776777856005432e-86,1.7932841664234571e-34,6.6147384771908511e-58,7.4161085299479483e-81,4.7470424464219792e-163,9.4063837921234187e-121,1.1550526169789804e-95,4.9462318966503306e-161,1.8613387601138072e-14,1.8613387601138072e-14,1.79328416642345e-34,5.1784285278576386e-33,2.4959919661997704e-64,4.2147390002791347e-49,3.0353176804577744e-49,2.6239911769105369e-74,1.4809411421126318e-54,2.3395670872219457e-69,2.2787490716751021e-69,3.7316964530757508e-94,3.0056263664523314e-89,4.4977147236157781e-63,2.3395670872219334e-69,1.9262302967442662e-94,2.2488573618079741e-63,1.6555748626451935e-89,1.3138978350287341e-99,1.6997706365032728e-89,2.5574262963421439e-104,3.5768087048662923e-84,4.3796594500957774e-100,1.4809411421126269e-54,4.6685718906699437e-110,2.339567087221938e-69,3.0212765114072555e-95,2.3342859453349946e-110,3.0212764664495965e-95,2.8753338526562047e-109,2.5574142542235425e-104,1.5106382332247983e-95,3.7329894804655306e-106,6.2899099065098708e-83,1.1193671011874656e-98
6.278603608154636e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583763984,0.66999999999996285,8.2820650250202971e-59,2.8091521701308095e-84,7.1737204704969054e-34,2.6461107341054884e-57,2.3735206450912749e-79,2.4310613568097181e-160,2.408534372566593e-118,7.3935085380203934e-94,2.5330705089501871e-158,3.7228795103256338e-14,3.7228795103256338e-14,7.1737204704968473e-34,2.0715399952135622e-32,3.9941675748288261e-63,3.3721113583936933e-48,2.4284847106519499e-48,8.3980328320164033e-73,1.1848654077135933e-53,3.7436881584881523e-68,3.6463904301665417e-68,2.3887701379818987e-92,9.6191445776093246e-88,7.1970756692122575e-62,3.7436881584881111e-68,1.232975521642882e-92,3.5985378346062648e-62,5.2984265157790054e-88,8.4098443844785886e-98,5.4398686609687545e-88,1.6369368698641133e-102,1.1446991084476926e-82,2.8032814614928623e-98,1.1848654077135841e-53,5.9767267812043511e-108,3.7436881584881243e-68,1.9339199191233312e-93,2.9883633906022047e-108,1.9339198903441077e-93,3.6809934469217567e-107,1.6369214535991766e-102,9.6695994517205384e-94,2.3894164939722999e-104,2.0130815192584301e-81,7.1650718719088664e-97
1.2557547870837413e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258375654,0.66999999999992566,1.3252266952784122e-57,8.9897594219409301e-83,2.8696049533159711e-33,1.0584873638191481e-56,7.5958515829095601e-78,1.2448507949945741e-157,6.1664882315444596e-116,4.732220473237423e-92,1.2970856650784082e-155,7.4459610107470484e-14,7.4459610107470484e-14,2.8696049533159246e-33,8.2864971609970117e-32,6.3911325008773808e-62,2.697817156822372e-47,1.9428799999612734e-47,2.6875722944913593e-71,9.4793732618336388e-53,5.9902057277101301e-67,5.8345886349091363e-67,1.5289679179161272e-90,3.0783706926746787e-86,1.1515906796370422e-60,5.9902057277100049e-67,7.8916454146163706e-91,5.7579533981854288e-61,1.6956048170505004e-86,5.3825878627875585e-96,1.7408691954471689e-86,1.0477073291814235e-100,3.6632296765098871e-81,1.7941959542625187e-96,9.4793732618334979e-53,7.6508213871982088e-106,5.9902057277100457e-67,1.2378057020280087e-91,3.8254106935991417e-106,1.2378056836072825e-91,4.7120339593696841e-105,1.0476875948561656e-100,6.1890284180364127e-92,1.5293697006198946e-102,6.4423574659421215e-80,4.5860052079099714e-95
2.5115436396202967e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583741646,0.66999999999985116,2.1204397486173699e-56,2.8767986139462467e-81,1.1478653347649011e-32,4.2340355971448559e-56,2.4307661938119803e-76,6.3740133901954491e-155,1.5787029429485717e-113,3.0287411115283951e-90,6.6414717576465675e-153,1.4892124011580942e-13,1.4892124011580942e-13,1.1478653347648639e-32,3.3146663016250238e-31,1.0226183521525126e-60,2.15830495486757e-46,1.5543408935292274e-46,8.6005542177136959e-70,7.5836786143188729e-52,9.5845729112274183e-66,9.335794247005714e-66,9.7858907998664164e-89,9.8515740089106138e-85,1.8425919469270768e-59,9.5845729112270134e-66,5.0508457384310532e-89,9.212959734635731e-60,5.4262009950125109e-85,3.4449482215027311e-94,5.5710540955838921e-85,6.7056567543436488e-99,1.1722643022270937e-79,1.1483160738342429e-94,7.5836786143186489e-52,9.7934425034816539e-104,9.5845729112271484e-66,7.9222667598207699e-90,4.8967212517408753e-104,7.9222666419216501e-90,6.0316353809418684e-103,6.7054041453406236e-99,3.9611333209608251e-90,9.7890143168677143e-101,2.061633849440956e-78,2.9351582856817339e-93
5.0231213446934075e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583711859,0.66999999999970228,3.3927652279792967e-55,9.2058765249148589e-80,4.5915080463469908e-32,1.6936314673696183e-55,7.7786017232739398e-75,3.2635914530027969e-152,4.0415844405453094e-111,1.9384327150736335e-88,3.4005341904294581e-150,2.9784450013212958e-13,2.9784450013212958e-13,4.5915080463466936e-32,1.3258800082130132e-30,1.6362190856585785e-59,1.7266644559294339e-45,1.2434874724431153e-45,2.7522290108455597e-68,6.0670148943495965e-51,1.5335511658495644e-64,1.493814879569856e-64,6.2631288768361789e-87,3.1528836177860755e-83,2.9481846032653989e-58,1.5335511658494352e-64,3.2326029293649506e-87,1.4740923016327552e-58,1.736485848130136e-83,2.2047962988449367e-92,1.7828415506610492e-83,4.291870639804452e-97,3.7512950571349991e-78,7.3493209961497863e-93,6.0670148943492393e-51,1.2535856732401705e-101,1.5335511658494787e-64,5.0703500140119541e-88,6.2679283662009137e-102,5.0703499385544435e-88,7.7206417152804769e-101,4.2915472941110147e-97,2.5351749692772218e-88,6.266060005559223e-99,6.5973554576614907e-77,1.8785380885439383e-91
1.0046276754839628e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258365229,0.66999999999940441,5.4284736694000266e-54,2.94589984177238e-78,1.8366125600335418e-31,6.7745603265325462e-55,2.4891765362038345e-73,1.6709835532445566e-149,1.0346590450286416e-108,1.2406092269729355e-86,1.7410992724672232e-147,5.9569102016333919e-13,5.9569102016333919e-13,1.836612560033304e-31,5.303547008079764e-30,2.6179743150571611e-58,1.3813397616090683e-44,9.947958810395709e-45,8.8072154934279807e-67,4.8536407168175215e-50,2.4536974655173613e-63,2.3903391843044613e-63,4.0084532867055309e-85,1.0091460353153724e-81,4.7171253559778831e-57,2.4536974655169462e-63,2.0688856051667427e-85,2.358562677989031e-57,5.5572949953114807e-82,1.4110790512003352e-90,5.705647666283153e-82,2.7470626100375386e-95,1.2004223047473806e-76,4.7035968373344484e-91,4.8536407168169461e-50,1.6046056829206643e-99,2.4536974655170844e-63,3.2450557813920012e-86,8.0230284146033995e-100,3.2450557330985323e-86,9.8825163902862055e-99,2.7466487236013774e-95,1.6225278665492661e-86,4.0115943941686778e-97,2.1111740889886248e-75,1.2022761482293192e-89
2.0092587575132069e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583533152,0.66999999999880866,8.6855973148692914e-53,9.4269104598304439e-77,7.3464689231307872e-31,2.7098310219410654e-54,7.965403291609326e-72,8.5554991000666157e-147,2.6487443435178444e-106,7.9399383786371471e-85,8.9144942389147911e-145,1.1913840602200356e-12,1.1913840602200356e-12,7.3464689231288858e-31,2.1214241982747749e-29,4.1887779265544315e-57,1.1050750880390463e-43,7.9583906607001527e-44,2.8183221833216185e-65,3.8829240940080439e-49,3.9259284249836723e-62,3.8252594344012429e-62,2.5654263613544397e-83,3.2306644803169995e-80,7.5474245621774548e-56,3.9259284249823475e-62,1.3240931010407502e-83,3.77371228108887e-56,1.7786626569255608e-80,9.030936071512863e-89,1.8261442745337194e-80,1.7584421812940037e-93,3.8413639935680337e-75,3.0103120238376194e-89,3.882924094007127e-49,2.0539055277209098e-97,3.9259284249827905e-62,2.0768458672945987e-84,1.0269527638604651e-97,2.0768458363865664e-84,1.2649681776340473e-96,1.7579124041286318e-93,1.0384229181932832e-84,2.5690791877906037e-95,6.7557896329533035e-74,7.6946050178233667e-88
