Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),COX(50),CHOX(53),O(29),H2OX(23),CO2X(24),acetyl(44),C2H4X(215),C2H4X(70)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.717554270695001e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-4.117310326210803e-120,4.943644572106464e-54,3.3713595809575784e-36,2.6027655264083213e-88,2.1757371347451367e-54,1.0047757759218128e-131,5.928774356156224e-20,-9.581792906877527e-106,5.928774356156224e-20,3.3461935970691596e-72,1.7835399388560879e-71,6.221596625140697e-112,7.21392709399736e-113,1.2143652133544025e-37,1.6737624818471738e-85,3.2378664363469204e-18,9.586747042136973e-20,3.837896308052306e-22,1.0226186749666432e-37,3.786581892750577e-37,3.837896307998118e-22,2.706458312547723e-33,4.164363596143283e-41,3.028368447847719e-45,4.3393853300738157e-76,2.5949340628382293e-52,8.039147407028215e-77,3.4066446116223703e-37,1.095681720537299e-105,-5.0935585306975695e-108,7.207692069672048e-28,4.012095562023364e-54,-1.5828347610574935e-107,-1.0631257965145567e-123,1.6587185167671128e-93,3.4534766941629442e-102
1.8809151957946003e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,7.459163016922475e-118,5.86909483602253e-53,2.0363011886645074e-35,2.876147583134581e-86,3.2879739577634325e-53,3.625546621282616e-129,1.660056819723743e-19,1.849779343878092e-104,1.6600568197237423e-19,9.436801333980944e-71,5.607734957356654e-70,1.2437366108352216e-109,1.442109763020259e-110,7.334765888660591e-37,8.664932191483916e-84,9.066026021771375e-18,2.684289171798353e-19,1.0746109662634355e-21,6.176616794269175e-37,2.2870954632188658e-36,1.0746109662307066e-21,1.634700796479363e-32,4.943932391572906e-40,3.595303654165806e-44,2.6398776562992425e-74,3.0807057218484384e-51,4.89060561019508e-75,2.057613345416306e-36,2.1903372265333282e-103,5.154848669903272e-106,2.018153779901628e-27,4.763159849430144e-53,1.6018808113457798e-105,1.9630183782322934e-121,1.8329301145358537e-91,3.2526409836028056e-100
4.299234733244801e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,3.148875892529192e-115,5.7623121133022754e-52,9.803913687916583e-35,2.602159703058618e-84,3.537052344910734e-52,1.3127428505159378e-126,3.794415587939984e-19,1.953171640401573e-102,3.7944155879399806e-19,2.0527104156504983e-69,1.2510548210242192e-68,2.2516908180473083e-107,2.610830366910189e-108,3.531374040434601e-36,3.784377987663291e-82,2.0722345192620263e-17,6.135518106967663e-19,2.4562536372150043e-21,2.9737751030089688e-36,1.1011380144081422e-35,2.4562536370574282e-21,7.870380408396858e-32,4.853981991382581e-39,3.5299426247401173e-43,1.1917843200887998e-72,3.024655151229601e-50,2.207853082012526e-73,9.906522530543759e-36,3.9654394495025624e-101,1.0795201435009016e-103,4.6129229273442896e-27,4.676498581502041e-52,3.3546331116441207e-103,8.18253584003859e-119,1.6582972945723476e-89,2.8435190541121187e-98
9.135873808145201e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,1.012865004986337e-112,5.0966998081743424e-51,4.281626695191137e-34,1.969410875466743e-82,3.2511604854277917e-51,3.980572944525217e-124,8.063133124372466e-19,1.5438194006374422e-100,8.063133124372452e-19,3.805379162379251e-68,2.343087222805397e-67,3.4120168654646157e-105,3.9562257719184937e-106,1.5422438209600898e-35,1.4095198733601576e-80,4.403498353431798e-17,1.3037975977306284e-18,5.219538979258777e-21,1.2987257132871385e-35,4.8089590037547307e-35,5.2195389785706e-21,3.437201680293978e-31,4.2932918388876387e-38,3.122287095034084e-42,4.500082508342286e-71,2.6752732373529598e-49,8.33643264030075e-72,4.326438656704511e-35,6.008882823588121e-99,1.7349001969145884e-101,9.802461228524878e-27,4.136310028879576e-51,5.391241359666904e-101,2.6338280489822443e-116,1.2550243185982416e-87,2.1223856404462784e-96
1.8809151957946004e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,2.8975065799356716e-110,4.284083288083787e-50,1.7874948744612167e-33,1.3682771104671892e-80,2.7814362439730896e-50,1.1072156370304018e-121,1.6600568197237431e-18,1.0942045177748757e-98,1.660056819723737e-18,6.540474501548047e-67,4.047100492525087e-66,4.743929853641404e-103,5.500575843295585e-104,6.43856436120503e-35,4.860771238313855e-79,9.06602602177131e-17,2.684289171798352e-18,1.0746109663908862e-20,5.421924179388648e-35,2.007645719501703e-34,1.0746109661035865e-20,1.4349638583353753e-30,3.6087700385658295e-37,2.624626581906682e-41,1.5613790928026956e-69,2.2487283688108278e-48,2.8922954002206072e-70,1.8062029730318703e-34,8.354506949252478e-97,2.4805548779128883e-99,2.018153785606711e-26,3.47681779921342e-50,7.708380042695923e-99,7.537773747576502e-114,8.718958078961573e-86,1.465433946434686e-94
3.815570825754761e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996514,0.022821567693054285,7.835895343103029e-108,3.512350313165603e-49,7.302499915334878e-33,9.120568597656241e-79,2.2997452742192583e-49,2.953527847759588e-119,3.3675438342967363e-18,7.36349478750614e-97,3.3675438342967105e-18,1.0840356830599812e-65,6.724317997067974e-65,6.326305178186513e-101,7.335336422296169e-102,2.6303636267341588e-34,1.6162735882396438e-77,1.8391081358450232e-16,5.445272319933798e-18,2.1799251035459194e-20,2.2150329248505396e-34,8.20188784268006e-34,2.1799251023722062e-20,5.86229409330266e-30,2.958686985053437e-36,2.152083511828057e-40,5.200653270023584e-68,1.843643404632822e-47,9.632548939994022e-69,7.378928494132553e-34,1.1141218821424858e-94,3.3534740934517757e-97,4.093969121187579e-26,2.8505052735256273e-49,1.0420996128980199e-96,2.0389174015220988e-111,5.811147242794781e-84,9.75093951821195e-93
7.684882085675081e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996495,0.02282156769305428,2.0617446981396766e-105,2.8443923477315134e-48,2.951787309976452e-32,5.9574645507439076e-77,1.870114663790794e-48,7.718665602028955e-117,6.782517863442724e-18,4.831458263458592e-95,6.782517863442621e-18,1.765071091948838e-64,1.0962335462941883e-63,8.265848339494377e-99,9.584232293153863e-100,1.0632350338220108e-33,5.2869912767563537e-76,3.704119203180764e-16,1.0967238616204684e-17,4.3905533787560514e-20,8.953517110557486e-34,3.3153342027926345e-33,4.3905533740117143e-20,2.369631801822444e-29,2.3960202549323065e-35,1.7432277730312882e-39,1.6979774201485902e-66,1.4930302699536072e-46,3.1442228895474165e-67,2.9826808760663504e-33,1.4556936868597207e-92,4.4112977418001423e-95,8.245599832639005e-26,2.308413044466676e-48,1.3708206900387237e-94,5.3652737343826555e-109,3.794899899207115e-82,6.380895919215192e-91
1.5423504605515724e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.11866996602996457,0.022821567693054275,5.35253213965629e-103,2.289414418476644e-47,1.186900765091408e-31,3.853097287337996e-75,1.5083152259014026e-47,1.997105538898831e-114,1.3612465921734708e-17,3.130713052356215e-93,1.3612465921734287e-17,2.8488318586239773e-63,1.770420104642329e-62,1.0692997446496108e-96,1.2398506145475807e-97,4.27522130822263e-33,1.7204402283592312e-74,7.434141337852069e-16,2.2011171208746434e-17,8.811809932776583e-20,3.60016975064506e-33,1.333081301474651e-32,8.811809913699807e-20,9.528175598865684e-29,1.928523659204652e-34,1.4037690233570103e-38,5.4901394032721766e-65,1.2017207182775488e-45,1.0161575255217226e-65,1.1993228618158942e-32,1.8831374875966364e-90,5.725829499780223e-93,1.6548861416700607e-25,1.8580115966867657e-47,1.779314390270941e-92,1.3929601652253558e-106,2.453277564773636e-80,4.1531635032515e-89
3.090074964519701e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999984,0.11866996602996381,0.022821567693054264,1.3808271730367324e-100,1.837110889315134e-46,4.76000348528132e-31,2.4806951143118138e-73,1.2115608151412868e-46,5.143371436048734e-112,2.72723620383187e-17,2.016091566174423e-91,2.7272362038317002e-17,4.577996317815005e-62,2.8458986084986353e-61,1.3769193896404497e-94,1.59653489106872e-95,1.7145549585437378e-32,5.615722593381512e-73,1.4894185607193983e-15,4.409903639382984e-17,1.7654323055218768e-19,1.4438290109171297e-32,5.346252253306309e-32,1.765432297871229e-19,3.821216828188041e-28,1.5475157474959308e-33,1.1275077342478322e-37,1.767199361659783e-63,9.64305301127113e-45,3.2678040071776595e-64,4.809821084992628e-32,2.424884633591176e-88,7.385464431926986e-91,3.3155385229458826e-25,1.490937214385846e-46,2.2950496801488776e-90,3.5935918536440327e-104,1.5779967155735877e-78,2.7111600399670724e-87
