Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),COX(50),CHOX(53),CO2X(24)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033531594134e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-2.184635237800075e-119,1.3129170490536972e-65,2.970007269282657e-36,3.6751605507384286e-88,1.797066844862686e-54,1.2498642903363741e-131,5.564692090377849e-20,-6.543848471278231e-106,5.564692090377849e-20,2.5940902907334476e-72,8.675451772710099e-72,8.245544454869681e-112,9.560689985490105e-113,4.140138049836545e-52,1.2177768469877479e-85,3.0390311159895404e-18,8.998030998167262e-20,3.602213534585661e-22,9.008783568956931e-38,3.335798334090026e-37,3.60221353448713e-22,4.924244222589528e-33,1.4687535007284034e-40,2.2059362688668268e-44,2.7846133382544715e-75,3.317415881212895e-54,2.1456307284502586e-52,1.3728384705468157e-77,1.4521179818330736e-105,-1.3964508280861875e-107,-8.947973629247202e-107
1.7654093888463576e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,3.957799608928489e-117,2.9371691826605816e-64,1.7938844035116988e-35,4.0611669787673404e-86,2.715727438874773e-53,4.509886574212154e-129,1.5581137853057977e-19,1.2632996837692161e-104,1.558113785305797e-19,7.315749733863685e-71,2.727700848119525e-70,1.648330605220341e-109,1.9112355765398943e-110,4.915171892743705e-51,6.3037329148719715e-84,8.50928712477071e-18,2.5194486794868334e-19,1.0086197896999578e-21,5.441305275623092e-37,2.0148221937883227e-36,1.0086197896404453e-21,2.9742434247342614e-32,1.7437041092313287e-39,2.6188956398816855e-43,1.694021340827981e-73,3.938436134144358e-53,2.5472928175454814e-51,8.351646141001796e-76,2.9028653291989593e-103,1.4132488669356793e-105,9.05560965545127e-105
4.035221460220246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.6707667619163224e-114,5.803551402027328e-63,8.636781332048564e-35,3.674262505380534e-84,2.9214556545954072e-52,1.632932969931579e-126,3.5614029378418233e-19,1.3339110546618414e-102,3.561402937841821e-19,1.5913353643561838e-69,6.085350541561263e-69,2.984153966192755e-107,3.460119716271132e-108,4.825744910820521e-50,2.7526054756533174e-82,1.944979914233304e-17,5.758739838827048e-19,2.3054166622466328e-21,2.619754261812332e-36,9.70050155550299e-36,2.3054166619601055e-21,1.4319700913643212e-31,1.7119789352653931e-38,2.5712644295870182e-42,7.647672381821658e-72,3.866779951043818e-52,2.5009472289425567e-50,3.770332069715196e-74,5.255375989496143e-101,2.9595796968213153e-103,1.896396247256666e-102
8.574845602968022e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,5.374089802419088e-112,1.0327273109647135e-61,3.771909431396033e-34,2.7807737138013164e-82,2.685321069192534e-51,4.951393094607976e-124,7.567981242913874e-19,1.0543455180714832e-100,7.567981242913862e-19,2.950067574178432e-68,1.1397188084716489e-67,4.5218562233518e-105,5.243081975593208e-106,4.268316723714671e-49,1.0248367311498847e-80,4.1330823177457633e-17,1.2237322157507477e-18,4.899010407595549e-21,1.1441155132158406e-35,4.236463884262496e-35,4.899010406344209e-21,6.253788834186814e-31,1.5142258042253578e-37,2.274284796396263e-41,2.8876537292348866e-70,3.4201230766895844e-51,2.2120595647110292e-49,1.4236054869274794e-72,7.96341438586487e-99,4.7562737405862e-101,3.047655611801546e-100
1.7654093888463574e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,1.5373187289192423e-109,1.741858860743385e-60,1.574698033639976e-33,1.9319217935116424e-80,2.2973487104297466e-50,1.3772103366509266e-121,1.5581137853057976e-18,7.472827642309833e-99,1.5581137853057924e-18,5.070412414536245e-67,1.9685808132889772e-66,6.286805945736856e-103,7.289537152425543e-104,3.5877773915168126e-48,3.531481120117827e-79,8.509287124770657e-17,2.519448679486833e-18,1.0086197899315644e-20,4.7764570478857506e-35,1.7686402767058782e-34,1.0086197894091545e-20,2.610833091165542e-30,1.2727977305257613e-36,1.911724762197449e-40,1.0018877115356574e-68,2.874819523631862e-50,1.8593694567734335e-48,4.939147631206573e-71,1.1071656955893844e-96,6.800287787303114e-99,4.357389074457017e-98
3.581259045945468e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996516,0.022821567693054285,4.157194888033937e-107,2.861019168403772e-59,6.433156065037742e-33,1.2876852473321816e-78,1.8994923401522983e-49,3.673513341909562e-119,3.160745107334619e-18,5.028870425801387e-97,3.1607451073345965e-18,8.403836730644308e-66,3.2708264629157117e-65,8.383287675522146e-101,9.720402935496243e-102,2.9414766697140624e-47,1.1724764532817236e-77,1.7261696738820348e-16,5.1108816069590024e-18,2.0460572886844887e-20,1.9513385558526637e-34,7.225472623329759e-34,2.0460572865502737e-20,1.0666099832720386e-29,1.0435159918365665e-35,1.5674316790657958e-39,3.33688083003376e-67,2.3569507344247768e-49,1.5244235929404357e-47,1.6449416233300234e-69,1.4763758592975325e-94,9.192753713725937e-97,5.890398440761755e-96
7.21295836014369e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.02282156769305428,1.0936823374450502e-104,4.637844020015883e-58,2.600385174500188e-32,8.409960161638723e-77,1.5446356250410024e-48,9.599039263711079e-117,6.366007751392262e-18,3.299625826562789e-95,6.36600775139217e-18,1.3683469563341274e-64,5.332272645331018e-64,1.0952078458508774e-98,1.2698909988199753e-99,2.3820840696925694e-46,3.8236454885530345e-76,3.4766515966919347e-16,1.0293747461903335e-17,4.120932287825962e-20,7.88762243361989e-34,2.9206515596162948e-33,4.120932279199118e-20,4.3114038534776195e-29,8.450655166256583e-35,1.269483218196914e-38,1.0893286710052413e-65,1.908719812279662e-48,1.234518030588545e-46,5.369358496114397e-68,1.9287640923638845e-92,1.2090979564966588e-94,7.747481258952551e-94
1.4476356988540132e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999992,0.11866996602996462,0.022821567693054278,2.8386036738548918e-102,7.469111763045599e-57,1.0456039529813295e-31,5.437907721965542e-75,1.2458045898631278e-47,2.48299928150822e-114,1.277653303950755e-17,2.138108430171296e-93,1.2776533039507187e-17,2.208517504275417e-63,8.611634555109647e-63,1.4164407000144603e-96,1.642359760371777e-97,1.9173084953160318e-45,1.2367641536794465e-74,6.977615442311581e-16,2.065947917179199e-17,8.270682292651431e-20,3.171578288465955e-33,1.1743811465478646e-32,8.270682257963235e-20,1.7335931213305752e-28,6.8018097743963655e-34,1.0220101201095726e-37,3.5212665883532066e-64,1.5363037589371306e-47,9.936479650929346e-46,1.7352806963660005e-66,2.494485381236102e-90,1.568998310791404e-92,1.0053598157103644e-91
2.9003154245333017e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999985,0.11866996602996391,0.022821567693054268,7.319195636356032e-100,1.1989584094180715e-55,4.193343609715775e-31,3.4992441734301676e-73,1.0006979963367076e-46,6.391514215263111e-112,2.5597583615738136e-17,1.3768819759442901e-91,2.5597583615736684e-17,3.5490283400949274e-62,1.3842951001699711e-61,1.8230027034518582e-94,2.113767475778504e-95,1.5385193186520727e-44,3.9891753277151394e-73,1.3979543133550254e-15,4.1390942591569213e-17,1.6570182328472627e-19,1.2719447451235167e-32,4.7097936518078546e-32,1.6570182189357177e-19,6.95245646665735e-28,5.458003609082751e-33,8.20451159943779e-37,1.1328654382069431e-62,1.2327870121416139e-46,7.973406419254514e-45,5.580382156597926e-65,3.210479332315651e-88,2.022739698572397e-90,1.2961015888780158e-89
