Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),H2OX(23),COX(50),CO2X(24),CHOX(53),O(29),acetyl(44),C2H4X(215),C2H4X(70),C2H6X(52),HOCO(73),CHO2(74),S(216)
6.4733749816644685e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999967,0.11866996602996215,0.02282156769305424,4.4961755006191304e-97,1.6871289653285718e-45,2.088062733292122e-30,4.318766410321628e-71,1.1120076654199388e-45,3.9229758748893238e-109,5.713266769797871e-17,1.6985844406655762e-89,5.713266769797161e-17,8.795996842533862e-61,5.572065315241702e-60,5.0175036905924926e-92,5.817784081988235e-93,7.52117842014804e-32,2.223584504967996e-71,3.120171827185736e-15,9.238274222635199e-17,3.698390987893403e-19,6.333594710675103e-32,2.3452218234734646e-31,3.6983909186211216e-19,3.4619128232058114e-27,6.061974291776483e-32,9.122116797198076e-36,6.26963188299317e-61,8.855827241727194e-44,3.085122129876863e-63,2.1099074339992307e-31,1.3692170150680496e-45,8.836296216349256e-86,3.5703109187356144e-87,5.571947274729478e-88,6.94569730049329e-25,2.7432590952186675e-101,3.1183439383090244e-77,2.2472683540945248e-85,1.1398146601346556e-59,2.8218500909091366e-119,4.692498010278985e-121,4.09211754107295e-173
1.2952374094503277e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999935,0.11866996602995897,0.022821567693054195,1.1551240783845268e-94,1.350729021279201e-44,8.357729030189458e-30,2.7726488987187877e-69,8.905080102313354e-45,1.0074245264107659e-106,1.1431497281359237e-16,1.088774237761558e-87,1.1431497281356397e-16,1.4088881527350987e-59,8.925679719959217e-59,6.442493741078124e-90,7.470056792918423e-91,3.0104314437236124e-31,7.231707595947016e-70,6.243054490014653e-15,1.8484574747809399e-16,7.399995243247602e-19,2.535088327784502e-31,9.386999112534161e-31,7.39999496597552e-19,1.3856430468644496e-26,4.853184583427828e-31,7.317215503582846e-35,2.0125421906400218e-59,7.090075374360758e-43,9.884417188688075e-62,8.445128305010455e-31,1.0962060961824784e-44,1.134583779707978e-83,4.5862755337011173e-85,7.157495948623609e-86,1.3897430595928532e-24,7.047772851180905e-99,1.998211270861899e-75,1.4616034730767311e-83,1.8256843422753384e-58,1.4499596318224157e-116,2.41114318660961e-118,6.607110500784691e-169
2.5910372320180892e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998706,0.11866996602995261,0.0228215676930541,2.9706748745590904e-92,1.0809937349540139e-43,3.344209423553873e-29,1.7822304588922172e-67,7.12767335642227e-44,2.5902118993056803e-104,2.286795830448192e-16,6.973536596771551e-86,2.286795830447056e-16,2.2554446679766296e-58,1.428939312114942e-57,8.282259591856051e-88,9.603261095123746e-89,1.2045647043439571e-30,2.3847604964660346e-68,1.2488819815667576e-14,3.697717579815716e-16,1.4803203962209036e-18,1.0143654305014357e-30,3.756022353613134e-30,1.4803202852740142e-18,5.544182753874644e-26,3.883893341833768e-30,5.878364353362847e-34,6.46833378378649e-58,5.6742613077112506e-42,3.1648613030804666e-60,3.379151344145393e-30,8.772979428267712e-44,1.4585838580402722e-81,5.8973697268966026e-83,9.203634013318071e-84,2.78009017053835e-24,1.812480918817709e-96,1.2796153611012947e-73,9.637644813575779e-82,2.9226805601105395e-57,7.45785926236449e-114,1.2401790626310503e-115,1.0460357406681532e-164
5.182636877153612e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999742,0.11866996602993989,0.022821567693053917,7.664787129571694e-90,8.649592347982435e-43,1.3379248662566581e-28,1.1494638165746384e-65,5.703582747491859e-43,6.682049395087398e-102,4.574088035072711e-16,4.46478626972819e-84,4.57408803506817e-16,3.6096906462742354e-57,2.2869675485070223e-56,1.0683139234643846e-85,1.2387075551443845e-86,4.8190431828067184e-30,8.077077048627545e-67,2.4980350466953782e-14,7.396237789885012e-16,2.9609622233245986e-18,4.058121347692763e-30,1.5026535152063983e-29,2.960961779449275e-18,2.2178786532052507e-25,3.107497862167082e-29,4.7393769077233106e-33,2.086012670439042e-56,4.540345075189902e-41,1.0130015605301562e-58,1.3518805693692894e-29,7.019714968150981e-43,1.881401351286384e-79,7.608146443489568e-81,1.1873530714312157e-81,5.560786199863132e-24,4.676344532617649e-94,8.191572065106976e-72,6.525822148263231e-80,4.677557747511825e-56,3.848460884290729e-111,6.399825705338484e-113,1.602407744908889e-160
1.0365836167424658e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999485,0.11866996602991445,0.022821567693053546,1.991605079711876e-87,6.920331009022788e-42,5.352321685839724e-28,7.4662467063156e-64,4.563443893301605e-42,1.7359651537400118e-99,9.148672444321682e-16,2.85801464761314e-82,9.148672444303508e-16,5.776288486578858e-56,3.659679838808007e-55,1.387752659474714e-83,1.609096037562279e-84,1.9277741573812375e-29,2.8689817902765597e-65,4.9963411769447607e-14,1.4793278210022582e-15,5.9222462108591425e-18,1.6233799398876512e-29,6.011103220822019e-29,5.922244435089177e-18,8.870993076609989e-25,2.4859033135524623e-28,3.849123575004217e-32,6.775513914535396e-55,3.632739195389399e-40,3.2416798191303977e-57,5.407962339774632e-29,5.616302805229949e-42,2.443963009066291e-77,9.884708168241055e-79,1.5426412243245102e-79,1.1122185488247847e-23,1.2150251363296068e-91,5.2427455830386805e-70,4.6327415723582e-78,7.485107621274048e-55,1.99992348514482e-108,3.325970781813966e-110,2.326121534952553e-156
2.073223474796675e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799897,0.11866996602986356,0.022821567693052807,5.247514610009376e-85,5.536527790486354e-41,2.1411650672335962e-27,4.917642888393397e-62,3.6509862066138573e-41,4.5728415656814403e-97,1.8297841262819337e-15,1.8293058528790706e-80,1.8297841262746647e-15,9.242688381810398e-55,5.855913041248946e-54,1.8278910254503807e-81,2.119435460154225e-82,7.711410409215909e-29,1.0998114505847983e-63,9.992953437412099e-14,2.9587359050293637e-15,1.184481551988869e-17,6.493778300706314e-29,2.404539105921816e-28,1.1844808415526808e-17,3.5475471171889984e-24,1.9882875983563695e-27,3.1710332461681607e-31,2.2318283693651955e-53,2.9065184537752652e-39,1.0371455944800027e-55,2.163272925530723e-28,4.49325171351732e-41,3.219088041012192e-75,1.3022893474095621e-76,2.0323977130126917e-77,2.22450129839579e-23,3.201021130312421e-89,3.35474739750784e-68,3.548174446068248e-76,1.19769844307631e-53,1.0538515936037404e-105,1.7528042929364992e-107,3.1253946485937673e-152
4.1465031909050934e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767997941,0.11866996602976178,0.02282156769305133,1.4193960374154396e-82,4.429327615664768e-40,8.566027803394391e-27,3.325040425051521e-60,2.9208814044914003e-40,1.236396659791827e-94,3.659617889981354e-15,1.1708122212615168e-78,3.659617889952277e-15,1.4788802860550294e-53,9.369800656400964e-53,2.47135181214884e-79,2.8655267505416923e-80,3.0846269207431306e-28,4.681360827426215e-62,1.9986177958221048e-13,5.917552073081938e-15,2.368995947899901e-17,2.5975596135654895e-28,9.618351919237487e-28,2.368993105303571e-17,1.4182527213400265e-23,1.5898213139274707e-26,2.683318183382399e-30,7.548209537094317e-52,2.3255723401150748e-38,3.3172548052791366e-54,8.653267476716867e-28,3.5946805618904423e-40,4.352282896674128e-73,1.7614498665540387e-74,2.7489810877053705e-75,4.449078365114048e-23,8.656684376835685e-87,2.1460062750059233e-66,3.0166093188911247e-74,1.9163824897512226e-52,5.700757396424321e-103,9.483840679886296e-105,3.8422278210896396e-148
8.293062623121931e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679958826,0.11866996602955823,0.02282156769304837,4.022088512487416e-80,3.5435045458585784e-39,3.4273991162879656e-26,2.3550860275541687e-58,2.3367420991817516e-39,3.501131573372568e-92,7.319285417379748e-15,7.493378931602996e-77,7.319285417263437e-15,2.3662485709094793e-52,1.4991951406995463e-51,3.499677460867918e-77,4.0578679248344726e-78,1.2338633198214149e-27,2.2404943580111272e-60,3.997262699933606e-13,1.1835184409180543e-14,4.738026880302619e-17,1.0390307714815977e-27,3.84737975265785e-27,4.738015503460741e-17,5.66671852299261e-23,1.2705197505082922e-25,2.380611296788884e-29,2.674973963508037e-50,1.8609630399528207e-37,1.060430675912114e-52,3.461341979693464e-27,2.8757687681438772e-39,6.163260711270903e-71,2.4960975492084414e-72,3.8955028392037605e-73,8.898278768855553e-23,2.4521736346435914e-84,1.3720443534883287e-64,2.8836887605435665e-72,3.066263967838741e-51,3.2304660086628887e-100,5.376631154550533e-102,4.400068959706733e-144
1.6586181487555605e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767991766,0.11866996602915114,0.02282156769304245,1.227894097612179e-77,2.8348210972496434e-38,1.3717267496788815e-25,1.7969713678885493e-56,1.8694084686445751e-38,1.0677554898216832e-89,1.4638620472174746e-14,4.795820332057677e-75,1.4638620471709508e-14,3.7860297932298877e-51,2.3987333799220194e-50,5.337912084363379e-75,6.189296556719389e-76,4.935478382454406e-27,1.1906477710707114e-58,7.994552507955449e-13,2.3670449081351583e-14,9.476097340577907e-17,4.156115076816725e-27,1.5389596064941158e-26,9.476051782411925e-17,2.261634738683072e-22,1.0142645363502587e-24,2.2776391686545278e-28,1.0215739729065766e-48,1.4895498715310673e-36,3.3863197090770576e-51,1.384543656729707e-26,2.3006129689806135e-38,9.400563513494055e-69,3.811108155088479e-70,5.947771059280757e-71,1.7796864657558514e-22,7.482325552177827e-82,8.762964338944326e-63,3.0616722541402614e-70,4.906063931975321e-50,1.9721412253168713e-97,3.2852104890621083e-99,4.928078648079497e-140
3.317241921642295e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679835325,0.11866996602833695,0.022821567693030616,4.1521874230595494e-75,2.2678646286126824e-37,5.492964113165471e-25,1.5186372138554656e-54,1.4955326889792868e-37,3.6060208039113442e-87,2.9277290581757596e-14,3.0693434958550095e-73,2.927729057989664e-14,6.057673297619903e-50,3.837988815167479e-49,9.016465682932266e-73,1.0454570281359098e-73,1.974196373633642e-26,6.822892009934159e-57,1.5989132123194514e-12,4.734097842558897e-14,1.895227290623282e-16,1.6624269402647553e-26,6.155853104101986e-26,1.8952090270984228e-16,9.00630061589473e-22,8.079831671425152e-24,2.4154752125601526e-27,4.322276791150343e-47,1.192868968930437e-35,1.0791163193866288e-49,5.538187292812351e-26,1.840470720483481e-37,1.5878837740873376e-66,6.445787982763049e-68,1.0059605355287515e-68,3.55947767598442e-22,2.5285474793351877e-79,5.585160342447416e-61,3.506459761505554e-68,7.849735544211102e-49,1.3335429789669857e-94,2.2252389929433757e-96,5.7199227570454755e-136
6.634489467415765e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767967066,0.11866996602670857,0.022821567693006944,1.573222170336048e-72,1.814296029640838e-36,2.2019631870719273e-24,1.4380197638305978e-52,1.196428514127637e-36,1.3645280600399572e-84,5.855463080089471e-14,1.9643857291776002e-71,5.855463079345085e-14,9.6922976654571e-49,6.140789577113281e-48,1.7064721682687452e-70,1.9786501659695233e-71,7.896795535905151e-26,4.0878162790083224e-55,3.197829135045413e-12,9.468203711364504e-14,3.7904764691432757e-16,6.649529677367356e-26,2.4623435910526775e-25,3.7904030971788074e-16,3.570713841543021e-21,6.409637822722541e-23,2.8701897737095e-26,2.049048088978038e-45,9.562339835802803e-35,3.4246515117093615e-48,2.215276599233524e-25,1.4723385774415935e-36,3.005255476100809e-64,1.2215115966629976e-65,1.9063662307041105e-66,7.119356226393418e-22,9.574205581469061e-77,3.545211643593766e-59,4.199971381265729e-66,1.2559603428936373e-47,1.0103938715754478e-91,1.6916880621958261e-93,7.145724868670988e-132
1.3268984558962704e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679341337,0.1186699660234518,0.022821567692959604,6.577935727239701e-70,1.4514405164224964e-35,8.845126064420102e-24,1.5027768595744585e-50,9.571437521836633e-36,5.699636421733118e-82,1.171093112390545e-13,1.257208722803884e-69,1.1710931120927904e-13,1.5507692212829813e-47,9.825253773410703e-47,3.5648569812043508e-68,4.1334417803150615e-69,3.158720222681782e-25,2.4974487473152536e-53,6.395660979209934e-12,1.8936415448808229e-13,7.581032696951103e-16,2.6596643422572977e-25,9.849374373309176e-25,7.580736727588023e-16,1.4034571405740856e-20,5.042979809012385e-22,3.760628833808768e-25,1.0717334699407791e-43,7.680145190363464e-34,1.0780581311413946e-46,8.861102952579765e-25,1.1778074473552433e-35,6.278037715740206e-62,2.5543180893681633e-63,3.986493598221949e-64,1.4240297847018548e-21,4.001129104444513e-74,2.2323080303112307e-57,5.1309126525475275e-64,2.0095386591120838e-46,8.44922206556448e-89,1.4240343882528072e-90,9.623667896487006e-128
2.6537974742056582e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767868268,0.11866996601693827,0.022821567692864923,2.9295816091857204e-67,1.161157028603097e-34,3.566456676509502e-23,1.6729672713874036e-48,7.657153712244286e-35,2.5369259797449443e-79,2.3421867211491653e-13,8.046141391053356e-68,2.3421867199581464e-13,2.481231913635003e-46,1.5720348716110114e-45,7.934815805274268e-66,9.200392999683075e-67,1.263488490772309e-24,1.5245655634515196e-51,1.2791324662389362e-11,3.787283892302571e-13,1.5162388761088964e-15,1.0637467180296576e-24,3.939745999368462e-24,1.516118595567117e-15,5.424579056532194e-20,3.90501143127321e-21,5.242465923563828e-24,5.969071625979743e-42,6.190331338267692e-33,3.3408442013488517e-45,3.544435045319818e-24,9.421434617323555e-35,1.3973908737491208e-59,5.6888521912735476e-61,8.878804786831652e-62,2.848691916749484e-21,1.7814257493448879e-71,1.3839107585363798e-55,6.2639118451340175e-62,3.215263497602739e-45,7.527646843649153e-86,1.2853598546361352e-87,1.3575095381733822e-123
5.3075955108244343e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677365373,0.1186699660039112,0.022821567692675557,1.3321551283619738e-64,9.289324878998365e-34,1.4472796269997673e-22,1.901784590406744e-46,6.125724337715879e-34,1.1534020208932241e-76,4.684373938648096e-13,5.149531791727814e-66,4.684373933884026e-13,3.9699716174388314e-45,2.5152344565547626e-44,1.8038488891277879e-63,2.091555112969175e-64,5.0539547667722654e-24,9.108291129833948e-50,2.5582652008149777e-11,7.574568586878094e-13,3.032616171792854e-15,4.254032992414808e-24,1.5758946483486188e-23,3.0321212331083492e-15,2.0319316296959986e-19,2.934887027967385e-20,7.453532766205924e-23,3.3933770827134288e-40,5.019820418643977e-32,1.0053028735753056e-43,1.4177684335415263e-23,7.535504063758193e-34,3.1767255278936806e-57,1.2934926721126333e-58,2.019274945639744e-59,5.6999114125331186e-21,8.099783975394068e-69,8.332775023436382e-54,7.484835640492583e-60,5.144422765432524e-44,6.94000750734035e-83,1.1999010464905409e-84,1.8525311830159886e-118
1.0615191584061985e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727674730753,0.11866996597785708,0.02282156769229683,5.922971598340977e-62,7.431567586543068e-33,5.92813336418928e-22,2.1140712862673546e-44,4.900579841384914e-33,5.1293746658229904e-74,9.368748373572683e-13,3.2957001495957446e-64,9.36874835451646e-13,6.351953841897206e-44,4.024306470377742e-43,4.010811243418402e-61,4.650510660364639e-62,2.0215820676713286e-23,5.1881193462656006e-48,5.116530661727681e-11,1.5149137974957283e-12,6.065850630241795e-15,1.7008501674135678e-23,6.303547079534106e-23,6.063777716029972e-15,7.201389410250627e-19,2.0923118543305722e-19,1.0350574544979012e-21,1.8857027108063838e-38,4.107153150808369e-31,2.87181042621193e-42,5.671027705907705e-23,6.025773369366768e-33,7.063317638221871e-55,2.875392009022741e-56,4.489738331206853e-57,1.1409931330837717e-20,3.6016172178254127e-66,4.765044643287365e-52,8.527862444126943e-58,8.231076895668604e-43,6.17937579782503e-80,1.1220515611208716e-81,2.359726207644e-114
2.1230383730537087e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072766946152,0.11866996592574883,0.022821567691539372,2.465123127508282e-59,5.945425269517149e-32,2.452792600790243e-21,2.2001379020576723e-42,3.9204637401620306e-32,2.1362710900448646e-71,1.873749724312849e-12,2.1092472473369404e-62,1.8737497166904065e-12,1.0163121740867495e-42,6.438669681355352e-42,8.35078399049512e-59,9.682649098328087e-60,8.086328594398505e-23,2.72588175182494e-46,1.0233061550595576e-10,3.0298276746828648e-12,1.2134538635798137e-14,6.797303290074463e-23,2.521393320509929e-22,1.2125695834285534e-14,2.337080212840085e-18,1.3706117222771406e-18,1.3439723756543904e-20,9.806291412832201e-37,3.394027659014344e-30,7.547589408980373e-41,2.26837399018949e-22,4.816415338355064e-32,1.4706106605986864e-52,5.982726913295031e-54,9.344016909234676e-55,2.2860294874266692e-20,1.4994186243565147e-63,2.508514605967928e-50,8.962778378142894e-56,1.316972192396516e-41,5.157166599963238e-77,1.0256189660852654e-78,2.5849378439282436e-110
