Time (s),Volume (m^3),Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),C2H4X(64),C2H4(48),HeX(49),C4H8a(86),HX(12),C2H3X(58),C4H6(99),C2H2X(98)
9.061624407076457e-22,0.004023131612903226,0.0,0.0,0.010942917987095171,0.49999999999999967,6.1316801307943118e-159,1.248532871317824e-56,1.3284465491693639e-90,7.5466277937888596e-108,1.4606774857361989e-171,6.1818209673924313e-41,2.1185501680066318e-52,0.0,0.49999999999999045,1.205197460449134e-15,8.3503662407457204e-15,3.6395694465679478e-16,3.0393874663813026e-28,1.6832556021749269e-17,1.6832556014442334e-17,3.4384834504059077e-37,3.6534653527013114e-27
1.812521573935523e-21,0.004023131612903226,0.0,0.0,0.010942917987093568,0.49999999999999928,1.5702980998751959e-156,9.9907924949417963e-56,2.1257616434515025e-89,2.4152110751622581e-106,7.4820213488958108e-169,2.4731309234153548e-40,1.6951620165361877e-51,0.0,0.4999999999999809,2.4106565084979976e-15,1.6702545020214993e-14,7.2799288940379647e-16,1.2159528995735513e-27,3.3668765742144027e-17,3.3668765712911541e-17,2.7514833939612257e-36,1.4616240401848898e-26
3.6252398403912774e-21,0.004023131612903226,0.0,0.0,0.010942917987090362,0.49999999999999856,4.020715886368245e-154,7.9936459341068608e-55,3.4014163624000451e-88,7.7291397327140915e-105,3.8316534133168711e-166,9.8933288266214118e-40,1.3562583801827591e-50,0.0,0.49999999999996175,4.8215745633137403e-15,3.3406902578931244e-14,1.4560647765994774e-15,4.8642074524952507e-27,6.7341185204840464e-17,6.7341185087901005e-17,2.2014654013070344e-35,5.8469719911990041e-26
7.250676373302787e-21,0.004023131612903226,0.0,0.0,0.010942917987083949,0.49999999999999711,1.0293996280346722e-151,6.3953215550221107e-54,5.4424243695223703e-87,2.473399002731415e-103,1.9620263477793574e-163,3.9574925651403092e-39,1.0850582142326822e-49,0.0,0.49999999999992345,9.6434105078172836e-15,6.6815617695474567e-14,2.9122085417975496e-15,1.9457621546325868e-26,1.3468602421786093e-16,1.3468602375008414e-16,1.7612838001623103e-34,2.3388839646523144e-25
1.4501549439125804e-20,0.004023131612903226,0.0,0.0,0.010942917987071124,0.49999999999999423,2.6353864000937924e-149,5.1164191844814078e-53,8.7080055538604686e-86,7.9149956796914901e-102,1.004613764130754e-160,1.5830292352607864e-38,8.6806717685718954e-49,0.0,0.49999999999984684,1.9287081736312653e-14,1.3363304792500441e-13,5.8244960354205384e-15,7.7832069684206304e-26,2.6937570259441244e-16,2.6937570072326716e-16,1.4090716297083375e-33,9.3557261878815336e-25
2.900329557077184e-20,0.004023131612903226,0.0,0.0,0.010942917987045473,0.4999999999999884,6.7467471038683991e-147,4.0932001446428218e-52,1.3932910171487108e-84,2.5328176431515309e-100,5.1437665568103434e-158,6.3321813738894976e-38,6.9446198520220167e-48,0.0,0.49999999999969363,3.8574421551256864e-14,2.6726790836983731e-13,1.1649070875573894e-14,3.1133144574700718e-25,5.3875506074955749e-16,5.3875505326490035e-16,1.1272751343836581e-32,3.7423285329765779e-24
5.800678783406392e-20,0.004023131612903226,0.0,0.0,0.010942917986994172,0.49999999999997674,1.727187485674746e-144,3.2745860665491993e-51,2.2292737417851109e-83,8.105046940338172e-99,2.6336453824233375e-155,2.5328854472733421e-37,5.5557288793913542e-47,0.0,0.49999999999938727,7.714909061296232e-14,5.3453762920259501e-13,2.3298219967510143e-14,1.2453321169100726e-24,1.0775137826680159e-15,1.0775137527292352e-15,9.0182723102960527e-32,1.4969390180938132e-23
1.1601377236064808e-19,0.004023131612903226,0.0,0.0,0.01094291798689157,0.49999999999995343,2.9051415348084014e-142,2.6196792845155855e-50,2.2292738067120697e-83,2.3808577749745051e-98,2.2939002797914426e-152,1.0131567673313287e-36,4.4445963389671662e-46,0.0,0.49999999999877448,1.5429838646366375e-13,1.0690770706404793e-12,4.6596515797901044e-14,4.9813411345004573e-24,2.1550312489376047e-15,2.1550311291821785e-15,7.2146462019795671e-31,5.9877712286517332e-23
2.3202774141381636e-19,0.004023131612903226,0.0,0.0,0.010942917986686364,0.49999999999990685,5.9661700121630192e-140,2.0957476815752094e-49,2.2292779620483209e-83,5.5215697910899738e-98,1.0302019617783462e-149,4.052632317157027e-36,3.5556824234450777e-45,0.0,0.49999999999754896,3.0859680907441476e-13,2.1381559526057231e-12,9.3193098044758329e-14,1.9925389863653611e-23,4.3100662712074685e-15,4.3100657921851607e-15,5.7717280783715344e-30,2.3951114798683034e-22
4.64055679520153e-19,0.004023131612903226,0.0,0.0,0.010942917986275955,0.49999999999981365,1.4986938626269122e-137,1.6765999771577913e-48,2.2295439039847873e-83,1.1803743166425105e-97,5.2189800428657133e-147,1.6210540332153183e-35,2.8445481725958087e-44,0.0,0.49999999999509792,6.171929779347917e-13,4.2763137128941109e-12,1.8638622488279016e-13,7.9701610041172165e-23,8.6201366746699078e-15,8.6201347585795059e-15,4.6173865498471815e-29,9.5804515534832544e-22
9.281115557328262e-19,0.004023131612903226,0.0,0.0,0.010942917985455139,0.49999999999962724,3.8317138881151206e-135,1.3412809229830991e-47,2.2465642025838965e-83,2.4464005917295707e-97,2.6702053150454588e-144,6.4842187998515232e-35,2.2756395802999916e-43,0.0,0.49999999999019579,1.234382610222905e-12,8.5526292189024806e-12,3.7277232793624441e-13,3.1880654081963987e-22,1.7240278917285405e-14,1.7240271252921718e-14,3.6939102994273634e-28,3.8321814739487991e-21
1.3921674319454994e-18,0.004023131612903226,0.0,0.0,0.010942917984634327,0.49999999999944084,1.337369996974533e-134,3.9819287688514304e-47,2.0545296111657167e-78,1.1578317804742125e-92,4.7645142927164804e-144,1.3778967127623704e-34,6.5069078703484187e-43,0.0,0.49999999998529365,1.8515695370902363e-12,1.2828944710342448e-11,5.5915828036721081e-13,6.774639615675909e-22,2.5860422595591286e-14,2.5860406308817375e-14,1.096629644819509e-27,8.1433858564057938e-21
1.8562233081581724e-18,0.004023131612903226,0.0,0.0,0.010942917983813515,0.49999999999925443,1.2532385062691474e-133,8.6764149633882364e-47,4.7938746630346604e-78,3.8593665400264442e-92,6.5042490857285371e-143,2.350529941403079e-34,1.372495455937609e-42,0.0,0.49999999998039152,2.4687537585486448e-12,1.7105260187214018e-11,7.4554408217581151e-13,1.1556738718309636e-21,3.4480567709587302e-14,3.4480539926266401e-14,2.3894981630864035e-27,1.3891658062700451e-20
2.784335060583519e-18,0.004023131612903226,0.0,0.0,0.010942917982171901,0.49999999999888167,1.721368418338914e-132,2.518496457769507e-46,6.5129810326679764e-78,1.0365118222583052e-91,1.4426942657087478e-141,4.866474389833148e-34,3.748711242383962e-42,0.0,0.49999999997058731,3.7031158520731437e-12,2.5657891106765997e-11,1.1183153322919198e-12,2.3926760642998928e-21,5.1720861307055489e-14,5.1720803785217756e-14,6.9359747884380894e-27,2.8760911929366357e-20
3.712446813008865e-18,0.004023131612903226,0.0,0.0,0.010942917980530298,0.49999999999850891,6.1493630437478192e-132,5.5076691459504294e-46,1.0891634659950783e-77,1.9760364075836e-91,5.8458192537912768e-141,8.2765993141907539e-34,7.8435586173957945e-42,0.0,0.49999999996078309,4.9374679969426419e-12,3.4210521972744775e-11,1.4910860285168789e-12,4.0693153961678461e-21,6.8961160184066414e-14,6.8961062354486627e-14,1.5168191921336483e-26,4.8914774730288675e-20
4.640558565434212e-18,0.004023131612903226,0.0,0.0,0.010942917978888704,0.49999999999813616,1.7855374991971946e-131,1.0333139477415148e-45,1.885181231324357e-77,3.6266863445088264e-91,1.973573679321267e-140,1.2644775014165193e-33,1.4278900006583995e-41,0.0,0.49999999995097888,6.1718094826181935e-12,4.2763152781323684e-11,1.8638561312878509e-12,6.2169945172139978e-21,8.6201464717728714e-14,8.6201315256237961e-14,2.8457586743805819e-26,7.4730716927830929e-20
6.496782070284905e-18,0.004023131612903226,0.0,0.0,0.010942917975605555,0.49999999999739064,1.2836549186679093e-130,2.8273369154449736e-45,2.2967575784041257e-77,7.941577035619915e-91,2.3863903038672949e-139,2.4315459723493015e-33,3.7700515113684521e-41,0.0,0.49999999993137051,8.6404598073760204e-12,5.986841422267636e-11,2.6093945191960156e-12,1.1955060088334041e-20,1.2068209111031479e-13,1.2068180370118393e-13,7.7865100342324391e-26,1.4370448756208666e-19
8.353005575135598e-18,0.004023131612903226,0.0,0.0,0.010942917972322452,0.49999999999664513,5.9571221172812527e-130,5.9603732934765413e-45,9.7050861229677615e-77,2.3964389575958179e-90,1.1771708157574129e-138,3.9877300438209988e-33,7.8162621910738764e-41,0.0,0.49999999991176219,1.1109066840694134e-11,7.697367543089777e-11,3.3549304967852736e-12,1.9606267862230456e-20,1.5516274047753651e-13,1.5516226912732928e-13,1.6414902412079833e-25,2.3567493947294838e-19
1.2065452584836983e-17,0.004023131612903226,0.0,0.0,0.010942917965756381,0.49999999999515404,3.935474999273817e-128,1.8181008533098721e-44,1.3288868960224234e-75,4.3014598843017682e-89,1.1581993388551986e-136,8.2672822620457661e-33,2.3485617576340787e-40,0.0,0.49999999987254556,1.604615105517696e-11,1.1118419714804505e-10,4.8459952220633842e-12,4.0647303348218481e-20,2.2412410812612389e-13,2.2412313093289609e-13,5.0070487966382911e-25,4.8859611319947682e-19
1.9490346604239755e-17,0.004023131612903226,0.0,0.0,0.010942917952624786,0.49999999999217198,5.1088991574674417e-126,7.8889139620957384e-44,1.7167676656170905e-74,1.0854281230157029e-87,2.3998889866464489e-134,2.1495094979031478e-32,1.0097232543000601e-39,0.0,0.49999999979411291,2.5919800104739228e-11,1.7960523778517945e-10,7.8280957535020837e-12,1.0568367388313753e-19,3.6204711907722239e-13,3.6204457835912378e-13,2.1725960427841403e-24,1.270356876721907e-18
3.43401346430453e-17,0.004023131612903226,0.0,0.0,0.010942917926363789,0.49999999998620787,1.2138736844201584e-124,4.460067421954769e-43,2.1875591772984215e-74,3.9830998554757183e-87,3.0486237471992667e-132,6.6625467788482789e-32,5.6858839185288855e-39,0.0,0.49999999963724984,4.5665020906699672e-11,3.1644730787090109e-10,1.3792181142950732e-11,3.2757284868402491e-19,6.3789424358198858e-13,6.3788636847971161e-13,1.2282844643346795e-23,3.937538855708295e-18
6.403971072065639e-17,0.004023131612903226,0.0,0.0,0.010942917873850558,0.49999999997428013,3.2633711976446261e-123,2.9656525605823432e-42,4.1303986169675829e-74,1.5484881608774771e-86,1.0293927341305234e-129,2.3158567994900179e-31,3.7756507709811423e-38,0.0,0.4999999993235319,8.5147154950656031e-11,5.9013140328820572e-10,2.5719889245197094e-11,1.1386165436405103e-18,1.1895929029656594e-12,1.1895655297866016e-12,8.1671278320497473e-23,1.3686507857708393e-17
9.373928679826748e-17,0.004023131612903226,0.0,0.0,0.010942917821349015,0.49999999996235311,2.7177615276910634e-121,8.9138052552077509e-42,5.2917222944900927e-72,1.291677744883763e-84,5.1456748506998165e-129,4.9614585644040443e-31,1.1345249636453781e-37,0.0,0.49999999900982511,1.2461821436823658e-10,8.6381543903335899e-10,3.7646980467194527e-11,2.4393471165001802e-18,1.7412974428041109e-12,1.7412387991690921e-12,2.4547403602277955e-22,2.9321572035510251e-17
1.2343886287587856e-16,0.004023131612903226,0.0,0.0,0.01094291776885915,0.49999999995042665,3.4940666311097644e-120,1.9754592081714119e-41,1.4432582605481768e-71,5.1872925138231561e-84,9.8220462577848505e-128,8.6030697012622182e-31,2.5140321303055155e-37,0.0,0.49999999869612949,1.6407820211785628e-10,1.1374994151063901e-09,4.9573454839431868e-11,4.2297643615558472e-18,2.2930078630374841e-12,2.2929061766086797e-12,5.4400624389276837e-22,5.0842670396341601e-17
1.5313843895348965e-16,0.004023131612903226,0.0,0.0,0.01094291771638097,0.49999999993850081,1.818594130833499e-119,3.7001717349077433e-41,2.5312754895236705e-71,1.2572111964421876e-83,6.5292922879935382e-127,1.3240700399430207e-30,4.7086844405132695e-37,0.0,0.49999999838244491,2.0352712125578346e-10,1.4111833315073218e-09,6.149931239334639e-11,6.5098681308956235e-18,2.8447241636046731e-12,2.8445676620854582e-12,1.0189456877476504e-21,7.8249740662204676e-17
