Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),H2X(49),CH3OO(77),CH2X(27),CHX(28),CX(26),OCX(25),C2H6X(52)
6.649310165217264e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999972,0.11866996602996265,0.022821567693054223,0.0,1.2998199643930869e-54,4.5768236323070831e-36,9.8585797529547079e-76,1.7681285717133608e-48,1.0177309759396195e-119,6.7613944714248912e-22,1.1547304807127493e-101,6.7613944649623768e-22,2.8241264081234276e-68,2.5377891532472893e-59,9.8679445755520217e-101,5.9626686144932433e-102,7.0247193838400379e-47,8.6908009041731481e-81,2.6814725642086117e-15,1.2892758379774161e-16,4.9695656826054496e-20,3.6496290466437146e-32,4.9695656827080355e-20,7.0211684974349052e-46,1.6681870416752902e-49,2.2414289023699612e-36,2.080584534425652e-31,1.0785498315388761e-38,3.485877043810351e-45,4.8300720094665351e-70,1.5575254301346165e-62
1.3304397315808305e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999437,0.11866996602995997,0.022821567693054157,0.0,2.0814054194903749e-53,1.8319222076086645e-35,1.2531537762793196e-73,1.4159368726975079e-47,5.1744656557239468e-117,1.3528663321094699e-21,7.4016973762678473e-100,1.3528663295227801e-21,4.5235103075444886e-67,4.0651878422756623e-58,2.5086209842247749e-98,1.515824850216652e-99,5.6240465859765276e-46,2.7841777043807303e-79,5.3652748178718675e-15,2.5796718113483488e-16,9.9434489720691893e-20,1.4608026695246786e-31,9.9434489724798036e-20,5.621203707481197e-45,1.3355639624915314e-48,8.9715569489895372e-36,8.3277598655710775e-31,8.6349535326019741e-38,5.5372528890619226e-44,3.0699899030552443e-68,2.49474751455551e-61
2.6614571616990387e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998876,0.1186699660299546,0.022821567693054028,0.0,3.3316039033196997e-52,7.3300750198051997e-35,1.59842305123845e-71,1.1333233845674982e-46,2.6400003148999946e-114,2.7063201059256906e-21,4.740744757664321e-98,2.7063200955755629e-21,7.2415451743920512e-66,6.50808273082811e-57,6.3995065461026351e-96,3.8668779032622789e-97,4.5009461292556129e-45,8.9143659692248134e-78,1.0732879325193391e-14,5.1604637580901121e-16,1.9891215550504584e-19,5.8451129022146124e-31,1.9891215552147571e-19,4.4986709459958495e-44,1.0688570751682158e-47,3.5897913847735082e-35,3.3321883415414777e-30,6.9105820997482435e-37,8.8274407036419298e-43,1.957970620056493e-66,3.9937627189932651e-60
5.323492021935455e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997749,0.11866996602994385,0.022821567693053772,0.0,5.3316499812089837e-51,2.9325073138977399e-34,2.0423703758049404e-69,9.0688831820261344e-46,1.3492805680174461e-111,5.4132276690871724e-21,3.0352478780638995e-96,5.4132276276799209e-21,1.1589616119498359e-64,1.0415957659353477e-55,1.6353709165887347e-93,9.8816676180345292e-95,3.6014401110144045e-44,2.8533969244718673e-76,2.1468088339816482e-14,1.0322047651573227e-15,3.9786748705407046e-19,2.3384253241263476e-30,3.9786748711980062e-19,3.599619592394216e-43,8.5524805692996461e-47,1.4361503117020469e-34,1.3330920391318211e-29,5.5295075333270654e-36,1.4098143436420955e-41,1.2509066678457899e-64,6.3917542002841507e-59
1.0647561742408289e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995501,0.11866996602992239,0.022821567693053255,0.0,8.5315047621087009e-50,1.1730983936457139e-33,2.6118844469259914e-67,7.2560250986143919e-45,6.9020720153306819e-109,1.0827042857526294e-20,1.9429335283239064e-94,1.0827042691883808e-20,1.8545901218500909e-63,1.6667948249814802e-54,4.1827724361897614e-91,2.5274246053002028e-92,2.8814246287618785e-43,9.1321500549185229e-75,4.2938506368982849e-14,2.0645215438537819e-15,7.9577815007338615e-19,9.3544589908386632e-30,7.9577815033632835e-19,2.8799680334410377e-42,6.8426341124361322e-46,5.7450688233868174e-34,5.332799932840902e-29,4.4240130845309031e-35,2.2536366001753474e-40,7.998661880466156e-63,1.0228193995940032e-57
2.1295701183353955e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990999,0.11866996602987945,0.022821567693052221,0.0,1.3651092121324038e-48,4.6925845182982262e-33,3.3416124197219258e-65,5.8051875203721789e-44,3.5321611957343623e-106,2.1654673482869168e-20,1.2435974446324846e-92,2.1654672820272266e-20,2.9675454424039772e-62,2.6670635325916197e-53,1.0702756144885694e-88,6.4671003824580998e-90,2.3052474891282693e-42,2.9224928156184653e-73,8.5879342426996336e-14,4.1291551012460408e-15,1.5915994757970841e-18,3.7419329915378247e-29,1.5915994768488964e-18,2.3040820901308814e-41,5.4743671672933354e-45,2.298121070158776e-33,2.1332050037935164e-28,3.5393577344253481e-34,3.6041498999261843e-39,5.11671113391357e-61,1.6366220286459428e-56
4.2591980065245286e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981995,0.11866996602979356,0.022821567693050156,0.0,2.1842271412865909e-47,1.8770719973370935e-32,4.2759954712602734e-63,4.6442969939438451e-43,1.8079282837458533e-103,4.3309935727413439e-20,7.9594077438531665e-91,4.3309933076971923e-20,4.7482337081045048e-61,4.2674503635285575e-52,2.7390910867385564e-86,1.6550855471732753e-87,1.8442391297941045e-41,9.3523046927035427e-72,1.7176101454174625e-13,8.2584222160279254e-15,3.1832421259847459e-18,1.4968013569335858e-28,3.1832421301920824e-18,1.8433066805909057e-40,4.3795976886142841e-44,9.1926715428434393e-33,8.5329794580387243e-28,2.8315201919798306e-33,5.7652557527733044e-38,3.2737287056913243e-59,2.6186840383608128e-55
8.518453782902795e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963993,0.11866996602962179,0.022821567693046028,0.0,3.4947977962486283e-46,7.5083643748228135e-32,5.4718365627461103e-61,3.7154963816197382e-42,9.2541595480186251e-101,8.6620464191936095e-20,5.0941440242543046e-89,8.6620453590062168e-20,7.5973027244924241e-60,6.8280243691637663e-51,7.0102304074568408e-84,4.2359055090424326e-85,1.4754045960810493e-40,2.9927899276466397e-70,3.4352435876613784e-13,1.651695644558117e-14,6.3665274213211307e-18,5.9872479948690613e-28,6.3665274381506646e-18,1.4746584552634494e-39,3.5037197350639047e-43,3.6771062117285993e-32,3.4132151749113648e-27,2.2651899105991228e-32,9.2231449113028741e-37,2.094636597604552e-57,4.1899654900376261e-54
1.7036965335659327e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319927989,0.11866996602927826,0.02282156769303777,0.0,5.5916798042511895e-45,3.0033610308991452e-31,7.0014293716061216e-59,2.9724206112756305e-41,4.7364266572183477e-98,1.7324153702271772e-19,3.2602917541246378e-87,1.7324149461500638e-19,1.2155787358207454e-58,1.092487343296512e-49,1.7939736031466758e-81,1.0840018401049232e-82,1.1803239324435262e-39,9.5770116236110945e-69,6.870510471944883e-13,3.3034024904645548e-14,1.2733097991838155e-17,2.3948967083034261e-27,1.2733098059156736e-17,1.1797267400850063e-38,2.8029924245598356e-42,1.4708501170962645e-31,1.3652839506594247e-26,1.8120776836495072e-31,1.4755518095060872e-35,1.3400837892680524e-55,6.7040015862906839e-53
3.4073988441172392e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319855979,0.1186699660285912,0.022821567693021252,0.0,8.9466130208298031e-44,1.2013474716061173e-30,8.9561202871692908e-57,2.3779458773915987e-40,2.4235094669763848e-95,3.464837462912261e-19,2.0865996390529304e-85,3.4648357665994995e-19,1.9449342060337443e-57,1.7479669566128445e-48,4.5896516241991852e-79,2.7732798228760235e-80,9.4425115016627575e-39,3.0646571190159284e-67,1.3741044239694581e-12,6.6068161822605875e-14,2.5466239052249212e-17,9.579493830738233e-27,2.5466239321525073e-17,9.4377295300852574e-38,2.2424005986393525e-41,5.8834166408542764e-31,5.4610771838357182e-26,1.4495304670149753e-30,2.360601075761007e-34,8.5710536839063397e-54,1.0726447912200201e-51
