Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),COX(50)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.114244592107898e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,8.3678434123237863e-66,7.8554517965953942e-42,1.0359641168096839e-93,3.7875379447724355e-57,4.8594733408440948e-143,7.2341660732134701e-25,-7.8175306066002961e-118,7.2341660732107995e-25,1.212736419809716e-79,2.2476890139705068e-71,2.2082016314562863e-121,1.3342975795667268e-122,2.2560218629358124e-55,7.7301915237579599e-95,2.8689670379046562e-18,1.3794248471136902e-19,5.3170486719244786e-23,6.264057504540185e-38,5.317048671924796e-23,1.4842754862140126e-36,5.9841014843661225e-46,1.3252895699265671e-53,4.1340586189994974e-84,2.2548814831340648e-54,5.3574613647344959e-58,1.9546508008508217e-111
1.9919884857902116e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.8718703840465011e-64,4.7446928851511341e-41,1.173168723035487e-91,5.723727342137877e-56,1.7966009181263849e-140,2.0255665005006361e-24,1.5089319972541474e-116,2.0255665004990235e-24,3.4201107416892815e-78,7.0670939218132773e-70,4.523268382774107e-119,2.7331680082518601e-120,2.6783491554653623e-54,4.0013697622115285e-93,8.0331077061330364e-18,3.8623895719183324e-19,1.4887736281387992e-22,3.7834907324151984e-37,1.4887736281389908e-22,8.9650239332424288e-36,7.1043252757018794e-45,1.6134311689282424e-52,2.5779104535163763e-82,2.6769952965560507e-53,6.3603781322219948e-57,4.0038962207473767e-109
4.5531165389490546e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,3.698515723272947e-63,2.284365382461214e-40,1.1170454615663092e-89,6.1573246860542565e-55,6.8445914731729511e-138,4.6298662868626722e-24,1.593285915320147e-114,4.629866286854911e-24,7.4394879088075295e-77,1.5766297778732052e-68,8.6169405781675656e-117,5.2067541264951618e-118,2.6296190827806766e-53,1.7471546357827251e-91,1.8361389042589783e-17,8.8283190215276172e-19,3.4029111500312831e-22,1.8215879218296759e-36,3.4029111500322056e-22,4.3162731086750432e-35,6.9750686699106576e-44,1.6689044361517541e-51,1.2252226000421158e-80,2.6282898560568616e-52,6.244656966763052e-56,7.6275234842527794e-107
9.67537264526674e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,6.5813236041544498e-62,9.9764237817926395e-40,9.299477645754659e-88,5.6596422001098126e-54,2.2818491617836061e-135,9.8384658596005776e-24,1.259359826116584e-112,9.8384658595666793e-24,1.3791556788101251e-75,2.9528530839252133e-67,1.435817689195591e-114,8.6758747032038287e-116,2.3258682984319619e-52,6.5042186451241029e-90,3.9017951715503193e-17,1.8760177920746187e-18,7.2311861938153758e-22,7.9553530256963969e-36,7.2311861938194045e-22,1.8850298620819809e-34,6.1693692237624604e-43,1.6270290522384603e-50,5.0922495978345523e-79,2.3246926124150672e-51,5.523328368646576e-55,1.2709537734428121e-104
1.9919884857902113e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,1.1100374360472939e-60,4.1649605426597183e-39,7.6358901879250321e-86,4.8419430581349279e-53,7.4955875152779407e-133,2.0255665005131715e-23,8.9258964618809269e-111,2.0255665004990203e-23,2.3704162360745413e-74,5.1003193761445041e-66,2.3581345926658859e-112,1.424894010793209e-113,1.9550324475660331e-51,2.2408019412551526e-88,8.0331077061329741e-17,3.8623895719183326e-18,1.4887736281380054e-21,3.3212032843445312e-35,1.4887736281396875e-21,7.8696285792183563e-34,5.1857265235125897e-42,1.6214744714041852e-49,2.0902946616756308e-77,1.9540442125734331e-50,4.6426902994057558e-54,2.0873681118000317e-102
4.0408909283172856e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,1.8232406413445656e-59,1.7015222810385121e-38,6.6560772043486946e-84,4.0034121544594496e-52,2.6121313496954701e-130,4.1090063296415296e-23,6.0067191283182412e-109,4.1090063295837164e-23,3.9287910731878968e-73,8.4742569131053864e-65,4.1096424047397156e-110,2.4832360575288561e-111,1.6028537163957909e-50,7.4364046559516254e-87,1.6295732775298161e-16,7.8351331316057558e-18,3.020083645649538e-21,1.3568199078503559e-34,3.0200836456564108e-21,3.2150000329362068e-33,4.2515718444152727e-41,1.7456885136562319e-48,9.116890327069756e-76,1.6020435015520136e-49,3.8063580070816748e-53,3.6377637361971176e-100
8.138695813371434e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,2.9555523017131903e-58,6.8778251103356492e-38,6.3930425875761742e-82,3.2555082770125175e-51,1.0027617789082846e-127,8.2758859879867718e-23,3.9412281269372502e-107,8.2758859877530811e-23,6.3970177900560785e-72,1.3815177520960016e-63,7.8902729171847835e-108,4.767667909278454e-109,1.2980324927561632e-49,2.4230441891521589e-85,3.2820982913628068e-16,1.5780620250980593e-17,6.0827036806669952e-21,5.4844829882083112e-34,6.0827036806947753e-21,1.2995543994946357e-32,3.4430329989766878e-40,2.0879904256219574e-47,4.3830022971322169e-74,1.2973763596233395e-48,3.0824874007852701e-52,6.984293487880251e-98
1.6334305583479732e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996467,0.022821567693054271,0.0,4.7598263718050714e-57,2.7655432273908229e-37,6.77872382232091e-80,2.6256853642852251e-50,4.2498842634752608e-125,1.6609645305031355e-22,2.5538571724558741e-105,1.6609645304091695e-22,1.0324812503938872e-70,2.2311548471261186e-62,1.672431027989936e-105,1.0105601956119242e-106,1.0447694706978077e-48,7.823862857501604e-84,6.5871483190285983e-16,3.167159448973023e-17,1.2207943750679471e-20,2.2052864749288432e-33,1.2207943750791172e-20,5.2254509451956468e-32,2.7712523174814189e-39,2.766051208545357e-46,2.3260127618741527e-72,1.0442413574350372e-47,2.4810540307444551e-51,1.4803986197661603e-95
3.2725525123696327e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996401,0.022821567693054254,0.0,7.6405758099533212e-56,1.1091065263672716e-36,7.7639242388792491e-78,2.1090932754702686e-49,1.9459916638554808e-122,3.3277163940536919e-22,1.644612527783964e-103,3.3277163936768468e-22,1.6591696516615124e-69,3.586516212447418e-61,3.8296450468887495e-103,2.3140487009214741e-104,8.383616937287209e-48,2.514910804229907e-82,1.3197248374359425e-15,6.3453542967229351e-17,2.4458423890614677e-20,8.8441849986982405e-33,2.445842389106264e-20,2.0956394317845025e-31,2.2237551730260654e-38,3.961602168599325e-45,1.332975701838809e-70,8.3793791571732225e-47,1.9908896087475898e-50,3.3899163225447352e-93
