Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),O(29),CH3X(55),C2H4(47),OH(D)X(68),COX(50),CH4OX(63),CHOX(53),C2H6X(52),acetyl(44),CH2(T)(34),C2H4X(222),CH2O2(186),C2H4X(70),CH2OX(54),CH2OH(40),CHO2X(213)
6.6811294902602495e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999966,0.11866996602996205,0.02282156769305424,0.0,1.8548371202755526e-45,2.2242317210004783e-30,3.4492471802359818e-68,1.2374008425854584e-45,3.5823324108521073e-53,5.896628293061335e-17,2.0973151358521397e-89,5.896628293060394e-17,1.0195845627221711e-60,1.0791727762465632e-58,1.1730314222764471e-70,4.83363325708018e-90,8.011692355105324e-32,4.154180426195361e-71,3.2203096635581505e-15,9.534764558330709e-17,3.817085982716002e-19,6.746655597334583e-32,2.4981720984251332e-31,3.8170859706313766e-19,1.5053229454082606e-45,6.015839578004158e-28,1.7735704299068896e-33,4.398523450211292e-38,3.2197461747926014e-63,9.736096575905542e-44,7.168610483863989e-25,2.2475107375410456e-31,1.3576974952272516e-61,2.4614802971590254e-46,7.341526357864664e-83,1.0703510215385489e-72,5.929600075376824e-69,1.3090492585052748e-59,2.3430114629894865e-98,1.0844691493377081e-34,1.4163603102534813e-75,7.078583691021806e-48,4.3211095445468874e-85,3.6704686773989916e-67,1.959713820007506e-71,2.8472556415749156e-101
1.3368063610833498e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999933,0.11866996602995876,0.02282156769305419,0.0,1.4849975193051946e-44,8.902723573117991e-30,1.1049647214152434e-66,9.909242502744969e-45,5.7363711787717905e-52,1.1798379634162176e-16,1.3443572710065979e-87,1.179837963415841e-16,1.6331084030928402e-59,1.7286858677667455e-57,3.756840962006195e-69,3.0969400705779494e-88,3.206764849358878e-31,1.8225219117057277e-69,6.443417163486024e-15,1.9077813012889105e-16,7.637488299003482e-19,2.700420466148181e-31,9.999198811682767e-31,7.637488250633418e-19,1.205173653603958e-44,2.407896500401127e-27,1.4199304152136191e-32,3.564045375548278e-37,1.0438605579529172e-61,7.794797366396416e-43,1.4343450730000657e-24,8.995900122896482e-31,4.349982756071716e-60,1.9706809213550568e-45,4.7037633786429265e-81,3.4292420658768834e-71,1.899059416905677e-67,2.0967538127357233e-58,3.0036620822587526e-96,4.340702805519364e-34,9.076050528558302e-74,5.667142332711038e-47,3.786482259809025e-83,1.1755326255628503e-65,6.276346675538379e-70,7.390217454199228e-99
2.6741931851979992e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999866,0.1186699660299522,0.022821567693054094,0.0,1.188449340841379e-43,3.5622492019083486e-29,3.5392094966898927e-65,7.931410268447328e-44,9.18183967551943e-51,2.360188231636493e-16,8.610534398063555e-86,2.360188231634986e-16,2.614392736966902e-58,2.767505974892034e-56,1.2026831385175766e-67,1.983909097607147e-86,1.2831236402337694e-30,8.983905174575126e-68,1.288963216333654e-14,3.8163909922005223e-16,1.527829296797536e-18,1.0805199309317687e-30,4.000981975513434e-30,1.5278292774431526e-18,9.645051941295391e-44,9.634665583276077e-27,1.136368938694159e-31,2.920428148780995e-36,3.4209889600366456e-60,6.238207118679701e-42,2.869313603555014e-24,3.599531811979407e-30,1.3928449523906772e-58,1.5771436644125562e-44,3.013244913016222e-79,1.0980169269156187e-69,6.079487011285434e-66,3.3566271373175913e-57,3.849146847364849e-94,1.7368465249317667e-33,5.812279340311518e-72,4.535390286396364e-46,3.728266627858182e-81,3.763250246229667e-64,2.009258940371363e-68,1.937384288828017e-96
5.348966833427298e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997335,0.11866996602993907,0.022821567693053903,0.0,9.509400466182127e-43,1.4251317518889746e-28,1.1340399681835068e-63,6.3467351129547345e-43,1.4693644766537258e-49,4.720888768077471e-16,5.512870289787291e-84,4.720888768071442e-16,4.184164136050089e-57,4.4292968253041465e-55,3.8493209968726605e-66,1.271368106125901e-84,5.133330081075692e-30,4.891265019296402e-66,2.5782062163016648e-14,7.633610374023473e-16,3.0559902451509755e-18,4.32278330339267e-30,1.6006533144089189e-29,3.0559901677203846e-18,7.717506883550768e-43,3.854448119392111e-26,9.092567002914631e-31,2.445778858030617e-35,1.1453562184039208e-58,4.991513860801349e-41,5.739252589975367e-24,1.4400471062795226e-29,4.458424886192524e-57,1.2619545502593718e-43,1.931007547176407e-77,3.5147096529931215e-68,1.9458070912490615e-64,5.372060663794792e-56,4.933927708952053e-92,6.948517066267964e-33,3.720980158409922e-70,3.6289277976439165e-45,4.0557424145759796e-79,1.2044700491057606e-62,6.430861352303664e-67,5.184463659573747e-94
1.0698514129885895e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999468,0.11866996602991281,0.022821567693053522,0.0,7.608242829159932e-42,5.700991851253307e-28,3.6383650960093996e-62,5.078030927014398e-42,2.3511301508231328e-48,9.442289840961139e-16,3.528918185778493e-82,9.442289840937021e-16,6.69557135039542e-56,7.087904820442086e-54,1.2318646758248758e-64,8.157752449066517e-83,2.0534991484810615e-29,2.8555487369060265e-64,5.156692216229317e-14,1.5268049137668284e-15,6.112312200096497e-18,1.729254039715032e-29,6.403134318566977e-29,6.11231189034529e-18,6.174591593528795e-42,1.5418683392699782e-25,7.274566595847006e-30,2.1312074435752443e-34,3.987676905269144e-57,3.993590832455783e-40,1.1479138264057908e-23,5.760657185786498e-29,1.4268816306593215e-55,1.0096594924953236e-42,1.2390338533681486e-75,1.1248759780045474e-66,6.226995271148306e-63,8.596463021408008e-55,6.332133755296554e-90,2.7796330359266794e-32,2.38174358795931e-68,2.9033002661409404e-44,4.732556044653765e-77,3.8545606036626625e-61,2.0580137514362436e-65,1.4412531808858377e-91
2.1397608722803093e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998937,0.1186699660298603,0.02282156769305276,0.0,6.086883394479015e-41,2.280490247228954e-27,1.1714448942355863e-60,4.062681890195788e-41,3.7617046112960093e-47,1.888509198673533e-15,2.258725645946448e-80,1.8885091986638843e-15,1.0713641190877038e-54,1.1341471440580205e-52,3.941869958475205e-63,5.252814445386031e-81,8.214330838901641e-29,1.7395180846380869e-62,1.0313664216051139e-13,3.053692666495356e-15,1.2224956342961185e-17,6.917297544823198e-29,2.5613579236564606e-28,1.2224955103876877e-17,4.939907548997749e-41,6.1674332087538435e-25,5.819645260733794e-29,1.9840780718490737e-33,1.4822183582637058e-55,3.195025270688414e-39,2.2958940417190307e-23,2.304356601233002e-28,4.5661535971566957e-54,8.077659282490849e-42,7.978195843158876e-74,3.599873257461783e-65,1.9925883591209157e-61,1.375527366174342e-53,8.155028946775887e-88,1.1118984578673255e-31,1.524362562014612e-66,2.3225622832492813e-43,5.763783247377196e-75,1.2334290400566906e-59,6.585486513188166e-64,4.272067485744605e-89
4.2795797908637483e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767997875,0.11866996602975526,0.022821567693051232,0.0,4.869622584302511e-40,9.122152282489228e-27,3.8109846756482114e-59,3.2502483718943416e-40,6.017936726027997e-46,3.77706962783111e-15,1.445654177510264e-78,3.777069627792514e-15,1.7142407525449067e-53,1.8147012483585196e-51,1.261236890960811e-61,3.417177367114773e-79,3.2857991865262474e-28,1.085042369316491e-60,2.062760821556086e-13,6.107468171950668e-15,2.4450245560737804e-17,2.7669752475044623e-28,1.0245639933456492e-27,2.4450240604067226e-17,3.9520194745328005e-40,2.4667906094166606e-24,4.65537189161536e-28,2.0336972984950705e-32,6.061952286276968e-54,2.5560823784490873e-38,4.5918667943324405e-23,9.217613633677016e-28,1.461084928889943e-52,6.462280627735072e-41,5.190152526967093e-72,1.1520025890019471e-63,6.375459406950572e-60,2.2009184126850552e-52,1.0611379760207843e-85,4.447684320088352e-31,9.755371515628246e-65,1.857792883053776e-42,7.18902866969886e-73,3.946467600175028e-58,2.107088309419972e-62,1.3916547516407056e-86
8.559217628030626e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679957505,0.11866996602954517,0.02282156769304818,0.0,3.8957447566226836e-39,3.6489025924373356e-26,1.280847900886306e-57,2.6002398375020513e-39,9.625802655672168e-45,7.554190486157222e-15,9.252409960828361e-77,7.554190486002837e-15,2.742831726540336e-52,2.9035743869429227e-50,4.0347659115358125e-60,2.295846749935066e-77,1.3143330455466524e-27,6.852900968542123e-59,4.1255496214044617e-13,1.2215019182854322e-14,4.890082772570023e-17,1.1068013061214733e-27,4.098297495648188e-27,4.890080789695716e-17,3.1616525113171313e-39,9.86540035842518e-24,3.723614169928497e-27,2.3410185434484975e-31,2.7835899802795875e-52,2.0448925567306506e-37,9.183861587506978e-23,3.687082716809427e-27,4.674662625945764e-51,5.169885560720372e-40,3.487027977422082e-70,3.686476836180119e-62,2.039539918773853e-58,3.521529156242844e-51,1.4262242585827593e-83,1.779091825932116e-30,6.242368663086559e-63,1.485770490854795e-41,9.079944578137704e-71,1.262496605880741e-56,6.740705682707208e-61,5.087767247899158e-84
1.7118493302364384e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679915017,0.11866996602912501,0.022821567693042073,0.0,3.1166150268145695e-38,1.4595721075271311e-25,4.765785866122671e-56,2.0802083188636775e-38,1.5391731705451372e-43,1.5108432202853272e-14,5.9216137737316e-75,1.5108432202235742e-14,4.388567955283846e-51,4.645760080626912e-49,1.2903373909995835e-58,1.7060092512198727e-75,5.257358929170143e-27,4.355379099051694e-57,8.251127220886937e-13,2.4430121204633756e-14,9.78020069830278e-17,4.427227327661372e-27,1.6393272020522155e-26,9.78019276527785e-17,2.52933607312054e-38,3.9446910304664976e-23,2.977745537344078e-26,3.0146511971915182e-30,1.430444383318229e-50,1.635927567551387e-36,1.836804832564692e-22,1.4748403932295259e-26,1.4953312235363586e-49,4.1359325153789845e-39,2.5911575139291265e-68,1.1796832456940737e-60,6.522517365638045e-57,5.634494386175905e-50,2.121156200380287e-81,7.1164034997781e-30,3.99363087292896e-61,1.1878538384497044e-40,1.154093165267097e-68,4.037524385663342e-55,2.1557191448959267e-59,2.0828591048444618e-81
3.42370446510319e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767983004,0.11866996602828468,0.022821567693029857,0.0,2.4933005832349167e-37,5.838332421339526e-25,2.3030166303227992e-54,1.6641732230478177e-37,2.4596024493531952e-42,3.0216915636420695e-14,3.789855619280289e-73,3.021691563395057e-14,7.021738401282921e-50,7.433246256581385e-48,4.124006966720289e-57,1.6436939866998642e-73,2.1029489250704343e-26,2.7761065583889405e-55,1.6502282418994783e-12,4.8860325248081114e-14,1.956044252852877e-16,1.7708951027812546e-26,6.557324410253775e-26,1.9560410784462307e-16,2.0234733502116585e-37,1.5766903319750618e-22,2.3803438536450525e-25,4.236583539986208e-29,8.027570552638593e-49,1.3087520342849876e-35,3.67372104090902e-22,5.899375016400673e-26,4.7814052453267425e-48,3.3087550682187227e-38,2.4965097817336484e-66,3.7750014538724267e-59,2.0846230786247367e-55,9.015229139816797e-49,4.093752369823203e-79,2.846568639213274e-29,2.5539872914760968e-59,9.490568264101733e-40,1.471184015449092e-66,1.2904205361766651e-53,6.889885782780101e-58,9.323097376978507e-79
