Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),CO2X(24),COX(50),O(29),H2OX(23),CHOX(53),acetyl(44),C2H4X(215),C2H4X(70),HOCO(73),CHO2(74),S(216)
6.402625589817542e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999967,0.11866996602996219,0.02282156769305424,1.221467825303325e-96,1.6324139775658947e-45,2.0426873051434304e-30,5.807089589215398e-71,1.0757599830152796e-45,5.160248782690789e-109,5.650824820958598e-17,1.5899254776442416e-89,5.650824820957914e-17,8.416276789528587e-61,5.212759095757e-60,6.672903757387249e-92,7.737216682717028e-93,7.357674541448699e-32,2.087682390984585e-71,3.086070564728901e-15,9.13730644542194e-17,3.657970215029732e-19,6.195907515168223e-32,2.2942387403700147e-31,3.6579701176557905e-19,4.866990622675691e-27,1.2113759175224541e-31,2.6181348490198847e-35,1.7603429555669406e-60,8.568692944438525e-44,1.4139052443104296e-63,2.064039881108765e-31,9.806566307454266e-87,1.1751611530361749e-85,6.869785752964392e-25,1.324812104196536e-45,1.0663953982476696e-87,3.6084510958207725e-101,1.413511423287799e-77,2.0869876756464137e-85,7.49187346874148e-119,1.2608703451549988e-120,5.1400184023048814e-173
1.2810813843049348e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999355,0.11866996602995904,0.022821567693054195,3.136241821450701e-94,1.3069237619188735e-44,8.176177289520169e-30,3.725944190707663e-69,8.614804661453497e-45,1.3243771598491901e-106,1.1306559133507918e-16,1.0191250187979869e-87,1.1306559133505181e-16,1.3480669526382484e-59,8.350120744227986e-59,8.56297796176821e-90,9.928753408532627e-91,2.9449872819031577e-31,6.73715012486826e-70,6.174822337592369e-15,1.828255147159556e-16,7.319118607688559e-19,2.4799774285715436e-31,9.182933914559998e-31,7.319118217934183e-19,1.9480160958580244e-26,9.698144751740707e-31,2.098836889162388e-34,5.647300026668403e-59,6.860246458495195e-43,4.529977711041766e-62,8.261538559429986e-31,1.2589622231222156e-84,1.5080210074010582e-83,1.3745541515450424e-24,1.0606551127502784e-44,1.369033359696858e-85,9.26507739931734e-99,9.057613598273953e-76,1.3469292612272816e-83,3.8472625978743577e-116,6.474879386062298e-118,8.456355612596846e-169
2.562719034951296e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998717,0.11866996602995275,0.022821567693054105,8.056060369637892e-92,1.0459362140007275e-43,3.271619671403771e-29,2.3921756137610542e-67,6.895335353636646e-44,3.401145144551209e-104,2.261802775860645e-16,6.527437340833071e-86,2.2618027758595513e-16,2.158077924435111e-58,1.336796320568455e-57,1.09953581346163e-87,1.2749092663771053e-88,1.1783785151187875e-30,2.1885164433648467e-68,1.23523258833145e-14,3.6573041523942165e-16,1.464141568569768e-18,9.923137812999282e-31,3.6743696938515374e-30,1.4641414126133731e-18,7.794213471949945e-26,7.761097915273459e-30,1.6840880700712772e-33,1.8128922527003532e-57,5.4904133299990944e-42,1.4504200265528388e-60,3.3056915324607e-30,1.6169500311171022e-82,1.9363860443200607e-81,2.749705746077686e-24,8.488462639411354e-44,1.7583203773166543e-83,2.3799033456557764e-96,5.800240268138627e-74,8.749916018209174e-82,1.9764966969213334e-113,3.3264438265217203e-115,1.3883554382703917e-164
5.125994336244018e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997446,0.11866996602994016,0.02282156769305392,2.0737225807068176e-89,8.369078913285014e-43,1.3089279125496458e-28,1.539251287752197e-65,5.517665273763209e-43,8.753675134283911e-102,4.52409650088031e-16,4.179172534864084e-84,4.524096500875932e-16,3.453861585891183e-57,2.1394959088335607e-56,1.4149736728250807e-85,1.6406587430815746e-86,4.7142813744824234e-30,7.206327420678846e-67,2.470733297473954e-14,7.315402162863289e-16,2.928601101268546e-18,3.96989950365722e-30,1.4699871345207058e-29,2.9286004773103968e-18,3.117882254264283e-25,6.209472921751954e-29,1.3545357878998296e-32,5.8327536261945275e-56,4.3933747720826946e-41,4.642345253608044e-59,1.322491861455189e-29,2.0811247753844218e-80,2.491901791982983e-79,5.500010703284724e-24,6.792056909229497e-43,2.2630788485196648e-81,6.126033251917818e-94,3.7129756791592785e-72,5.761124321519737e-80,1.0175433043345871e-110,1.7125677625491985e-112,2.2770149033338895e-160
1.0252544938829462e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679994903,0.118669966029915,0.022821567693053556,5.363611159872156e-87,6.695898949232138e-42,5.236673737887686e-28,9.95231281626146e-64,4.4146910834730366e-42,2.263812614535315e-99,9.048683950919476e-16,2.675186581879438e-82,9.04868395090196e-16,5.526928168688411e-56,3.423690943741282e-55,1.8296858365446725e-83,2.121516546600765e-84,1.885866023523195e-29,2.435041735143673e-65,4.941734715751277e-14,1.4631598183800437e-15,5.857520635216785e-18,1.5880876197028838e-29,5.880427064485003e-29,5.857518138932978e-18,1.2470059230522106e-24,4.9671148316857395e-28,1.0949446577788315e-31,1.8857806214001983e-54,3.515369360519993e-40,1.4855041750546885e-57,5.290397942009302e-29,2.691428458191677e-78,3.2222489165110377e-77,1.1000627690265799e-23,5.434156825049945e-42,2.926743874706082e-79,1.584416398504393e-91,2.37623973905551e-70,3.891883382651365e-78,5.2636337858372966e-108,8.859376868523934e-110,3.7325037476173433e-156
2.050564614400035e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679989813,0.11866996602986467,0.022821567693052824,1.4007431742355086e-84,5.356973612700215e-41,2.0951832820151006e-27,6.49735854311944e-62,3.531976426038286e-41,5.911051200948553e-97,1.809785885099714e-15,1.71228460148732e-80,1.809785885092707e-15,8.843684814598164e-55,5.478303442701125e-54,2.388839112220968e-81,2.769853482995187e-82,7.543771052478394e-29,8.615922948954527e-64,9.883737552275174e-14,2.9263990225670727e-15,1.1715361578618078e-17,6.352597591279471e-29,2.3522665171725704e-28,1.1715351591092861e-17,4.986239839768062e-24,3.972384952388559e-27,8.939293752643852e-31,6.1565812811522465e-53,2.8129660413327148e-39,4.752218304274163e-56,2.116245253976951e-28,3.514554444281512e-76,4.2069703900390697e-75,2.2001889954495944e-23,4.347524427700949e-41,3.8218424179484444e-77,4.1374975117874774e-89,1.5203534484376484e-68,2.752283007205785e-76,2.7492145601255076e-105,4.627772043886639e-107,6.11653920437969e-152
4.101184855434213e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767997963,0.11866996602976401,0.02282156769305136,3.7268178646855795e-82,4.285680853865593e-40,8.38432829229462e-27,4.3213483669502983e-60,2.825670566990441e-40,1.572226472042295e-94,3.619620865114982e-15,1.0959150076916626e-78,3.619620865086954e-15,1.4150375506526591e-53,8.765603574519868e-53,3.177151027584011e-79,3.683899320408859e-80,3.017569813758109e-28,3.2835054398952387e-62,1.976774322519998e-13,5.852877430939531e-15,2.3431050977842123e-17,2.541081633393186e-28,9.409257316377023e-28,2.3431011011076322e-17,1.9929487933246561e-23,3.175593022787138e-26,7.43821123624642e-30,2.0479361851259785e-51,2.2512846106884775e-38,1.5196422663302454e-54,8.46515297227659e-28,4.675743701990933e-74,5.595261677258717e-73,4.400452764402822e-23,3.4780902315949027e-40,5.084572472340242e-75,1.1006655050966747e-86,9.723493855185856e-67,2.0956323575980457e-74,1.4628590290620802e-102,2.462960944085412e-104,1.0020871158211906e-147
8.202425337502569e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679959276,0.11866996602956269,0.022821567693048436,1.025988602699844e-79,3.4285857565723544e-39,3.356499085926499e-26,2.973753117493935e-58,2.260572224164866e-39,4.326096391607694e-92,7.23929082514446e-15,7.014025205232059e-77,7.23929082503234e-15,2.2640984628862662e-52,1.4025219239775208e-51,4.3716320920092085e-77,5.068897305102435e-78,1.2070402041632476e-27,1.3868452300555426e-60,3.9535754570557623e-13,1.1705834247678047e-14,4.6862459908976816e-17,1.0164357116636445e-27,3.763741065646304e-27,4.686229991373619e-17,7.959202624786916e-23,2.5366881655193865e-25,6.408215171600721e-29,7.050081896155229e-50,1.802419500231711e-37,4.855756515794031e-53,3.3860954196560826e-27,6.436948759648964e-72,7.698854722865589e-71,8.801025566738073e-23,2.782486221916584e-39,6.99981036232598e-73,3.0293467668953143e-84,6.214026114551252e-65,1.767956017268681e-72,8.053950156032634e-100,1.3565847587780424e-101,1.6410448890159515e-143
1.640490630163928e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767991856,0.11866996602916004,0.022821567693042583,2.9931022080340203e-77,2.7428854946641484e-38,1.3447836881022354e-25,2.1683644715453556e-56,1.8084720869704742e-38,1.2610041284787719e-89,1.4478630745199176e-14,4.489030249840341e-75,1.447863074475069e-14,3.6225882364612785e-51,2.244055060181261e-50,6.372688076698003e-75,7.389116899699083e-76,4.828185374061172e-27,6.5795912898996165e-59,7.907177725930509e-13,2.3411747881129477e-14,9.372539896219417e-17,4.065705275087021e-27,1.5055039654855946e-26,9.372475797013513e-17,3.1736032662828883e-22,2.023282518695223e-24,5.855542741578796e-28,2.572477590999932e-48,1.4441274485720286e-36,1.5492734583782296e-51,1.3544448853742822e-26,9.391138096768726e-70,1.122290105362595e-68,1.7602352229123741e-22,2.2259718094760893e-38,1.0212436639732412e-70,8.83382182642509e-82,3.9653764256531837e-63,1.6753257074161684e-70,4.698662977927371e-97,7.920930233152497e-99,2.684323877176311e-139
3.28098682299127e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767983713,0.11866996602835475,0.022821567693030877,9.522987983802578e-75,2.1943158872963905e-37,5.396412488582767e-25,1.7242435788845662e-54,1.4467833915343058e-37,4.0074727529725258e-87,2.895731058529165e-14,2.872996662331365e-73,2.8957310583497713e-14,5.796165703430172e-50,3.590503121759904e-49,1.0129091471439448e-72,1.1744657221008605e-73,1.9312790611001404e-26,3.464170036325431e-57,1.5814382262892864e-12,4.682357514792993e-14,1.8745176705782322e-16,1.6262396467461518e-26,6.022030231421936e-26,1.8744919508969454e-16,1.2614405982379003e-21,1.6089857980751885e-23,5.8406635928370175e-27,1.0239741198906527e-46,1.1587688149463465e-35,4.928612387280263e-50,5.417791947208712e-26,1.4943902369611143e-67,1.7838275699116294e-66,3.5205729784755715e-22,1.7807341295426341e-37,1.6251181007823973e-68,2.8089970085132794e-79,2.5230808191949326e-61,1.7622469326697699e-68,2.9895134685198307e-94,5.04806027675166e-96,4.3767739754362867e-135
