Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CO2X(24),COX(50),H2OX(23),CHOX(53)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033531407515e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-6.484209200068884e-119,1.3111416841482734e-65,2.9700074438191462e-36,5.281641639760339e-88,1.7967590916315932e-54,1.7962034095048091e-131,5.564692336215776e-20,-6.542726576501306e-106,5.564692336215775e-20,2.5936454501041235e-72,1.606461989421289e-73,1.1849826559580147e-111,1.3739845547853338e-112,1.1017631486624446e-53,1.2175534465967754e-85,3.039031115899591e-18,8.998030997900935e-20,3.602213534500566e-22,9.008783566733485e-38,3.3357984490676632e-37,3.602213534358987e-22,7.076727314172455e-33,3.0334343828805975e-40,6.547434878489926e-44,8.265005091554183e-75,2.1456308544776396e-52,6.647123516276194e-78,-2.6558462023861515e-106,2.086865782482972e-105,3.3174158802959275e-54,-2.888047405896503e-107
1.7654093887941043e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,1.1747121703245374e-116,2.9329843409692047e-64,1.793884534251307e-35,5.836373198907144e-86,2.7152623615916276e-53,6.481236546031086e-129,1.5581138541404175e-19,1.2630831059794772e-104,1.5581138541404168e-19,7.31449521055466e-71,5.050973507672969e-72,2.3688446162525584e-109,2.7466696656266057e-110,1.3080132098692803e-52,6.302489261285047e-84,8.509287124518851e-18,2.519448679412262e-19,1.0086197896831052e-21,5.441305273294428e-37,2.0148222632348143e-36,1.008619789597592e-21,4.2743431207310344e-32,3.601293161078214e-39,7.77313126775343e-43,5.0280164887966635e-73,2.547293000090226e-51,4.043769461954788e-76,2.6877910646197827e-104,4.1717579146076253e-103,3.938436132402367e-53,2.9227852125678373e-105
4.03522146010081e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,4.958983002181507e-114,5.795094157959746e-63,8.636782219394176e-35,5.280335392161311e-84,2.9209553456354005e-52,2.3467116766368667e-126,3.561403095178097e-19,1.333682371068225e-102,3.5614030951780946e-19,1.5910624781007933e-69,1.126844403580258e-70,4.288570962412592e-107,4.9725877714898725e-108,1.2842151253903459e-51,2.7519856023579896e-82,1.9449799141757354e-17,5.758739838656599e-19,2.3054166622409908e-21,2.619754259687201e-36,9.700501889857955e-36,2.3054166618292792e-21,2.0579120374176775e-31,3.535770688024996e-38,7.631741492395294e-42,2.2698972793677764e-71,2.50094747790768e-50,1.8255506822764628e-74,5.628673023645538e-102,7.552576362332507e-101,3.866779947949559e-52,6.120789112599873e-103
8.57484560271422e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,1.5950707121693317e-111,1.0312069692497812e-61,3.7719100455105855e-34,3.996273556974752e-82,2.684861199059194e-51,7.115690100121131e-124,7.567981577253456e-19,1.0541647627450143e-100,7.567981577253445e-19,2.9495616890447e-68,2.1104548558236694e-69,6.498398838059215e-105,7.534877906782215e-106,1.135873734294773e-50,1.0245488527965663e-80,4.133082317623431e-17,1.2237322157145273e-18,4.899010407723912e-21,1.144115511405625e-35,4.2364640302840943e-35,4.899010405925859e-21,8.987440945048182e-31,3.127348611187403e-37,6.750251398168167e-41,8.570778307214112e-70,2.212059908982156e-49,6.892930892480982e-73,9.045676424953744e-100,1.1444290857538241e-98,3.4201230714908e-51,9.836541859990693e-101
1.7654093887941043e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,4.562841630960119e-109,1.7392820304612832e-60,1.574698479386978e-33,2.7763586310047378e-80,2.296955281848478e-50,1.9791849339348894e-121,1.5581138541404174e-18,7.471546512567113e-99,1.558113854140412e-18,5.0695429272444274e-67,3.6452859242118875e-68,9.034750114859284e-103,1.0475771144555524e-103,9.547703137893077e-50,3.530095671121228e-79,8.509287124518795e-17,2.5194486794122616e-18,1.0086197900158356e-20,4.776457032956342e-35,1.7686403376670212e-34,1.008619789265184e-20,3.7520783524192935e-30,2.6287240680579807e-36,5.6740981331310166e-40,2.9736553559332096e-68,1.8593699548641196e-48,2.391477150344186e-71,1.2932960395853384e-97,1.5911043737856153e-96,2.8748195151203e-50,1.4063691922308749e-98
3.581259045839469e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996516,0.022821567693054285,1.2338568407586918e-106,2.8567765599927603e-59,6.433159433580818e-33,1.8504982092438687e-78,1.8991670457932055e-49,5.279109761591608e-119,3.1607452469705614e-18,5.028008284215546e-97,3.160745246970539e-18,8.402395619223455e-66,6.056697062450757e-67,1.2047402306042383e-100,1.396893415305311e-101,7.827783857213238e-49,1.1717553495999401e-77,1.726169673830943e-16,5.110881606807728e-18,2.0460572890901666e-20,1.951338543728936e-34,7.225472872375919e-34,2.046057286023509e-20,1.5328453522705357e-29,2.1551853743736854e-35,4.6521408184525386e-39,9.903874989314096e-67,1.5244243435711575e-47,7.964612162500483e-70,1.7482727067661816e-95,2.1216607274965364e-94,2.3569507206545065e-49,1.9011245727330263e-96
7.212958359930197e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.02282156769305428,3.245946906518588e-104,4.630958374937671e-58,2.600387787230764e-32,1.2085336340083704e-76,1.5443711010706895e-48,1.3794081111173402e-116,6.366008032630849e-18,3.299060143934202e-95,6.36600803263076e-18,1.3681123086977432e-64,9.873944776396408e-66,1.573843336328417e-98,1.824867583372017e-99,6.339142279063855e-48,3.81959283611825e-76,3.476651596589031e-16,1.0293747461598658e-17,4.1209322895886e-20,7.887622335907327e-34,2.9206516602847335e-33,4.1209322771926714e-20,6.19599724724781e-29,1.745322664919928e-34,3.767703409880873e-38,3.233025492023405e-65,1.234519192832445e-46,2.599778648607091e-68,2.2993804598014668e-93,2.7716859725736e-92,1.9087197901272364e-48,2.500415810147426e-94
1.4476356988111654e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999992,0.11866996602996462,0.022821567693054278,8.424160465452237e-102,7.458016005497037e-57,1.0456060096863238e-31,7.813909049903718e-75,1.2455912416982778e-47,3.567906645201569e-114,1.2776533603951427e-17,2.1377418762469363e-93,1.2776533603951068e-17,2.2081387820446875e-63,1.594644697273724e-64,2.035331606416823e-96,2.3599621284677373e-97,5.102293138723469e-47,1.2343557629588778e-74,6.977615442105055e-16,2.0659479171180505e-17,8.270682299984609e-20,3.171578210006454e-33,1.1743811870262011e-32,8.270682250141052e-20,2.4913762074209565e-28,1.404783772482504e-33,3.033024872604058e-37,1.0450103493716853e-63,9.936497929690988e-46,8.402013287282712e-67,2.9836194241849644e-91,3.5844101711314513e-90,1.5363037233978662e-47,3.244477973994455e-92
2.900315424447457e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999985,0.11866996602996391,0.022821567693054268,2.1718437128072002e-99,1.197176742621379e-55,4.193359928089682e-31,5.027524865648946e-73,1.0005266234887238e-46,9.1829969507409e-112,2.5597584746592584e-17,1.3766459254786413e-91,2.559758474659115e-17,3.5484197436385756e-62,2.563344708104981e-63,2.619194646734513e-94,3.036949926785632e-95,4.094268815723021e-46,3.9743632673465656e-73,1.397954313313648e-15,4.1390942590344106e-17,1.6570182358373542e-19,1.2719446822400694e-32,4.7097938141440866e-32,1.6570182158478028e-19,9.991476462644463e-28,1.1272444923798809e-32,2.434532649573337e-36,3.361576705559974e-62,7.973435408616245e-45,2.7019473627286697e-65,3.845954831927059e-89,4.6126478361257955e-88,1.2327869552027371e-46,4.182207654946964e-90
5.8056748757200405e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999705,0.11866996602996248,0.022821567693054247,5.581963279654973e-97,1.9186043031848886e-54,1.6795409651313834e-30,3.227562850972868e-71,8.02045929078796e-46,2.3581768727899124e-109,5.12396870318749e-17,8.837803832776632e-90,5.123968703186918e-17,5.689817926554493e-61,4.110906955987611e-62,3.362992443482141e-92,3.899381692307298e-93,3.280397187598713e-45,1.2789111929061516e-71,2.798339851519687e-15,8.285386942867098e-17,3.316918262554205e-19,5.094412898658146e-32,1.8863741405423446e-31,3.3169181824912837e-19,4.001756913850988e-27,9.031576924811005e-32,1.9517443491076805e-35,1.0789920685146186e-60,6.388485761102014e-44,8.66751092485203e-64,4.942280034324987e-87,5.9225456308701346e-86,9.877296872098545e-46,5.374385071473413e-88
1.1616393778265207e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999416,0.11866996602995962,0.022821567693054205,1.4330550764844113e-94,3.0722663760159756e-53,6.722618910725352e-30,2.0706229656272613e-69,6.422872311315851e-45,6.051544321439169e-107,1.0252389160243957e-16,5.664936579656837e-88,1.0252389160241665e-16,9.113597027702824e-60,6.58510496110851e-61,4.315037327571744e-90,5.00327545672703e-91,2.62631212336337e-44,4.1243846155908135e-70,5.599110927930776e-15,1.6577972310532342e-16,6.63671837614654e-19,2.0390925948164377e-31,7.5504125908587485e-31,6.636718055682593e-19,1.6017094729454168e-26,7.230598800810548e-31,1.5644326304426128e-34,3.461066300741008e-59,5.114728498376052e-43,2.7769694107453885e-62,6.344119788546407e-85,7.599186106254301e-84,7.907842552536848e-45,6.898788661003575e-86
2.323783158335554e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999884,0.11866996602995392,0.022821567693054122,3.680215367242678e-92,4.917626101810089e-52,2.6899856744356654e-29,1.3290922496724483e-67,5.1409010721169e-44,1.5537376358155355e-104,2.0509230074356912e-16,3.628359414364322e-86,2.050923007434774e-16,1.458967043090584e-58,1.0542293304236407e-59,5.53945317082144e-88,6.422982694930022e-89,2.101847490581934e-43,1.3380083312886014e-68,1.1200653080749006e-14,3.316314304586232e-16,1.327631884398472e-18,8.159024764116626e-31,3.021148519767847e-30,1.3276317561682605e-18,6.408634694667385e-26,5.78642956940649e-30,1.2549831598821832e-33,1.1108044933703638e-57,4.0934259640132633e-42,8.891411187589394e-61,8.146147269469765e-83,9.755497418000019e-82,6.328676173160616e-44,8.858369551688685e-84
4.64807071935362e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997684,0.11866996602994251,0.022821567693053955,9.468846722802504e-90,7.869799872906076e-51,1.076219391720804e-28,8.548066660961902e-66,4.1137624012085925e-43,3.997057823866495e-102,4.1022911902582884e-16,2.3230464299412366e-84,4.102291190254618e-16,2.334980664140965e-57,1.6872565704894838e-58,7.125296978110012e-86,8.261764788214569e-87,1.681796699701274e-42,4.394620308014259e-67,2.2403737386369667e-14,6.633348451652022e-16,2.655552074242699e-18,3.264139864216623e-30,1.2086561305962372e-29,2.655551561215227e-18,2.563639558421898e-25,4.6296275932751506e-29,1.0089160643074564e-32,3.572185329605268e-56,3.275504627164209e-41,2.8458899098888216e-59,1.0479710623608567e-80,1.254831730077262e-79,5.063900527490433e-43,1.139596138663963e-81
9.296645841389754e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995375,0.1186699660299197,0.022821567693053622,2.446817600058767e-87,1.259295137465078e-49,4.305627547017126e-28,5.521804808425298e-64,3.2914265891688175e-42,1.0327410192068675e-99,8.20502755590351e-16,1.487036629081259e-82,8.205027555888826e-16,3.7364758503859724e-56,2.7000005364896635e-57,9.205159601583892e-84,1.0673360505106685e-84,1.3455640918947236e-41,1.4780153752751653e-65,4.480990599754778e-14,1.3267416745782776e-15,5.3113928391589494e-18,1.3057611497098895e-29,4.835017979652029e-29,5.311390786697075e-18,1.025354014844433e-24,3.7034214841092073e-28,8.147905074277043e-32,1.1538439710777486e-54,2.6208795531635166e-40,9.106721178248898e-58,1.354038853218115e-78,1.6211150655833331e-77,4.051501948359284e-42,1.4724246773214155e-79
1.859379608546202e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999076,0.11866996602987405,0.02282156769305296,6.378551057393188e-85,2.014971690285002e-48,1.7226406449096404e-27,3.5984422855289895e-62,2.633307948674258e-41,2.69178681612446e-97,1.6410500287194061e-15,9.517952651147088e-81,1.6410500287135326e-15,5.978766817847005e-55,4.320307290261678e-56,1.1996795459395134e-81,1.3910255552955024e-82,1.0765007460494783e-40,5.187638215113012e-64,8.962224321965117e-14,2.6535553334041e-15,1.0623075910873547e-17,5.223248652405242e-29,1.9340858732108406e-28,1.0623067699212868e-17,4.10010149913198e-24,2.9618666665472626e-27,6.639875439756564e-31,3.760195140968732e-53,2.0971662848280538e-39,2.913396172071708e-56,1.7649659463378012e-76,2.1127483348711737e-75,3.24135041696835e-41,1.9192822927926517e-77
3.7188096573606554e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998153,0.11866996602978278,0.022821567693051634,1.6913281237751304e-82,3.2240270440068236e-47,6.893256594506431e-27,2.3852053204732235e-60,2.1067130317253986e-40,7.13555083684999e-95,3.2821445749775598e-15,6.091783541540635e-79,3.2821445749540647e-15,9.566351279960742e-54,6.912718859360517e-55,1.590194044048098e-79,1.843826167988726e-80,8.61218429529003e-40,1.9527207349450898e-62,1.7924691766284674e-13,5.307182651054429e-15,2.124644822958863e-17,2.08933518282044e-28,7.736500755101832e-28,2.1246415370456417e-17,1.6388899763978066e-23,2.367933243238988e-26,5.505825996993897e-30,1.246538239233438e-51,1.6783532629389284e-38,9.316965684846686e-55,2.3401320636311055e-74,2.8004809684455532e-73,2.59313386178723e-40,2.5447435439018656e-75
7.437669754989561e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679963073,0.11866996602960023,0.02282156769304898,4.6280014830889816e-80,5.158477977623509e-46,2.759369641217143e-26,1.631461300724997e-58,1.685397094606571e-39,1.9515792394497584e-92,6.56433366749404e-15,3.89883549477232e-77,6.564333667400059e-15,1.5306421530713509e-52,1.1060474460946303e-53,2.174850475897748e-77,2.5217338640206323e-78,6.88978745844096e-39,8.117867076444707e-61,3.584962665451929e-13,1.0614437286349825e-14,4.249321763006743e-17,8.357371459295088e-28,3.0946316721777113e-27,4.24930860978199e-17,6.546173684568866e-23,1.891787964164062e-25,4.7141825900724984e-29,4.2651297773258863e-50,1.3436254008555396e-37,2.9774868653220696e-53,3.202041035560132e-72,3.8301156341812225e-71,2.074518874352939e-39,3.482032302603473e-73
1.4875389950247373e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767992615,0.11866996602923512,0.022821567693043672,1.3368100843132166e-77,8.253518402440934e-45,1.1053780727508272e-25,1.1778950484285194e-56,1.3483283429849913e-38,5.632804056487605e-90,1.312871185252769e-14,2.495284799954278e-75,1.312871185215177e-14,2.4490481976513262e-51,1.76966746546886e-52,3.139217303191633e-75,3.639914780032994e-76,5.511795881324373e-38,3.7891791296604044e-59,7.169949642937053e-13,2.1228946556919566e-14,8.498685597599903e-17,3.3429221569217544e-27,1.2378588768505703e-26,8.498632909228114e-17,2.6109508701927586e-22,1.5093256387725318e-24,4.264568322215874e-28,1.5408879090381528e-48,1.0763838965971624e-36,9.502550976087537e-52,4.625482651088374e-70,5.528455510312579e-69,1.6596044111298306e-38,5.029993572470848e-71
2.9750830340763e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767985231,0.11866996602850491,0.02282156769303306,4.1945795268894105e-75,1.3205355154848608e-43,4.434416225194583e-25,9.237279615998144e-55,1.078666940568718e-37,1.7654800000926678e-87,2.6257468222597755e-14,1.5969918908311494e-73,2.625746822109407e-14,3.918493699082632e-50,2.8314023364129566e-51,4.9209504404335966e-73,5.705829720158004e-74,4.409342922533034e-37,1.9690229740420017e-57,1.43399235972601e-12,4.2457965097974855e-14,1.6997453475095094e-16,1.3371375205409353e-26,4.951447394781948e-26,1.6997242124196497e-16,1.0384057199582118e-21,1.2009331674310132e-23,4.1945888261052905e-27,6.048703826548006e-47,8.634548634576669e-36,3.0246371888165724e-50,7.258812875873759e-68,8.666252647154226e-67,1.3276546107666378e-37,7.893776698807687e-69
5.9501711121794254e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767970463,0.11866996602704448,0.02282156769301183,1.4631544905566125e-72,2.112758983861616e-42,1.783919236460037e-24,8.052810053645195e-53,8.629352577218157e-37,6.150452828334241e-85,5.2514980962748935e-14,1.0220778781130155e-71,5.251498095673418e-14,6.269603122680221e-49,4.5300029481227635e-50,8.574379115925654e-71,9.9419701778111e-72,3.527308596758483e-36,1.1066379470731589e-55,2.867987150331739e-12,8.491600217974863e-14,3.39951531248994e-16,5.348278960413579e-26,1.9805809125058524e-25,3.3994303019898213e-16,4.1065682967234356e-21,9.504588944914595e-23,4.588872103128715e-26,2.6399681734048204e-45,6.944595997184444e-35,9.576800597052709e-49,1.2664173021241175e-65,1.5100275359254809e-64,1.062072696108149e-36,1.3772524665688848e-66
1.1900347268385676e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767940927,0.11866996602412364,0.02282156769296937,5.67885984779185e-70,3.3800932678068833e-41,7.214358653618083e-24,7.811584381262789e-51,6.903488863510166e-36,2.3843945122313445e-82,1.0503000644309552e-13,6.541308108647782e-70,1.0503000641903648e-13,1.0031375360727321e-47,7.247209614730245e-49,1.6625335332491611e-68,1.9277029191719445e-69,2.8215754451695314e-35,6.497269687622108e-54,5.73597673050768e-12,1.6983207634194896e-13,6.799123155226502e-16,2.139090638285736e-25,7.922324176130203e-25,6.798779468604403e-16,1.6061513760813386e-20,7.444008029697276e-22,5.584021381146718e-25,1.2819485833110717e-43,5.613015572620215e-34,3.0012114391702863e-47,2.458352923794903e-63,2.927873166169799e-62,8.495746898491957e-36,2.6737156571900674e-64
2.3800699580798178e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678818555,0.11866996601828195,0.022821567692884456,2.3859762768095784e-67,5.407115527191293e-40,2.944916586496119e-23,8.203857621463376e-49,5.522793780562791e-35,1.0010575934896678e-79,2.100600574039656e-13,4.186440125024063e-68,2.1006005730772936e-13,1.6050208232268513e-46,1.1592972043487344e-47,3.490658244005546e-66,4.047406793407922e-67,2.256823661379233e-34,3.8588315199121535e-52,1.1471955886717483e-11,3.396642246609608e-13,1.3598627940384234e-15,8.554587341966099e-25,3.1689270692130236e-24,1.3597225761078448e-15,6.150259744266427e-20,5.714543592841296e-21,7.34809143173194e-24,6.736972791049183e-42,4.57683161517104e-33,9.221643359306147e-46,5.165408950334833e-61,6.147357890137595e-60,6.795254861759394e-35,5.618778081371062e-62
4.7601404205623175e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767763712,0.11866996600659857,0.022821567692714623,1.0363716051433961e-64,8.648073681916894e-39,1.220031977516401e-22,8.908754524835814e-47,4.4182360508538745e-34,4.347255113081091e-77,4.2012015932641255e-13,2.679322408301499e-66,4.201201589414683e-13,2.5680337259110132e-45,1.8540300028885257e-46,7.57997416490111e-64,8.788948483747553e-65,1.804759566423727e-33,2.2480828665258597e-50,2.2943914182568776e-11,6.79328521277431e-13,2.7198914297436895e-15,3.420413963260267e-24,1.2675681422769352e-23,2.719311025775845e-15,2.2650594510205273e-19,4.228082442948806e-20,9.983750799452337e-23,3.6590718008428057e-40,3.784823266328505e-32,2.7323997287026027e-44,1.1219099310476233e-58,1.3348963166985813e-57,5.4340538253627505e-34,1.221089291051841e-59
