Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.895292112840976e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,7.2737008014426178e-74,7.3793638089225721e-42,8.5803114754166537e-94,3.4484872400433497e-57,3.7809009370501565e-143,7.0115228147969074e-25,-6.4805976689570086e-118,7.0115228147944003e-25,1.0701925614670123e-79,8.3672670478191729e-75,1.7726416289659139e-121,1.0711120765763546e-122,8.6649654009060811e-59,6.6116467075564161e-95,2.780669898587693e-18,1.3369707978709934e-19,5.1534078279770839e-23,5.8844164457855175e-38,5.1534078279773813e-23,1.3943193961577374e-36,5.4484200326220315e-46,1.2055840408990224e-53,3.5327352694792822e-84,4.8778751327900626e-58
1.9306817915954733e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,2.2705216347218197e-72,4.4571357405960762e-41,9.7096634633388413e-92,5.2113539171496685e-56,1.3968361193499905e-140,1.9632263881439464e-24,1.250871839299854e-116,1.9632263881424319e-24,3.01811425414466e-78,2.630802130416312e-73,3.6284527487567379e-119,2.192479007021306e-120,1.0287045052731635e-57,3.4223787512539875e-93,7.785875716045541e-18,3.7435182340387818e-19,1.4429541918335322e-22,3.5541868272785823e-37,1.4429541918337121e-22,8.4216891496149657e-36,6.4683642569597204e-45,1.4666096334525913e-52,2.2013284572993458e-82,5.7910133576564813e-57
4.412986952218225e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,5.0550614717968628e-71,2.1459189956449475e-40,9.2317067982964193e-90,5.6061367363885284e-55,5.3138761743086008e-138,4.4873746014757069e-24,1.3207997491412418e-114,4.4873746014684151e-24,6.5650577413811981e-77,5.8691724415729382e-72,6.9022623146853447e-117,4.1706661967933067e-118,1.0099877870503742e-56,1.4943445010072514e-91,1.7796287350961222e-17,8.5566131063743596e-19,3.2981810099049748e-22,1.7111872434710412e-36,3.2981810099058404e-22,4.0546807992600481e-35,6.3506783721398539e-44,1.514783564168117e-51,1.0447095329352156e-80,5.6856512548052681e-56
9.377597273463728e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,9.4600759700318508e-70,9.371792037437727e-40,7.666032196334311e-88,5.1530055130458062e-54,1.7670819510564349e-135,9.5356710281522193e-24,1.0439822071584459e-112,9.5356710281203766e-24,1.217051062751655e-75,1.0992301433516066e-70,1.147207255226513e-114,6.9319569467957764e-116,8.9332205480634244e-56,5.5630699004130887e-90,3.7817110620792512e-17,1.8182802851045512e-18,7.0086346460470342e-22,7.4731979435345756e-36,7.0086346460508212e-22,1.7707856281947852e-34,5.6171030792747944e-43,1.4729740147449402e-50,4.3309633649168361e-79,5.0288941469541024e-55
1.9306817915954735e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,1.6334112647901141e-68,3.9125386915862022e-39,6.2701053834770884e-86,4.4085047058168242e-53,5.782080934532558e-133,1.9632263881557221e-23,7.3993761720718743e-111,1.9632263881424282e-23,2.0917998189786149e-74,1.8986436036804922e-69,1.8768001306008404e-112,1.1340494617509608e-113,7.5088982760104694e-55,1.9165619288535028e-88,7.7858757160454815e-17,3.7435182340387825e-18,1.4429541918327863e-21,3.11990775121931e-35,1.4429541918343667e-21,7.3926813940984454e-34,4.7215135574102072e-42,1.4621436470312666e-49,1.7708339440725804e-77,4.2270885441696464e-54
3.9165259200936747e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,2.713471176198382e-67,1.5983997185486819e-38,5.4378591045271514e-84,3.6450369428874751e-52,2.0048019042334798e-130,3.9825449588575118e-23,4.9794409536602126e-109,3.9825449588032028e-23,3.4670047946132461e-73,3.1546144090821648e-68,3.2542450923678103e-110,1.9663654297717407e-111,6.1562290233764375e-54,6.3603702713516304e-87,1.5794205023977832e-16,7.5939941319072389e-18,2.9271356462876343e-21,1.2745798015913125e-34,2.9271356462940903e-21,3.0201515473208724e-33,3.8709820162264405e-41,1.566127302229764e-48,7.6843438800074407e-76,3.4656225785274405e-53
7.888214177090077e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,4.4232501590643607e-66,6.4609872248393237e-38,5.195317002217527e-82,2.9640835067079532e-51,7.6554041702104259e-128,8.0211821003442502e-23,3.2671933419465685e-107,8.0211821001247243e-23,5.6451185456792739e-72,5.1427839722663643e-67,6.2148759091378243e-108,3.7553155313057315e-109,4.9854423684976867e-53,2.0724340511138531e-85,3.1810863639842088e-16,1.5294945927644146e-17,5.8954985551920621e-21,5.1520204620286589e-34,5.8954985552181577e-21,1.2207935277934977e-32,3.1348215015897937e-40,1.8633221113846724e-47,3.674751351013597e-74,2.8065510165612881e-52
1.5831590691082882e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,0.0,7.1431770326591198e-65,2.5979345469256406e-37,5.4844359266830436e-80,2.3906407294486724e-50,3.2301492097315747e-125,1.6098456383650372e-22,2.1170926628422768e-105,1.6098456382767663e-22,9.1112440920918006e-71,8.3055010085757101e-66,1.3114908278682824e-105,7.9246342920747758e-107,4.0126670255309757e-52,6.6917639677083198e-84,6.3844180871568824e-16,3.0696849519117916e-17,1.1832224372979839e-20,2.0715767154193196e-33,1.1832224373084769e-20,4.9087569565298278e-32,2.5231769114176523e-39,2.4576353009746891e-46,1.9415738677217222e-72,2.2589564227688011e-51
3.171834371906849e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996405,0.022821567693054257,0.0,1.1481915871847723e-63,1.0418879489978348e-36,6.2624647299912462e-78,1.9202926424962278e-49,1.4745566138796484e-122,3.225300495159316e-22,1.3633484101377847e-103,3.2253004948053112e-22,1.4641524657920897e-69,1.335050038618556e-64,2.9940029052721912e-103,1.8091150612325385e-104,3.2198311886222185e-51,2.1510077321478825e-82,1.2791081533501516e-15,6.1500656702065314e-17,2.3705676008471078e-20,8.3077241624212412e-33,2.3705676008891897e-20,1.9686309878030113e-31,2.0246903163287627e-38,3.509362476366837e-45,1.1093043487121891e-70,1.8126702655188668e-50
