Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),O(29),COX(50),OH(D)X(68),CO2X(24),CHOX(53),CH4OX(63),acetyl(44),C2H6X(52),C2H4X(215),CHO2X(213),C2H4X(70),S(216),HOCO(73),CHO2(74)
6.681129491545466e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999966,0.11866996602996205,0.02282156769305424,5.78925052151471e-97,1.8548365884234158e-45,2.224241048885802e-30,5.220360577219169e-71,1.2225458436720187e-45,5.051199480578569e-109,5.89662660001638e-17,2.053061157841602e-89,5.896626600015625e-17,9.980712863375777e-61,1.415000130984988e-59,6.259613370037235e-92,7.2580074214278465e-93,8.011690056282402e-32,2.605319348742829e-71,3.2203096641776252e-15,9.534764560164865e-17,3.817086014312611e-19,6.746655594741048e-32,2.498171072780734e-31,3.81708594052255e-19,3.687687672839278e-27,6.664556141434327e-32,1.0029508935643119e-35,7.34283738281416e-61,1.5053229451962138e-45,9.736134504740606e-44,2.2475100926661614e-31,3.6129982686045805e-63,7.168610402824538e-25,1.1023768261429596e-85,2.4614795913521936e-46,4.4541624606908045e-87,6.95131569260509e-88,1.4034331382223617e-73,3.532204274454271e-101,1.2933341205021284e-59,3.769107571225062e-77,5.130223234146518e-100,2.717563792658349e-85,6.3643087158562765e-173,1.2325843843001027e-111,6.370233352431067e-121
1.3368063613405046e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999933,0.11866996602995876,0.02282156769305419,1.4874203573066167e-94,1.4849970934972377e-44,8.902800806565064e-30,3.3516727378812334e-69,9.790282032396072e-45,1.2972306257881475e-106,1.1798376246600957e-16,1.3159899759406632e-87,1.1798376246597937e-16,1.5986486080861758e-59,2.266634939872942e-58,8.037845522251765e-90,9.319863542945602e-91,3.2067639292140695e-31,8.477220763654436e-70,6.443417164725512e-15,1.9077813016559007e-16,7.637488424005032e-19,2.7004204630326192e-31,9.999194706431997e-31,7.637488128649824e-19,1.4760094115589926e-26,5.335605577420602e-31,8.04556324675981e-35,2.3571814166209113e-59,1.2051736525688325e-44,7.794860336173085e-43,8.99589754171611e-31,1.1575672502179965e-61,1.4343450567850887e-24,1.4155402425460782e-83,1.9706803562709384e-45,5.721978272986442e-85,8.929911817217807e-86,4.4963865506657935e-72,9.07521189544767e-99,2.0715822806240555e-58,2.4152144371027875e-75,1.3188393269088773e-97,1.7683089451112372e-83,1.0269799408084386e-168,6.337287804643694e-109,3.3424910128256402e-118
2.6741931857124205e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999866,0.1186699660299522,0.022821567693054094,3.825708702299787e-92,1.1884490000610277e-43,3.5623120321966496e-29,2.1546770008720427e-67,7.836193677361206e-44,3.335732788448204e-104,2.3601875539770074e-16,8.428840378383996e-86,2.3601875539757975e-16,2.5592262040598677e-58,3.6287250403649205e-57,1.033441444559446e-87,1.1982729964322194e-88,1.2831232720427496e-30,2.798013535288447e-68,1.2889632165816053e-14,3.8163909929346624e-16,1.5278293465225506e-18,1.0805199280226205e-30,4.0009803328781774e-30,1.5278292283398627e-18,5.905746605026522e-26,4.269959338980389e-30,6.464276545502557e-34,7.576915222052196e-58,9.645051919160243e-44,6.238309696724862e-42,3.599530779170852e-30,3.706375269506938e-60,2.8693135711178346e-24,1.8199876403074858e-81,1.5771432121583306e-44,7.35861716988917e-83,1.1484105911494907e-83,1.4397083710888545e-70,2.3341556051466037e-96,3.316330824582765e-57,1.5466544072280286e-73,3.3928501599551454e-95,1.1670489827420122e-81,1.6241425226683287e-164,3.2606606401749893e-106,1.7904885693285726e-115
5.3489668344562525e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997335,0.11866996602993907,0.022821567693053903,9.87322586772892e-90,9.50939773934832e-43,1.4251824311365447e-28,1.3900025954356665e-65,6.270542550031078e-43,8.607302138345961e-102,4.720887412610812e-16,5.396540230163206e-84,4.720887412605972e-16,4.09587298754091e-57,5.807647832753326e-56,1.3333296148167215e-85,1.5459926441168496e-86,5.1333286079658995e-30,9.492450513511787e-67,2.5782062167976213e-14,7.633610375491912e-16,3.0559904435121024e-18,4.3227832784518824e-30,1.6006526572476833e-29,3.0559899706873293e-18,2.362512284614552e-25,3.416381449859164e-29,5.2130162260010084e-33,2.4441042725431386e-56,7.717506843673484e-43,4.991679439403073e-41,1.4400466930886934e-29,1.1863256155853596e-58,5.739252525093231e-24,2.3481189221456862e-79,1.2619541883629673e-43,9.495527837696388e-81,1.4819041645243388e-81,4.608450667677922e-69,6.023718367686649e-94,5.307569069824865e-56,9.901025713913057e-72,8.75598522270387e-93,7.915307120046783e-80,2.483241791882148e-160,1.6829579987524606e-103,9.975205969817466e-113
1.0698514131943917e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999468,0.11866996602991281,0.022821567693053522,2.566622423251734e-87,7.608240647368547e-42,5.7013989041620485e-28,9.032792448004817e-64,5.0170691606372755e-42,2.23715791145398e-99,9.442287129878345e-16,3.4544522609497657e-82,9.44228712985899e-16,6.554285754280994e-56,9.293586667476663e-55,1.7328036215098558e-83,2.0091818393663783e-84,2.0534985591044134e-29,3.381218877362136e-65,5.156692217221284e-14,1.5268049140605323e-15,6.1123129925626595e-18,1.729254019095209e-29,6.403131689706726e-29,6.1123111009731276e-18,9.449451089207368e-25,2.732989066269612e-28,4.2357827164867844e-32,7.942293453339162e-55,6.174591526155331e-42,3.993856895246098e-40,5.760655532887426e-29,3.7963136285165647e-57,1.1479138134283649e-23,3.0516302182401744e-77,1.0096592029118091e-42,1.23425318977094e-78,1.926217483546538e-79,1.4749256187606262e-67,1.5658221649308102e-91,8.493262475706156e-55,6.336798575524875e-70,2.2756167190276157e-90,5.634888841198436e-78,3.5939143462347225e-156,8.747651241745363e-101,5.948659497701347e-110
2.1397608726919243e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998937,0.1186699660298603,0.02282156769305276,6.768531703860893e-85,6.086881648775388e-41,2.2808164707695226e-27,5.95467428043414e-62,4.0139093919717627e-41,5.89822147269308e-97,1.8885086564413114e-15,2.2110627545684265e-80,1.8885086564335684e-15,1.0487568432907153e-54,1.4870817902422888e-53,2.284375755164386e-81,2.6487284588480703e-82,8.214328480620897e-29,1.301646539898497e-63,1.0313664218035126e-13,3.0536926670827798e-15,1.2224959511666288e-17,6.917297377195708e-29,2.5613568720684737e-28,1.2224951943908509e-17,3.77884090729379e-24,2.1858942866635007e-27,3.492708505653138e-31,2.618475824716386e-53,4.939907438344073e-41,3.1954517968310034e-39,2.304355940045478e-28,1.2145853575736064e-55,2.2958940157622963e-23,4.023000586914791e-75,8.077656965090315e-42,1.6275360983672135e-76,2.5399888005272422e-77,4.7201159099156027e-66,4.1288239049313586e-89,1.3590141596404054e-53,4.054780232744721e-68,5.997595333043981e-88,4.33385965090089e-76,4.809730103410938e-152,4.6109227730329705e-98,3.940910852280855e-107
4.27957979168699e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767997875,0.11866996602975526,0.022821567693051232,1.833771229095223e-82,4.8696211874058435e-40,9.124763333786772e-27,4.0327146012351375e-60,3.211229141598701e-40,1.5973086970322402e-94,3.7770685433481465e-15,1.415148424124916e-78,3.7770685433171734e-15,1.6780678481075792e-53,2.3794168988189833e-52,3.0934924849324457e-79,3.5868974303167504e-80,3.28579824265217e-28,5.569649421786795e-62,2.062760821952889e-13,6.107468173125531e-15,2.445025823961058e-17,2.766975112335164e-28,1.0245635727010192e-27,2.4450227959237004e-17,1.5106931377643988e-23,1.7477964475072293e-26,2.960378819584227e-30,8.870250283143858e-52,3.952019295202278e-40,2.5567652120719557e-38,9.217610988865177e-28,3.88472111929639e-54,4.5918667424135534e-23,5.447931105336675e-73,6.462278772774716e-41,2.2049326438458274e-74,3.441095429696734e-75,1.5104934988399951e-64,1.1183758895600344e-86,2.1744963883770707e-52,2.593768678067334e-66,1.6230771292496458e-85,3.7039649133912636e-74,5.889951994450379e-148,2.4955040892785458e-95,3.004527945053896e-104
8.559217629677121e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679957505,0.11866996602954517,0.02282156769304818,5.210568234688432e-80,3.895743638609931e-39,3.650990242531325e-26,2.864161343656145e-58,2.5690239643637552e-39,4.535495700084812e-92,7.554188317161341e-15,9.057168342796272e-77,7.554188317037446e-15,2.6849540727985235e-52,3.8071348819051715e-51,4.392678502177348e-77,5.093300563334942e-78,1.3143326675591064e-27,2.6795998069695336e-60,4.125549622198073e-13,1.2215019185204064e-14,4.8900878500175824e-17,1.1068011975595418e-27,4.0982958130455345e-27,4.8900757307746113e-17,6.035853428785486e-23,1.3967193551462096e-25,2.633743881768829e-29,3.1521593076157634e-50,3.1616522225616934e-39,2.045984545368316e-37,3.687081658867584e-27,1.241791605066139e-52,9.183861483649645e-23,7.735919391952004e-71,5.169884075140976e-40,3.1331422196457746e-72,4.889696786600529e-73,4.8336680194969196e-63,3.1766982031165127e-84,3.47925320723206e-51,1.6582650286813738e-64,4.602963075822193e-83,3.5593406975464404e-72,6.729953557852654e-144,1.4153042136437661e-92,2.692402629478718e-101
1.7118493305657384e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679915017,0.11866996602912501,0.022821567693042073,1.5972823634359882e-77,3.116614131623901e-38,1.4612390472595027e-25,2.194407645297286e-56,2.0552354308585283e-38,1.3888924924095632e-89,1.5108427864785827e-14,5.796657620056019e-75,1.5108427864290243e-14,4.295962916477532e-51,6.091466934129969e-50,6.727519339526425e-75,7.800542900367818e-76,5.2573574137396506e-27,1.4299011055552648e-58,8.251127222474165e-13,2.4430121209333256e-14,9.780221060434971e-17,4.427226457468214e-27,1.6393265290021173e-26,9.780172527634121e-17,2.4087871676287504e-22,1.1149347329933462e-24,2.5303199948232144e-28,1.2087890218948342e-48,2.529335609654887e-38,1.6376715755394546e-36,1.47483997004556e-26,3.965202078716923e-51,1.8368048117856123e-22,1.1847792057638047e-68,4.135931324358798e-39,4.8035110697949443e-70,7.496550350641866e-71,1.5467870622435584e-61,9.732964289172235e-82,5.566852315587742e-50,1.0590293446793803e-62,1.4069076603373566e-80,3.7947510147379766e-70,7.540688623028531e-140,8.650723690232408e-90,2.8534324507550407e-98
3.423704465761791e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767983004,0.11866996602828468,0.022821567693029857,5.429028171563451e-75,2.4932998658282353e-37,5.851612268446404e-25,1.8640323774998125e-54,1.6441948465539104e-37,4.714613710435937e-87,3.0216906960027185e-14,3.709883216528553e-73,3.0216906958044854e-14,6.873569744940405e-50,9.746377905283628e-49,1.1421987368935974e-72,1.3243766847599398e-73,2.1029483161185986e-26,8.215796120816222e-57,1.6502282422169247e-12,4.886032525748012e-14,1.9560524403676586e-16,1.7708944059520223e-26,6.557321718001631e-26,1.9560329830118704e-16,9.590927402939293e-22,8.880589746276515e-24,2.697273141856774e-27,5.140666357677132e-47,2.023472607506158e-37,1.3115312099255284e-35,5.899373323619893e-26,1.2634202245148201e-49,3.673720999320621e-22,2.0115185700534035e-66,3.3087541113203534e-38,8.165985781409193e-68,1.2744210532971131e-68,4.9497340113849707e-60,3.305994782934193e-79,8.907001436108434e-49,6.748935044701915e-61,4.764495857175883e-78,4.357713176127427e-68,8.776678083452577e-136,5.858200218861961e-87,3.5672773827185067e-95
