Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),H2OX(23),CH3OO(77),C2H6X(52)
6.245939316627689e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999737,0.11866996602996281,0.022821567693054226,0.0,1.0119706612851196e-54,4.0383751202098684e-36,0.0,1.4654714695116048e-48,0.0,6.3512262941236845e-22,7.9324565228353211e-102,6.351226270423611e-22,2.1987138967032963e-68,3.1629798679098966e-59,0.0,0.0,5.8222811350220576e-47,6.3557299493179575e-81,2.5188048833787715e-15,1.21106377147593e-16,4.6680941197290739e-20,3.2202609328561932e-32,4.6680941199628541e-20,1.3826376937634354e-49,5.8193288964290122e-46,1.9777323007769432e-36,1.2126063573256686e-62
1.2497305166110832e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999947,0.11866996602996029,0.022821567693054167,0.0,1.6204715131451891e-53,1.6164024790151028e-35,0.0,1.1735657251591473e-47,0.0,1.2707970642893819e-21,5.0846187678922323e-100,1.270797054803176e-21,3.5217633834893945e-67,5.0666570639656413e-58,0.0,0.0,4.6613649086212401e-46,2.0361163273687555e-79,5.039798128948412e-15,2.4231797269409487e-16,9.3402439245848582e-20,1.288943539416849e-31,9.3402439255205869e-20,1.106950857919085e-48,4.6590013146559818e-45,7.9160833474427678e-36,1.942277562445785e-61
2.500003686507712e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998943,0.11866996602995525,0.022821567693054046,0.0,2.5938095468312467e-52,6.4677153778029657e-35,0.0,9.3932823216116282e-47,0.0,2.5421459482817196e-21,3.2566691979266781e-98,2.542145910324539e-21,5.6378800749994947e-66,8.1113652809718071e-57,0.0,0.0,3.7305082978013523e-45,6.5192268680802832e-78,1.0081784620083293e-14,4.8474116378708973e-16,1.8684543532891247e-19,5.1574526206668086e-31,1.868454353663538e-19,8.8589711129696792e-48,3.7286166914744383e-44,3.1674644767579682e-35,3.1093309734293713e-60
5.00055002630097e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997888,0.11866996602994516,0.022821567693053803,0.0,4.1509390593853966e-51,2.5875073034641472e-34,0.0,7.5165289280253807e-46,0.0,5.0848437732196412e-21,2.0850728843024938e-96,5.0848436213662003e-21,9.0230557439865691e-65,1.2981955171832259e-55,0.0,0.0,2.9849729319054983e-44,2.0867375150500071e-76,2.0165757602335443e-14,9.6958754597304306e-16,3.737314274388331e-19,2.0633165103848746e-30,3.7373142758862279e-19,7.0885228777952982e-47,2.9834593389425412e-43,1.2671920597460914e-34,4.9762794394769106e-59
1.0001642705887485e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995773,0.11866996602992499,0.022821567693053317,0.0,6.6421759213163785e-50,1.035087157858837e-33,0.0,6.0139844602819613e-45,0.0,1.0170239650908459e-20,1.3347041950211892e-94,1.0170239043445261e-20,1.4438847560632163e-63,2.0774139918500285e-54,0.0,0.0,2.3882042859245681e-43,6.6784960550407952e-75,4.0333703566769328e-14,1.9392803103448042e-15,7.4750341143384593e-19,8.2539347870809079e-30,7.4750341203305368e-19,5.6713567546836011e-46,2.3869932637763501e-42,5.0691809033196644e-34,7.9631271581205339e-58
2.0003828065060514e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991543,0.11866996602988465,0.022821567693052349,0.0,1.0628014855315878e-48,4.1405171104274177e-33,0.0,4.8114921085560657e-44,0.0,2.0341032317538001e-20,8.5429313516492723e-93,2.034102988758634e-20,2.3103722879603929e-62,3.3241016010504422e-53,0.0,0.0,1.9106528476859583e-42,2.1372685078485183e-73,8.0669595495355388e-14,3.8786658390877458e-15,1.4950473785245576e-18,3.3017058875025895e-29,1.4950473809214859e-18,4.5373007961660488e-45,1.9096839314858319e-41,2.0277549746300845e-33,1.2741867544193549e-56
4.000819878340657e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319983089,0.11866996602980398,0.02282156769305041,0.0,1.7005233227739958e-47,1.6562405406068528e-32,0.0,3.8493154980497403e-43,0.0,4.0682621295804722e-20,5.4677402457366303e-91,4.0682611575800322e-20,3.6967209997475706e-61,5.3187483819219866e-52,0.0,0.0,1.5285565074068014e-41,6.8394988519593909e-72,1.6134137935140069e-13,7.7574368965713082e-15,2.9901353091087253e-18,1.3207073250395622e-28,2.9901353186966339e-18,3.6299267960994869e-44,1.5277812720650104e-40,8.1111857480416103e-33,2.0387679322524357e-55
8.0016940220098685e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631996618,0.11866996602964264,0.022821567693046531,0.0,2.7208645507946836e-46,6.6250295561998717e-32,0.0,3.0795011098330915e-42,0.0,8.1365813832368568e-20,3.4994387130874949e-89,8.1365774951955585e-20,5.914853846799657e-60,8.5101282818983002e-51,0.0,0.0,1.2228564349706856e-40,2.1886779642616527e-70,3.2268494705898415e-13,1.5514979011529143e-14,5.9803111558880373e-18,5.2828678409763035e-28,5.9803111942400641e-18,2.903975900843548e-43,1.2222361049632317e-39,3.244507965397918e-32,3.2620839780904568e-54
1.6003442309348291e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319932357,0.11866996602931995,0.022821567693038773,0.0,4.3533873957820262e-45,2.6500253015350815e-31,0.0,2.4636203504409488e-41,0.0,1.6273225722561745e-19,2.2396684946130913e-87,1.6273210170317531e-19,9.4638462708269736e-59,1.3616253026177241e-49,0.0,0.0,9.7828569910645894e-40,7.0038307567304196e-69,6.4537208245612192e-13,3.1030063241407659e-14,1.1960662791890565e-17,2.1131457248978072e-27,1.1960662945299464e-17,2.3231945060918875e-42,9.7778921715840061e-39,1.2978103162113886e-31,5.2193785476696193e-53
3.200693888402514e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319864717,0.11866996602867456,0.022821567693023258,0.0,6.9653665717518031e-44,1.0600128166235791e-30,0.0,1.9709040300018059e-40,0.0,3.2546537729259544e-19,1.4333973874035835e-85,3.2546475520125157e-19,1.5142217862272756e-57,2.1785860912961212e-48,0.0,0.0,7.8262247501647171e-39,2.2412356071067121e-67,1.2907463531782818e-12,6.2060231701016061e-14,2.3921365833671246e-17,8.4525071203918197e-27,2.3921366447308484e-17,1.8585611186418315e-41,7.8222494428852629e-38,5.1912586992720021e-31,8.3510408726626655e-52
