Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),COX(50),CHOX(53),O(29),acetyl(44),C2H4X(215),CO2X(24),C2H4X(70),CH4OX(63),C2H6X(52),OH(D)X(68),CHO2X(213),HOCO(73),S(216),CHO2(74)
6.681129491545466e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999966,0.11866996602996205,0.02282156769305424,6.585203954962899e-98,1.8548365884143143e-45,2.2242321755656406e-30,2.5328950814068206e-71,1.2238719817175708e-45,2.4507891528448378e-109,5.896626600016418e-17,2.055288184767422e-89,5.896626600015625e-17,9.991539290148127e-61,1.415000133068183e-59,3.0371111681152614e-92,3.521523470347578e-93,8.011690056262388e-32,2.7414425510201157e-71,3.2203096641776252e-15,9.534764560164865e-17,3.8170859952902277e-19,6.746655583938578e-32,2.498171072780748e-31,3.817085959540564e-19,1.785551447583849e-27,1.562440123459513e-32,1.1408970423327144e-36,8.3524926854669e-62,1.5053229429463595e-45,9.73609824913705e-44,2.247510092666174e-31,1.5411435956403737e-62,5.348638601510289e-86,1.6304234559610625e-88,7.168610402824538e-25,1.7138024368370775e-101,1.607732739315693e-76,5.066577642072965e-88,2.8584759999637154e-85,1.4034331402557734e-73,1.2947370450566635e-59,2.4614795913464536e-46,5.835301719127382e-101,2.895533972113897e-112,3.151226099070879e-173,7.408762103950131e-122
1.3368063613405046e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999933,0.11866996602995876,0.02282156769305419,1.6954290736015974e-95,1.4849970934826638e-44,8.90272976732863e-30,1.6295794114512622e-69,9.800901892150932e-45,6.306967957506838e-107,1.1798376246601115e-16,1.3174174760825074e-87,1.1798376246597937e-16,1.6003827178866307e-59,2.2666349465509487e-58,3.907928146972599e-90,4.531233769622904e-91,3.206763929198047e-31,9.340583247447142e-70,6.443417164725512e-15,1.9077813016559007e-16,7.637488347863886e-19,2.7004204543840735e-31,9.99919470643211e-31,7.637488204771437e-19,7.14679648760546e-27,1.2508915305815814e-31,9.171533798330465e-36,2.6868874965999674e-60,1.205173648966133e-44,7.794802280980885e-43,8.995897541716212e-31,4.937706903120062e-61,6.8822292512426895e-84,2.0988496157067772e-86,1.4343450567850887e-24,4.4123220228710514e-99,1.0302312360888676e-74,6.522222626354456e-86,1.9470437756253e-83,4.496386563703001e-72,2.0738293980437987e-58,1.9706803562617477e-45,1.5031363042721503e-98,1.4917429836211026e-109,5.197580321803662e-169,3.9775539003150163e-119
2.6741931857124205e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999866,0.1186699660299522,0.022821567693054094,4.37864731899689e-93,1.1884490000376997e-43,3.5622551812634167e-29,1.0519006719038126e-67,7.84469386934889e-44,1.628407374961756e-104,2.360187553977069e-16,8.437983434881569e-86,2.3601875539757975e-16,2.5620022857886453e-58,3.6287250617534084e-57,5.045039498997322e-88,5.849711785233848e-89,1.2831232720299263e-30,3.3480520089688676e-68,1.2889632165816053e-14,3.8163909929346624e-16,1.5278293160545405e-18,1.0805199211011543e-30,4.000980332878268e-30,1.527829258798422e-18,2.8595994260386854e-26,1.0010764320255581e-30,7.399908235921562e-35,8.672441946643734e-59,9.645051861493582e-44,6.238216773845682e-42,3.599530779170933e-30,1.581014714181207e-59,8.8847893428176e-82,2.7102971225880033e-84,2.8693135711178346e-24,1.139502930453802e-96,6.597504402271532e-73,8.422309921428052e-84,1.3947807213605992e-81,1.4397083794401512e-70,3.319928164041896e-57,1.577143212143619e-44,3.88252988764005e-96,7.70616229883306e-107,8.576463071049564e-165,2.2224488439071038e-116
5.3489668344562525e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997335,0.11866996602993907,0.022821567693053903,1.1391720310084428e-90,9.509397738975013e-43,1.4251369450265065e-28,6.840747040073262e-66,6.277344425595387e-43,4.2355948327954775e-102,4.720887412611059e-16,5.402394045028567e-84,4.720887412605972e-16,4.100315923412623e-57,5.807647901226682e-56,6.561427806593448e-86,7.607960560683459e-87,5.133328607863294e-30,1.3004586609215378e-66,2.5782062167976213e-14,7.633610375491912e-16,3.0559903216071514e-18,4.322783223069627e-30,1.6006526572477548e-29,3.0559900925413953e-18,1.143985905904576e-25,8.009860980061755e-30,6.016894427776758e-34,2.820270939161403e-57,7.71750675138804e-43,4.991530742901502e-41,1.440046693088758e-29,5.060638585490222e-58,1.1555291818148943e-79,3.525726100286239e-82,5.739252525093231e-24,2.9644154084282915e-94,4.22358626126501e-71,1.095627490551463e-81,1.0823505124446322e-79,4.608450721150182e-69,5.313326374576172e-56,1.2619541883394246e-43,1.0099106436223189e-93,4.0089477272699085e-104,1.4206514650829673e-160,1.3310888640056103e-113
1.0698514131943917e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999468,0.11866996602991281,0.022821567693053522,3.0078644566785254e-88,7.60824064677124e-42,5.701035033111469e-28,4.51505750741645e-64,5.022511349770701e-42,1.1180478324166087e-99,9.442287129879335e-16,3.458199425285389e-82,9.44228712985899e-16,6.561395415654047e-56,9.293586886639667e-55,8.660417541799819e-84,1.0041734349109757e-84,2.0534985590223214e-29,5.626313253897257e-65,5.156692217221284e-14,1.5268049140605323e-15,6.112312504798624e-18,1.7292539747851818e-29,6.403131689707302e-29,6.112311588429014e-18,4.575995490750265e-25,6.4080628844819e-29,4.9673217187068814e-33,9.309369608566943e-56,6.174591378483547e-42,3.993618989782881e-40,5.760655532887945e-29,1.6195459658347251e-56,1.5251810156201118e-77,4.654918046288845e-80,1.1479138134283649e-23,7.826324667647536e-92,2.703339737405045e-69,1.446526721005139e-79,9.352921945790104e-78,1.4749256529905325e-67,8.502475412465172e-55,1.009659202874137e-42,2.66504338093322e-91,2.115776402054792e-101,2.37410285117297e-156,8.872233795575294e-111
2.1397608726919243e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998937,0.1186699660298603,0.02282156769305276,8.166664297572981e-86,6.086881647819781e-41,2.2805254438901455e-27,3.064298529614452e-62,4.0182634184612277e-41,3.034255500693148e-97,1.8885086564417074e-15,2.2134611709093306e-80,1.8885086564335684e-15,1.0498944661562144e-54,1.4870818603821408e-53,1.1752919853705501e-81,1.3627483666332603e-82,8.214328479964131e-29,2.737553795252861e-63,1.0313664218035126e-13,3.0536926670827798e-15,1.2224957559694666e-17,6.917297022698445e-29,2.561356872068935e-28,1.2224953893811015e-17,1.8302162720702006e-24,5.125998837689929e-28,4.2193680003445517e-32,3.160397600197449e-54,4.939907202057073e-41,3.1950712347495004e-39,2.3043559400458926e-28,5.1822549994280146e-55,2.0697997412613987e-75,6.319951869416268e-78,2.2958940157622963e-23,2.124477372560797e-89,1.7300438892065172e-67,1.963940539483252e-77,9.089762451924589e-76,4.7201161290114154e-66,1.3604883293609035e-53,8.077656964487529e-42,7.227596529968029e-89,1.1475382225917733e-98,4.034859395419563e-152,6.815765988545125e-108
4.27957979168699e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767997875,0.11866996602975526,0.022821567693051232,2.3291443049971342e-83,4.869621185877252e-40,9.12243640292803e-27,2.1844270714302156e-60,3.214712472375711e-40,8.647445758540569e-95,3.77706854334973e-15,1.416683484351873e-78,3.7770685433171734e-15,1.6798881060817933e-53,2.3794171232786506e-52,1.6750514346566246e-79,1.9422182907969838e-80,3.2857982421267445e-28,1.4755155110132891e-61,2.062760821952889e-13,6.107468173125531e-15,2.4450250424883266e-17,2.766974828730371e-28,1.0245635727013875e-27,2.445023575900272e-17,7.318963543462537e-24,4.099785057336842e-27,3.767944565827098e-31,1.1272740123492125e-52,3.952018917133156e-40,2.5561566362633766e-38,9.21761098886849e-28,1.657943034877343e-53,2.949923058975042e-73,9.013889822687305e-76,4.5918667424135534e-23,6.05686022210216e-87,1.1069783430302865e-65,2.801090207979312e-75,9.788655116810883e-74,1.5104936390690216e-64,2.176855139481985e-52,6.462278771810235e-41,2.05723487075695e-86,6.5320463869028815e-96,7.057156214454023e-148,6.160182784065455e-105
8.559217629677121e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679957505,0.11866996602954517,0.02282156769304818,7.182293424973948e-81,3.895743636165495e-39,3.6491308154276027e-26,1.6835392180900713e-58,2.571810672034594e-39,2.66372520234908e-92,7.554188317167672e-15,9.066992961646208e-77,7.554188317037446e-15,2.6878665338715082e-52,3.8071356001942796e-51,2.5805608205612566e-77,2.9921543028359132e-78,1.314332667138761e-27,8.555346727912074e-60,4.125549622198073e-13,1.2215019185204064e-14,4.890084718758973e-17,1.1068009706725562e-27,4.09829581304848e-27,4.890078850710182e-17,2.925976073944376e-23,3.278090138478323e-26,3.6416972038379116e-30,4.348591724441829e-51,3.161651617642314e-39,2.045011894809921e-37,3.687081658870233e-27,5.302690143365301e-52,4.54460996513603e-71,1.3901549244436803e-73,9.183861483649645e-23,1.8667298718689473e-84,7.081051049230356e-64,4.319949059144777e-73,1.1343784882644678e-71,4.833668916985761e-63,3.483027271612445e-51,5.169884073597787e-40,6.32493172135302e-84,4.01600716125859e-93,1.28693815925913e-143,6.590335597368911e-102
1.7118493305657384e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679915017,0.11866996602912501,0.022821567693042073,2.462126626467032e-78,3.1166141277170663e-38,1.45975490923969e-25,1.4423242342248376e-56,2.0574648129580275e-38,9.119328216822417e-90,1.5108427864811153e-14,5.802945447391425e-75,1.5108427864290243e-14,4.300622890291888e-51,6.0914692326778445e-50,4.4187485207722463e-75,5.123528549419332e-76,5.25735741037687e-27,5.1873781789767614e-58,8.251127222474165e-13,2.4430121209333256e-14,9.780208492806659e-17,4.427224642356315e-27,1.6393265290044732e-26,9.780185007420201e-17,1.1690871288618464e-22,2.6196490360990004e-25,3.9154930119957005e-29,1.8652247187899575e-49,2.5293346417752554e-38,1.6361187797762214e-36,1.4748399700476792e-26,1.6950688248877446e-50,7.781830269223606e-69,2.383533297711825e-71,1.8368048117856123e-22,6.39499943224825e-82,4.527125367070566e-62,7.406922423374055e-71,1.3750865132913136e-69,1.5467876366421767e-61,5.572890865389819e-50,4.135931321889683e-39,2.1601875838820157e-81,2.742769910248951e-90,2.457150002251551e-139,8.327641200777989e-99
3.423704465761791e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767983004,0.11866996602828468,0.022821567693029857,9.485189848564856e-76,2.4932998595908916e-37,5.839793379256393e-25,1.3886527369647046e-54,1.6459783566075174e-37,3.5085889379112627e-87,3.021690696012849e-14,3.713907444456849e-73,3.0216906958044854e-14,6.881025723748443e-50,9.746385260646147e-49,8.503135049190703e-73,9.85936461245343e-74,2.1029483134283644e-26,3.2227831482292175e-56,1.6502282422169247e-12,4.886032525748012e-14,1.9560473795302578e-16,1.7708929538551686e-26,6.557321718020474e-26,1.9560379749232729e-16,4.665919080819618e-22,2.091197367576039e-24,4.730767570649322e-28,8.99076424562988e-48,2.0234710588913825e-37,1.3090577152095279e-35,5.899373323636846e-26,5.412707508045797e-49,1.4974814369234207e-66,4.592662294117496e-69,3.673720999320621e-22,2.462019190945307e-79,2.891259396140169e-60,1.4271952448567842e-68,1.7082510642562237e-67,4.949737687540489e-60,8.916663142676506e-49,3.308754107369755e-38,8.291346945734587e-79,2.1051476839813824e-87,4.8254997633558187e-135,1.2263414693402588e-95
