Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.895292112840976e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,4.0911140650392141e-76,7.3796778092945834e-42,2.4896170873788787e-91,1.1720018770897644e-59,1.0970462963713876e-140,7.01152511884609e-25,-2.2024954357046284e-120,7.0115251188460818e-25,3.6371524673603553e-82,1.5768170383615758e-79,5.1434035597029484e-119,3.1078812651295707e-120,4.8736368921846362e-61,2.2470311590860169e-97,2.780669898587693e-18,1.3369707978709934e-19,5.1534078279356325e-23,5.1534078280188569e-23,4.1615089986967969e-34,4.8534187022059798e-41,3.1160544472294281e-46,5.8842024494765928e-38,9.1309795551435449e-77,4.8780826919572193e-58
1.9306817915954733e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.2770181194641187e-74,4.4575071075817702e-41,2.7513175818209539e-89,1.7711292366391704e-58,3.9587774797692811e-138,1.9632270332769083e-24,4.2512096680043265e-119,1.9632270332769028e-24,1.0257351902245499e-80,4.9575955599888654e-78,1.0282744741452981e-116,6.2133078544424768e-118,5.7857946145272718e-60,1.1631280424285743e-95,7.785875716045541e-18,3.7435182340387818e-19,1.4429541918084961e-22,1.4429541918587635e-22,2.5135511521401338e-33,5.761978085863218e-40,3.699694267039868e-45,3.5539327791223791e-37,5.5552715512109478e-75,5.791475976489407e-57
4.412986952218225e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,2.8429328960324823e-73,2.1462828730335889e-40,2.4896186610989286e-87,1.9053000114590712e-57,1.4336272903317867e-135,4.4873760760615179e-24,4.4888665989464028e-117,4.4873760760614914e-24,2.2311980872537114e-79,1.1059321969212216e-76,1.8619091966716089e-114,1.1250512705329868e-115,5.6801311789309173e-59,5.0786722348462244e-94,1.7796287350961222e-17,8.5566131063743596e-19,3.2981810097844358e-22,3.2981810100264522e-22,1.2101663922120257e-32,5.6571429873649491e-39,3.6330477880744445e-44,1.7109378349830509e-36,2.5083548169666041e-73,5.6865634198532539e-56
9.377597273463728e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,5.3195149327704403e-72,9.3750073328134714e-40,1.8848394299641358e-85,1.751298964690071e-56,4.3485105130669352e-133,9.535674161630779e-24,3.5480752199989165e-115,9.5356741616306629e-24,4.1362652242890454e-78,2.0709873305528908e-75,2.8222762147987231e-112,1.7053492441684166e-113,5.0233068924004289e-58,1.890662335409035e-92,3.7817110620792512e-17,1.8182802851045512e-18,7.0086346455206102e-22,7.0086346465775621e-22,5.2851120407205293e-32,5.0036766561826388e-38,3.2145744132297715e-43,7.4709922649185534e-36,9.4744064006206153e-72,5.0305156231167933e-55
1.9306817915954735e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,9.1822132152251058e-71,3.9152400357257818e-39,1.3103591152603231e-83,1.4982731352546792e-55,1.2103299138206788e-130,1.9632270332769472e-23,2.5147500652745361e-113,1.9632270332768993e-23,7.1091830992257238e-77,3.576074528007285e-74,3.9264833869671246e-110,2.3725620621725763e-111,4.2212069193851368e-57,6.5136184098564474e-91,7.7858757160454815e-17,3.7435182340387825e-18,1.4429541916130151e-21,1.4429541920542712e-21,2.2064281222506145e-31,4.2058879368022639e-37,2.704036622145716e-42,3.1180542687772267e-35,3.2894276437920162e-70,4.2298220001578087e-54
3.9165259200936747e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,1.5244947811058577e-69,1.6006139108741977e-38,8.7456892785176018e-82,1.2388012016317185e-54,3.2326987099684495e-128,3.9825462675047521e-23,1.6923115095819832e-111,3.9825462675045576e-23,1.1782949620847827e-75,5.9382442200171876e-73,5.2428728760181302e-108,3.1679852062329805e-109,3.4588584248206526e-56,2.1616324658180734e-89,1.5794205023977832e-16,7.5939941319072389e-18,2.9271356453897962e-21,2.9271356471924734e-21,9.0139615179290756e-31,3.4482348295418464e-36,2.220201152852132e-41,1.2730610622301126e-34,1.0970593765566886e-68,3.4701111377157894e-53
7.888214177090077e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,2.4822208440369908e-68,6.4789161336655862e-38,5.7272039289232072e-80,1.0073725630942165e-53,8.4697181214274126e-126,8.0211847359606323e-23,1.1103874802309036e-109,8.0211847359598495e-23,1.9185478916466907e-74,9.6695832876862e-72,6.8677004528052515e-106,4.1497808453140704e-107,2.7979328406359091e-55,7.0433646699358956e-88,3.1810863639842088e-16,1.5294945927644146e-17,5.8954985515628556e-21,5.8954985588495799e-21,3.6435733790505624e-30,2.792459908107298e-35,1.8032704834681995e-40,5.1397351836108483e-34,3.5910541630787269e-67,2.8138262153645286e-52
1.5831590691082882e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,0.0,3.9993395446649323e-67,2.6123643339481927e-37,3.7230479689787334e-78,8.1248246577237741e-53,2.2025327890538871e-123,1.6098461672873475e-22,7.1951456146807894e-108,1.6098461672870327e-22,3.0965440286519852e-73,1.5580173726237207e-70,8.9293999210377802e-104,5.3955545975075376e-105,2.2469808416407348e-54,2.2742597687302596e-86,6.3844180871568824e-16,3.0696849519117916e-17,1.1832224358386964e-20,1.1832224387686676e-20,1.4650535822198109e-29,2.2475984809263465e-34,1.4599511108817387e-39,2.0617107044018487e-33,1.1670736141952734e-65,2.2706720819630551e-51
3.171834371906849e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996405,0.022821567693054257,0.0,6.399019061363464e-66,1.0534664357190343e-36,2.4212244213987294e-76,6.5263009968952629e-52,5.7295042635037069e-121,3.225301554670348e-22,4.6334723484550239e-106,3.2253015546690842e-22,4.9760631139293757e-72,2.4928965810163412e-69,1.1614151532874992e-101,7.0178051440612759e-103,1.7950260825453135e-53,7.3104047905965082e-85,1.2791081533501516e-15,6.1500656702065314e-17,2.3705675949947117e-20,2.370567606745302e-20,5.8754299048128163e-29,1.8035302470995762e-33,1.1851955226701731e-38,8.2289104098352957e-33,3.7949624842531033e-64,1.831475636419353e-50
6.349184977503971e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999731,0.11866996602996277,0.022821567693054226,0.0,1.0168250058799094e-64,4.2657510172765286e-36,1.5874210890220632e-74,5.2316380188126557e-51,1.5024284049741026e-118,6.4562123294380765e-22,2.9746007118353078e-104,6.4562123294330163e-22,7.9790146116635548e-71,3.9612988157918133e-68,1.5228166435688322e-99,9.2015593600708703e-101,1.4254956022599198e-52,2.3445861475039952e-83,2.5604408426187943e-15,1.2310827106795958e-16,4.7452579044715204e-20,4.7452579515359278e-20,2.3531643019457805e-28,1.4449772648606121e-32,9.71513772748985e-38,3.264657023407779e-32,1.2441975663845361e-62,1.4824783544023554e-49
1.2703886188698215e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999465,0.1186699660299602,0.022821567693054164,0.0,1.5994843573510921e-63,1.7445454230491341e-35,1.0606372204166261e-72,4.1895534213895674e-50,4.0145349385197151e-116,1.2918033878980445e-21,1.9066868366638827e-102,1.2918033878960191e-21,1.2780290008879924e-69,6.2311177224879225e-67,2.0346515213802312e-97,1.2294301372374447e-98,1.1214260762149501e-51,7.5110964944220485e-82,5.1231062211549425e-15,2.4632349979974568e-16,9.4946384880842528e-20,9.4946386764705576e-20,9.4182112603702598e-28,1.1567937547055732e-31,8.1288961421565769e-37,1.2823892548756675e-31,4.1577668851439454e-61,1.2110110276014431e-48
2.5413288611086704e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998926,0.11866996602995508,0.022821567693054039,0.0,2.4714404222257521e-62,7.2775663524654148e-35,7.3460303855624419e-71,3.3533407225069951e-49,1.1117536114580992e-113,2.5841676978092835e-21,1.221221970294356e-100,2.5841676978011791e-21,2.045956336910172e-68,9.6276942097002233e-66,2.8176734506432755e-95,1.7025680420765493e-96,8.6728225519355728e-51,2.4048990012048437e-80,1.0248436978222694e-14,4.9275395726330864e-16,1.8993399513946168e-19,1.8993400267784895e-19,3.7680484354002066e-27,9.2567988988040268e-31,7.0671127751218805e-36,4.9463999288618976e-31,1.4406182726924053e-59,1.0077882071129471e-47
5.083209345586368e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997849,0.11866996602994483,0.022821567693053792,0.0,3.6965567593186924e-61,3.1491472144750349e-34,5.4059474296631989e-69,2.6833518635027956e-48,3.2704693412891992e-111,5.1688963176428211e-21,7.8188374239697894e-99,5.1688963176103978e-21,3.2744182524464659e-67,1.4399302249857227e-64,4.1452853124050746e-93,2.5047722603817303e-94,6.5007240999478825e-50,7.6978342555568761e-79,2.0499098492339999e-14,9.8561487219039711e-16,3.7990921000215822e-19,3.7990924016445119e-19,1.5070945237200681e-26,7.4051388003566441e-30,6.5530745318528452e-35,1.8450398514248481e-30,5.3053271854443581e-58,8.6815299210941001e-47
