Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),CO2X(24),H2X(49),O(29),CH3X(55),C2H4(47),OH(D)X(68),COX(50),CH4OX(63),CHOX(53),C2H6X(52),C2H4X(222),CH2(T)(34),C2H4X(70),CH2O2(186),acetyl(44),CH2OX(54),C2H3X(221),CH2OH(40),C2H2X(298),C2HX(305),C2H3X(69),C2H3(46),C2H2(348),C2H2(372),C2H2X(373),C2H2X(336)
7.268852328358021e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999627,0.11866996602996176,0.022821567693054236,5.739629151568504e-100,2.3886555314124733e-45,2.632763277421105e-30,5.257186748757031e-68,1.6140561950319437e-45,5.019141269880715e-53,6.415338610818567e-17,3.522645297526778e-89,6.415338610817172e-17,1.4467606451662418e-60,2.256637580200688e-58,1.7880890283180122e-70,8.015288126419113e-90,9.483224964636336e-32,1.489891326286129e-70,3.5035925332852855e-15,1.0373514786863969e-16,4.152865821982599e-19,7.985837240217449e-32,2.9570188206762876e-31,4.1528658149963563e-19,1.9385524326621156e-45,3.4478064096398365e-28,5.35457601509421e-34,6.526702127926908e-39,5.653788081640369e-64,4.059122626371157e-90,1.2538125483215133e-43,7.799215835568997e-25,2.660318068628731e-31,8.827847571580306e-61,3.169889399771344e-46,1.2173958104368368e-82,2.4350788010306083e-72,9.038677664551998e-69,1.8577197127011805e-59,1.001939526308655e-74,1.283657024989096e-34,1.6813162826452734e-84,9.115781762636787e-48,4.227031520097271e-98,5.59501196221054e-67,8.189602964255908e-66,2.9974809420028176e-71,4.332335285028864e-68,5.731376306799863e-80,5.432294761899736e-86,2.1168644200115892e-86,1.759070908641871e-96,1.1103599398721577e-108,2.045127862996909e-110,4.854319759963993e-98
1.4544019906349715e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999266,0.11866996602995819,0.022821567693054184,1.5103732088866931e-97,1.9123768337482322e-44,1.053791431422807e-29,1.6839428635741874e-66,1.2925540131497793e-44,8.037122636090355e-52,1.2836250930248729e-16,2.2579791156151797e-87,1.2836250930243152e-16,2.317332992291936e-59,3.6148220019565017e-57,5.726669488531869e-69,5.134858621055262e-88,3.7957613856461007e-31,8.251260546184634e-69,7.010229021853725e-15,2.0756042184315737e-16,8.309339701203311e-19,3.196416062787737e-31,1.183578148791532e-30,8.309339673240116e-19,1.552020664070995e-44,1.3800189434330828e-27,4.2869090073216465e-33,5.365124610101326e-38,1.8591587795977402e-62,5.340979489516303e-88,1.0038124126218486e-42,1.5605209604038357e-24,1.064820525152707e-30,2.828393888364297e-59,2.537838945796633e-45,7.799040069835741e-81,7.801622545878673e-71,2.8947953288764093e-67,2.9755800748377337e-58,6.420446154636568e-73,5.1379734067104835e-34,1.8606173009594523e-82,7.298127981813338e-47,5.418289338544805e-96,1.7919009503574545e-65,5.2505557412714744e-64,9.599996060569559e-70,6.934949375990738e-67,1.836880271221048e-78,6.011612517087738e-84,2.342613795312947e-84,3.8915935543995426e-94,4.911806781325191e-106,9.046861812923948e-108,1.0739214314004232e-95
2.9094355062333103e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998545,0.11866996602995104,0.02282156769305408,4.067339716088851e-95,1.5304826834330795e-43,4.2165383729443925e-29,5.392453240005254e-65,1.0345670892124696e-43,1.2864493172526684e-50,2.5678075569111997e-16,1.446223200885618e-85,2.5678075569089677e-16,3.7097467047533684e-58,5.787078893274779e-56,1.833285746947763e-67,3.288663259245494e-86,1.5187989751076419e-30,4.8692056510100364e-67,1.4023501998984413e-14,4.1521096979218467e-16,1.6622287480659422e-18,1.2789827755498938e-30,4.7358542705051114e-30,1.6622287368770047e-18,1.2420882141316459e-43,5.521856168497868e-27,3.4308178945169674e-32,4.517485111466686e-37,6.25852849252408e-61,7.192086355348345e-86,8.033550127972109e-42,3.1217202838322714e-24,4.260669084002333e-30,9.056413036867307e-58,2.031042453731002e-44,4.994960534330784e-79,2.498019520126245e-69,9.26714319999884e-66,4.763512419883595e-57,4.111647406037902e-71,2.0558586147134493e-33,2.1947247858936622e-80,5.84065606993938e-46,6.94188092328535e-94,5.7364345519691495e-64,3.3632916520065505e-62,3.073264612259565e-68,1.1098470561904386e-65,5.905774423214147e-77,7.091106812241013e-82,2.7632726840798535e-82,9.178216883799441e-92,2.316546655933851e-103,4.26675529962764e-105,2.5328143003464295e-93
5.819502537429989e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799971,0.11866996602993676,0.022821567693053872,1.1428503471373257e-92,1.224618690297602e-42,1.6868899299494174e-28,1.7270970474189076e-63,8.278632739331083e-43,2.0586938291252052e-49,5.136172484685035e-16,9.259403109740093e-84,5.136172484676104e-16,5.937206319913835e-57,9.262018023770524e-55,5.867624743846135e-66,2.106583524203009e-84,6.0761848831915345e-30,2.984453063690364e-65,2.805004795322102e-14,8.30512065690207e-16,3.32481831236313e-18,5.116763909459993e-30,1.8946500832369524e-29,3.3248182675999565e-18,9.938592753080488e-43,2.209088296442752e-26,2.7451560684660643e-31,3.97274651733723e-36,2.1989569255508487e-59,1.0105810423819676e-83,6.42806073737407e-41,6.2441212096273984e-24,1.7045450640509532e-29,2.898925698716126e-56,1.6251425429909025e-43,3.199567857824469e-77,7.996063739927988e-68,2.9660466582542827e-64,7.6236879001439065e-56,2.632260742348927e-69,8.22477315359482e-33,2.6895375332856955e-78,4.673309254604049e-45,8.894354853607807e-92,1.8360064912625667e-62,2.153428586883832e-60,9.836319431085547e-67,1.7759699089393863e-64,1.9270056360316593e-75,8.689837106272312e-80,3.386268205973331e-80,2.2491398684472695e-89,1.1352577484118858e-100,2.090986194785485e-102,6.206710612007214e-91
1.1639636599823344e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679994215,0.11866996602990819,0.022821567693053456,3.444413464980191e-90,9.797879912624251e-42,6.748109018152825e-28,5.536495393303769e-62,6.623744702536723e-42,3.294104707644285e-48,1.0272902340237424e-15,5.927162125578117e-82,1.0272902340201694e-15,9.50081956591508e-56,1.482138250065433e-53,1.8777584738469573e-64,1.35058161540492e-82,2.4306717640724002e-29,1.867824790803313e-63,5.6103139861595154e-14,1.6611142574861229e-15,6.649997474582087e-18,2.0468721273120994e-29,7.579217095284066e-29,6.649997295513724e-18,7.951628947595608e-42,8.83696248775184e-26,2.1963021642841254e-30,3.751456869718021e-35,8.289819199838153e-58,1.523253112434225e-81,5.142936965490568e-40,1.248893217697067e-23,6.81873511065806e-29,9.27786275690146e-55,1.3002374719548504e-42,2.0513201710268604e-75,2.559124632514235e-66,9.491945766560174e-63,1.2199555295519183e-54,1.6848874278415424e-67,3.2901770194576446e-32,3.3659257458142873e-76,3.7388375866818675e-44,1.1405474241705678e-89,5.875591738154221e-61,1.3784662816416296e-58,3.1478237966381617e-65,2.841968383197684e-63,6.721136150292078e-74,1.0875236041614112e-77,4.2378776159046283e-78,5.629066404670295e-87,5.6823214500502926e-98,1.0466042650122826e-99,1.5533932134753216e-88
2.3279904724610054e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679988436,0.11866996602985105,0.022821567693052627,1.1471468171569048e-87,7.838676292739836e-41,2.6993535490030143e-27,1.7800282756017028e-60,5.299331184454216e-41,5.270385989917966e-47,2.054636205136107e-15,3.793749922008103e-80,2.054636205121815e-15,1.520234293037187e-54,2.371593466985751e-52,6.008638468285226e-63,8.684061676358823e-81,9.723082693223466e-29,1.1818686268013328e-61,1.1220932367794712e-13,3.3223186410774386e-15,1.3300355933524096e-17,8.187821569876127e-29,3.0318101696469825e-28,1.330035521721271e-17,6.361604829817057e-41,3.534840937437654e-25,1.7570751989708484e-29,3.918046275371543e-34,3.454301492335042e-56,2.5373665565906767e-79,4.1145450441489685e-39,2.497859057466931e-23,2.7276049823354853e-28,2.9690618627576736e-53,1.0402393430222866e-41,1.3189716656834225e-73,8.189813426200488e-65,3.037325472603998e-61,1.9520612281572727e-53,1.07838248050448e-65,1.31612436129676e-31,4.2592084538816886e-74,2.9909483966372512e-43,1.4667874828260593e-87,1.8801303271075094e-59,8.822758930110763e-57,1.0072731004597546e-63,4.550970148651372e-62,3.0690228680304376e-72,1.376142242130993e-75,5.362570908252408e-76,1.424530636798255e-84,2.8759517053407516e-95,5.297101726770142e-97,3.931124720117507e-86
4.656044097418347e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767997688,0.11866996602973677,0.022821567693050965,4.2950645935397297e-85,6.271090281893121e-40,1.0797634708636402e-26,5.779364846748762e-59,4.239599116663774e-40,8.431393557373204e-46,4.1093281473683864e-15,2.4281171246410637e-78,4.1093281473112185e-15,2.432457397984903e-53,3.7946872375596324e-51,1.922492049041499e-61,5.638192933922189e-79,3.889312207089348e-28,7.520317646523725e-60,2.2442169130906585e-13,6.644727408258007e-15,2.660107338947059e-17,3.2751951786295705e-28,1.2127487143436452e-27,2.6601070524096514e-17,5.08940414787005e-40,1.413894829691538e-24,1.4056136148431758e-28,4.601206478035418e-33,1.6182636602807575e-54,4.751693230365379e-77,3.2917144038349906e-38,4.995805322211491e-23,1.0910641515275832e-27,9.500832386292935e-52,8.322112016025005e-41,8.563521684945912e-72,2.620838490501346e-63,9.718053655192812e-60,3.1234038703985023e-52,6.901534931589014e-64,5.264604554145067e-31,5.420081889823665e-72,2.3923937386035053e-42,1.9048168063990286e-85,6.0155651285105665e-58,5.646371130313186e-55,3.2228234862856356e-62,7.330377654139849e-61,2.691190120841064e-70,1.7512204394796503e-73,6.824181117261899e-74,3.625513658581719e-82,1.4638764395323187e-92,2.696256409182376e-94,1.0004941849727234e-83
9.312151347333031e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679953764,0.1186699660295082,0.02282156769304764,1.794875015111084e-82,5.016932403262212e-39,4.319098486473147e-26,1.9413741139299982e-57,3.3917329554472375e-39,1.3485800342993533e-44,8.218712031863146e-15,1.554032451855824e-76,8.218712031634466e-15,3.8919978490609464e-52,6.07160932260475e-50,6.149990539379125e-60,3.785945992769047e-77,1.5557407097402177e-27,4.7986386897693426e-58,4.488464265649625e-13,1.3289544942610895e-14,5.320251045398187e-17,1.3100913316001735e-27,4.8510439886950416e-27,5.320249899180763e-17,4.071570811898961e-39,5.6550744230992635e-24,1.1243763984216745e-27,6.027361530149428e-32,8.460270776130045e-53,9.931249747921816e-75,2.6334031552097825e-37,9.991756192519949e-23,4.364300688362436e-27,3.0399846567202484e-50,6.657768210194903e-40,5.7502496673068144e-70,8.386839345764716e-62,3.1087668436372202e-58,4.997530908428618e-51,4.416578350206473e-62,2.1058632436593872e-30,6.916827458675399e-70,1.913263203922267e-41,2.5587804844423242e-83,1.924360031869696e-56,3.6131308605704027e-53,1.0309745624518603e-60,1.2357019138258385e-59,4.41481706738589e-68,2.2348222649217546e-71,8.708687923583214e-72,9.253305078872924e-80,7.472385006537856e-90,1.376309474714194e-91,2.5535354596593e-81
1.86243658471624e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767990754,0.11866996602905108,0.022821567693040997,8.153801483649391e-80,4.013570758462921e-38,1.7276487151842166e-25,7.296787528811923e-56,2.7134078192194245e-38,2.156270961416433e-43,1.6437479800973457e-14,9.945927606429732e-75,1.6437479800058732e-14,6.227249329780815e-51,9.714661392505458e-49,1.9666897070115212e-58,2.841425388046999e-75,6.222994499339651e-27,3.066021962885491e-56,8.976958970513926e-13,2.6579180011283675e-14,1.064053931964301e-16,5.2403914459680695e-27,1.9404272921152612e-26,1.0640534734300536e-16,3.2572746540522916e-38,2.2615914552192147e-23,8.993019701452417e-27,8.574865464940341e-31,4.806945798354055e-51,2.256229479877022e-72,2.1067356318739363e-36,1.9983891296414184e-22,1.7457289035710793e-26,9.725867317368262e-49,5.3262455074469785e-39,4.315670350513663e-68,2.6838129788638993e-60,9.941398329194984e-57,7.996117194738459e-50,2.8260101461842264e-60,8.423495818983553e-30,8.838679853847108e-68,1.5295415404842366e-40,3.843901429497896e-81,6.1538616012218025e-55,2.311609052533457e-51,3.296950133662735e-59,2.7826292412256857e-58,9.456265583318337e-66,2.8557856470207256e-69,1.1128467639591935e-69,2.3648697402435803e-77,3.819427347159659e-87,7.034857300707152e-89,6.526077308735425e-79
3.724879484682114e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767981509,0.11866996602813684,0.02282156769302771,3.908337734970473e-77,3.2108677644938273e-37,6.910616699502774e-25,3.6631644259970917e-54,2.1707348211151264e-37,3.4453473512939517e-42,3.287501533967726e-14,6.36543196192291e-73,3.287501533601835e-14,9.963641020014254e-50,1.5543523190004972e-47,6.284995307401192e-57,2.843331557061966e-73,2.4892041369688666e-26,1.9599674732332605e-54,1.7953948379227998e-12,5.315845014849725e-14,2.128111931586113e-16,2.096161481633661e-26,7.761727524413592e-26,2.1281100970851367e-16,2.605825336222688e-37,9.042792265023347e-23,7.191167151911704e-26,1.286068477915366e-29,2.8811157058309897e-49,5.407982577809621e-70,1.6853944757655546e-35,3.99690949573119e-22,6.982931364666091e-26,3.1108998197454955e-47,4.2610079819247076e-38,4.3185631189284166e-66,8.588236712183098e-59,3.176965084960199e-55,1.2793841602477873e-48,1.807852366845943e-58,3.369406896603777e-29,1.13001691999701e-65,1.2219154119145558e-39,7.705986653861248e-79,1.9666036313359309e-53,1.4783828636525586e-49,1.0536285625431803e-57,1.475947081207322e-56,2.225834793425042e-63,3.6511313810865553e-67,1.422778409276263e-67,6.046976099836586e-75,1.9532529240515616e-84,3.597624910475319e-86,1.668718949139962e-76
