Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C2H2(37),C4H6(54),C4H7X(141),C4H5X(381),C4H5X(374),C2H6(343),C4H7X(140),C4H7X(142),C4H7X(143),H2(190),C4H6a(380),C4H5X(577),C2H5(67)
1.1034447652865499e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771067,0.66999999999999826,1.2032394888990822e-52,0.0,6.1408862660855542e-35,2.1561743989084131e-55,2.3575188000375161e-83,0.0,3.2326347613108025e-115,5.1865781285433394e-97,0.0,1.8125966125722121e-15,1.8125966125722121e-15,2.6787777295145753e-32,3.5968516580638246e-40,6.140852781668998e-35,6.7506042284953729e-54,9.9274237302647497e-56,1.0861972788488281e-53,3.6557169640911759e-49,2.8232170598708901e-67,3.1570003132844897e-68,2.5346029487108488e-49,1.1371272791129083e-63,8.1617376825063423e-80,1.5591908514120684e-49
2.2078482141224365e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583770706,0.66999999999999649,1.9274134471296406e-51,0.0,2.4579548614268884e-34,8.6303167481436305e-55,7.5558534014076101e-82,0.0,8.2942189723288549e-113,3.3252365635874809e-95,0.0,3.6267680267191322e-15,3.6267680267191322e-15,1.0722092014296621e-31,2.8797048211569132e-39,2.4579280536702681e-34,1.0809914082038646e-52,1.5897035872309008e-54,1.7399381506955277e-52,2.9267814984661134e-48,8.890408020012212e-66,1.0114496861116063e-66,2.0297380124097213e-48,1.8209108061269089e-62,2.6139922577672296e-78,1.2483007329990413e-48
4.4166551117942096e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583769979,0.66999999999999282,3.0856224483782832e-50,0.0,9.8350210309230381e-34,3.4532508499574628e-54,2.4197444564913386e-80,0.0,2.125697444810776e-110,2.1300029120468355e-93,0.0,7.255110855012757e-15,7.255110855012757e-15,4.290233422879026e-31,2.3046372400652879e-38,9.8348064895819862e-34,1.7302904844591604e-51,2.5445613806186513e-53,2.7855200952397227e-51,2.3422908503516005e-47,2.8218578961853067e-64,3.2385504391516306e-65,1.6246130731548734e-47,2.9146435549617401e-61,8.3682983672937912e-77,9.9901996580431624e-48
8.834268907137756e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258376853,0.66999999999998561,4.9383268842956322e-49,0.0,3.934648791067836e-33,1.3815252020826503e-53,7.7460681449780978e-79,0.0,5.4447479997748928e-108,1.3637756440445549e-91,0.0,1.4511796511599118e-14,1.4511796511599115e-14,1.7163727323748783e-30,1.8440329800494929e-37,3.9344771288970674e-33,2.7689901703235126e-50,4.0720708539986588e-52,4.4581277876635172e-50,1.8741503787266305e-46,8.992866162208389e-63,1.0366259156088686e-63,1.3000196041847589e-46,4.6643147067928872e-60,2.6783830338996291e-75,7.9936775122993428e-47
1.7669496497824849e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583765627,0.66999999999997106,7.9021375952616202e-48,0.0,1.573987577638412e-32,5.5265505640084695e-53,2.4791335343012522e-77,0.0,1.3941925393506895e-105,8.7297575044978502e-90,0.0,2.9025167824768121e-14,2.9025167824768102e-14,6.8660496957365774e-30,1.4753136892066776e-36,1.5738502404597857e-32,4.4306826219771443e-49,6.5157521184558146e-51,7.1340410345307922e-49,1.4994015795645168e-45,2.8716933083296897e-61,3.3175632077375832e-62,1.0401473576808531e-45,7.4634060952297833e-59,8.5714376046755246e-74,6.3955490993257578e-46
3.5339951679199034e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258375982,0.66999999999994209,1.2643270784520011e-46,0.0,6.2962062528956692e-32,2.2107101795018762e-52,7.9334054832358794e-76,0.0,3.5693479312606201e-103,5.5872435188941397e-88,0.0,5.8051910451089976e-14,5.8051910451089913e-14,2.746531635520523e-29,1.1802187089469202e-35,6.2951075928633997e-32,7.0889404713913056e-48,1.0424980264880305e-49,1.141529465060625e-47,1.1994804786360681e-44,9.179207165335089e-60,1.0616116792857664e-60,8.3217055908261608e-45,1.1941194176376139e-57,2.7428092829633877e-72,5.116681984669839e-45
7.06808620419474e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583748208,0.66999999999988402,2.0226550966436597e-45,0.0,2.5185335391767988e-31,8.8430206254872978e-52,2.5384311936064114e-74,0.0,9.1366979209950255e-101,3.575501167231582e-86,0.0,1.161053957036586e-13,1.1610539570365837e-13,1.0986350060507022e-28,9.4405463232405751e-35,2.5176547335475779e-31,1.1340934358575716e-46,1.6677953122966451e-48,1.8265133602087875e-46,9.5945082396363914e-44,2.9353465264315293e-58,3.3967201505026386e-59,6.6575751706761598e-44,1.9103602275111127e-56,8.7759573199813144e-71,4.0934424427209624e-44
1.4136268276744414e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583724987,0.66999999999976789,3.2352139289268234e-44,0.0,1.0074235022757412e-30,3.5372442291941333e-51,8.1207297998720035e-73,0.0,2.338321050954721e-98,2.2877041103116811e-84,0.0,2.3221236620841288e-13,2.3221236620841202e-13,4.3945847282796694e-28,7.5502376529960204e-34,1.0067206785375937e-30,1.814040394774536e-45,2.667723814509157e-47,2.9224740103608659e-45,7.6731974632235082e-43,9.3875692172402043e-57,1.086609569649488e-57,5.3261444167629637e-43,3.05571878974942e-55,2.8075327259558652e-69,3.2747923291799063e-43
2.827263242184376e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583678547,0.66999999999953563,5.1728949869668746e-43,0.0,4.0297132136808985e-30,1.4149048852542871e-50,2.5970995038647394e-71,0.0,5.9823396827857141e-96,1.4632817787728811e-82,0.0,4.6442630721572666e-13,4.6442630721572323e-13,1.7578428321601934e-27,6.0365644833585159e-33,4.0240942527126931e-30,2.900780428588764e-44,4.2658813178887869e-46,4.6759994363860336e-44,6.1345977967783715e-42,3.0016398957492605e-55,3.4748732377173985e-56,4.2609492453132613e-42,4.8863130535230067e-54,8.978977142836545e-68,2.619848625430854e-42
5.654536071204246e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258358566,0.66999999999907123,8.2655091762536767e-42,0.0,1.6118883514118301e-29,5.6596339101346915e-50,8.3007657548499757e-70,0.0,1.5295158582198384e-93,9.353964919878291e-81,0.0,9.2885418921627176e-13,9.2885418921625762e-13,7.0313892102903948e-27,4.8234176043806026e-32,1.6073990179375183e-29,4.6358240327337344e-43,6.8174326257147131e-45,7.4816284330666338e-43,4.9013102915298884e-41,9.5918835727053647e-54,1.1104890505290731e-54,3.4087728803190352e-41,7.8089631541501877e-53,2.8699681580537598e-66,2.0958838643635164e-41
