Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),H2OX(23),CHOX(53),CH3X(55),C2H4X(215),C2H4X(70)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4731972664308945e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,1.4567176782899198e-65,3.130548317726716e-36,3.399642036691273e-89,1.9937203086309746e-54,1.2186602878524738e-132,5.713110174575015e-20,-7.856474705213681e-106,5.713110174575013e-20,2.9547206755652966e-72,3.247427583266375e-72,7.83082818084913e-113,9.079826542242501e-114,1.1922918261017556e-53,1.4294404068441372e-85,3.1200861683043408e-18,9.238020601909494e-20,3.698289420356468e-22,9.495744840562153e-38,3.5161118787468966e-37,3.698289420348163e-22,4.0997002419909595e-34,9.916134991684996e-43,1.1763988884381594e-47,1.565270596080498e-78,2.3219310578303035e-52,2.5100217835325735e-75,1.3790824107805456e-106,3.589998306495242e-54,-1.0445061364231309e-109,3.1633129933052615e-37,4.990543548642755e-92,2.842080752786664e-102
1.8124952346006505e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,3.2586334423454836e-64,1.8908511839137965e-35,3.756847568151622e-87,3.0129101020939697e-53,4.397452415653233e-130,1.5996708488810046e-19,1.5167032324556534e-104,1.5996708488810034e-19,8.332784984883692e-71,1.0210431941050463e-70,1.5654833540246765e-110,1.8151742039311884e-111,1.4154888557003448e-52,7.430952994541632e-84,8.736241271252152e-18,2.586645768534658e-19,1.0355210377011589e-21,5.735429882603742e-37,2.123731574760903e-36,1.0355210376961415e-21,2.4762189403766986e-33,1.1772435431274942e-41,1.3966773915529544e-46,9.522684663594382e-77,2.756596551865286e-51,1.5269687360264145e-73,2.7569632585990445e-104,4.262045988710141e-53,1.0571099253612884e-107,1.9106410479531515e-36,5.514689543812251e-90,2.687843549532758e-100
4.142846250515773e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,6.438523165877264e-63,9.10363450805219e-35,3.3992041258072577e-85,3.2411511989237135e-52,1.592348275292267e-127,3.6563905117280115e-19,1.601478484869075e-102,3.656390511728006e-19,1.812562743383348e-69,2.277891197872075e-69,2.8343898481373144e-108,3.2864682482841145e-109,1.3897353517364613e-51,3.2726099819709184e-82,1.9968551477147755e-17,5.912333185222075e-19,2.3669052290375734e-21,2.7613625979917736e-36,1.0224853343362635e-35,2.366905229013416e-21,1.1921928216922106e-32,1.155824685066223e-40,1.371386101079984e-45,4.2993655909521433e-75,2.706442841035365e-50,6.893466742301019e-72,4.991626804428842e-102,4.184502023691721e-52,2.2139397442380557e-105,9.198914184483297e-36,4.989276405205308e-88,2.3693110728877814e-98
8.803548282346017e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,0.0,1.1457018262731638e-61,3.9757963636192586e-34,2.5730109526040916e-83,2.9791763528242793e-51,4.829093718013128e-125,7.769829837422029e-19,1.2658352721855332e-100,7.769829837422009e-19,3.3601858503521867e-68,4.266238111153144e-68,4.295599289232775e-106,4.980737099616664e-107,1.229205179425601e-50,1.23909559561885e-80,4.24331718889389e-17,1.256370801859691e-18,5.029673611731964e-21,1.205959593052902e-35,4.4654620859741075e-35,5.0296736116264624e-21,5.206619217647996e-32,1.0223138330171392e-39,1.213188867124722e-44,1.6236397513528167e-73,2.393818043440293e-49,2.6028418487262113e-70,7.56495390610426e-100,3.7011446491101513e-51,3.5585394964992557e-103,4.0174075014476655e-35,3.7759595618357446e-86,1.7975054374559577e-96
1.8124952346006506e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,0.0,1.9323944252196196e-60,1.6598167181544004e-33,1.78814771820133e-81,2.548748092265023e-50,1.3436172167399802e-122,1.5996708488810075e-18,8.971792121542506e-99,1.599670848880999e-18,5.775300945494441e-67,7.368865386853316e-67,5.974126229268133e-104,6.926985071071431e-105,1.0332210169054532e-49,4.412132093813329e-79,8.736241271252093e-17,2.5866457685346573e-18,1.035521037720699e-20,5.034643899179627e-35,1.864242518080599e-34,1.0355210376766545e-20,2.1736609875911377e-31,8.593163561223876e-39,1.0201173254059264e-43,5.635112198538889e-72,2.012148303926881e-48,9.030467312664928e-69,1.0520997539596159e-97,3.111035083447566e-50,5.0894476919481884e-101,1.6771885490054344e-34,2.623250868448359e-84,1.2812019303121942e-94
3.676776047332748e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996514,0.022821567693054285,0.0,3.1739643148808324e-59,6.780892878938994e-33,1.1926119802477363e-79,2.1073542106366452e-49,3.586170133575149e-120,3.2450465791586213e-18,6.037604803148048e-97,3.245046579158586e-18,9.57213777659809e-66,1.2243480012159135e-65,7.971374746295823e-102,9.242789948538416e-103,8.470970116690887e-49,1.5593250862805274e-77,1.7722089435968398e-16,5.2471957018845895e-18,2.1006283908502028e-20,2.0568163025026146e-34,7.616038973578415e-34,2.1006283906702662e-20,8.880114028796556e-31,7.045194343833796e-38,8.369425161127333e-43,1.8780277033197274e-70,1.6496807485343832e-47,3.007522517532553e-67,1.4038339812782897e-95,2.550614514322137e-49,6.8843934101453675e-99,6.8518624756377975e-34,1.7483855164285292e-82,9.057052117305905e-93
7.405337672796944e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.02282156769305428,0.0,5.145133444911582e-58,2.740945319155458e-32,7.798911182066523e-78,1.7136654460331156e-48,9.382625871792598e-118,6.535798039713869e-18,3.961493347849187e-95,6.535798039713724e-18,1.5585744954363517e-64,1.9959962388103477e-64,1.0427107177926763e-99,1.209020582806175e-100,6.860011183528722e-48,5.700594458512647e-76,3.5693785765400604e-16,1.0568295568584446e-17,4.230843097247202e-20,8.313980297201925e-34,3.0785247229971493e-33,4.230843096519871e-20,3.589483785351478e-30,5.705380519148185e-37,6.787312603596098e-42,6.138682610262684e-69,1.3359542411789057e-46,9.817053529871953e-66,1.8363115332007315e-93,2.0655537500317148e-48,9.066388360666962e-97,2.769632364348923e-33,1.1417626038749443e-80,6.619064187223323e-91
1.4862460923725334e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.1186699660299646,0.022821567693054275,0.0,8.286079136074149e-57,1.1021220579895404e-31,5.055575651164248e-76,1.3821332640143263e-47,2.433131307564231e-115,1.3117300960824443e-17,2.566988733961713e-93,1.311730096082386e-17,2.5155455193166623e-63,3.2235392163901246e-63,1.351948482664473e-97,1.5675810313490115e-98,5.521533740862329e-47,2.2409257242533417e-74,7.163717842426338e-16,2.1210495301984136e-17,8.491272510593169e-20,3.3430148677462786e-33,1.2378612511852097e-32,8.491272507668605e-20,1.4433154130495614e-29,4.592185762437143e-36,5.478369127817627e-41,1.9894021207764107e-67,1.0752921989410004e-45,3.172701495805903e-64,2.3809082887557485e-91,1.66253733651382e-47,1.1795012533138766e-94,1.1136569922907972e-32,7.381124244083703e-79,5.198942829218992e-89
2.9776707425582117e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999844,0.11866996602996387,0.022821567693054264,0.0,1.3300992134808844e-55,4.420002390862871e-31,3.2696467848384203e-74,1.1102046012787334e-46,6.294594975178694e-113,2.6280306803045897e-17,1.6530688857241932e-91,2.6280306803043574e-17,4.042414117846734e-62,5.181745011887631e-62,1.7487525641103282e-95,2.0276744144047705e-96,4.4306829852636504e-46,9.776322115246503e-73,1.4352396374198242e-15,4.2494894768783434e-17,1.7012131339492982e-19,1.3406984470337138e-32,4.964377263520614e-32,1.701213132776417e-19,5.788338500781298e-29,3.6849385265042953e-35,4.420680180891504e-40,6.432903243476578e-66,8.628542705108637e-45,1.0202928878249754e-62,3.0797175539206755e-89,1.3340814765048688e-46,1.528313235114898e-92,4.466262633321373e-32,4.74769269883401e-77,4.5304456105090085e-87
