Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),H2OX(23),CHOX(53)
5.726682420223071e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999705,0.11866996602996252,0.022821567693054247,0.0,1.8162979862500346e-54,1.6341293988549212e-30,1.6665508441108744e-72,7.8927919561202533e-46,1.1845990383794174e-110,5.0542528226241692e-17,8.3469352028753265e-90,5.0542528226232941e-17,5.5230652193029744e-61,7.0808087135787369e-61,1.7127225420909664e-93,1.9858972859189334e-94,3.1483142790666684e-45,1.2163880147396641e-71,2.7602654259070924e-15,8.1726553357120513e-17,3.2717879821635272e-19,4.9567260687886494e-32,1.8353917459495208e-31,3.2717879778272396e-19,2.1400188663286662e-28,2.6184070361854337e-34,3.1734657787420036e-39,1.7064449276848705e-64,6.1311860809833224e-44,9.3237689480909219e-82,3.0162646855966931e-87,9.4795838528882262e-46,1.4981928599285029e-90
1.1458340237857283e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999422,0.1186699660299597,0.022821567693054205,0.0,2.9084429915120573e-53,6.5407762719731848e-30,1.0900443740092542e-70,6.3206349006467576e-45,3.098937268827956e-108,1.011289682928254e-16,5.3502951018462576e-88,1.0112896829279034e-16,8.8465028960298685e-60,1.1342477363773134e-59,2.2403356706984146e-91,2.5976633213126878e-92,2.5205654975892641e-44,3.8968104637587472e-70,5.5229289972741623e-15,1.6352411153905004e-16,6.5464185299085945e-19,1.9839819889783925e-31,7.346350148702114e-31,6.5464185125521303e-19,8.5656420277452933e-28,2.0963147983325231e-33,2.5945588827820915e-38,5.5814587929089951e-63,4.9086768971060422e-43,5.9740176267696425e-80,3.9454407799627972e-85,7.589430351391043e-45,1.9608456654321837e-88
2.2921655873125706e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999885,0.11866996602995408,0.022821567693054122,0.0,4.6554020571736108e-52,2.6171624943034335e-29,7.2638906485555814e-69,5.0590697059616179e-44,8.2585863491373444e-106,2.0230184842601208e-16,3.42683335081447e-86,2.0230184842587184e-16,1.4162087847435608e-58,1.8158514778261669e-58,2.9854282438428672e-89,3.4615962000870976e-90,2.0172180723954565e-43,1.2476787859191489e-68,1.1048256140004456e-14,3.2711922790290402e-16,1.3095679638442296e-18,7.938510622563212e-31,2.9394969626767931e-30,1.3095679568993751e-18,3.4273641447849343e-27,1.6776842550575646e-32,2.162638684066032e-37,1.8602333172630972e-61,3.9284333787300636e-42,3.8255504151500523e-78,5.2576185235306631e-83,6.0738497055237662e-44,2.6143037588914329e-86
4.5848287143662556e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997712,0.11866996602994283,0.022821567693053959,0.0,7.4501562229155618e-51,1.0470354250703528e-28,5.012995813701267e-67,4.0482807288602855e-43,2.2788995718200322e-103,4.0464760869246267e-16,2.1940199610000199e-84,4.0464760869190149e-16,2.2665488875031902e-57,2.9062058711085415e-57,4.1195720616973507e-87,4.7766329717505084e-88,1.6140803405767943e-42,3.9936915551449649e-67,2.2098910425449668e-14,6.5430946063059211e-16,2.6194201907684431e-18,3.1759199019350497e-30,1.1759901910382139e-29,2.619420162984435e-18,1.3711621191329994e-26,1.3423947872128412e-31,1.8683894631847199e-36,6.4223359021758947e-60,3.1433435916535449e-41,2.4490498073197819e-76,7.2549519018262438e-81,4.8600007407474711e-43,3.6097389867319049e-84
9.170154968473625e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995436,0.11866996602992032,0.022821567693053633,0.0,1.1921453851310781e-49,4.1884826270312177e-28,3.6730757678385439e-65,3.2390346181865838e-42,6.6748661984697132e-101,8.0933912922567259e-16,1.404443752919991e-82,8.0933912922342769e-16,3.6269701544782464e-56,4.6506015904589337e-56,6.0343558398714444e-85,6.9968197167469642e-86,1.2913859145339925e-41,1.2781604344384609e-65,4.4200218996278598e-14,1.3086899260858879e-15,5.2391246654871148e-18,1.2704703354808593e-29,4.704343587870501e-29,5.2391245543415013e-18,5.4850411329485918e-26,1.0740057735080937e-30,1.7155907623428065e-35,2.3548678144400931e-58,2.5149136810466594e-40,1.5676151235669431e-74,1.0627065252818539e-78,3.8883667975804454e-42,5.2923473636735915e-82
1.8340807476688365e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990884,0.1186699660298753,0.022821567693052977,0.0,1.9075268213062462e-48,1.675461276811047e-27,2.9452273527852147e-63,2.591391717646288e-41,2.1389800932521104e-98,1.6187221702933275e-15,8.9893072400465578e-81,1.6187221702843475e-15,5.8035458191720846e-55,7.441491644725769e-55,9.6714816237907289e-83,1.1214057459160198e-83,1.0331562325362781e-40,4.0904000246816903e-64,8.8402836137690497e-14,2.6174508569961607e-15,1.0478533698408258e-17,5.0820799928122061e-29,1.8818139902334703e-28,1.0478533253803419e-17,2.1940627504247015e-25,8.5922616627049679e-30,1.7257226781730737e-34,9.4524254294578063e-57,2.012026515826159e-39,1.0033451216161874e-72,1.7032383869629997e-76,3.1108363679774787e-41,8.492571060207989e-80
3.668211249311784e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998178,0.11866996602978526,0.022821567693051669,0.0,3.0521115205528733e-47,6.7019818674188531e-27,2.6456715342600241e-61,2.0731789838316723e-40,7.6779552300096943e-96,3.2374882524335771e-15,5.7534341530152869e-79,3.2374882523976563e-15,9.2859881679754647e-54,1.1906782084180615e-53,1.7363914590678629e-80,2.0133413097256614e-81,8.2654213326288955e-40,1.3089738671585589e-62,1.7680807041953035e-13,5.2349727188154254e-15,2.0957352098208247e-17,2.0328668433542691e-28,7.5274089747539701e-28,2.095735031971839e-17,8.7760857181283605e-25,6.873664623906836e-29,1.9456834445421372e-33,4.2512715178774919e-55,1.6096595105493072e-38,6.4216373765591777e-71,3.057947718607905e-74,2.4887205720061971e-40,1.5268198075034147e-77
7.336472252597679e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679963573,0.1186699660296052,0.022821567693049053,0.0,4.883411687133724e-46,2.6808203438140668e-26,2.6667908180483101e-59,1.6585694289092246e-39,3.0928703524132832e-93,6.4750204167338374e-15,3.6822866575744135e-77,6.4750204165901511e-15,1.4857832922232895e-52,1.9051078600513374e-52,3.4983712699560745e-78,4.0563521981967085e-79,6.6123759979282376e-39,4.1887897254866194e-61,3.5361853897927442e-13,1.0470016442448836e-14,4.1914990233819587e-17,8.1314979895439187e-28,3.010994113676811e-27,4.1914983119513006e-17,3.5101949522523545e-24,5.4985044243654519e-28,2.4605744548630271e-32,2.1452286773217518e-53,1.2877430373414266e-37,4.1099210394320255e-69,6.1609586208452162e-72,1.9909879355929184e-39,3.0799280641901844e-75
1.467299425916947e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679927157,0.11866996602924505,0.022821567693043818,0.0,7.8134160825376384e-45,1.0723338525242056e-25,2.9525682169252229e-57,1.3268660360371194e-38,1.368804195890282e-90,1.2950084745413399e-14,2.3566918655380691e-75,1.2950084744838653e-14,2.3772734042216544e-51,3.0481622451447658e-51,7.7430587911591428e-76,8.9780558972459007e-77,5.2898689191904388e-38,1.3404244319525907e-59,7.0723947608301976e-13,2.094010388969517e-14,8.383027185053015e-17,3.2525740581163651e-27,1.2044036868438969e-26,8.3830243390961574e-17,1.4038651332619669e-23,4.3980417531137001e-27,3.4145185052914694e-31,1.1886232963724245e-51,1.0302007766994092e-36,2.6303728192869568e-67,1.3636248567644348e-69,1.5927803586245715e-38,6.823035965549825e-73
2.9346038272313052e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679854321,0.11866996602852478,0.022821567693033347,0.0,1.2501210141428873e-43,4.2893484041574838e-25,3.4834664106963643e-55,1.0614970197569556e-37,6.4569969667389909e-88,2.5900213403088688e-14,1.5082918686665241e-73,2.5900213400789702e-14,3.8036535184210897e-50,4.8769600913954125e-50,1.8265543388136006e-73,2.1178847565940718e-74,4.2318064634624635e-37,4.2893768290030648e-58,1.4144813502275397e-12,4.1880278784105918e-14,1.6766085647742425e-16,1.3009995879604628e-26,4.817626322876227e-26,1.6766074262130138e-16,5.6137156674562093e-23,3.5171837726210721e-26,5.0441025281666491e-30,7.0156771951988747e-50,8.2416344031868828e-36,1.6834460212553516e-65,3.216731896658814e-67,1.2741969621450457e-37,1.6104219133426732e-70
5.8692126298600216e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679708649,0.11866996602708423,0.022821567693012405,0.0,2.0001023019070681e-42,1.7157432104281987e-24,4.2673998628094712e-53,8.4919928217543386e-37,3.1632945187999593e-85,5.1800470719703939e-14,9.6530968086913797e-72,5.1800470710507979e-14,6.0858583660778373e-49,7.802764613818049e-49,4.4745139017299155e-71,5.188186135116278e-72,3.3852882394308669e-36,1.3726035015626594e-56,2.8289650982646965e-12,8.3760628572599726e-14,3.3532211139728729e-16,5.2037382360012251e-26,1.9270524384351585e-25,3.3532165583179539e-16,2.2440830364858164e-22,2.811736859264803e-25,7.7314156263069446e-29,4.2986133053235333e-48,6.5933232774848868e-35,1.0774077548017494e-63,7.8800316760036924e-65,1.0193093167184915e-36,3.9462492144141072e-68
1.1738430235117454e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767941731,0.11866996602420313,0.022821567692970526,0.0,3.1998638675287256e-41,6.8629905184345376e-24,5.3343599388795228e-51,6.7936007628217743e-36,1.5814852760814375e-82,1.0360098535799309e-13,6.1779909461469993e-70,1.0360098532120924e-13,9.7373831885947865e-48,1.2483192128345292e-47,1.118559809725628e-68,1.2969666724875723e-69,2.7079735103532681e-35,4.3923354409371384e-55,5.6579325933314769e-12,1.6752132814827656e-13,6.7064496463739376e-16,2.0812832618075179e-25,7.7082103257701561e-25,6.7064314125238878e-16,8.9651088515576357e-22,2.2461739069083955e-24,1.2086665741128272e-27,2.6871306789450877e-46,5.2746720763228167e-34,6.8954160701683272e-62,1.9698854754163069e-62,8.1536844489905802e-36,9.8663624982126049e-66
2.347686544563232e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678834631,0.11866996601844092,0.022821567692886766,0.0,5.1188169384650605e-40,2.7452076934943289e-23,6.7323698467931679e-49,5.4348829563186499e-35,7.983363793446975e-80,2.0720201465480597e-13,3.9539167706086789e-68,2.0720201450767061e-13,1.5579819707496197e-46,1.9969134497726496e-46,2.823308199640462e-66,3.2736159781908393e-67,2.1659651826846099e-34,1.4055477435738326e-53,1.1315867579434906e-11,3.3504272729438704e-13,1.3412920506029524e-15,8.3234293352123264e-25,3.0832816474849723e-24,1.3412847480947711e-15,3.5770928597182359e-21,1.7918103164263921e-23,1.9072648622363364e-26,1.6958126899756007e-44,4.2197544413336924e-33,4.4130671622893426e-60,4.9720946535906831e-60,6.5216765185069966e-35,2.4903734627434763e-63
4.695373586666205e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677669269,0.11866996600691651,0.022821567692719244,0.0,8.1870151113544949e-39,1.0980916835954999e-22,8.5213318226946275e-47,4.347906893710366e-34,4.0418326014216376e-77,4.1440407332937003e-13,2.5305071555831849e-66,4.144040727408289e-13,2.4927712859625604e-45,3.1937881871926401e-45,7.1469887026921609e-64,8.2869021676170112e-65,1.7321097490299656e-33,4.4977516616300085e-52,2.2631737535521231e-11,6.7008552556563601e-13,2.6825917870199029e-15,3.3280079594550433e-24,1.2333100846536018e-23,2.6825625058066547e-15,1.4237257319584424e-20,1.4252989032020939e-22,3.0179194609025997e-25,1.0732413477397233e-42,3.3758283593890202e-32,2.8243617500835141e-58,1.2586438444548899e-57,5.2153057778876081e-34,6.3036011490031137e-61
9.390747670872151e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767533855,0.11866996598386768,0.0228215676923842,0.0,1.3089336718435001e-37,4.3924336059421792e-22,1.0757849144059146e-44,3.478325070808542e-33,2.0410976881873118e-74,8.2880819100224691e-13,1.6195242052629108e-64,8.2880818864808715e-13,3.9884328975317544e-44,5.1059815657901337e-44,1.804579968995593e-61,2.0923994454591343e-62,1.3846287547391236e-32,1.4392792253483196e-50,4.526347738321176e-11,1.3401711220242581e-12,5.3652138862876706e-15,1.330113097939036e-23,4.9332185678494562e-23,5.3650961975170929e-15,5.6387949443004329e-20,1.1273811438290253e-21,4.7625888308750328e-24,6.7744872588870481e-41,2.7007011092438346e-31,1.8075891866348499e-56,3.1779950596610153e-55,4.1689903788626067e-33,1.5912343494151666e-58
1.8781495839284045e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670677112,0.11866996593777003,0.022821567691714114,0.0,2.0911364795889869e-36,1.7570252864101553e-21,1.3456280427403193e-42,2.7826588300133478e-32,1.021290114656679e-71,1.6576164276429769e-12,1.0364947189833097e-62,1.657616418226371e-12,6.3814876562019902e-43,8.1565546253705696e-43,4.5146388712906543e-59,5.2346804668503753e-60,1.1060121339677198e-31,4.6056842148247513e-49,9.0526956820664352e-11,2.6803423146060483e-12,1.073055145860067e-14,5.3117510420116033e-23,1.9732697755145009e-22,1.0730076287510572e-14,2.2118483691576105e-19,8.8189454604060756e-21,7.4460267558077975e-23,4.2365640867361652e-39,2.160620456475275e-30,1.1568538513525083e-54,7.9505056815638141e-53,3.3299965941254357e-32,3.9787706375097376e-56
3.756299217610783e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727661354236,0.11866996584557472,0.022821567690373943,0.0,3.3357584175564305e-35,7.0284937468867918e-21,1.6498643864794316e-40,2.2261248950899955e-31,5.0094320480993153e-69,3.3152329061041747e-12,6.633555377751716e-61,3.3152328684380071e-12,1.0210363300532353e-41,1.3009023580278535e-41,1.1071690278081647e-56,1.2837441699162094e-57,8.821162108195277e-31,1.4738128415200338e-47,1.8105391466385567e-10,5.3606846984282672e-12,2.146162188492258e-14,2.1177710008412791e-22,7.8929374221514332e-22,2.1459687305195176e-14,8.5163556348205597e-19,6.7519318621820961e-20,1.1409935858881749e-21,2.5967872621490571e-37,1.7285867182548653e-29,7.403822557331002e-53,1.949732214163261e-50,2.6557207120591386e-31,9.7469750743567466e-54
5.634448851293161e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727652031361,0.11866996575337942,0.022821567689033772,0.0,1.2260065552206684e-34,1.493610081285159e-20,1.0647423787935446e-39,6.6088045643882317e-31,4.2139712685949417e-68,4.9728493897447378e-12,3.7663342225722977e-60,4.9728493097047133e-12,3.8627847611415356e-41,4.9525481139705695e-41,8.2231784830864136e-56,9.5346237305963049e-57,2.5178918381458117e-30,6.8752930759062025e-47,2.7158087147533308e-10,8.0410270809091259e-12,3.2193108298472341e-14,4.4901241829100255e-22,1.6772283801610132e-21,3.2188949171984204e-14,1.7632034961576255e-18,1.8828548038198228e-19,4.114636670395646e-21,1.4278068886389583e-36,4.9428202173797713e-29,4.1402744274387295e-52,1.4480978073703314e-49,7.5801528524913976e-31,7.273008765197102e-53
9.390748118657917e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727633385609,0.1186699655689888,0.02282156768635343,0.0,9.3846135597013115e-34,4.129751094123288e-20,4.4490568209950137e-38,3.0956971812251363e-30,5.4869556571880305e-66,8.2880823777432154e-12,1.0124903536405127e-58,8.2880821564584186e-12,3.0485394343824379e-40,4.048139855381627e-40,6.0292177810077344e-54,6.9906539828500461e-55,1.1510533297744873e-29,9.2132713171493218e-46,4.526347809714326e-10,1.3401711840511669e-11,5.3657895161426641e-14,1.2342180373096037e-21,4.6368946928665438e-21,5.3646076393229368e-14,4.5723271368941003e-18,8.0463712910656385e-19,2.9525403548356264e-20,3.4455840059882245e-35,2.2717181877365273e-28,9.5260880401844145e-51,1.0616904768605181e-47,3.46488575590625e-30,6.5010234551052146e-51
1.2771417459286198e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727616604433,0.11866996540303727,0.022821567683941123,0.0,2.5784928745951673e-33,7.3542584919567188e-20,2.06737624970245e-37,7.1436268819777121e-30,2.9981033936801748e-65,1.127179208367511e-11,4.3963638332718277e-58,1.1271791689635473e-11,8.5551838753393348e-40,1.1769540183157653e-39,3.0664475137837064e-53,3.5554016504295355e-54,2.5834583174305448e-29,3.0578119946199266e-45,6.1558329618442891e-10,1.8226328119824674e-11,7.2977767708640857e-14,2.1893649844548761e-21,8.2567603518444718e-21,7.2956362916322486e-14,7.808442652743964e-18,1.7399318917026158e-18,7.8770244297223163e-20,1.4335653627209769e-34,5.1138289685437688e-28,3.6407876002062251e-50,5.3996593963362341e-47,7.7762199984131406e-30,3.9294879410520767e-50
1.6152086799914479e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727599823256,0.11866996523708573,0.022821567681528817,0.0,5.7923744745132881e-33,1.148068072630946e-19,7.0998777733576122e-37,1.3754606418301812e-29,1.3594640983538112e-64,1.4255501807317807e-11,1.3312203465955189e-57,1.4255501192221118e-11,1.9587576170902133e-39,2.6860625263278583e-39,1.21676079430473e-52,1.4107731278970762e-53,4.8680140163958707e-29,8.2163510061140745e-45,7.7853180786899114e-10,2.3050944394583728e-11,9.2299405019518762e-14,3.4044678642649767e-21,1.2888643381331725e-20,9.2265455579227101e-14,1.1700256649896922e-17,3.1561255961220823e-18,1.7139355536499474e-19,4.1935155815385881e-34,9.6658685785217798e-28,1.1354997888262841e-49,2.1425446578145427e-46,1.4651807334331384e-29,1.4531259245265617e-49
1.953275614054276e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072758304208,0.11866996507113421,0.02282156767911651,0.0,1.1106279338136715e-32,1.6459136942055295e-19,1.958486749496617e-36,2.3386186897358423e-29,4.545298530763647e-64,1.7239211547689134e-11,3.4559837612888222e-57,1.7239210665909948e-11,3.8196914847416689e-39,5.2968262117822321e-39,3.7014337083324534e-52,4.2916033179522235e-53,8.1136133268064818e-29,1.8176476974059615e-44,9.4148031622057344e-10,2.7875560665019108e-11,1.1162279089230995e-13,4.8626668165586865e-21,1.8476431026615373e-20,1.1157342057966513e-13,1.614408022933413e-17,5.0795616633077804e-18,3.1931321856677902e-19,1.048223494471529e-33,1.6156723731884429e-27,2.8229523601717812e-49,6.5176092135891458e-46,2.4418997966222885e-29,4.6076990229706223e-49
2.6294094821799323e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727549479727,0.11866996473923117,0.022821567674291894,0.0,2.8612158959265911e-32,2.835929968104518e-19,8.9910610490766214e-36,5.1706995159310957e-29,2.633702099454599e-63,2.3206631066578249e-11,1.5286474498713765e-56,2.3206629547388986e-11,1.0141104699353884e-38,1.4733971790637233e-38,1.9088341159731113e-51,2.2131377802045087e-52,1.7242191700156492e-28,5.7188650339896554e-44,1.2673773253229388e-09,3.7524793196016736e-11,1.5027376597269574e-13,8.3264168844241301e-21,3.1831776011498504e-20,1.5018677915477915e-13,2.611969061595627e-17,1.0208654417861692e-17,7.8649075408284457e-19,4.2967564891058174e-33,3.4494687091207514e-27,1.0404169329129137e-48,3.3610252157384464e-45,5.1887653352564919e-29,3.2097244546961441e-48
