Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53),CH3X(55),C2H4X(215)
5.883606884761695e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799997,0.11866996602996244,0.022821567693054243,0.0,2.0254669402355363e-54,1.7249138772505544e-30,2.8001585719189665e-72,8.559572122744316e-46,2.1010248728415772e-110,5.19274965477455e-17,9.816802724003875e-90,5.1927496547737523e-17,6.1537836262735044e-61,9.988372122509373e-60,2.9566599020856443e-93,3.428240411021163e-94,6.212123910522027e-44,2.870495373862758e-71,2.8359031411076443e-15,8.396605167098956e-17,3.3614426103609064e-19,5.232100235456571e-32,1.9373571586310344e-31,3.3614426038197025e-19,1.0280422295602297e-45,3.2463195927316495e-28,5.864678803062997e-34,1.015316530096671e-38,5.763442315772471e-64,6.649148277960175e-44,1.4851076803070142e-61,5.206956350993873e-87,3.7170832251348256e-90,1.742967010853917e-31,1.3643394289051817e-75
1.17723255044363e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999405,0.11866996602995955,0.022821567693054202,0.0,3.2433864479497365e-53,6.904150804326916e-30,1.8210687575551887e-70,6.854599816341313e-45,5.465180605968039e-108,1.0390010820978523e-16,6.292464270140494e-88,1.0390010820975327e-16,9.856748473712407e-60,1.5999993731173292e-58,3.845517406709653e-91,4.458868658919822e-92,4.97347633948439e-43,1.3932229196900884e-69,5.674270142458167e-15,1.68005053864715e-16,6.725805681334734e-19,2.094203607027817e-31,7.754477528622092e-31,6.725805655152845e-19,8.230588713761048e-45,1.2993715033714914e-27,4.695299856485473e-33,8.252631716735773e-38,1.874290277754707e-62,5.323361617971863e-43,4.758202642545863e-60,6.772318065437592e-85,4.837118399397837e-88,6.9764103401938505e-31,8.74270963030639e-74
2.354976274378551e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999882,0.11866996602995376,0.02282156769305412,0.0,5.191530790722286e-52,2.762559661050658e-29,1.2004363779052126e-68,5.486458057053056e-44,1.4408208348971034e-105,2.0784533153387753e-16,4.03028730352882e-86,2.0784533153374959e-16,1.5779358172525e-58,2.56148781500975e-57,5.0693538137438896e-89,5.877904178293062e-90,3.980292570616181e-42,7.493750992316237e-68,1.1351004145155153e-14,3.360830582521605e-16,1.3454531842982937e-18,8.379542159979534e-31,3.1028010754253424e-30,1.3454531738221092e-18,6.586972319564212e-44,5.199159725036985e-27,3.757652218373943e-32,6.802969190907897e-37,6.178893218005301e-61,4.26030721873781e-42,1.5235584337346396e-58,8.92760914303688e-83,6.379258386322401e-86,2.7914728505295352e-30,5.598820742870744e-72
4.710463722248394e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999765,0.1186699660299422,0.022821567693053952,0.0,8.308139491215832e-51,1.1052037771316463e-28,8.123370503865408e-67,4.390277998070717e-43,3.898871772590002e-103,4.157357781821134e-16,2.5803795769336227e-84,4.157357781816016e-16,2.5253823514340183e-57,4.099571871529649e-56,6.859526459309698e-87,7.953605269513304e-88,3.184838734946097e-41,4.340274382252709e-66,2.27044721505329e-14,6.722390670270304e-16,2.691198424508253e-18,3.3523624312746456e-30,1.2413224696448132e-29,2.6911983825965443e-18,5.270578494414009e-43,2.0799873981003613e-26,3.0066692263601395e-31,5.760834719832586e-36,2.091466227590431e-59,3.408893138369129e-41,4.8768531663464693e-57,1.2080271607734591e-80,8.636377878045183e-84,1.1167709059458055e-29,3.5843409060968803e-70
9.421438617988079e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995314,0.11866996602991908,0.022821567693053615,0.0,1.3294374976592416e-49,4.421175113368626e-28,5.76070451182543e-65,3.5126670727649806e-42,1.1053947744208196e-100,8.315166714787903e-16,1.6517616252299328e-82,8.315166714767425e-16,4.0411598738214234e-56,6.560267997652235e-55,9.725590367723771e-85,1.127679981125557e-85,2.5481128045820508e-40,2.6318533401324234e-64,4.541140816122349e-14,1.344551084576686e-15,5.3826889364502366e-18,1.3410540482904578e-29,4.9656939695174503e-29,5.382688768788554e-18,4.216862910605663e-42,8.320506399354064e-26,2.4055262210433506e-30,5.117023303977716e-35,7.420927310453219e-58,2.727373572231093e-40,1.5608096525936e-55,1.7127679754317746e-78,1.225389842682284e-81,4.467447156766455e-29,2.2943026088715225e-68
1.884338840946745e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990634,0.11866996602987283,0.022821567693052942,0.0,2.1272079674366663e-48,1.7685421719098344e-27,4.4051577234550916e-63,2.8103115372727884e-41,3.378535689328932e-98,1.6630784580729647e-15,1.0572294335184717e-80,1.6630784580647736e-15,6.466294313426254e-55,1.049719047105973e-53,1.4866486509025745e-82,1.7237657089817e-83,2.0385868465255813e-39,1.6376447924121765e-62,9.0825280182345e-14,2.6891751196756596e-15,1.0765670086428769e-17,5.364433988912041e-29,1.9863583954410797e-28,1.0765669415745138e-17,3.373650089950568e-41,3.3282417234116537e-25,1.9244522556282506e-29,4.906483418287673e-34,2.8403049034019968e-56,2.1820026295617886e-39,4.994822394181684e-54,2.618128126136865e-76,1.8751170424627187e-79,1.7870515523920785e-28,1.4684239108065689e-66
3.7687287992426193e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998128,0.11866996602978033,0.022821567693051596,0.0,3.403618555338537e-47,7.074313927487291e-27,3.738427907794603e-61,2.2483203811819034e-40,1.1457577916037144e-95,3.326202031264596e-15,6.766594761018865e-79,3.3262020312318315e-15,1.0346421709782865e-53,1.6796111589873496e-52,2.5216418471696135e-80,2.923837934184897e-81,1.6309079130642245e-38,1.0330872891453553e-60,1.8165302422354942e-13,5.378423189872255e-15,2.1531632890814543e-17,2.1458168646258154e-28,7.945595092459584e-28,2.1531630207948583e-17,2.6989835092700793e-40,1.3312467660015349e-24,1.5395022244160527e-28,5.225465615952111e-33,1.20678929161357e-54,1.7456438400545025e-38,1.5983065191449142e-52,4.44084839875485e-74,3.1847657985090488e-77,7.148351435526769e-28,9.397707943479338e-65
7.537508715834368e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679962573,0.11866996602959533,0.022821567693048907,0.0,5.445856504523827e-46,2.8297554064007075e-26,3.5687936807980896e-59,1.798684762033826e-39,4.370759246444766e-93,6.6524491776609876e-15,4.330725080018199e-77,6.652449177529929e-15,1.6554555334681884e-52,2.687425593102831e-51,4.811273228977718e-78,5.57866019905446e-79,1.3047413748615177e-37,6.563142881393833e-59,3.63308512301804e-13,1.0756919330260039e-14,4.3063560517705035e-17,8.583351670473997e-28,3.1782702534500846e-27,4.3063549785516786e-17,2.1592114323025445e-39,5.324425252386982e-24,1.2314626210943727e-27,6.260366880345427e-32,5.767776031732448e-53,1.3965321293011754e-37,5.1140506947754456e-51,8.473104133430592e-72,6.084587327792553e-75,2.859369494860043e-27,6.013917320989127e-63
1.5075068549017865e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767992516,0.11866996602922532,0.02282156769304353,0.0,8.713418001107347e-45,1.131908759173129e-25,3.789000257021245e-57,1.4389591863228932e-38,1.8547005792101062e-90,1.3304943470506295e-14,2.771697452752938e-75,1.3304943469982052e-14,2.648751284836783e-51,4.299916551000201e-50,1.021085821171117e-75,1.1839466232565683e-76,1.0437985894806983e-36,4.1840913422690074e-57,7.266194884416958e-13,2.1513911611013998e-14,8.612742384718826e-17,3.433355649121095e-27,1.2713144759336045e-26,8.612738091329991e-17,1.727377795259437e-38,2.1292883059394418e-23,9.849299798459333e-27,8.335048477060613e-31,3.065102679656022e-51,1.117233106134927e-36,1.636109726134686e-49,1.7982278753523937e-69,1.292699266648708e-72,1.143753482258787e-26,3.848006124578253e-61
3.0150188215384854e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767985033,0.1186699660284853,0.022821567693032774,0.0,1.3941488127171386e-43,4.527653262188094e-25,4.3499344549561144e-55,1.1511718897918645e-37,8.512548135129579e-88,2.6609932056406978e-14,1.7738970359580027e-73,2.6609932054310015e-14,4.2380199469784824e-50,6.87988667751127e-49,2.3436643211607096e-73,2.717473171880818e-74,8.350402222889921e-36,2.6716204860667725e-55,1.4532414406550104e-12,4.302789617243542e-14,1.722551828347765e-16,1.373343766613552e-26,5.085270102722804e-26,1.722550110594652e-16,1.3819037750238936e-37,8.513236403082402e-23,7.875530313623722e-26,1.1986977958668095e-29,1.7606926733609164e-49,8.937903729107802e-36,5.233003472782114e-48,4.1274118118033317e-67,2.9692001884014206e-70,4.575024498962973e-26,2.461535262697761e-59
