Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CH3X(55),C2H4(47),COX(50),O(29),CHOX(53),acetyl(44),C2H4X(215),C2H6X(52),C2H4X(70),CH4OX(63)
6.258727987672922e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999677,0.11866996602996226,0.022821567693054243,0.0,1.5248046842238626e-45,1.9518762302416823e-30,4.0611525225368314e-72,1.0303371143705589e-45,3.4481039553035693e-110,5.52382377576758e-17,1.4224094878519093e-89,5.52382377576667e-17,7.879740945243475e-61,1.749399679194962e-59,4.561512696251844e-93,5.289063564415624e-94,7.030666784058051e-32,4.038290636182863e-71,3.01671180743725e-15,8.931947492424932e-17,3.5757580949568746e-19,5.920534474832661e-32,2.192272574161641e-31,3.575758087554985e-19,1.2374801550604431e-45,3.673466484249777e-28,7.059459744445791e-34,1.2233497337760813e-38,7.857952652671336e-64,8.003746161462536e-44,1.972304775325641e-31,2.0228796166199322e-61,8.033253160420359e-87,6.715388812720604e-25,5.734730348011838e-90,2.411322039898753e-102,1.9768647359827646e-75,1.0210831595590004e-59,3.929998826913685e-85,1.6254008303050437e-73
1.2522893619123145e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999366,0.11866996602995918,0.0228215676930542,0.0,1.2207708959815868e-44,7.812591705408001e-30,2.6435812692201883e-70,8.251053316260107e-45,8.97741048513614e-108,1.1052446703382531e-16,9.117490828142951e-88,1.1052446703378887e-16,1.2621279728351828e-59,2.802296870416567e-58,5.938276970887879e-91,6.885418598455829e-92,2.81409895826868e-31,1.9799761691117497e-69,6.036044563445896e-15,1.7871655147744906e-16,7.154622850768798e-19,2.369756711509309e-31,8.774803518599868e-31,7.1546228211419215e-19,9.907365573300015e-45,1.4703410991174339e-27,5.6518485179532815e-33,9.952919834966482e-38,2.5578023592323745e-62,6.407863586354586e-43,7.894359068251493e-31,6.481193307427555e-60,1.045786461228459e-84,1.3436613427940473e-24,7.46962159230874e-88,6.281119254298113e-100,1.2667780391514179e-73,1.6355075975877663e-58,3.848858806790125e-83,5.207537315362821e-72
2.505122488202359e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998745,0.11866996602995303,0.022821567693054108,0.0,9.769877373056831e-44,3.1260543579158176e-29,1.745699765643748e-68,6.604186846617573e-44,2.370918028844974e-105,2.2109692558613886e-16,5.839700623929976e-86,2.2109692558599292e-16,2.020500918317521e-58,4.48628257500131e-57,7.841869749663119e-89,9.092630078413853e-90,1.1260061366735956e-30,1.0734060311801678e-67,1.2074710075458597e-14,3.5751070458384263e-16,1.4312352384685394e-18,9.48211348316274e-31,3.511064374318907e-30,1.4312352266139073e-18,7.928903387164795e-44,5.883256976580906e-27,4.523177749318113e-32,8.219349251577715e-37,8.447154265140263e-61,5.128238408658766e-42,3.158771909077273e-30,2.0752529993131355e-58,1.3810270625023756e-82,2.6879066882274395e-24,9.868449672920753e-86,1.6593757966384808e-97,8.112429370746813e-72,2.618232599309594e-57,4.169046521525042e-81,1.6674133750703865e-70
5.010788740782448e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799975,0.11866996602994073,0.022821567693053928,0.0,7.81738633759325e-43,1.2506253304522041e-28,1.1851345541067463e-66,5.28468748070452e-43,6.436350222496206e-103,4.4224184269082395e-16,3.7388511265558433e-84,4.4224184269024024e-16,3.233678647952539e-57,7.180138764281797e-56,1.0645292137865788e-86,1.2343191929848236e-87,4.5047577578750225e-30,6.249149705595004e-66,2.4152041099465637e-14,7.150990107966059e-16,2.8627811541690757e-18,3.793462740252169e-30,1.4046543731417652e-29,2.862781106742646e-18,6.3443271919356124e-43,2.353667780278725e-26,3.6191993794107475e-31,6.983182071390744e-36,2.868539305540563e-59,4.103369980086143e-41,1.2637144456157506e-29,6.642803438424496e-57,1.8747361218190183e-80,5.376399068651896e-24,1.3403431371902334e-83,4.506145179534946e-95,5.193539790428246e-70,4.190308836636877e-56,4.8511419998915163e-79,5.337325567543275e-69
1.0022121245942626e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995014,0.11866996602991613,0.02282156769305357,0.0,6.254502973002308e-42,5.002908710502902e-28,8.450632384377139e-65,4.228285250057834e-42,1.8348082014242145e-100,8.845316769004263e-16,2.3933264967257673e-82,8.845316768980912e-16,5.174587677416921e-56,1.1489891275371887e-54,1.5175925451821857e-84,1.7596450885478922e-85,1.8020497558400679e-29,3.800720672470214e-64,4.8306703147406263e-14,1.4302756232220367e-15,5.725873021239966e-18,1.5175085195862184e-29,5.619074751750516e-29,5.725872831517362e-18,5.0759433633345327e-42,9.415292510162126e-26,2.8955863403863964e-30,6.237448362628585e-35,1.0234422385771022e-57,3.2830078319798687e-40,5.05526914638873e-29,2.1259901034957282e-55,2.6726232658525687e-78,1.0753390587731496e-23,1.912261905311735e-81,1.2850900510479934e-92,3.3243323163813165e-68,6.705403608344735e-55,5.8987079467769824e-77,1.708200611899685e-67
2.0044786256262983e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999004,0.11866996602986693,0.022821567693052856,0.0,5.003840054395588e-41,2.001245112934814e-27,6.515528285732957e-63,3.3828423173666005e-41,5.6541391222509145e-98,1.7691113453205594e-15,1.5318767414977112e-80,1.7691113453112187e-15,8.279901789408958e-55,1.8385160475652767e-53,2.338920951201197e-82,2.7119734899735208e-83,7.208492339267046e-29,2.368796507718055e-62,9.661602724299371e-14,2.8606288480725165e-15,1.1452056898068622e-17,6.070280496457496e-29,2.2477213396257153e-28,1.1452056139135748e-17,4.0609469695565324e-41,3.7661543758470047e-25,2.316502112601734e-29,6.030790424439838e-34,3.949643283500049e-56,2.626531192760035e-39,2.022189910797474e-28,6.80347033484646e-54,4.11905981536308e-76,2.150740065881345e-23,2.950411995110471e-79,3.962333522676089e-90,2.1276703218637805e-66,1.0729373394532928e-53,7.351244962789168e-75,5.46665191458181e-66
4.0090116276903697e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679980093,0.11866996602976854,0.022821567693051426,0.0,4.0031672798687685e-40,8.005144896750599e-27,5.586597457180528e-61,2.706359500320364e-40,1.9372985442457543e-95,3.5382706821645405e-15,9.804484063270881e-79,3.538270682127177e-15,1.3248292061086434e-53,2.9417320908526068e-52,4.008278098340473e-80,4.647589251758063e-81,2.88345559999902e-28,1.4955831251967717e-60,1.9323467543299335e-13,5.721335297771946e-15,2.2904425222534218e-17,2.4281611329630067e-28,8.991068110269202e-28,2.290442218664837e-17,3.248833888745637e-40,1.5063997030383355e-24,1.8531225960201149e-28,6.489577604686907e-33,1.6955102259285144e-54,2.1012752165460676e-38,8.088923962820559e-28,2.177052058329364e-52,7.058954600803463e-74,4.301552893266836e-23,5.062964920248831e-77,1.3585395742410632e-87,1.3616739958079868e-64,1.7167579528396457e-52,9.28170408528701e-73,1.7493939730896008e-64
8.018077631818512e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767996019,0.11866996602957174,0.022821567693048564,0.0,3.202572180411129e-39,3.202091795517693e-26,5.388296466680694e-59,2.1651218543659622e-39,7.466836281460314e-93,7.076589355867359e-15,6.275021117364191e-77,7.076589355717902e-15,2.119762659089436e-52,4.7068553767303056e-51,7.726966670580691e-78,8.959399998050616e-79,1.1533939730156774e-27,9.505380646374403e-59,3.8647197180829175e-13,1.1442748197164692e-14,4.58091641551844e-17,9.71273960051752e-28,3.596463691313691e-27,4.5809152010777227e-17,2.5990966758261738e-39,6.02491865220812e-24,1.4823187705854754e-27,7.854970929766461e-32,8.18734502963463e-53,1.6810407425652787e-37,3.235602299120931e-27,6.965789857347795e-51,1.3607914102281574e-71,8.603221800714223e-23,9.772984253325268e-75,5.239600917284083e-85,8.713753617355746e-63,2.746859286575111e-51,1.1797573084549443e-70,5.598163785682316e-63
1.6036209640074798e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767992039,0.11866996602917813,0.022821567693042843,0.0,2.562073505384506e-38,1.2808442433150568e-25,5.768069113789518e-57,1.732111177266885e-38,3.1947668163494602e-90,1.4153226703332427e-14,4.0160619102497757e-75,1.4153226702734595e-14,3.3916489753178995e-51,7.531032301581365e-50,1.653459674905939e-75,1.9171826228374328e-76,4.6135993586248314e-27,6.061035183259887e-57,7.729465645400847e-13,2.2885573995925716e-14,9.161865115924841e-17,3.885112613251921e-27,1.438592683220931e-26,9.161860257545118e-17,2.0792876293615912e-38,2.4093867549311696e-23,1.1855471176748767e-26,1.0543592078824136e-30,4.386743871876026e-51,1.3448415641508382e-36,1.294247342295118e-26,2.2284913929991786e-49,2.911897490927961e-69,1.7206732626314603e-22,2.0934500311527293e-72,2.2429861373024797e-82,5.575410208802744e-61,4.395012087456724e-50,1.5044812510112281e-68,1.7914279384917605e-61
3.2072473656587367e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767984079,0.11866996602839094,0.0228215676930314,0.0,2.049665778104172e-37,5.123398080359266e-25,6.658322368536566e-55,1.3856944065851752e-37,1.4743851726918889e-87,2.830650139850028e-14,2.570295074624659e-73,2.830650139610895e-14,5.426661263843357e-50,1.2049691355551013e-48,3.816010383545071e-73,4.424654880597766e-74,1.8454444371132397e-26,3.870388338048509e-55,1.5458957499284556e-12,4.577122559334991e-14,1.8323766175348e-16,1.5540466073019368e-26,5.754384484080865e-26,1.8323746737047866e-16,1.6634317592906814e-37,9.632831072467153e-23,9.479369523806864e-26,1.524499088301832e-29,2.5336350333846355e-49,1.0758780261494162e-35,5.177001253054902e-26,7.127479138917165e-48,6.720350602920034e-67,3.4414446320337744e-22,4.83475083165001e-70,1.0354932078178641e-79,3.566429449935425e-59,7.032049055947331e-49,1.9213910296108105e-66,5.732588073224504e-60
