Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2192467651223754e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,1.2477979671621207e-65,2.8897367834853746e-36,1.6390584032073022e-88,1.7265781456258407e-54,5.423526285475253e-132,5.488978465945501e-20,-6.03401543755193e-106,5.488978465945501e-20,2.4584279473149965e-72,7.235209319032672e-71,3.627336436417906e-112,4.205888323260737e-113,1.694874594048368e-51,1.1384747308058558e-85,2.9976818271489012e-18,8.875603103045467e-20,3.55320154283583e-22,8.765302931992536e-38,3.2456416223579106e-37,3.5532015427893844e-22,3.1838388986585083e-54,2.319821413404416e-33,3.3046727354013735e-41,2.4031909431477633e-45,2.95162373569291e-76,2.0592360966857167e-52,5.468182723839267e-77,6.388080853011457e-106,-2.9696638217299278e-108
1.7413890942342651e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,2.791488336209414e-64,1.7454010186266964e-35,1.8112163649736485e-86,2.609204894999078e-53,1.9569776807428895e-129,1.5369139704647403e-19,1.1648756209311407e-104,1.5369139704647396e-19,6.9331601633065694e-71,2.2748655609825468e-69,7.251271917010515e-110,8.407833245990513e-111,2.012155118052105e-50,5.893737805028748e-84,8.393509116016921e-18,2.4851688688527303e-19,9.948964320015664e-22,5.29424297091741e-37,1.9603675399022067e-36,9.948964319735131e-22,3.7798535404703747e-53,1.4011721144131842e-32,3.923307420210094e-40,2.853086385331937e-44,1.7956279607087887e-74,2.444725095782998e-51,3.3265623555930915e-75,1.2770172302704357e-103,3.0053958871057493e-106
3.9803179296783205e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,5.515699931287661e-63,8.403354587398419e-35,1.63867431879549e-84,2.8068635613028245e-52,7.0858438295415914e-127,3.51294621820512e-19,1.2299856394198613e-102,3.5129462182051176e-19,1.508113774753727e-69,5.075099925435055e-68,1.3127863882087335e-107,1.5221728223657237e-108,1.975545826816214e-49,2.5740219129883528e-82,1.9185163693752944e-17,5.680385985949098e-19,2.2740489874676694e-21,2.548950092614305e-36,9.438325837787233e-36,2.274048987332604e-21,3.711082620223636e-52,6.7460403809338e-32,3.8519263814827545e-39,2.80121546597492e-43,8.106432247478768e-73,2.4002455998697887e-50,1.501769218590719e-73,2.3119403831338558e-101,6.293845143873968e-104
8.458175600566431e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,0.0,9.815048080524729e-62,3.669965736750142e-34,1.2402067676476452e-82,2.579991192852087e-51,2.1486049479851004e-124,7.465010713685881e-19,9.722011385929875e-101,7.465010713685868e-19,2.7957887723582666e-68,9.505100487784387e-67,1.989278302145032e-105,2.3065636533406973e-106,1.7473479114663213e-48,9.586788640855666e-81,4.0768472849224944e-17,1.2070820220141834e-18,4.8323540985204194e-21,1.1131934723536228e-35,4.1219648603639894e-35,4.832354097930555e-21,3.282410550850262e-51,2.9461728961358404e-31,3.406985069597137e-38,2.477711550289112e-42,3.0609174970206602e-71,2.122990057942234e-49,5.670394506796704e-72,3.5033063119045384e-99,1.0114836333699403e-101
1.741389094234265e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,0.0,1.6554639133642074e-60,1.5321384621552888e-33,8.61648141282866e-81,2.207236783633798e-50,5.976423088728703e-122,1.5369139704647403e-18,6.890617371410143e-99,1.536913970464735e-18,4.805246572565865e-67,1.641769734007582e-65,2.7657999921219763e-103,3.206938781437138e-104,1.4687512051838013e-47,3.305792577277484e-79,8.393509116016867e-17,2.48516886885273e-18,9.948964321108099e-21,4.6473636144575753e-35,1.7208391881466639e-34,9.94896431864553e-21,2.7590638479542135e-50,1.2299690443880593e-30,2.8637759123220215e-37,2.0827805713071381e-41,1.0620320447549257e-69,1.7845010748431106e-48,1.9673230509842432e-70,4.870834090586742e-97,1.4462098803653082e-99
3.532532162589509e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996516,0.022821567693054285,0.0,2.7191146343487816e-59,6.259285628035333e-33,5.743466144499962e-79,1.824986056482196e-49,1.5942134683865813e-119,3.1177397686570456e-18,4.6370696037946425e-97,3.117739768657023e-18,7.964343793911265e-66,2.7278249674608487e-64,3.688322797042909e-101,4.2766018692310544e-102,1.2041709761978113e-46,1.099062525950751e-77,1.7026832778205523e-16,5.041342562529821e-18,2.0182184768212164e-20,1.898599676209455e-34,7.030189579459296e-34,2.0182184758151768e-20,2.262047237992505e-49,5.024823696766456e-30,2.3478959821267246e-36,1.7077774793222862e-40,3.5373936285480654e-68,1.463041814857967e-47,6.552005686281889e-69,6.495483573531715e-95,1.955121192054033e-97
7.114818299299997e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.02282156769305428,0.0,4.407810194055987e-58,2.530103397472613e-32,3.751510236314345e-77,1.4840483525289324e-48,4.166200739693593e-117,6.279391365041658e-18,3.042550976406384e-95,6.279391365041567e-18,1.296786924697523e-64,4.447043163339187e-63,4.8190203948886775e-99,5.587643154479687e-100,9.75168876730186e-46,3.594107259247695e-76,3.4293480102582457e-16,1.0153689949884001e-17,4.064862567013514e-20,7.6744434509091174e-34,2.8417150309806993e-33,4.0648625629469407e-20,1.8318645005750726e-48,2.0311131254170307e-29,1.9013861765922442e-35,1.3833071931803149e-39,1.1549145642786017e-66,1.1848092238610612e-46,2.1386828260345592e-67,8.486748458984623e-93,2.5718023395952657e-95
1.4279390572720972e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999992,0.11866996602996463,0.022821567693054278,0.0,7.098649009193466e-57,1.0173435040184628e-31,2.4262731328989535e-75,1.1969387596566803e-47,1.0779140051857136e-114,1.2602694557810894e-17,1.9715277530885643e-93,1.2602694557810522e-17,2.093019324704685e-63,7.1819865839102e-62,6.233843551703725e-97,7.228127377075336e-98,7.849007497099557e-45,1.1688927191427667e-74,6.882677475133484e-16,2.0378384724592344e-17,8.158150750484054e-20,3.0858599579402647e-33,1.1426411155622446e-32,8.158150734132533e-20,1.4744439182115843e-47,8.167008883028348e-29,1.5303996224621412e-34,1.1138964956581067e-38,3.734102597644985e-65,9.536375881619261e-46,6.911847157008493e-66,1.0978385193619693e-90,3.3380636474936738e-93
2.8608535119562925e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999985,0.11866996602996392,0.022821567693054268,0.0,1.1394909038237606e-55,4.080002915830701e-31,1.561971972632215e-73,9.614463040757997e-47,2.7758838689286118e-112,2.5249300943349397e-17,1.2696086830735735e-91,2.5249300943347915e-17,3.363425866154154e-62,1.1544833664284201e-60,8.026666137164093e-95,9.306901074566306e-96,6.298334202275205e-44,3.8111571439624366e-73,1.378933640488336e-15,4.0827774274008945e-17,1.6344727129768947e-19,1.2375678614000748e-32,4.5825019315060596e-32,1.6344727064191974e-19,1.1831483863904826e-46,3.275329694347967e-28,1.2280470861463277e-33,8.946190113144771e-38,1.2018722698098543e-63,7.652341847008572e-45,2.2227424886774026e-64,1.4135714495708267e-88,4.3053060056448897e-91
