Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),O(29),CH3X(55),C2H4(47),OH(D)X(68),COX(50),CH4OX(63),CHOX(53),C2H6X(52),acetyl(44),CH2(T)(34),C2H4X(222),CH2O2(186),C2H4X(70),CH2OX(54),CHO2X(213),CH2OH(40)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.255787892642773e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,6.229704167735008e-54,3.933252844733589e-36,4.954602697516473e-82,2.741742147915102e-54,2.4481362469916093e-64,6.40380821026975e-20,-1.5268046917781489e-105,6.403808210269749e-20,4.591220209921133e-72,1.579122413016587e-70,1.6853965674294722e-84,1.483265627161659e-106,1.4167594155801635e-37,2.4805478935173878e-85,3.497295465007052e-18,1.0354870286886379e-19,4.145401799979657e-22,1.1930551212987463e-37,4.417678874875279e-37,4.145401799916438e-22,5.0558182511062114e-54,3.157534694077542e-33,5.247697895607858e-41,3.8161827733342666e-45,6.379629557427839e-76,3.269990653986568e-52,7.785197223024305e-28,3.974418713558856e-37,1.1818897481277036e-76,8.267191733465875e-55,2.2528464915222916e-99,3.292940890716459e-87,8.519574045625175e-83,5.90192676994375e-71,7.870141308415965e-118,1.917737039171731e-40,2.6339835671771043e-93,2.3774435158821384e-56,5.528199562578324e-102,5.273682577647314e-81,-1.1030922195781178e-122,2.800306484015201e-85
2.0316206099399765e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,7.395904787959274e-53,2.3756847204446674e-35,2.044533520340327e-80,4.1433207360401773e-53,5.476382811404491e-63,1.7930662988755308e-19,2.9645952856797723e-104,1.7930662988755298e-19,1.2959859566387056e-70,4.965013514909204e-69,6.954836067534331e-83,1.1165668745338678e-104,8.557226870104344e-37,1.285326236084001e-83,9.792427302019744e-18,2.899363680328186e-19,1.160712504004559e-21,7.206052932634774e-37,2.6682780404215386e-36,1.160712503966375e-21,6.002267427681792e-53,1.907150924602014e-32,6.2300668467031066e-40,4.530605716590341e-44,3.881068235450491e-74,3.882132907743346e-51,2.1798552229058346e-27,2.400548902985005e-36,7.190011992407291e-75,9.81481002595482e-54,1.6958889357201123e-97,1.896565350271872e-85,3.515626054664285e-81,1.6644377807703512e-69,1.6446863485193575e-115,1.1583131716597257e-39,2.910625128648987e-91,2.8225009163389124e-55,5.211389611034799e-100,2.1761998634949613e-79,3.551290970546069e-120,1.156238796044407e-83
4.6437042512913753e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,7.261343177987169e-52,1.1437899305868955e-34,8.08799438726531e-79,4.457195377439151e-52,1.0820409379788436e-61,4.0984372545726415e-19,3.1301266311104905e-102,4.098437254572637e-19,2.8196951979118816e-69,1.1076672025797046e-67,2.751263933386302e-81,8.828383593553247e-103,4.1199363805073484e-36,5.615060320885927e-82,2.2382690976045108e-17,6.627116983607283e-19,2.6530571520587635e-21,3.4694042927222674e-36,1.284661016809036e-35,2.6530571518749245e-21,5.8930617533917375e-52,9.18211043106518e-32,6.116716372736646e-39,4.448246577667578e-43,1.7521272829904855e-72,3.8115011166112646e-50,4.982526225948761e-27,1.155760961896099e-35,3.245914997906416e-73,9.636238684478637e-53,1.3408921935618011e-95,8.504995067712546e-84,1.3907466793261258e-79,3.6205157320400106e-68,2.97649286795589e-113,5.576779309911397e-39,2.6333146728029318e-89,2.771148082391497e-54,4.557095505390946e-98,8.60883008331858e-78,1.8545744488717637e-117,4.575241696461578e-82
9.867871533994172e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,0.0,6.422575808926095e-51,4.995231147308119e-34,2.8865641648730493e-77,4.0969304590196416e-51,1.9254339622188898e-60,8.709179165966864e-19,2.4743320804294923e-100,8.709179165966845e-19,5.227730012192662e-68,2.074538082457516e-66,9.819065184330483e-80,6.310195058298091e-101,1.7992844577870485e-35,2.091645343488164e-80,4.756321832409575e-17,1.4082623590165477e-18,5.637746448331248e-21,1.5151800040344357e-35,5.610452171043083e-35,5.6377464475283755e-21,5.2123463839553595e-51,4.010068586855784e-31,5.410166004249779e-38,3.934550059827942e-42,6.6159083411046725e-71,3.3712295863154837e-49,1.058786823937909e-26,5.047511766149305e-35,1.2255956624065477e-71,8.523143989430694e-52,9.584190813383237e-94,3.199791709625762e-82,4.963475924584059e-78,6.71182599299459e-67,4.519572887337501e-111,2.4355260397481015e-38,1.9929321164926536e-87,2.4510489997203343e-53,3.401839014308186e-96,3.072430191925942e-76,6.54326245282246e-115,1.6330805210374306e-80
2.0316206099399766e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,0.0,5.398561956779151e-50,2.0854106893245587e-33,9.753158794721583e-76,3.505010262899776e-50,3.2475255559434577e-59,1.793066298875531e-18,1.753799869510073e-98,1.7930662988755233e-18,8.985542111028491e-67,3.583248636040049e-65,3.317639953795536e-78,4.267636109044914e-99,7.511658421408193e-35,7.213934071133954e-79,9.792427302019671e-17,2.899363680328186e-18,1.1607125041532512e-20,6.325578252991193e-35,2.3422533394152044e-34,1.1607125038180684e-20,4.381291202944508e-50,1.6741244676395415e-30,4.547569911565083e-37,3.3074389326044785e-41,2.2955111162214523e-69,2.8337216202307105e-48,2.1798552295617645e-26,2.107236801865507e-34,4.2521601452178605e-70,7.164216080966405e-51,6.481865998187787e-92,1.1079862784181743e-80,1.677046207470302e-76,1.1535914003009369e-65,6.291756413124554e-109,1.016784178168855e-37,1.3845382239803362e-85,2.0602542080312827e-52,2.3491237273073018e-94,1.0381046432248659e-74,1.9524173210478367e-112,5.518151381070905e-79
4.1212875230210956e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,0.0,4.42606725979505e-49,8.519583254669661e-33,3.206698139129733e-74,2.898010265617241e-49,5.334069660366089e-58,3.63736306343322e-18,1.1802542449955296e-96,3.63736306343319e-18,1.489321734748885e-65,5.9536212000706395e-64,1.0907672667259683e-76,2.8074569098147097e-97,3.06875756452509e-34,2.3991171787894598e-77,1.9864638241239738e-16,5.88156632295146e-18,2.3545882230560234e-20,2.584205114823836e-34,9.568869149765118e-34,2.3545882216866914e-20,3.5920472343113725e-49,6.839342832136163e-30,3.728371578936309e-36,2.711986799233387e-40,7.64597748337039e-68,2.3232562251357037e-47,4.4219920525606353e-26,8.608749909780246e-34,1.4161464940383587e-68,5.87365718671547e-50,4.264084148546661e-90,3.686340137514721e-79,5.51376017715168e-75,1.9119931456077234e-64,8.395393114078304e-107,4.1538951363275644e-37,9.227886240078307e-84,1.6891206077304354e-51,1.5633470008682832e-92,3.41306042860517e-73,5.387628689619668e-110,1.8143025806303895e-77
8.300621349183333e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996492,0.02282156769305428,0.0,3.584344020933695e-48,3.4437518779266416e-32,1.0401321706662792e-72,2.3566138190616238e-48,8.646754131366441e-57,7.325956592548599e-18,7.744169947475377e-95,7.325956592548479e-18,2.4250021817041793e-64,9.705905170152233e-63,3.5378764171223673e-75,1.8216560469372947e-95,1.240440872793889e-33,7.849976722466973e-76,4.0009060119679355e-16,1.1845971608198001e-17,4.742339661911642e-20,1.0445770252490158e-33,3.867889903235166e-33,4.742339656376584e-20,2.9089329799284683e-48,2.764570211367184e-29,3.019330370280774e-35,2.1968017419157976e-39,2.496405729912589e-66,1.881433181676262e-46,8.906265745563011e-26,3.4797943553774835e-33,4.622535610289608e-67,4.7566398743813824e-49,2.766808155111463e-88,1.202670417196564e-77,1.7883743538787872e-73,3.113185185744358e-63,1.0971053167491202e-104,1.6790708291727542e-36,6.026160025815133e-82,1.367893228557588e-50,1.02332346362004e-90,1.1070176351018897e-71,1.4316469801724885e-107,5.884734466331674e-76
1.6659289001507807e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.1186699660299645,0.022821567693054275,0.0,2.8849918995875933e-47,1.3847175723828384e-31,3.351229436731249e-71,1.9006944192687893e-47,1.3925322432500864e-55,1.4703143650779366e-17,5.0181361857129714e-93,1.4703143650778873e-17,3.9139858117586667e-63,1.5675062767937863e-61,1.1397733270450858e-73,1.1739741104678294e-93,4.9877581929388166e-33,2.5558491596306366e-74,8.029790387655656e-16,2.3774782178691056e-17,9.517842543823197e-20,4.200198275975782e-33,1.5552615183686546e-32,9.517842521566957e-20,2.341362332842175e-47,1.1116203061656776e-28,2.4302171839252614e-34,1.7690859107133468e-38,8.072032673026618e-65,1.514341195870813e-45,1.7874813319586312e-25,1.399210005425107e-32,1.4939220752025186e-65,3.828557588788676e-48,1.7830814700994125e-86,3.88582992863062e-76,5.761482703934364e-72,5.024693441199427e-62,1.418974342303511e-102,6.75146995588584e-36,3.895713312915718e-80,1.1009987773426492e-49,6.664144445289834e-89,3.56640262206742e-70,3.7350155185663636e-105,1.8958587999903267e-74
3.3376624306156757e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999827,0.11866996602996369,0.022821567693054264,0.0,2.3150243100313716e-46,5.5533375046901715e-31,1.0762057077067576e-69,1.526741121748636e-46,2.235319910805698e-54,2.9457517767240935e-17,3.2315486842900435e-91,2.9457517767238957e-17,6.289688244271887e-62,2.51972055670784e-60,3.6595687080431983e-72,7.540541040730399e-92,2.0003141183109907e-32,8.351377233298205e-73,1.6087559139030279e-15,4.763240331967707e-17,1.9068848324447627e-19,1.6844673668177287e-32,6.237294295376067e-32,1.9068848235190052e-19,1.8787958168861056e-46,4.458084852213561e-28,1.9500921096177184e-33,1.4210384591309101e-37,2.598469332038592e-63,1.2151635846811346e-44,3.58119092197071e-25,5.611457932276586e-32,4.8042194895124556e-64,3.0721763501778335e-47,1.145289225704658e-84,1.249464770483893e-74,1.8498890204134656e-70,8.074547468442515e-61,1.8259917709078476e-100,2.70764141918449e-35,2.5057995708827906e-78,8.83481061704799e-49,4.3548575521978995e-87,1.1450957068661894e-68,9.65939646693035e-103,6.087220683359209e-73
