Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),COX(50),O(29),CHOX(53),acetyl(44),C2H4X(215),C2H6X(52),C2H4X(70),CH4OX(63),CO2X(24)
6.331085628352644e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999677,0.11866996602996221,0.02282156769305424,1.6493466894388601e-99,1.5783036062178494e-45,1.997268725372502e-30,6.223783356033702e-72,1.0529192253845318e-45,5.407313216189379e-110,5.58768513173828e-17,1.5045848460989173e-89,5.587685131737436e-17,8.14553777014719e-61,1.4243890235304146e-59,7.071540600292086e-93,8.199435192614181e-94,7.194170662757159e-32,3.094291243672121e-71,3.0515882470950665e-15,9.035210431555686e-17,3.617097713879025e-19,6.058221322663976e-32,2.2432556572661086e-31,3.617097703027527e-19,5.401978248514295e-28,1.5091529498703428e-33,3.7403885595590064e-38,2.4586252923149916e-63,1.280898079177138e-45,8.284563725391415e-44,2.0181723282176006e-31,1.0373956590542577e-61,1.2453648528146005e-86,6.793025952911524e-25,1.2777995940533058e-89,3.781364381152028e-102,1.0255183969652079e-75,1.055526000213457e-59,3.050245060762049e-85,1.3387274345223524e-73,1.3391685472673314e-89
1.2667671765504899e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999936,0.1186699660299591,0.022821567693054195,4.2768831603035193e-97,1.2636025633093892e-44,7.994280082033547e-30,4.032846734407754e-70,8.431893353456324e-45,1.4014491336544342e-107,1.118022489869125e-16,9.644225978385808e-88,1.1180224898687866e-16,1.3047016577144892e-59,2.281674651728071e-58,9.164039731351657e-91,1.0625683158983702e-91,2.8795431200889467e-31,1.3472948579654344e-69,6.10582774375164e-15,1.8078270741852746e-16,7.2373380083380985e-19,2.42486733237046e-31,8.978868716582179e-31,7.2373379649037695e-19,2.1621930508191615e-27,1.2082364936825495e-32,3.0288962527855146e-37,7.966153663418207e-62,1.0254972962209748e-44,6.632688464341862e-43,8.077948813843925e-31,3.3237550740939275e-60,1.6138736418001203e-84,1.3591955192954326e-24,1.656741062364929e-87,9.805008361208302e-100,6.57153280548832e-74,1.6906760009328076e-58,2.652724606517326e-83,4.289079310048736e-72,1.736309510761201e-87
2.534084403980941e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998733,0.11866996602995289,0.022821567693054105,1.1201069411284734e-94,1.0112660887424143e-43,3.198753454475059e-29,2.639799819134971e-68,6.748932171938003e-44,3.668984263645844e-105,2.2365304432598146e-16,6.177071469146931e-86,2.236530443258461e-16,2.0886557895458807e-58,3.652802579330801e-57,1.1996162190474321e-88,1.3909522682688621e-89,1.1521923258986142e-30,6.593486531422874e-68,1.2214306737060087e-14,3.6164391362446253e-16,1.4477818629939152e-18,9.70262774751809e-31,3.5927170340870195e-30,1.4477818456144772e-18,8.651540216799944e-27,9.669508072955864e-32,2.4789556830846156e-36,2.607633835153561e-60,8.207094937528146e-44,5.308166764354165e-42,3.232231720771535e-30,1.0642517903627766e-58,2.1126370571626655e-82,2.7189817995164208e-24,2.169568394184158e-85,2.5677039930407933e-97,4.2083939678409353e-72,2.706549958653159e-57,2.593090190636375e-81,1.3733301900944335e-70,2.273766581776049e-85
5.068718858841843e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997473,0.11866996602994044,0.022821567693053924,2.993153178104578e-92,8.091665232390618e-43,1.2797097668876485e-28,1.763187569717211e-66,5.400513066549543e-43,9.800171909197145e-103,4.473546350041578e-16,3.954851816849776e-84,4.473546350036164e-16,3.342756030790089e-57,5.846183110937581e-56,1.60226105379268e-86,1.8578180337552625e-87,4.609519566198109e-30,3.5699154479117644e-66,2.4431264723658193e-14,7.233663260363082e-16,2.895878000387539e-18,3.881682801822593e-30,1.4373207538326725e-29,2.8958779308580843e-18,3.4611407368132055e-26,7.736986052901891e-31,2.071425418344916e-35,8.711215932681965e-59,6.566922690053639e-43,4.2473402011816497e-41,1.2931031535375085e-29,3.40661726086282e-57,2.821732494512879e-80,5.4385560888081084e-24,2.898984584756707e-83,6.860354520988473e-95,2.694185761500918e-70,4.331654953851559e-56,2.805162015060407e-79,4.3959766977054597e-69,3.0382149166826143e-83
1.0137987768563648e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999496,0.11866996602991556,0.022821567693053563,8.301485480213863e-90,6.47394692739113e-42,5.119256436171698e-28,1.2223067693093619e-64,4.320957450725312e-42,2.7164196645641243e-100,8.947578163606643e-16,2.5315936164515638e-82,8.947578163584987e-16,5.349135164763847e-56,9.355252125661457e-55,2.2208833735525013e-84,2.575109196979917e-85,1.8439578896971426e-29,2.0766535513518095e-64,4.886518069677924e-14,1.446811150859902e-15,5.792070327470476e-18,1.5527994136652894e-29,5.749750908129258e-29,5.7920700493269295e-18,1.3845380073329584e-25,6.190033276716393e-30,1.797921080238697e-34,3.021144097993374e-57,5.254036655729199e-42,3.398195263631721e-40,5.172833544215329e-29,1.090260762624902e-55,3.9111845882737773e-78,1.0877711582790326e-23,4.020705360277587e-81,1.9021835046985554e-92,1.7245100511628222e-68,6.931588074544488e-55,3.2614607436690614e-77,1.4069237490097142e-67,4.2138098926890654e-81
2.0276525588007256e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679989924,0.11866996602986579,0.02282156769305284,2.45176438850581e-87,5.179403558578376e-41,2.047786506132767e-27,9.022621371369301e-63,3.456984771501642e-41,8.015350194402914e-98,1.789564179074293e-15,1.6203762361964065e-80,1.789564179065629e-15,8.559196711437178e-55,1.4969489971221467e-53,3.2773039383884323e-82,3.8000264157232394e-83,7.376131695996811e-29,1.262414159428255e-62,9.77330126427207e-14,2.8937008005066983e-15,1.1584455190835351e-17,6.211449796525883e-29,2.2999939284083434e-28,1.1584454078191151e-17,5.53812967265707e-25,4.9520324740443686e-29,1.6633981455188385e-33,1.116042301493766e-55,4.20342834373453e-41,2.7186860225807672e-39,2.069217582400264e-28,3.488944380570713e-54,5.771640526924156e-76,2.1756050232350135e-23,5.938690453631963e-79,5.615406086647483e-90,1.1037229803981619e-66,1.1091293086644634e-53,3.9638425539972677e-75,4.5024936636379744e-66,6.22391404165288e-79
4.055360122689447e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767997986,0.11866996602976626,0.02282156769305139,7.947676650694654e-85,4.1436214272626966e-40,8.191317530078754e-27,7.309593849304809e-61,2.7656753419549467e-40,2.5950720138956308e-95,3.57917690450401e-15,1.0370908154927116e-78,3.579176904469353e-15,1.3695179094141908e-53,2.395205056592312e-52,5.3069438886378264e-80,6.153389252901992e-81,2.95051270697784e-28,7.865648001000713e-61,1.9546867653340105e-13,5.787480099798726e-15,2.3169225754490957e-17,2.484629985477844e-28,9.200162713396725e-28,2.316922130362577e-17,2.2150987883035377e-24,3.961353268279732e-28,1.6906990671443067e-32,4.526273030020615e-54,3.362821656010654e-40,2.175001645918437e-38,8.277038467652986e-28,1.1164034740063486e-52,9.346027156032892e-74,4.3512838177851254e-23,9.628372852065716e-77,1.8191834765642973e-87,7.063464965756747e-65,1.774667067828962e-52,4.938446211620152e-73,1.4408518145184207e-64,1.0090814257026348e-76
8.110775250466891e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767995973,0.11866996602956718,0.022821567693048498,2.8899181658365585e-82,3.31493684826711e-39,3.2765642239894776e-26,6.642407133801072e-59,2.2125752803418532e-39,9.42330679593784e-93,7.15840235537328e-15,6.637541283284445e-77,7.158402355234652e-15,2.1912657981294577e-52,3.8323965633978806e-51,9.638606269367221e-78,1.117594169195197e-78,1.1802170886688834e-27,4.964930114974574e-59,3.9094000430995147e-13,1.1575038698376521e-14,4.633877023054521e-17,9.938617177305335e-28,3.6801023785388876e-27,4.6338752425320185e-17,8.858900457854178e-24,3.1685335691886017e-27,1.9283457175890433e-31,2.0593559983499566e-52,2.6902879116144838e-39,1.74002389063221e-37,3.310848859472036e-27,3.5719088432205107e-51,1.697449097566589e-71,8.702685665437948e-23,1.7511092058652653e-74,6.610369779858992e-85,4.5198886632087736e-63,2.8395154435428634e-51,6.233791730475029e-71,4.610810759595314e-63,1.835216791409365e-74
1.6221605506021778e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767991947,0.11866996602916903,0.02282156769304271,1.1774943735076808e-79,2.651965799335473e-38,1.3106354590982158e-25,6.764015228797371e-57,1.7700742212390087e-38,3.834903322869453e-90,1.4316853257151188e-14,4.248077619219988e-75,1.4316853256596656e-14,3.50605497232664e-51,6.131886536186395e-50,1.9618441087978207e-75,2.2747536507810308e-76,4.720892366978372e-27,3.1545979548550114e-57,7.818826598438112e-13,2.3150155895507085e-14,9.267787258593396e-17,3.9754639987011885e-27,1.4720483244003746e-26,9.267780135201359e-17,3.542310971571437e-23,2.533903700794892e-26,2.4634288767608016e-30,1.049784681734206e-50,2.152240954454175e-38,1.3920304487833124e-36,1.3243461139015236e-26,1.1426053243796607e-49,3.454991380043786e-69,1.7405666394953982e-22,3.5684834668127167e-72,2.6917645648505806e-82,2.891711240920542e-61,4.543263201982498e-50,7.921152882175692e-69,1.4754722701515166e-61,3.739895720300503e-72
3.244326601713155e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679838945,0.11866996602837274,0.022821567693031137,5.252885047834789e-77,2.12157986863005e-37,5.242579970340588e-25,7.542016192934808e-55,1.4160649664348314e-37,1.709298968734819e-87,2.8633755060864436e-14,2.718786029893679e-73,2.863375505864631e-14,5.609711650009083e-50,9.811051304827496e-49,4.3731172963369717e-73,5.070619002850196e-74,1.8883617496149853e-26,2.0105099053090847e-55,1.5637679708345664e-12,4.630039028966807e-14,1.8535613097614516e-16,1.5901871695383236e-26,5.888207358128296e-26,1.8535584593864925e-16,1.415915215402959e-22,2.025629325345926e-25,3.4423602060882185e-29,5.857692182675988e-49,1.7217944382204186e-37,1.1136325800396218e-35,5.297396600666396e-26,3.6536915056932694e-48,7.70146785824875e-67,3.481233599082755e-22,7.961263732500799e-70,1.2002933420014157e-79,1.8493668840723586e-59,7.269251865825557e-49,1.0096391476836267e-66,4.7215268882833626e-60,8.343747190301463e-70
