Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),COX(50),CHOX(53),O(29),H2OX(23),acetyl(44),C2H4X(215),CO2X(24),C2H4X(70)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.717554270695001e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-1.3871912972555724e-120,4.9436445721064617e-54,3.37135957894953e-36,1.8111049372743546e-88,2.1790177553947984e-54,6.991618530989346e-132,5.928774356156224e-20,-9.596240843898618e-106,5.928774356156224e-20,3.3512390557493517e-72,1.7965433836844869e-71,4.329227604712812e-112,5.019729531728166e-113,1.2143652133544025e-37,1.676477378203696e-85,3.2378664363469204e-18,9.586747042136973e-20,3.8378963080440735e-22,1.0226186749666432e-37,3.786581892750577e-37,3.8378963080063457e-22,1.883251997735859e-33,2.0163356500001985e-41,1.020308410771085e-45,1.462012111881529e-76,2.5949340612926358e-52,1.6603353276450146e-76,3.4066446116223703e-37,7.624177259196765e-106,-2.465111654433189e-108,7.207692069672048e-28,4.012095562023364e-54,-7.39764054600497e-124,3.425772426563132e-93,-5.3328372932075674e-108,3.459078343976468e-102
1.8809151957946003e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,2.5131253795571706e-118,5.869094836022527e-53,2.036301186280553e-35,2.001340609154916e-86,3.2929316316889286e-53,2.522802919155188e-129,1.660056819723743e-19,1.8525684755989372e-104,1.6600568197237423e-19,9.451030334731716e-71,5.6486198687744055e-70,8.654425678590846e-110,1.0034786831632962e-110,7.334765888660591e-37,8.68010975977499e-84,9.066026021771375e-18,2.684289171798353e-19,1.074610966258463e-21,6.176616794269175e-37,2.2870954632188658e-36,1.0746109662356758e-21,1.1374841948672059e-32,2.393793659811169e-40,1.2113220844407406e-44,8.894219389894339e-75,3.0807057183910066e-51,1.0100629942214648e-74,2.057613345416306e-36,1.5241258135316665e-103,2.4947814743303164e-106,2.018153779901628e-27,4.763159849430144e-53,1.3659481461333063e-121,3.785573867906649e-91,5.3970227578634e-106,3.258333862085772e-100
4.299234733244801e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.0609192657013634e-115,5.762312113302266e-52,9.80391366451078e-35,1.8107001709266387e-84,3.542385584288097e-52,9.134656785207098e-127,3.794415587939984e-19,1.9561166722462113e-102,3.7944155879399806e-19,2.0558055341139914e-69,1.2601760198486708e-68,1.566828047154657e-107,1.816733546386928e-108,3.531374040434601e-36,3.791995297123943e-82,2.0722345192620263e-17,6.135518106967663e-19,2.4562536371910652e-21,2.9737751030089688e-36,1.1011380144081422e-35,2.4562536370813526e-21,5.476496632937084e-32,2.3502407596461274e-39,1.1893084950312576e-43,4.0153599129423867e-73,3.0246551443983007e-50,4.559907079413607e-73,9.906522530543759e-36,2.7593316537846277e-101,5.2245644244164704e-104,4.6129229273442896e-27,4.676498581502041e-52,5.69377767315723e-119,3.424902514646123e-89,1.130243004863044e-103,2.849234033158545e-98
9.135873808145201e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,3.412588315254639e-113,5.0966998081743264e-51,4.281626674488969e-34,1.3704224277892424e-82,3.256062651251692e-51,2.769897241049227e-124,8.063133124372467e-19,1.5461472028905113e-100,8.063133124372452e-19,3.811116990382649e-68,2.360170218712342e-67,2.3742653707572412e-105,2.752955281152855e-106,1.5422438209600898e-35,1.4130915612280597e-80,4.403498353431798e-17,1.3037975977306284e-18,5.219538979154229e-21,1.2987257132871385e-35,4.8089590037547307e-35,5.219538978675085e-21,2.3917298547631263e-31,2.078761246336591e-38,1.0519748831819106e-42,1.5161873249326247e-71,2.6752732251970253e-49,1.7217340771370095e-71,4.3264386567045113e-35,4.181304772958848e-99,8.396521154241613e-102,9.802461228524878e-27,4.136310028879576e-51,1.832759700512393e-116,2.5920177487097694e-87,1.8164402867301015e-101,2.1277488079519074e-96
1.8809151957946004e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,9.762652942484489e-111,4.28408328808376e-50,1.787494857059799e-33,9.521453518635168e-81,2.7856301500435466e-50,7.704798422044727e-122,1.6600568197237435e-18,1.095854381574332e-98,1.660056819723737e-18,6.550336361864001e-67,4.076607119613665e-66,3.301166039231232e-103,3.827694491765079e-104,6.43856436120503e-35,4.878148796900046e-79,9.06602602177131e-17,2.684289171798352e-18,1.0746109663472398e-20,5.421924179388648e-35,2.007645719501704e-34,1.0746109661472065e-20,9.985000450742919e-31,1.747323931002265e-37,8.843239573949134e-42,5.2608012723972955e-70,2.24872834830807e-48,5.973494830319029e-70,1.806202973031871e-34,5.813664085741859e-97,1.2005626766966922e-99,2.018153785606711e-26,3.47681779921342e-50,5.245323145711887e-114,1.8007376072220678e-85,2.597207073337552e-99,1.4706507187349503e-94
3.815570825754761e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996514,0.022821567693054285,2.640305719352603e-108,3.512350313165559e-49,7.302499772667584e-33,6.347069136135925e-79,2.3032128768601446e-49,2.0553800440074075e-119,3.367543834296738e-18,7.374597614526924e-97,3.3675438342967105e-18,1.0856702140837245e-65,6.773343698953452e-65,4.402519483063038e-101,5.104711297414563e-102,2.6303636267341588e-34,1.6254078463925596e-77,1.8391081358450232e-16,5.445272319933798e-18,2.1799251033676092e-20,2.2150329248505396e-34,8.201887842680064e-34,2.1799251025504086e-20,4.079197767582133e-30,1.4325614793743025e-36,7.251463204469084e-41,1.7523616385044674e-68,1.8436433709569906e-47,1.9894228427074857e-68,7.378928494132558e-34,7.753251154483854e-95,1.6231294850190966e-97,4.093969121187579e-26,2.8505052735256273e-49,1.4188969832556107e-111,1.2001837859115331e-83,3.511356352884817e-97,9.805739774412082e-93
7.684882085675081e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996495,0.02282156769305428,6.947759827639216e-106,2.844392347731442e-48,2.951787194440841e-32,4.146264596144918e-77,1.8729344606692916e-48,5.372015587697455e-117,6.7825178634427304e-18,4.8387432343718216e-95,6.782517863442621e-18,1.7677325019959522e-64,1.1042259729383784e-63,5.752844556761108e-99,6.67041013987167e-100,1.0632350338220108e-33,5.338698433884401e-76,3.704119203180764e-16,1.0967238616204684e-17,4.390553378035293e-20,8.953517110557484e-34,3.315334202792637e-33,4.3905533747320374e-20,1.648876377061173e-29,1.1601250257735182e-35,5.874433132559054e-40,5.721927230662025e-67,1.4930302153636615e-46,6.493805288648957e-67,2.982680876066353e-33,1.0131300695113875e-92,2.1353496129744222e-95,8.245599832639005e-26,2.308413044466676e-48,3.734111335189446e-109,7.837657140477292e-82,4.6194548906689084e-95,6.442895896500823e-91
1.5423504605515724e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.11866996602996457,0.022821567693054275,1.8040881820938973e-103,2.2894144184765285e-47,1.1869006720983982e-31,2.6822169944876687e-75,1.5105894942371257e-47,1.3902212565971137e-114,1.3612465921734726e-17,3.135433605090271e-93,1.3612465921734287e-17,2.8531273851682824e-63,1.7833278946728078e-62,7.443594605284504e-97,8.630830963893435e-98,4.27522130822263e-33,1.7513078025263632e-74,7.434141337852069e-16,2.2011171208746434e-17,8.811809929878441e-20,3.600169750645059e-33,1.3330813014746527e-32,8.811809916596193e-20,6.630054716689563e-29,9.337689023864689e-35,4.7314908678318664e-39,1.8504735444296847e-65,1.201720630362218e-45,2.098684226385341e-65,1.1993228618158958e-32,1.3108870654670156e-90,2.772233265533415e-93,1.6548861416700607e-25,1.858011596686765e-47,9.696662749615791e-107,5.066788146609249e-80,5.997241139414687e-93,4.227153360698679e-89
3.090074964519701e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999984,0.11866996602996381,0.022821567693054264,4.65601784286669e-101,1.8371108893149484e-46,4.7600027390726105e-31,1.727562641363975e-73,1.213387631147044e-46,3.5818404930131295e-112,2.727236203831877e-17,2.0191314699880633e-91,2.7272362038317002e-17,4.584899113649608e-62,2.8666475028649455e-61,9.5888726907491e-95,1.1118276009458356e-95,1.7145549585437378e-32,5.806050782973092e-73,1.4894185607193983e-15,4.409903639382984e-17,1.7654323043595889e-19,1.4438290109171286e-32,5.346252253306321e-32,1.7654322990328092e-19,2.658944727863234e-28,7.492896991775048e-34,3.8019168411265214e-38,5.958856510183134e-64,9.643051600038349e-45,6.749044747359556e-64,4.809821084992639e-32,1.6886907262836977e-88,3.57722574090729e-91,3.3155385229458826e-25,1.4909372143858451e-46,2.5025829265891852e-104,3.25906031287884e-78,7.738701408587009e-91,2.802379041240479e-87
