Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),O(29),COX(50),OH(D)X(68),CH4OX(63),CHOX(53),C2H6X(52),acetyl(44),CHO2X(213),C2H4X(215),C2H4X(70)
6.402625589817542e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999967,0.11866996602996219,0.02282156769305424,0.0,1.6324139775604483e-45,2.0426614954929704e-30,1.3671963223170375e-71,1.0787355419169913e-45,1.214876784500968e-109,5.650824820958673e-17,1.5943232215496287e-89,5.650824820957914e-17,8.43955626424371e-61,2.5282029295337107e-59,1.5710138996877704e-92,1.821587032481088e-93,7.357674541482385e-32,2.356726177367624e-71,3.086070564728901e-15,9.13730644542194e-17,3.657970177767839e-19,6.195908199634267e-32,2.294238740370041e-31,3.6579701549089793e-19,1.1410302585577217e-27,6.657994117186373e-33,3.3881720478964674e-37,2.277932925500206e-62,1.32481224080937e-45,8.568591884412877e-44,2.064039881108789e-31,2.57259353837063e-62,6.869785752964392e-25,2.766703331739326e-86,2.166311423846604e-46,2.403008981480382e-73,5.86585923849056e-89,1.0936258990564747e-59,8.495512726320115e-102,4.156935085761249e-101,2.5718766289739198e-76,2.3538889421724675e-85
1.2810813843049348e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999355,0.11866996602995904,0.022821567693054195,0.0,1.3069237619101533e-44,8.175970660235012e-30,8.80927792237997e-70,8.638633265399452e-45,3.1310805569177446e-107,1.1306559133508218e-16,1.0219439250190737e-87,1.1306559133505181e-16,1.351795714319929e-59,4.0498322101785236e-58,2.024484673449997e-90,2.3473853596032156e-91,2.944987281930127e-31,8.442814265187171e-70,6.174822337592369e-15,1.828255147159556e-16,7.319118458539297e-19,2.4799779765605044e-31,9.182933914560208e-31,7.3191183670440195e-19,4.567067976513267e-27,5.330413057314145e-32,2.7278946707082393e-36,7.338892154085146e-61,1.0606553315087835e-44,6.860084634460106e-43,8.261538559430175e-31,8.242416295513815e-61,1.3745541515450424e-24,3.565308039280405e-84,1.7343663476630313e-45,7.698875703545606e-72,7.56251416505922e-87,1.751702052995883e-58,2.1905132546988336e-99,1.0723746644759922e-98,1.6480567036889846e-74,1.685320634134949e-83
2.562719034951296e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998717,0.11866996602995275,0.022821567693054105,0.0,1.0459362139867726e-43,3.271454312942807e-29,5.703263254645841e-68,6.914407894469054e-44,8.107990930632963e-105,2.261802775860766e-16,6.545492273468581e-86,2.2618027758595513e-16,2.1640471815121573e-58,6.483499992420678e-57,2.621268470885391e-88,3.0393548098080287e-89,1.1783785151403708e-30,3.2749355284323516e-68,1.23523258833145e-14,3.6573041523942165e-16,1.4641415088869697e-18,9.92314219857549e-31,3.674369693851707e-30,1.4641414722767283e-18,1.8274007374462395e-26,4.265901518356852e-31,2.2076286961294894e-35,2.3758347402948356e-59,8.488466140971364e-44,5.490154317927568e-42,3.3056915324608536e-30,2.639170751668171e-59,2.749705746077686e-24,4.6163004636197955e-82,1.3880201850667494e-44,2.4651207636654327e-70,9.794689026477559e-85,2.804244643357053e-57,5.673820505162467e-97,2.7779339210465038e-96,1.0554057268920027e-72,1.306050748587664e-81
5.125994336244018e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997446,0.11866996602994016,0.02282156769305392,0.0,8.369078913061798e-43,1.3087956130834558e-28,3.7303467335966605e-66,5.532927170227099e-43,2.121034519898797e-102,4.524096500880794e-16,4.190732152105204e-84,4.524096500875932e-16,3.46341498853037e-57,1.0376615641739527e-55,3.428727895771539e-86,3.9756021669549695e-87,4.7142813746551236e-30,1.4142640130943776e-66,2.470733297473954e-14,7.315402162863289e-16,2.9286008624691646e-18,3.9699030127830305e-30,1.4699871345208406e-29,2.9286007160026545e-18,7.310622128977886e-26,3.41329102374072e-30,1.8056187424137099e-34,7.771079517080044e-58,6.792062512863191e-43,4.3929603061142827e-41,1.3224918614553106e-29,8.447760227371017e-58,5.500010703284724e-24,6.038312480170123e-80,1.1106270330035981e-43,7.890756043439939e-69,1.2815297345170163e-82,4.488008862792679e-56,1.4845388807885372e-94,7.266742857127519e-94,6.756562026368607e-71,1.126526969547361e-79
1.0252544938829462e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679994903,0.118669966029915,0.022821567693053556,0.0,6.695898948875265e-42,5.235615440448039e-28,2.4890715205780724e-64,4.426902146006666e-42,5.659751220359579e-100,9.048683950921413e-16,2.682586164346858e-82,9.04868395090196e-16,5.542215685838458e-56,1.6604997628721922e-54,4.57493957157357e-84,5.304631979440625e-85,1.8858660236613678e-29,6.868791202063357e-65,4.941734715751277e-14,1.4631598183800437e-15,5.857519679706973e-18,1.5880904272677162e-29,5.880427064486081e-29,5.857519093779608e-18,2.9243502450077664e-25,2.730766763768042e-29,1.5073225175513639e-33,2.593418909336779e-56,5.4341657917684944e-42,3.5147062680407984e-40,5.290397942010274e-29,2.7035779229205226e-56,1.1000627690265799e-23,8.056899049715399e-78,8.88585984779037e-43,2.525421076522444e-67,1.7105562517945075e-80,7.181788265085296e-55,3.962146555795874e-92,1.938228292989775e-91,4.324683313722156e-69,1.0928407689526921e-77
2.050564614400035e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679989813,0.11866996602986467,0.022821567693052824,0.0,5.356973612130174e-41,2.094336921771224e-27,1.722756356373317e-62,3.541745893695335e-41,1.5662745590802266e-97,1.809785885100489e-15,1.7170207908380975e-80,1.809785885092707e-15,8.868146499151998e-55,2.6569925433277954e-53,6.331175555775083e-82,7.340983566091466e-83,7.543771053583828e-29,3.697278335191075e-63,9.883737552275174e-14,2.9263990225670727e-15,1.1715357754547884e-17,6.352620052826462e-29,2.352266517173433e-28,1.1715355410633947e-17,1.1696784233848791e-24,2.1845166062502112e-28,1.3062112442169643e-32,8.979798993425308e-55,4.3475387751564327e-41,2.8119054249252637e-39,2.116245253977728e-28,8.65133445794399e-55,2.2001889954495944e-23,1.1149795715205532e-75,7.109025255904745e-42,8.081953743107958e-66,2.3685621275349013e-78,1.149164054457425e-53,1.0968069475297084e-89,5.358914350287985e-89,2.7677659735414607e-67,1.1752914930486882e-75
4.101184855434213e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767997963,0.11866996602976401,0.02282156769305136,0.0,4.2856808529566515e-40,8.377562330665717e-27,1.2684910766658118e-60,2.8334863872915134e-40,4.610076543171888e-95,3.619620865118084e-15,1.098946314656531e-78,3.619620865086954e-15,1.4189515523242958e-53,4.251342089891964e-52,9.319416973134339e-80,1.0805842579282677e-80,3.017569814642478e-28,2.142377230999328e-61,1.976774322519998e-13,5.852877430939531e-15,2.3431035666263823e-17,2.5410996029965368e-28,9.409257316383934e-28,2.3431026289544604e-17,4.677934905971129e-24,1.7473340142621926e-27,1.2054284252677486e-31,3.3088881013482983e-53,3.4781131880308396e-40,2.2495888136751188e-38,8.46515297228281e-28,2.7680334643077077e-53,4.400452764402822e-23,1.6412369507572785e-73,5.687355041227446e-41,2.586321964525027e-64,3.489600956204445e-76,1.838724834105916e-52,3.2297226686557788e-87,1.5748667260187581e-86,1.7711220246279391e-65,1.361125068748941e-73
8.202425337502569e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679959276,0.11866996602956269,0.022821567693048436,0.0,3.4285857551280885e-39,3.3510943645987864e-26,1.024073849648524e-58,2.2668249774627165e-39,1.4873781822005883e-92,7.239290825156863e-15,7.033426032083494e-77,7.23929082503234e-15,2.2703609698986143e-52,6.802269526196386e-51,1.5038408372364706e-77,1.7436999745119155e-78,1.2070402048707505e-27,1.29914569219444e-59,3.9535754570557623e-13,1.1705834247678047e-14,4.6862398542414006e-17,1.0164500874195553e-27,3.763741065651832e-27,4.6862361028176004e-17,1.8704941727325502e-23,1.3973708511373507e-26,1.220915890056011e-30,1.3372773962788876e-51,2.7825229524354892e-39,1.7997101258510718e-37,3.386095419661056e-27,8.8546776227557e-52,8.801025566738073e-23,2.6484049639564422e-71,4.5499377792321435e-40,8.276383547078961e-63,5.637882714110162e-74,2.942009610217829e-51,1.0426580331887268e-84,5.070067950237234e-84,1.1331339926406764e-63,1.6501364473187171e-71
1.640490630163928e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767991856,0.11866996602916004,0.022821567693042583,0.0,2.742885492385426e-38,1.3404728091364894e-25,9.267767685009496e-57,1.81347432616836e-38,5.378828388674662e-90,1.447863074524879e-14,4.501446921536175e-75,1.447863074475069e-14,3.632608326740538e-51,1.0883725671662598e-49,2.720092871423894e-75,3.153941313934082e-76,4.8281853797212305e-27,8.079983895277223e-58,7.907177725930509e-13,2.3411747881129477e-14,9.372515254218903e-17,4.0658202802605214e-27,1.5055039654900162e-26,9.372500242869591e-17,7.476429962184361e-23,1.1170834210780305e-25,1.386802599879571e-29,6.059305518847212e-50,2.2260305778947685e-38,1.4398049618333593e-36,1.3544448853782604e-26,2.831478076206947e-50,1.7602352229123741e-22,4.790338518059777e-69,3.6399714195144596e-39,2.6484662525059917e-61,1.0211403130281565e-71,4.707255268202185e-50,3.7731268444885087e-82,1.828998282382126e-81,7.246933075180204e-62,2.0521528028814953e-69
3.28098682299127e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767983713,0.11866996602835475,0.022821567693030877,0.0,2.194315883752747e-37,5.362130365003395e-25,9.397563721429316e-55,1.4507851938949296e-37,2.1797095546561133e-87,2.89573105854901e-14,2.880943370883444e-73,2.8957310583497713e-14,5.812197897008301e-50,1.7414026003977815e-48,5.513079273470489e-73,6.392402170281035e-74,1.9312790656281986e-26,5.090743997886898e-56,1.5814382262892864e-12,4.682357514792993e-14,1.8745077382364796e-16,1.6263316486699803e-26,6.022030231457311e-26,1.8745017292289922e-16,2.9861210730556555e-22,8.923602107303418e-25,1.764154481962341e-28,3.075773647606763e-48,1.7808281568007715e-37,1.1518926036909938e-35,5.417791947240536e-26,9.047704913857682e-49,3.5205729784755715e-22,9.70904728614999e-67,2.9119851300672463e-38,8.475123207178299e-60,2.0721244335186898e-69,7.53164031388383e-49,1.5299329072772695e-79,7.395458279397525e-79,4.63142292713566e-60,2.5855981863312082e-67
