Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),H2(190),C4H7X(141),C4H7X(140),C2H6(343),C4H6(54),C4H7(69),C4H7(68),C4H7X(145),C4H5X(398),C4H7X(142),C4H7X(143),C4H6a(397),C6H10(402),C4H7X(146)
1e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771389,0.66999999999999993,1.143106974906139e-38,7.7142774658403153e-60,5.9088544070170379e-28,1.6207433968733018e-33,2.07239166149045e-61,6.3827032674620573e-83,3.0731876811218621e-87,4.2231041505280938e-67,2.9035788575420441e-91,1.9034973308255292e-16,1.9034973308255413e-16,5.9852222608588194e-31,5.908851159017517e-28,3.2420848362445285e-34,1.0319068929012934e-39,2.5374307777341853e-35,5.8042779057012807e-37,2.9812141271784974e-43,1.585639537327302e-47,6.6694622351395849e-47,7.9143310162599323e-46,3.2567034645731507e-55,7.4152525012279409e-51,4.2773839507638842e-51,3.6950162742352492e-59
1.023e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771389,0.66999999999999993,1.193378651544737e-38,8.0741627470523671e-60,6.1150326370812867e-28,1.6772919134862551e-33,2.1666986082901706e-61,6.6816924697920888e-83,3.2171478400573558e-87,4.418509283116829e-67,3.0398705575423242e-91,1.947301012181784e-16,1.9473010121817966e-16,6.2302338469189979e-31,6.1150292561382309e-28,3.3747859626844356e-34,1.077288198395825e-39,2.6413032677224827e-35,6.0418506751730163e-37,3.1123108419946231e-43,1.657789977350309e-47,6.9627670305824051e-47,8.2623592313037392e-46,3.4048977431670598e-55,7.7413551225965177e-51,4.4654916542772934e-51,3.8659775414149475e-59
2.047e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258377135,0.66999999999999971,1.9132393237429946e-37,1.035676498748413e-57,2.4487600709510349e-27,6.7137758814917783e-33,6.9521826767429499e-60,1.7158871312036621e-80,8.2679787788004518e-85,2.83643038768042e-65,1.5613474563591015e-88,3.8975170797012694e-16,3.89751707970137e-16,4.9928943900928339e-30,2.4487573625668016e-27,2.7033653085165792e-33,1.7271189920044294e-38,2.1167340732024752e-34,4.8395455952270619e-36,4.986155855163937e-42,5.312065831568091e-46,1.116127871209805e-45,1.3238330561692342e-44,1.0918197923833312e-53,1.2409351302605788e-49,7.158159500277192e-50,2.4776147753181129e-57
4.095e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771272,0.66999999999999926,3.0642597348281736e-36,1.3268559705394048e-55,9.8005355138201287e-27,2.6846772757757378e-32,2.2276998193339399e-58,4.3988835148067736e-78,2.1207220866438376e-82,1.818064840675349e-63,8.0055106215116498e-86,7.7979491605390397e-16,7.7979491605398394e-16,3.9978013565822658e-29,9.8005138311962924e-27,2.164105650823691e-32,2.7661592736535664e-37,1.69486507987882e-33,3.8737403261735841e-35,7.9817362728648527e-41,1.7007347917118431e-44,1.787474355969306e-44,2.1196163422312794e-43,3.497438858697586e-52,1.9873526876993573e-48,1.1463764055837839e-48,1.5865096596835394e-55
8.191e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771117,0.66999999999999849,4.9053009165402878e-35,1.6986030442238452e-53,3.9213132892840655e-26,1.0723042523771961e-31,7.1334338751635489e-57,1.1265638043529687e-75,5.4343505901667837e-80,1.1644402046876308e-61,4.1004778621081899e-83,1.5598812888644162e-15,1.5598812888650565e-15,3.1996358526994897e-28,3.9212959353226469e-26,1.7318472496951621e-31,4.4280708109725096e-36,1.3564833745612108e-32,3.0993172798570192e-34,1.2769788541069216e-39,5.442030196471287e-43,2.8612952814952213e-43,3.39256797289085e-42,1.1197642072361959e-50,3.1812500607571221e-47,1.8350592940885192e-47,1.015315556437326e-53
1e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258377105,0.66999999999999815,2.1158062193784237e-34,4.9308614987711784e-52,6.5195727375557489e-26,1.7795283197677243e-31,5.5982726595717509e-56,6.4537472877981419e-74,3.1159750237841308e-78,1.7370280114344164e-60,4.6661274130234804e-81,1.9044066635462874e-15,1.9044066635479164e-15,8.1467884610546298e-28,6.5195285455075616e-26,4.4093831126406053e-31,1.9099427923263831e-35,3.4538252513985808e-32,7.8886313993122088e-34,5.5037475797055398e-39,4.2670487114315496e-42,1.2341345679690367e-42,1.4632085923082359e-41,8.7873335185525935e-50,1.3721375746532187e-46,7.9149823895573033e-47,1.5131030651016609e-52
1.6383e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583770806,0.66999999999999693,7.8505422742511767e-34,2.1729905513988612e-51,1.5687450050058869e-25,4.2749463530202056e-31,2.2834593026365319e-55,2.8828088504877754e-73,1.3918846211536337e-77,7.4552080083021647e-60,2.0985728173327786e-80,3.1200536876448968e-15,3.1200536876500145e-15,2.5602661926577483e-27,1.5687311160659747e-25,1.3856984778301605e-30,7.086685326751783e-35,1.0854230558116613e-31,2.4787576686477747e-33,2.0417769014473899e-38,1.7402993460276178e-41,4.5791407421912359e-42,5.4290373969556845e-41,3.5842112354446755e-49,5.0911880031939718e-46,2.9367801139351242e-46,6.4937890489988163e-52
3.2767e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583770184,0.66999999999999382,1.256274288362585e-32,2.7771560761334544e-49,6.2754171714509776e-25,1.6983145170320707e-30,7.3082406296756038e-54,7.3694214832721661e-71,3.5641677756927094e-75,4.7721967009016361e-58,1.0729222944754848e-77,6.2403957105476968e-15,6.2403957105886892e-15,2.0484343364675759e-26,6.2753059948571008e-25,1.1086397526188033e-29,1.1340106838606586e-33,8.6843229950808296e-31,1.981407402476403e-32,3.2615508660338256e-37,5.5601034567812337e-40,7.3274733899109069e-41,8.6871463415887441e-40,1.147121679851775e-47,8.1468449455174691e-45,4.6993928493861652e-45,4.1494774465246002e-50
6.5535e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583768935,0.66999999999998761,2.0102586425595468e-31,3.5431386931504375e-47,2.510250716687712e-24,6.7010140017020556e-30,2.3387922085738741e-52,1.8806149217102103e-68,9.1257555179345077e-73,3.0544410305011389e-56,5.4759169010086467e-75,1.2481057559451787e-14,1.2481057559779996e-14,1.6388307616706276e-25,2.5101616822581131e-24,8.8693182458557224e-29,1.8145251421126699e-32,6.9478115136768621e-30,1.5823792138755842e-31,5.2009434044382189e-36,1.7733521697231344e-38,1.1724594196671964e-39,1.3899787918034857e-38,3.6711850584314788e-46,1.3035667164901806e-43,7.5194413116874852e-44,2.646958057720262e-48
9.999999999999999e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258376762,0.66999999999998106,1.7869973398068592e-30,2.3860787155648935e-45,6.4706873705610082e-24,1.6898685130278821e-29,4.6706470015482399e-51,3.8173191845302917e-66,1.8652375680744952e-70,1.3728637669093798e-54,2.2809659992808743e-72,1.904481948075093e-14,1.9044819482285706e-14,7.671878121398261e-25,6.4702698175990441e-24,4.1518843659411984e-28,1.6128503300289624e-31,3.2524873457792457e-29,7.384105923714968e-31,4.593292137906825e-35,3.0485720251051643e-37,1.042143005430824e-38,1.2354474855357956e-37,6.3528073294696262e-45,1.1586804979782115e-42,6.6836858177949958e-43,8.9757323558362427e-47
