Time (s),Volume (m^3),Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),C2H4X(64),C2H4(48),HeX(49),C4H8a(86),HX(12),C2H3X(58),C4H6(99),C2H2X(98)
0.0,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.458656502896803e-25,0.004023131612903226,0.0,0.0,0.010942917987096772,0.5,1.184799637373686e-185,4.3636568259231468e-67,2.9776080406658539e-114,8.8903742606657768e-135,2.1916049028433749e-201,6.8256521024757753e-48,1.1105180705611659e-62,0.0,0.5,3.2700170048958826e-19,2.2656734970649937e-18,9.8751070392763202e-20,3.355936958291099e-35,4.5671141789949636e-21,4.5671141789924998e-21,1.2017594519203586e-47,1.2325679574974439e-33
6.884238208111048e-25,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,1.7670354298431306e-183,6.5943581982849213e-66,8.8119506645543486e-103,4.7358291722512272e-123,3.2686062600159603e-199,4.1226938698964375e-47,1.3184070533705289e-61,0.0,0.5,9.1560476136838675e-19,6.3438857917819695e-18,2.7650299709960002e-19,2.0269859228078203e-34,1.2787919701189896e-20,1.2787919701175008e-20,1.8160988845450052e-46,7.4447104632826241e-33
1.5735401618539538e-24,0.004023131612903226,0.0,0.0,0.010942917987096772,0.5,8.5023896882122399e-181,7.0939096321523186e-65,1.6994476281596397e-101,1.8740352581540983e-121,3.6652224217747334e-196,1.9848996314015578e-46,1.2944198630470644e-60,0.0,0.5,2.0928108831161411e-18,1.4500310381215869e-17,6.3200685051272569e-19,9.7590646747104547e-34,2.9229530745595726e-20,2.9229530745524045e-20,1.9536763067149114e-45,3.5843076203996565e-32
3.343772843939652e-24,0.004023131612903226,0.0,0.0,0.010942917987096769,0.5,2.7234966625334575e-178,6.5205251249852227e-64,2.9092025693934491e-100,6.4414042212642106e-120,2.4414930990454557e-193,8.668578170160786e-46,1.144899710027775e-59,0.0,0.5,4.4472231265722809e-18,3.0813159560083451e-17,1.343014557336785e-18,4.2620399370296351e-33,6.2112752834471268e-20,6.2112752834158208e-20,1.7957651146587816e-44,1.5653613060187459e-31
6.884238208111048e-24,0.004023131612903226,0.0,0.0,0.010942917987096762,0.5,7.7224822118830815e-176,5.5784465250972115e-63,4.8026389971962209e-99,2.1292896850742502e-118,1.4106726989712207e-190,3.6189607447475501e-45,9.6235719166286932e-59,0.0,0.49999999999999994,9.1560476133270801e-18,6.3438857917817772e-17,2.7650299709761359e-18,1.7793177752858857e-32,1.2787919701247786e-19,1.2787919701117086e-19,1.536314862935963e-43,6.5350753106243727e-31
1.396516893645384e-23,0.004023131612903226,0.0,0.0,0.01094291798709675,0.5,2.0770455358259796e-173,4.6123674635737611e-62,7.8021388839456118e-98,6.9219264813698407e-117,7.6597808094489895e-188,1.4784635480172717e-44,7.8899856890098632e-58,0.0,0.49999999999999989,1.857369658620677e-17,1.28690254633283e-16,5.6090607982197684e-18,7.2690936891363871e-32,2.5941208536951298e-19,2.5941208536417343e-19,1.270254838079686e-42,2.6697914986348391e-30
2.8127030393139425e-23,0.004023131612903226,0.0,0.0,0.010942917987096725,0.5,5.4481258463278543e-171,3.7507006211904062e-61,1.2577713863099865e-96,2.2323145975222196e-115,4.0372879740807493e-185,5.9761860471221754e-44,6.3895149727057993e-57,0.0,0.49999999999999972,3.7408994529446488e-17,2.5919304806419995e-16,1.1297122452566756e-17,2.9382838919574739e-31,5.2247786208767157e-19,5.2247786206608796e-19,1.032950138447934e-41,1.0791724100321143e-29
5.645075330651059e-23,0.004023131612903226,0.0,0.0,0.010942917987096675,0.5,1.4116554740496809e-168,3.0250759295683054e-60,2.0199771346086976e-95,7.1710809014044696e-114,2.0971234613436582e-182,2.4029981253691301e-43,5.142837525357895e-56,0.0,0.49999999999999944,7.507959040584732e-17,5.2019863492597951e-16,2.2673245760699611e-17,1.181471029913905e-30,1.048609415540341e-18,1.0486094154535545e-18,8.3311170781462195e-41,4.3393047969350941e-29
1.1309819913325292e-22,0.004023131612903226,0.0,0.0,0.010942917987096575,0.5,3.6356321307411212e-166,2.4299054975035151e-59,3.2379977071390028e-94,2.2991737021497166e-112,1.0814760266976483e-179,9.6370972502505505e-43,4.1268032296414424e-55,0.0,0.49999999999999883,1.5042078211833457e-16,1.0422098086493217e-15,4.542549237472088e-17,4.7382272557869581e-30,2.1008725225110885e-18,2.1008725221630376e-18,6.6920063022315313e-40,1.7402553036596867e-28
