Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),H2OX(23),COX(50),CHOX(53),CO2X(24)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033531594134e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,-9.4840360656685403e-122,1.3112018842936681e-65,2.9700072473191348e-36,5.9954205400577274e-89,1.8189017431915876e-54,2.038948213313229e-132,5.5646920903778486e-20,-6.6233600508940243e-106,5.5646920903778486e-20,2.625609261725581e-72,2.9228960855272887e-72,1.3451250879026789e-112,1.5596694708919462e-113,2.275477900774027e-53,1.2325440466848142e-85,3.0390311159895404e-18,8.9980309981672622e-20,3.6022135345444512e-22,9.0087835681624273e-38,3.3357983340900261e-37,3.6022135345283141e-22,8.032949901117903e-34,3.9085876248264452e-42,9.5765090529062324e-47,1.2088687792049396e-77,2.1456307125830893e-52,2.0461384607914608e-98,3.3174158809203196e-54,2.3688918768786647e-106,-3.706521096746332e-109,-3.8845342758404058e-109
1.7654093888463576e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,1.7182051455807706e-119,2.9331326847913523e-64,1.7938843774366062e-35,6.6252300881893255e-87,2.7487243372280739e-53,7.3572529177659553e-130,1.558113785305798e-19,1.2786491330237028e-104,1.558113785305797e-19,7.4046382750933933e-71,9.1900530147704111e-71,2.6890223240662896e-110,3.1179152504897419e-111,2.7014473635760325e-52,6.380003008639654e-84,8.5092871247707105e-18,2.5194486794868334e-19,1.0086197896750674e-21,5.4413052746798555e-37,2.0148221937883227e-36,1.008619789665321e-21,4.8519017174693069e-33,4.6402752060456475e-41,1.1369448931269596e-45,7.3542770302241089e-76,2.5472927820512598e-51,1.9269137526103002e-96,3.9384361334898807e-53,4.7356213912745962e-104,3.7511669029402951e-107,3.9313242904150102e-107
4.035221460220246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,7.2535669742254797e-117,5.7953993553044522e-63,8.6367810760417734e-35,5.9942519490528326e-85,2.9569522121089126e-52,2.6639928086830015e-127,3.5614029378418242e-19,1.3501184716224392e-102,3.5614029378418209e-19,1.6106705636420292e-69,2.0502502732112807e-69,4.8683966786570836e-108,5.6448948429902275e-109,2.6522970404512364e-51,2.7857590039417469e-82,1.9449799142333041e-17,5.7587398388270478e-19,2.3054166621267963e-21,2.6197542608862553e-36,9.7005015555029895e-36,2.3054166620798706e-21,2.3359817970362268e-32,4.5558496668379516e-40,1.1163052841404631e-44,3.3202071341746656e-74,2.5009471588119596e-50,1.6841325686422876e-94,3.8667799497506769e-52,8.5737047425201913e-102,7.8558365430767147e-105,8.2331290037270089e-105
8.574845602968022e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,2.3332983297973079e-114,1.0312622661175546e-61,3.7719092049609533e-34,4.53690782468652e-83,2.7179485210652037e-51,8.078326851425365e-125,7.5679812429138782e-19,1.0671561305669237e-100,7.5679812429138618e-19,2.9859117750460484e-68,3.8398918547057828e-68,7.3775279018005987e-106,8.554226772317597e-107,2.3459266951309534e-50,1.0370682299661901e-80,4.1330823177457633e-17,1.2237322157507477e-18,4.8990104070721878e-21,1.1441155123967367e-35,4.2364638842624983e-35,4.8990104068672545e-21,1.0201846020928193e-31,4.0295973535055942e-39,9.8744129407637806e-44,1.2537494119412241e-72,2.2120594399173935e-49,1.2564151504138267e-92,3.4201230743885122e-51,1.2992520974444062e-99,1.2625798406066038e-102,1.3232177948762483e-102
1.7654093888463574e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,6.6755706288449085e-112,1.7393761022896204e-60,1.5746978433076913e-33,3.1524111477492839e-81,2.3252621824317558e-50,2.247258072440962e-122,1.558113785305799e-18,7.5636247268894305e-99,1.5581137853057924e-18,5.1320194375927035e-67,6.6324582602972445e-67,1.0258478258967287e-103,1.1894682139314529e-104,1.97189273853176e-49,3.5728572942246606e-79,8.5092871247706566e-17,2.5194486794868328e-18,1.0086197897130714e-20,4.7764570410006873e-35,1.7686402767058797e-34,1.0086197896275156e-20,4.2590697194303329e-31,3.3871192366789557e-38,8.3014170393236158e-43,4.3505498724707815e-71,1.8593692462907736e-48,8.6666810598517621e-91,2.8748195197507658e-50,1.8066145695144418e-97,1.8054212190678586e-100,1.8921302309010818e-100
3.581259045945468e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,1.8056895610450516e-109,2.8569317279274604e-59,6.4331545045793968e-33,2.1017498272174905e-79,1.9225717385955951e-49,5.9958615018480448e-120,3.1607451073346242e-18,5.0899727013010094e-97,3.1607451073345965e-18,8.5059458533082293e-66,1.1019928579518515e-65,1.3683108848289072e-101,1.5865533495168118e-102,1.6166768014724763e-48,1.1857010710594112e-77,1.7261696738820348e-16,5.1108816069590024e-18,2.0460572877918735e-20,1.9513385502078727e-34,7.2254726233297695e-34,2.04605728744235e-20,1.7399688110212136e-30,2.7769647611152691e-37,6.8082630133936205e-42,1.449388199793635e-69,1.524423247222189e-47,5.7555860549225939e-89,2.3569507280500641e-49,2.4097242472949814e-95,2.4412672862771131e-98,2.5585140958990987e-98
7.21295836014369e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,4.7530263409547792e-107,4.6312104460368002e-58,2.600383910801726e-32,1.3734127754800347e-77,1.5634034085595622e-48,1.5675889750752356e-117,6.3660077513922828e-18,3.339717264441035e-95,6.3660077513921703e-18,1.3849727799514618e-64,1.7965264816301383e-64,1.788553267820074e-99,2.0738234338983367e-100,1.3092267852560956e-47,3.8634343116147252e-76,3.4766515966919347e-16,1.0293747461903335e-17,4.1209322842178638e-20,7.8876223879069098e-34,2.920651559616303e-33,4.1209322828050341e-20,7.0332310043167287e-30,2.24885768830883e-36,5.5171680387768812e-41,4.7341353682805389e-68,1.2345174701648678e-46,3.7518254623568187e-87,1.9087198019459776e-48,3.1498106348676649e-93,3.2126837396129712e-96,3.3669793937406467e-96
1.4476356988540132e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996462,0.022821567693054278,1.2349685262779293e-104,7.4584224224441832e-57,1.0456029358487402e-31,8.8901714199708279e-76,1.2609414871763346e-47,4.0592838741542132e-115,1.2776533039507637e-17,2.1640870852638049e-93,1.2776533039507187e-17,2.2353516506168551e-63,2.9013950489373957e-63,2.3156506683347185e-97,2.684991667291453e-98,1.0537796108888422e-46,1.2474795279428753e-74,6.9776154423115806e-16,2.0659479171791989e-17,8.2706822781433969e-20,3.17157825167217e-33,1.1743811465478715e-32,8.2706822724624657e-20,2.8280303473039308e-29,1.8100757134350681e-35,4.4465888388298642e-40,1.5319885926896617e-66,9.9364706254948686e-46,2.4232327910781697e-85,1.5363037422950507e-47,4.0780787647178748e-91,4.1735151250545024e-94,4.373956670640064e-94
2.9003154245333017e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996391,0.022821567693054268,3.1912186934998171e-102,1.1972420293600477e-55,4.1933354478973531e-31,5.7331425788086443e-74,1.0128567754317785e-46,1.0471557613192382e-112,2.5597583615738484e-17,1.3936115025822151e-91,2.5597583615736684e-17,3.5921500928603452e-62,4.6639077458891398e-62,2.986747311322599e-95,3.4631266937177456e-96,8.4559176332082437e-46,4.0099114720509541e-73,1.3979543133550254e-15,4.1390942591569213e-17,1.6570182270288661e-19,1.2719447155988214e-32,4.7097936518079083e-32,1.6570182247505577e-19,1.1341659291166361e-28,1.452470802017736e-34,3.577563457426422e-39,4.9394952708292742e-65,7.9733919314849472e-45,1.5579655675136771e-83,1.2327869854273901e-46,5.2599431123693455e-89,5.3921681999868343e-92,5.6511380747445006e-92
