Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C2H2(37),C4H6(54),C4H5X(374),C4H5X(381),C6H8(56),C4H4(439),C6H7X(455),C8H10(458),C6H7X(498),C6H7X(497),C4H3X(623),C4H2(1102),C6H6(755),C4H3X(622),C6H8(474),C6H6(1605),C8H9X(771),S(774),C8H10(478),C8H8(1121)
3.3845131050290384e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771028,0.66999999999999804,6.1726860578660703e-65,0.0,2.0853913896050245e-36,8.4893149451989759e-66,0.0,0.0,0.0,0.0,0.0,2.0068370735781029e-15,2.0068370735781017e-15,8.6592940510230307e-31,9.281975148668719e-43,1.0686153656370518e-57,5.3430768253868945e-58,1.2780298869867469e-84,6.6541151381434066e-72,1.1424063236494709e-99,4.0390041786397138e-96,5.7120316172731349e-100,5.7120316316424652e-100,3.7183186005640688e-87,6.7620475016025873e-101,3.0054954474266791e-114,1.8591593002820679e-87,6.4850374317276444e-88,1.3810214271220137e-115,3.1614465318310411e-111,1.7157645375341738e-138,9.4570856949037341e-130,3.0745813603170695e-126
6.771966707977303e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583770628,0.66999999999999604,9.8877905879797974e-64,0.0,8.3469996349744191e-36,3.397938357403327e-65,0.0,0.0,0.0,0.0,0.0,4.0154177067335144e-15,4.0154177067335073e-15,3.4659742975668544e-30,7.4331081320237076e-42,1.7116417337058731e-56,8.5582086640468235e-57,8.1920332175969918e-83,2.1317067569288459e-70,1.4645580985002116e-97,1.2936419534183783e-94,7.3227904912513933e-98,7.3227905096730054e-98,2.3824379378404918e-85,8.6653704794108098e-99,7.7061795399411949e-112,1.1912189689202893e-85,4.156838787497143e-86,3.5410063997093661e-113,2.0251719921123083e-109,4.3982981821014749e-136,4.8569241887435262e-127,3.9390836202080296e-124
1.354687391387383e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583769824,0.66999999999999205,1.5829663603515547e-62,0.0,3.3398866126801943e-35,1.3596179449283056e-64,0.0,0.0,0.0,0.0,0.0,8.032578973044078e-15,8.0325789730440512e-15,1.3868411830857052e-29,5.9494991824815469e-41,2.7401133400928515e-55,1.3700566693288193e-55,5.2469503288196534e-81,6.8252878189335458e-69,1.8760936248645001e-95,4.1415118850616397e-93,9.3804681227212399e-96,9.3804681463193956e-96,1.5256293192899581e-83,1.1098046092643376e-96,1.9743336385241774e-109,7.6281465964503474e-84,2.6624314213054623e-84,9.0721402651025865e-111,1.2967010757809874e-107,1.1267253038719283e-133,2.4905657660909633e-124,5.0443443493642116e-122
2.7096688325666884e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583768219,0.66999999999998405,2.5334817728578296e-61,0.0,1.3361717346752012e-34,5.4393571097470803e-64,0.0,0.0,0.0,0.0,0.0,1.6066901505664189e-14,1.6066901505664079e-14,5.5482677890879066e-29,4.7608047110676296e-40,4.3853709359856385e-54,2.1926854668443693e-54,3.3593444966986314e-79,2.1847044804662913e-67,2.4023341931744983e-93,1.32558107652844e-91,1.2011670963821835e-93,1.2011670994039315e-93,9.7668094459264458e-82,1.4209578308600437e-94,5.0562811844514849e-107,4.8834047229639339e-82,1.7046138771075904e-82,2.3233853138891055e-108,8.30077842856443e-106,2.8853911550354342e-131,1.2761486540475029e-121,6.4582441207625992e-120
5.419631714925299e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583765005,0.66999999999996795,4.0541576888081119e-60,0.0,5.3451188039908433e-34,2.17591992251374e-63,0.0,0.0,0.0,0.0,0.0,3.2135546570900331e-14,3.2135546570899889e-14,2.2194877398466758e-28,3.8091259737549228e-39,7.0175453066107035e-53,3.5087726514677396e-53,2.15039538294591e-77,6.9920342924875826e-66,3.075585890305499e-91,4.2423351236623323e-90,1.537792944890209e-91,1.5377929487588041e-91,6.2516483625755215e-80,1.8190871411811571e-92,1.2946623873161066e-104,3.1258241812886705e-80,1.0911634143626046e-80,5.9490409579730174e-106,5.3131035427652967e-104,7.3878487749792843e-129,6.5363884713197402e-119,8.2675019077905913e-118
1.0839557479642522e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583758577,0.66999999999993587,6.4871163143658566e-59,0.0,2.138132021841086e-33,8.7040338598780693e-63,0.0,0.0,0.0,0.0,0.0,6.4272836701356308e-14,6.4272836701354516e-14,8.8783122206704656e-28,3.0474936727365914e-38,1.1228833992021566e-51,5.6144169930709502e-52,1.3763858296575949e-75,2.2376077783572097e-64,3.9371327821454327e-89,1.3576233514923556e-88,1.9685663907366551e-89,1.9685663956889417e-89,4.001339876004782e-78,2.328598669413117e-90,3.3146613866336095e-102,2.0006699380035553e-78,6.9841196334425505e-79,1.5231048457877007e-103,3.4005799876075164e-102,1.8914489696921873e-126,3.3472729318270784e-116,1.0583010107032881e-115
2.1679409009076966e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583745721,0.66999999999987159,1.0379739702344528e-57,0.0,8.5526820837212354e-33,3.4816843791633037e-62,0.0,0.0,0.0,0.0,0.0,1.2854741696220291e-13,1.2854741696219584e-13,3.551397141809604e-27,2.4380720980346196e-37,1.7966743610048498e-50,8.9833718003221364e-51,8.8092942443492566e-74,7.1605957879191861e-63,5.0397749943871215e-87,4.3445165064941479e-87,2.5198874967634644e-87,2.5198875031027002e-87,2.5609486998958512e-76,2.9807132634934529e-88,8.4859500381246158e-100,1.280474349949416e-76,4.4700521876233944e-77,3.8993408779590753e-101,2.1764331839353577e-100,4.8423137658407362e-124,1.713968121088571e-113,1.3546641851506146e-113
4.335911206794586e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583720013,0.66999999999974302,1.6607810006961314e-56,0.0,3.4210916273771572e-32,1.3926879188229845e-61,0.0,0.0,0.0,0.0,0.0,2.5709657748363501e-13,2.5709657748360664e-13,1.4205733075594655e-26,1.950488542832783e-36,2.8747277162900304e-49,1.4373638573932361e-49,5.6380842992402699e-72,2.2914307964396898e-61,6.4510688185386428e-85,1.3902647673598935e-85,3.2255344087190124e-85,3.2255344168334302e-85,1.6390363458596853e-74,3.8153814372729413e-86,2.1724565730052727e-97,8.1951817293175041e-75,2.860902401120628e-75,9.9825590198317909e-99,1.3929370753317787e-98,1.2396584882512091e-121,8.775937617237945e-111,1.7339950477965191e-111
8.671851818568364e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583668593,0.6699999999994859,2.6572496715040547e-55,0.0,1.3684308053523863e-31,5.5707800096465202e-61,0.0,0.0,0.0,0.0,0.0,5.1419489852545469e-13,5.1419489852534099e-13,5.6823221320274394e-26,1.5604031801160349e-35,4.5996033373233069e-48,2.2998016674606297e-48,3.6084174666085141e-70,7.3326427800551167e-60,8.2574684575309692e-83,4.4488784321366183e-84,4.1287342280616721e-83,4.1287342384482469e-83,1.0489925983663027e-72,4.8837320544917372e-84,5.5615571327706861e-95,5.2449629918559336e-73,1.8309996173465337e-73,2.5555666451577471e-96,8.9148607627460418e-97,3.1735592204166095e-119,4.4933877974564078e-108,2.2195295913610565e-109
1.734373304211592e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583565753,0.66999999999897175,4.2515417773114325e-54,0.0,5.4736346973348484e-31,2.2283176706726579e-60,0.0,0.0,0.0,0.0,0.0,1.0283915406049148e-12,1.02839154060446e-12,2.2729346331735138e-25,1.2483274824413206e-34,7.3593965327559375e-47,3.6796982644621868e-47,2.309401103516787e-68,2.3464559666642038e-58,1.0569623862523466e-80,1.4236460865280135e-82,5.2848119303623692e-81,5.2848119436572448e-81,6.7135825079851543e-71,6.2512050712040568e-82,1.4237673691694652e-92,3.3567912540238337e-71,1.1718468209338932e-71,6.5422909779337462e-94,5.7055312018898853e-95,8.1243544721312145e-117,2.300642133431582e-105,2.8410080722259737e-107
3.4687495489211033e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583360074,0.66999999999794335,6.8022358859616012e-53,0.0,2.1893747115529154e-30,8.9132820157755273e-60,0.0,0.0,0.0,0.0,0.0,2.0567848247471202e-12,2.0567848247453015e-12,9.0917500933660713e-25,9.9866396127979067e-34,1.1775059406551693e-45,5.8875297002293579e-46,1.4780211621779006e-66,7.5086755364207101e-57,1.3529159655146351e-78,4.555675457944903e-81,6.7645798264258871e-79,6.7645798434433279e-79,4.2967023660329726e-69,8.0015604373421216e-80,3.6448556562026222e-90,2.1483511830564944e-69,7.4998422644759296e-70,1.6748316571841e-91,3.6515464694543056e-93,2.0798402318655525e-114,1.1779358330872452e-102,3.6364968572827533e-105
6.937502038340126e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282582948714,0.66999999999588655,1.0882801362198629e-51,0.0,8.7568488710163113e-30,3.5653150724838003e-59,0.0,0.0,0.0,0.0,0.0,4.11357139296467e-12,4.1135713929573958e-12,3.6367023494293932e-24,7.9893195912899171e-33,1.8840115012717136e-44,9.4200575015442043e-45,9.4593496962589374e-65,2.402778802413202e-55,1.7317350668119809e-76,1.4578174234183348e-79,8.658675332601353e-77,8.658675354383579e-77,2.749892573501325e-67,1.0242008844420989e-77,9.3308448036152814e-88,1.3749462868018725e-67,4.799906284325556e-68,4.2875756555603323e-89,2.3369918203273619e-91,5.3243980164254745e-112,6.0310495405176327e-100,4.6547201528152434e-103
1.387500701717817e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282582126,0.66999999999177295,1.7409969665191942e-50,0.0,3.5022163371815654e-29,1.4261264818726434e-58,0.0,0.0,0.0,0.0,0.0,8.2271445291323268e-12,8.2271445291032333e-12,1.4546814021462838e-23,6.3914588330334634e-32,3.0144199986618098e-43,1.5072099985798499e-43,6.0539883674124125e-63,7.6888963760435407e-54,2.2166225689138298e-74,4.665017797340787e-78,1.108311284272777e-74,1.1083112870608699e-74,1.759932225667093e-65,1.3109778668564581e-75,2.3886981026870275e-85,8.7996611289909556e-66,3.0719423367912348e-66,1.0976202141104735e-86,1.4956754303101329e-89,1.3630467908641213e-109,3.0879019914423517e-97,5.9580444668880376e-101
2.775001697485426e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282580480571,0.66999999998354576,2.7847891020933003e-49,0.0,1.400467473461387e-28,5.7045068304031824e-58,0.0,0.0,0.0,0.0,0.0,1.6454290800397874e-11,1.6454290800281501e-11,5.8187265329969256e-23,5.1131683297547037e-31,4.8230732740332434e-42,2.4115366358762597e-42,3.8745540138225863e-61,2.4604475130930643e-52,2.8372779645152738e-72,1.4928060215495856e-76,1.4186389820284703e-72,1.4186389855971435e-72,1.1263569371635881e-63,1.6780521392006061e-73,6.1150694866217598e-83,5.6317846866569659e-64,1.9660438357797495e-64,2.8099088303501766e-84,9.5723248796189652e-88,3.4894009335340559e-107,1.5810070035017096e-94,7.6262986245978594e-99
5.5500036890206436e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282577189715,0.66999999996709148,4.4530834516498447e-48,0.0,5.598518875722672e-28,2.2818029104671953e-57,0.0,0.0,0.0,0.0,0.0,3.2908583338649903e-11,3.2908583338184401e-11,2.327490797810593e-22,4.0905351680582268e-30,7.7169182557821283e-41,3.8584591262636002e-41,2.4797150342148635e-59,7.8734331146466259e-51,3.6317164806816902e-70,4.7769797887412337e-75,1.8158582400642623e-70,1.8158582446319414e-70,7.2086853931772758e-62,2.1479070371256745e-71,1.5654580873201054e-80,3.6043426976625908e-62,1.2582682911205962e-62,7.1933679857208461e-82,6.1262885988969134e-86,8.9328678534897826e-105,8.0947588830141502e-92,9.7616633251885818e-97
