Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),CH3X(55),COX(50),CHOX(53),O(29),acetyl(44),C2H4X(215),C2H4X(70),C2H6X(52),CO2X(24),HOCO(73),CHO2(74)
6.402625589817542e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999967,0.11866996602996219,0.02282156769305424,1.8047054107466885e-99,1.6324139775528998e-45,2.0426611968309977e-30,6.658691392460678e-72,1.0890173816675975e-45,5.916644374482821e-110,5.650824820958778e-17,1.609519324059392e-89,5.650824820957914e-17,8.519996892839524e-61,7.436960814429622e-60,7.651175536628253e-93,8.871520578862856e-94,7.357674541450136e-32,3.28639087371264e-71,3.086070564728901e-15,9.13730644542194e-17,3.6579701718821845e-19,6.195908046031775e-32,2.294238740370078e-31,3.657970160784062e-19,5.52475030694426e-28,1.5608925173512194e-33,3.869124408619064e-38,2.6010414702839197e-63,1.3248122101517913e-45,8.568590714975518e-44,1.0973470630080339e-61,2.0640398811088216e-31,1.3474440202674681e-86,1.3825387119531831e-89,6.869785752964392e-25,4.13754452955081e-102,1.0970412394257282e-75,3.2761502799385073e-85,1.1040496644790095e-59,1.448937977155655e-89,2.06742393446475e-121,1.8629053815963807e-123
1.2810813843049348e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999355,0.11866996602995904,0.022821567693054195,4.680319992563916e-97,1.3069237618980647e-44,8.175968269137133e-30,4.3151890429132783e-70,8.720971372637214e-45,1.5336443646681902e-107,1.1306559133508638e-16,1.0316844621986183e-87,1.1306559133505181e-16,1.3646801946634297e-59,1.1912984891085118e-58,9.916412297875359e-91,1.1498057433132841e-91,2.9449872819043077e-31,1.433664976231599e-69,6.174822337592369e-15,1.828255147159556e-16,7.319118434981137e-19,2.4799778535851173e-31,9.182933914560502e-31,7.319118390559661e-19,2.211333662276126e-27,1.2496594468332226e-32,3.133540523148421e-37,8.428644009393274e-62,1.0606552824167149e-44,6.8600827618471995e-43,3.515835756087786e-60,8.261538559430438e-31,1.7463735315017405e-84,1.7927638504479894e-87,1.3745541515450424e-24,1.0729900809767316e-99,7.029851716912952e-74,2.8546147511596328e-83,1.7683981931229807e-58,1.878865078423643e-87,1.072546642297956e-118,9.662502104265024e-121
2.562719034951296e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998717,0.11866996602995275,0.022821567693054105,1.226059972869607e-94,1.0459362139674233e-43,3.271452399360036e-29,2.825289614329624e-68,6.980311752065692e-44,4.016025595175006e-105,2.2618027758609343e-16,6.607879855660206e-86,2.2618027758595513e-16,2.184673540195966e-58,1.9071860923661352e-57,1.298414716483869e-88,1.5055089005586561e-89,1.178378515119708e-30,7.029020638773444e-68,1.23523258833145e-14,3.6573041523942165e-16,1.4641414994604742e-18,9.923141214398692e-31,3.674369693851941e-30,1.464141481686048e-18,8.848165012821145e-27,1.0001015018723e-31,2.5652275377819808e-36,2.759689863621903e-60,8.488465355178591e-44,5.49015132056109e-42,1.1257551094306504e-58,3.305691532461064e-30,2.2866305089508076e-82,2.3482592996605924e-85,2.749705746077686e-24,2.8105827377491903e-97,4.5019000203446316e-72,2.7955612709067396e-81,2.830972968111329e-57,2.4610395053872776e-85,5.619130527257746e-116,5.062360708591884e-118
5.125994336244018e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997446,0.11866996602994016,0.02282156769305392,3.277753141251728e-92,8.36907891275213e-43,1.3087940819620818e-28,1.887927115765573e-66,5.585663607986216e-43,1.0731935367166554e-102,4.524096500881469e-16,4.230675617587493e-84,4.524096500875932e-16,3.4964261168980734e-57,3.0523847711986877e-56,1.7349958494318864e-86,2.0117237262157873e-87,4.71428137448979e-30,3.811108555972908e-66,2.470733297473954e-14,7.315402162863289e-16,2.9286008247557384e-18,3.969902225292137e-30,1.469987134521028e-29,2.9286007536460596e-18,3.539802131737557e-26,8.002237860710087e-31,2.1444961074715343e-35,9.223346582456778e-59,6.79206125533905e-43,4.392955509459934e-41,3.603485874539801e-57,1.3224918614554793e-29,3.0554909602467093e-80,3.1391640936422644e-83,5.500010703284724e-24,7.51263648167218e-95,2.882086011402641e-70,3.028485587210323e-79,4.5307857859092185e-56,3.2899296014573182e-83,3.003665271427108e-113,2.7067137231784685e-115
1.0252544938829462e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679994903,0.118669966029915,0.022821567693053556,9.098045113633998e-90,6.695898948379716e-42,5.235603190883327e-28,1.3098192528599495e-64,4.4690966370568455e-42,2.9770362316455396e-100,9.048683950924109e-16,2.708154915204304e-82,9.04868395090196e-16,5.595040655234467e-56,4.8845251289066936e-55,2.4067685606669556e-84,2.790642646594895e-85,1.8858660235290886e-29,2.218993898091684e-64,4.941734715751277e-14,1.4631598183800437e-15,5.857519528830543e-18,1.5880897972153088e-29,5.880427064487583e-29,5.857519244365479e-18,1.416004064550031e-25,6.402248285347091e-30,1.8628476790595034e-34,3.2013098699667056e-57,5.4341637795255994e-42,3.514698592958292e-40,1.1532666998381764e-55,5.290397942011624e-29,4.238545892461594e-78,4.357283817780956e-81,1.1000627690265799e-23,2.084693232806581e-92,1.8447818618424338e-68,3.524363165820399e-77,7.250240625443832e-55,4.566553404218152e-81,1.666536756586421e-110,1.5025779831919701e-112
2.050564614400035e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679989813,0.11866996602986467,0.022821567693052824,2.6904352221643096e-87,5.356973611337147e-41,2.09432712256509e-27,9.680878654732374e-63,3.575503622231952e-41,8.795464279176631e-98,1.8097858851015675e-15,1.7333863697448313e-80,1.809785885092707e-15,8.952672179906546e-55,7.815807080771435e-54,3.556107937479167e-82,4.123299014262471e-83,7.543771052525544e-29,1.349660415566133e-62,9.883737552275174e-14,2.9263990225670727e-15,1.1715357150934041e-17,6.352615012169914e-29,2.352266517174635e-28,1.1715356013001904e-17,5.663990530920382e-25,5.121802002649051e-29,1.725684702882856e-33,1.1841053453495003e-55,4.347535555405381e-41,2.8118931452732323e-39,3.690567832556104e-54,2.1162452539788093e-28,6.262640594144209e-76,6.444013560177205e-79,2.2001889954495944e-23,6.1619927002060486e-90,1.1806988849295158e-66,4.2856533251248733e-75,1.1601171745948695e-53,6.753506889157359e-79,9.847383300175195e-108,8.886670003722987e-110
4.101184855434213e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767997963,0.11866996602976401,0.02282156769305136,8.736507052381383e-85,4.285680851687438e-40,8.377483949726171e-27,7.856491639094502e-61,2.860493423191716e-40,2.852578853647489e-95,3.619620865122398e-15,1.109420789794614e-78,3.619620865086954e-15,1.4324761190331336e-53,1.2505742389937909e-52,5.768397091410517e-80,6.688443180933957e-81,3.01756981379583e-28,8.411655262805036e-61,1.976774322519998e-13,5.852877430939531e-15,2.3431033251091032e-17,2.541095570378814e-28,9.409257316393547e-28,2.3431028699065158e-17,2.2654373630781916e-24,4.097155256305823e-28,1.757075592951241e-32,4.8106708398279315e-54,3.47810803630248e-40,2.2495691692661098e-38,1.1809183686724927e-52,8.465152972291456e-28,1.0158689626643646e-73,1.0465812382900781e-76,4.400452764402822e-23,1.999721038103977e-87,7.556077780406419e-65,5.340921332630108e-73,1.8562504195547827e-52,1.0968475419800103e-76,6.387267629495116e-105,5.771782283765046e-107
8.202425337502569e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679959276,0.11866996602956269,0.022821567693048436,3.182873438290192e-82,3.428585753096243e-39,3.35103168240378e-26,7.15314629151015e-59,2.2884309454424403e-39,1.0378338974286546e-92,7.239290825174122e-15,7.100464281898708e-77,7.23929082503234e-15,2.2920006409309212e-52,2.000954081587634e-51,1.0496902156839077e-77,1.217113378615815e-78,1.207040204193425e-27,5.310362200491911e-59,3.9535754570557623e-13,1.1705834247678047e-14,4.686238887627973e-17,1.0164468612922488e-27,3.763741065659523e-27,4.686237066635382e-17,9.060202480443997e-24,3.277149483149076e-27,2.0079126951203215e-31,2.192968641385283e-52,2.782514709579152e-39,1.7996787056999292e-37,3.7783150773122785e-51,3.3860954196679746e-27,1.8486030629315075e-71,1.90708224799182e-74,8.801025566738073e-23,7.280394269360256e-85,4.8351001513037253e-63,6.742837203741465e-71,2.9700510190435997e-51,1.998681461596635e-74,4.647444528880262e-102,4.2066000325032467e-104
1.640490630163928e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767991856,0.11866996602916004,0.022821567693042583,1.2990616186327206e-79,2.742885489130997e-38,1.3404227003253364e-25,7.29648652824213e-57,1.8307592330985668e-38,4.230756237416275e-90,1.4478630745317824e-14,4.544351908660961e-75,1.447863074475069e-14,3.667232085629027e-51,3.2015522537204155e-50,2.1401784089376633e-75,2.481531852794055e-76,4.8281853743025904e-27,3.374320918853508e-57,7.907177725930509e-13,2.3411747881129477e-14,9.372511383474399e-17,4.065794471170822e-27,1.5055039654961692e-26,9.372504098158355e-17,3.622788759246886e-23,2.620753828553677e-26,2.5693986922419746e-30,1.119790631681462e-50,2.226017389284789e-38,1.4397547254042309e-36,1.2086269112618015e-49,1.3544448853837957e-26,3.769054790689741e-69,3.8929287731639635e-72,1.7602352229123741e-22,2.969643363439798e-82,3.0933629998290645e-61,8.568610220444015e-69,4.752121892063898e-50,4.0799261037035856e-72,3.788929256798607e-99,3.4361518383544463e-101
3.28098682299127e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767983713,0.11866996602835475,0.022821567693030877,5.802254390081125e-77,2.1943158785346e-37,5.361730087970649e-25,8.14564115709318e-55,1.4646131674043744e-37,1.8880439677704591e-87,2.895731058576625e-14,2.908402715205693e-73,2.8957310583497713e-14,5.867596119566471e-50,5.12249613198122e-49,4.7764636014103504e-73,5.53829806842883e-74,1.9312790612932753e-26,2.1506105870091093e-55,1.5814382262892864e-12,4.682357514792993e-14,1.8745061865267917e-16,1.6263110014704997e-26,6.022030231506535e-26,1.8745032713468464e-16,1.4480717141116797e-22,2.095040727882676e-25,3.594750489536447e-29,6.25589169941451e-49,1.7808070551009248e-37,1.1518123405368744e-35,3.8647759277783025e-48,5.417791947284821e-26,8.411798319752216e-67,8.695650492996052e-70,3.5205729784755715e-22,1.3258178085590228e-79,1.9783152348267676e-59,1.0921982386395592e-66,7.603427182419634e-49,9.113417624886442e-70,3.3816853357522295e-96,3.074342168548608e-98
