Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),COX(50),CHOX(53),CHO2X(213)
5.8056748758918786e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999705,0.11866996602996248,0.022821567693054247,0.0,1.9290192726534073e-54,1.6795408909839744e-30,3.2275615200188e-71,8.02045858204784e-46,2.3581756746374064e-109,5.1239684768199266e-17,8.837804687991973e-90,5.123968476819354e-17,5.6898187283433536e-61,6.589281472500539e-60,3.3629907347008566e-92,3.899380084425878e-93,5.258049062479989e-43,1.278911078850633e-71,2.7983398516025134e-15,8.285386943112332e-17,3.316918262652382e-19,5.094413412696791e-32,1.8863740755231766e-31,3.3169181825894565e-19,4.001757137801982e-27,9.031579391941249e-32,1.951744456351571e-35,1.078992127873322e-60,9.87729780274469e-46,6.388485479255419e-44,8.667508362554162e-64,5.9225431887519124e-86,5.374383618466873e-88,7.108883150729607e-100
1.1616393778609032e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999416,0.11866996602995962,0.022821567693054205,0.0,3.0889445133604187e-53,6.72261861394675e-30,2.0706221123050268e-69,6.422871743748945e-45,6.051541248322851e-107,1.0252388707312159e-16,5.664937127840613e-88,1.0252388707309867e-16,9.113598311958437e-60,1.0555119542895599e-58,4.315035136171141e-90,5.003273394970308e-91,4.2096363664293516e-42,4.12438424214089e-70,5.599110928096502e-15,1.657797231102302e-16,6.636718376342984e-19,2.039093006239142e-31,7.550412330612633e-31,6.636718055879019e-19,1.6017095625742985e-26,7.230600775939616e-31,1.5644327168084907e-34,3.4610664920599997e-59,7.907844042080844e-45,5.114728272730433e-43,2.776968589802528e-62,7.599182974771103e-84,6.89878679767813e-86,1.826118223110137e-97
2.323783158404334e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999884,0.11866996602995392,0.022821567693054122,0.0,4.944323148515589e-52,2.6899855556889794e-29,1.3290917026364737e-67,5.140900617833334e-44,1.553736847598604e-104,2.0509229168296646e-16,3.6283597654728874e-86,2.050922916828747e-16,1.4589672486830193e-58,1.689801278235019e-57,5.539450360483363e-88,6.422980051483096e-89,3.368988483594674e-41,1.3380082065547112e-68,1.1200653081080526e-14,3.316314304684389e-16,1.3276318844377718e-18,8.159028056265011e-31,3.021148415635501e-30,1.3276317562075525e-18,6.408635053220615e-26,5.786431149989597e-30,1.2549832298102413e-33,1.1108045553581106e-57,6.328678556838648e-44,4.09342578343304e-42,8.891408558981766e-61,9.755493403021168e-82,8.858367163737039e-84,4.6908164671928205e-95
4.6480707194911954e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997684,0.11866996602994251,0.022821567693053955,0.0,7.912526922856814e-51,1.0762193442171274e-28,8.54806315157233e-66,4.1137620376897026e-43,3.997055800270595e-102,4.102291009026569e-16,2.323046654737462e-84,4.1022910090228976e-16,2.3349809931781178e-57,2.7044679373395997e-56,7.125293370594031e-86,8.261761396543164e-87,2.6957026476505006e-40,4.394619875703314e-67,2.2403737387032777e-14,6.633348451848357e-16,2.655552074321315e-18,3.264142498241295e-30,1.2086560889365186e-29,2.6555515612938126e-18,2.563639701803305e-25,4.62962885778909e-29,1.0089161215550601e-32,3.5721855326872336e-56,5.063904341700267e-43,3.2755044826803515e-41,2.8458890684944014e-59,1.2548312149358844e-79,1.139595832650065e-81,1.2069633961560798e-92
9.296645841664919e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995375,0.1186699660299197,0.022821567693053622,0.0,1.2661330960073306e-49,4.305627357008761e-28,5.521802552772916e-64,3.2914262983168866e-42,1.0327404984632962e-99,8.205027193420402e-16,1.4870367729786082e-82,8.205027193405718e-16,3.7364763769168316e-56,4.327777240027182e-55,9.205154959825953e-84,1.067335614519435e-84,2.1567668766619253e-39,1.4780152157623895e-65,4.480990599887407e-14,1.326741674617547e-15,5.311392839316217e-18,1.305763257050821e-29,4.835017812999594e-29,5.311390786854227e-18,1.0253540721510946e-24,3.703422495508187e-28,8.147905553006644e-32,1.1538440390568768e-54,4.051508051351559e-42,2.6208794375778532e-40,9.106718485496158e-58,1.6211144033814365e-77,1.472424284959558e-79,3.1184947859161128e-90
1.8593796086012365e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999076,0.11866996602987405,0.02282156769305296,0.0,2.02591593143572e-48,1.7226405689206128e-27,3.598440829919927e-62,2.6333077159779846e-41,2.6917854695087003e-97,1.6410499562208178e-15,9.517953572178972e-81,1.6410499562149443e-15,5.9787676603535145e-55,6.924945572843327e-54,1.1996789457606188e-81,1.3910249926089625e-82,1.7254953968930603e-38,5.187637569260683e-64,8.962224322230385e-14,2.6535553334826408e-15,1.0623075911188273e-17,5.223265511598345e-29,1.9340858065471541e-28,1.0623067699527066e-17,4.100101727963822e-24,2.9618674752120482e-27,6.639875855859412e-31,3.760195377611094e-53,3.241360181950273e-41,2.0971661923749306e-39,2.913395310404205e-56,2.112747480239105e-75,1.9192817890328245e-77,8.12669184246843e-88
3.7188096574707257e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998153,0.11866996602978278,0.022821567693051634,0.0,3.2415476854340915e-47,6.893256290682582e-27,2.385204373680404e-60,2.1067128455624883e-40,7.135547320869784e-95,3.282144429978416e-15,6.091784131029477e-79,3.282144429954922e-15,9.566352628016868e-54,1.1080311693255096e-52,1.5901932604921638e-79,1.843825436041975e-80,1.3804290570503058e-37,1.9527204416456138e-62,1.7924691766815217e-13,5.3071826512115136e-15,2.1246448230218463e-17,2.089348670330582e-28,7.736500488441665e-28,2.124641537108436e-17,1.6388900676096636e-23,2.367933889398968e-26,5.50582638275337e-30,1.2465383271819744e-51,2.593149485878717e-40,1.6783531890061664e-38,9.316962927916702e-55,2.8004798567339534e-73,2.5447428952847207e-75,2.1533237950727485e-85
7.437669755209705e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679963073,0.11866996602960023,0.02282156769304898,0.0,5.186541446824216e-46,2.759369519795839e-26,1.63146067544997e-58,1.6853969456738853e-39,1.9515783044039617e-92,6.564333377493787e-15,3.898835872054279e-77,6.5643333773998065e-15,1.5306423687639884e-52,1.7728808678572856e-51,2.174849433921972e-77,2.5217328973603934e-78,1.1043563103269083e-36,8.117865583802658e-61,3.584962665558038e-13,1.0614437286663997e-14,4.249321763132879e-17,8.357479359510489e-28,3.094631565512563e-27,4.2493086099074066e-17,6.546174046846973e-23,1.8917884798417837e-25,4.714182982975432e-29,4.265130136981131e-50,2.074543872883883e-39,1.34362534175845e-37,2.977485983415792e-53,3.830114165976935e-71,3.482031462841557e-73,5.884433479912925e-83
1.4875389950687662e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767992615,0.11866996602923512,0.022821567693043672,0.0,8.298516493027214e-45,1.1053780242688987e-25,1.177894623776058e-56,1.3483282238379004e-38,5.63280148530073e-90,1.3128711272525216e-14,2.4952850414176425e-75,1.3128711272149297e-14,2.4490485427624712e-51,2.8366312876425143e-50,3.1392158703981775e-75,3.639913467309598e-76,8.834902240873534e-36,3.7891782977996465e-59,7.169949643149273e-13,2.122894655754791e-14,8.49868559785289e-17,3.3430084763588824e-27,1.2378588341842967e-26,8.498632909478202e-17,2.610951013063739e-22,1.5093260493174174e-24,4.264568770461512e-28,1.540888074196106e-48,1.6596444084061233e-38,1.0763838493982404e-36,9.502548156069839e-52,5.528453516493159e-69,5.029992473956925e-71,1.6960318803892504e-80
2.9750830341643574e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767985231,0.11866996602850491,0.02282156769303306,0.0,1.3277660315950042e-43,4.434416031935349e-25,9.23727659137155e-55,1.0786668452506688e-37,1.7654792524717153e-87,2.6257467062590845e-14,1.5969920453686378e-73,2.6257467061087156e-14,3.9184942512628095e-50,4.53861830368282e-49,4.920948356952018e-73,5.705827850817565e-74,7.06794169477027e-35,1.969022481666522e-57,1.433992359768454e-12,4.245796509923154e-14,1.6997453475659492e-16,1.3372065745445332e-26,4.9514472241164465e-26,1.699724212469356e-16,1.0384057754935105e-21,1.2009334927074258e-23,4.19458939598745e-27,6.048704675620522e-47,1.3277186049639e-37,8.634548258204076e-36,3.024636287781366e-50,8.666249807921935e-67,7.893775236054863e-69,5.305101124031842e-78
