Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),O(29),CH3X(55),C2H4(47),OH(D)X(68),COX(50),CO2X(24),CHOX(53),CH4OX(63),acetyl(44),CHO2X(213),C2H4X(222),C2H6X(52),C2H4X(70),CH2(T)(34),CH2O2(186),CH2OX(54),CH2OH(40),S(223),HOCO(73),CHO2(74)
6.948479553372478e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999644,0.11866996602996192,0.022821567693054236,2.3506207751898815e-96,2.0865339864773688e-45,2.4058350305838123e-30,4.2052944566504405e-68,1.3750252332192328e-45,4.191074455895397e-53,6.132585992817955e-17,2.622001306281886e-89,6.13258599281715e-17,1.178454107584982e-60,2.0666910899391055e-59,1.427279525826358e-70,6.1288476589671455e-90,8.665708057566326e-32,3.17415348535098e-71,3.3491726040307214e-15,9.91630482186639e-17,3.9698293954997325e-19,7.297402992849106e-32,2.7021045145538516e-31,3.969829280814726e-19,5.732222271519443e-27,1.5483646386152208e-31,3.3468439643798253e-35,2.650350622196426e-60,1.693360269358231e-45,1.095242230375732e-43,7.455467472767653e-25,2.4309810017296142e-31,2.1285212331857074e-63,2.7689559586225422e-46,9.308752711197364e-83,1.738946401906562e-86,7.2148082409669e-69,2.131820866160021e-73,3.0897467473364856e-98,2.9936208974877677e-99,2.309344310726949e-77,1.5128509573340817e-59,3.443603809110091e-85,1.1729972431611656e-34,7.96280292851751e-48,4.466022558281543e-67,2.370606889841097e-71,1.5819893490575946e-172,5.205038636055397e-111,3.209917255989919e-107
1.3902996013394278e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799993,0.11866996602995851,0.022821567693054188,6.036111631890484e-94,1.670495894355649e-44,9.629743699436405e-30,1.3498695984272914e-66,1.1011353811048742e-44,6.711145489706966e-52,1.2270500036020596e-16,1.6806756847005241e-87,1.2270500036017371e-16,1.8875759725459321e-59,3.310553913044388e-58,4.571114677800984e-69,3.9346164775492935e-88,3.468541571758265e-31,1.0248864764517323e-69,6.7012550018076295e-15,1.9841225025854053e-16,7.943107932255328e-19,2.9208629530315737e-31,1.081545993861265e-30,7.943107473210229e-19,2.2943207417871982e-26,1.2396015179701587e-30,2.6833069330447145e-34,8.503434180422292e-59,1.3557178469139625e-44,8.768711090672442e-43,1.49174140628679e-24,9.73025931579774e-31,6.819505573972799e-62,2.2168484085904116e-45,5.976061699525697e-81,2.2326939765052043e-84,2.3106696393827715e-67,6.830030146696248e-72,3.968875256107543e-96,7.691674908524042e-97,1.4797975515809834e-75,2.42319071828571e-58,2.223680129742974e-83,4.69504589168398e-34,6.375050488564761e-47,1.4303225750919673e-65,7.592290292362926e-70,2.549363688677391e-168,2.6747250067686826e-108,4.113958884780712e-105
2.781202893343788e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999861,0.11866996602995168,0.022821567693054087,1.550830772729722e-91,1.3369044183854549e-43,3.8532588707829863e-29,4.340963998435971e-65,8.813546006957485e-44,1.0742093883881032e-50,2.4546328122425745e-16,1.0764635392760437e-85,2.454632812241286e-16,3.0217620125743632e-58,5.299966747927516e-57,1.4633572409885453e-67,2.530546417709284e-86,1.3878684271938256e-30,3.3328084807728086e-68,1.3405419797355786e-14,3.969106543382864e-16,1.5889665350497198e-18,1.1687256394599296e-30,4.327592748581027e-30,1.588966351366932e-18,9.179775117798476e-26,9.920072751923276e-30,2.1535376947752985e-33,2.7303604792829574e-57,1.084986301282103e-43,7.017815848274319e-42,2.9841312449265047e-24,3.893371142925658e-30,2.1834783760785244e-60,1.7741524690440104e-44,3.843500776815774e-79,2.8681856628440474e-82,7.397178031259001e-66,2.186923078906648e-70,5.106350315742429e-94,1.976664371841635e-94,9.47616898147225e-74,3.879209697862556e-57,1.4460687853569402e-81,1.8786299147219326e-33,5.101924152331867e-46,4.5789113700795516e-64,2.4305308837286943e-68,4.0213777122418445e-164,1.37474080676421e-105,5.269200371971976e-103
5.563009477352509e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999723,0.11866996602993803,0.02282156769305389,3.993730619288543e-89,1.0697266653875155e-42,1.5416401054831668e-28,1.4020279192220256e-63,7.052622424750788e-43,1.719049703934345e-49,4.909798429523556e-16,6.892027373908452e-84,4.9097984295184e-16,4.836131959421736e-57,8.482411781671614e-56,4.683633805490001e-66,1.6345020923772292e-84,5.55237743465047e-30,1.0996540552964675e-66,2.6813749388429466e-14,7.939074624977488e-16,3.1782781566163964e-18,4.675663572102577e-30,1.731318890740327e-29,3.178277421725995e-18,3.672110721213869e-25,7.936754501937244e-29,1.7328803761373396e-32,8.788385038637273e-56,8.681538778509015e-43,5.615610119534311e-41,5.9689130046845924e-24,1.5576019715830378e-29,6.988582757711636e-59,1.4195915257193179e-43,2.482550798740084e-77,3.693138151292356e-80,2.367546842485139e-64,7.000255890259884e-69,6.597417532068526e-92,5.090501484626453e-92,6.066043393527444e-72,6.208419635109763e-56,9.540420582013699e-80,7.515742949227155e-33,4.082228474410476e-45,1.4655303219600174e-62,7.779179089756185e-67,6.119158097591317e-160,7.080706501178887e-103,6.746610211140312e-101
1.1126622645369952e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679994465,0.11866996602991071,0.022821567693053494,1.033837252705869e-86,8.558626030499036e-42,6.167747336373406e-28,4.569108420471994e-62,5.642812274533983e-42,2.750647176442439e-48,9.820129664085327e-16,4.4117491417038784e-82,9.820129664064696e-16,7.738861474908129e-56,1.3573830482827145e-54,1.4988602239312105e-64,1.0651963019770587e-82,2.2211317320446016e-29,3.729632248312048e-65,5.36304085704863e-14,1.5879010788165558e-15,6.356901951631132e-18,1.8704176340299322e-29,6.925839158058439e-29,6.3568990115132e-18,1.468646242974098e-24,6.348709294703426e-28,1.4019896312287694e-31,2.843776045560068e-54,6.945890314183548e-42,4.493380474615099e-40,1.19384848541154e-23,6.2309149111163e-29,2.2362414460028855e-57,1.1357810459192424e-42,1.6178651080639106e-75,4.780218529047759e-78,7.576640117643642e-63,2.240418147622819e-67,8.60007616090176e-90,1.3175401070805945e-89,3.8821012308836515e-70,9.934818902444714e-55,6.468848486653309e-78,3.006541855184835e-32,3.265955252751505e-44,4.690001818638867e-61,2.4894993365926845e-65,8.78181539996146e-156,3.665266865649987e-100,8.636706325836524e-99
2.2253848981404835e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998894,0.11866996602985609,0.0228215676930527,2.704354766967316e-84,6.847226081326879e-41,2.467747042330138e-27,1.5164621190099446e-60,4.5145355707247706e-41,4.400900435821324e-47,1.9640792133208085e-15,2.823791999543117e-80,1.9640792133125554e-15,1.2383018687062172e-54,2.171970403502525e-53,4.796219878831445e-63,7.068679871393246e-81,8.884888458516348e-29,1.328052168756065e-63,1.0726372693423782e-13,3.1758883114536986e-15,1.2714151750850247e-17,7.481974889310144e-29,2.7704483641313893e-28,1.2714139987364668e-17,5.872284723292175e-24,5.07713416283423e-27,1.1465172926897638e-30,9.299462175050271e-53,5.556975779794297e-41,3.595619929792263e-39,2.387766187263555e-23,2.4924673408929175e-28,7.153646642637191e-56,9.086679589862958e-42,1.0736209169539306e-73,6.252399908371307e-76,2.424456306499724e-61,7.169875357065191e-66,1.1415994521857475e-87,3.4450260815529236e-87,2.48374816236433e-68,1.5896788308165765e-53,4.603613960481872e-76,1.2026656789167874e-31,2.61266806820875e-43,1.500759016439227e-59,7.966178182803803e-64,1.159145895342036e-151,1.916706943295707e-97,1.1054996318485291e-96
4.45083016534746e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679977895,0.11866996602974685,0.02282156769305111,7.217339594663966e-82,5.4779112218752845e-40,9.875565523037725e-27,5.221794235328784e-59,3.611742760127173e-40,7.040471529823149e-46,3.928211707145047e-15,1.8073140989258275e-78,3.928211707112036e-15,1.9813502170356025e-53,3.475277976589466e-52,1.534584389157795e-61,4.8653952566040085e-79,3.554027691638827e-28,5.109628124260805e-62,2.145303636602923e-13,6.3518627767260996e-15,2.5428660199339812e-17,2.992850773024897e-28,1.1082018685353841e-27,2.542861312418196e-17,2.346932655891174e-23,4.05848852010263e-26,9.5698513385743e-30,3.102951463346511e-51,4.445685714525444e-40,2.87775468839786e-38,4.775614918830999e-23,9.970071863103708e-28,2.2874155372581608e-54,7.269516002454544e-41,7.389767284030061e-72,8.343788560115845e-74,7.757210159055041e-60,2.294445582504398e-64,1.5719875056688383e-85,9.186296115903238e-85,1.588393701228008e-66,2.5435723770275e-52,3.538699150245021e-74,4.810760591108517e-31,2.0898318698355808e-42,4.8017843567021854e-58,2.5488354162564454e-62,1.3896194971373072e-147,1.022156619596796e-94,1.4148722126118836e-94
8.901720699761414e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799558,0.11866996602952835,0.022821567693047936,1.9977784944348355e-79,4.3823815218279256e-39,3.9537591920900664e-26,1.934784555967109e-57,2.8894399296103042e-39,1.1261225028322996e-44,7.856476694792277e-15,1.1567089325457784e-76,7.856476694660228e-15,3.1702141252017333e-52,5.5605428048147e-51,4.909158945610477e-60,3.601734624998166e-77,1.4216255391326883e-27,2.1840210233732755e-60,4.2906363710660703e-13,1.2703811707263363e-14,5.085771260255811e-17,1.1971524292423414e-27,4.432852378707365e-27,5.085752413832273e-17,9.371632953869904e-23,3.2415373270864464e-25,8.290466757664855e-29,1.074059983073091e-49,3.5565900908513e-39,2.3041313914077664e-37,9.551365693419542e-23,3.9880690399315815e-27,7.308124269357785e-53,5.815681474235529e-40,5.470465914569678e-70,1.1549469787763276e-71,2.4815377408531172e-58,7.342359409304218e-63,2.3286330808466568e-83,2.538942347563838e-82,1.0149733432668003e-64,4.069784801080462e-51,3.021135064156116e-72,1.9243238117165283e-30,1.6713220914138592e-41,1.5360981642198325e-56,8.153766561039565e-61,1.5386382044303755e-143,5.649773888767907e-92,1.8104992574036806e-92
1.780350176858932e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679911614,0.11866996602909138,0.022821567693041583,5.879268171175875e-77,3.5059268767679923e-38,1.5842925183417773e-25,8.23138948186384e-56,2.3115702314583163e-38,1.8006333320458956e-43,1.5713006670081742e-14,7.403026457297399e-75,1.571300666955354e-14,5.0723856080264194e-51,8.896939803708589e-50,1.5699337395613714e-58,3.059278161884229e-75,5.68653108722961e-27,1.0485262014809649e-58,8.581301839760598e-13,2.540770956830774e-14,1.0171596027718687e-16,4.788633608865671e-27,1.7731498191553007e-26,1.0171520512902166e-16,3.735780001856706e-22,2.584817411541434e-24,7.642819682862803e-28,3.9536168431544303e-48,2.8452878523195223e-38,1.846342408640369e-36,1.9103080488411234e-22,1.5952355104848678e-26,2.331139207611303e-51,4.652572231081082e-39,4.646559702751052e-68,1.699814575627799e-69,7.935844195931402e-57,2.3495743260437338e-61,3.959340564469229e-81,7.453675899194771e-80,6.475270961981934e-63,6.5117108754695e-50,2.8970519769614067e-70,7.697334397671454e-30,1.3361652886973063e-40,4.912394082449416e-55,2.6075510792114446e-59,1.6488620617851845e-139,3.316901146728e-89,2.3159955132853694e-90
3.560706390624513e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767982324,0.11866996602821743,0.02282156769302888,1.893092983791416e-74,2.804751191408569e-37,6.359219662085044e-25,4.3850923874559334e-54,1.8492634987459764e-37,2.877272487084897e-42,3.1426066620640697e-14,4.7379654774484676e-73,3.142606661852788e-14,8.115851331044308e-50,1.423513795962467e-48,5.017369099015828e-57,3.251744747033703e-73,2.2746182255371405e-26,5.571775948068163e-57,1.7162632776222585e-12,5.0815505290275866e-14,2.0343303376412352e-16,1.9154579433348463e-26,7.092616105758707e-26,2.0343000296321997e-16,1.4841006658128716e-21,2.0545003727472607e-23,7.715762096137687e-27,1.5927062874250363e-46,2.276235268689749e-37,1.4818756351521274e-35,3.820736306165299e-22,6.380956515305484e-26,7.4122294444477125e-50,3.72206793773841e-38,4.938885051994033e-66,2.7374589495295006e-67,2.5362023343950607e-55,7.518655612248909e-60,8.426983988389024e-79,2.3920419353286034e-77,4.118038965458154e-61,1.0418781539877197e-48,3.0757691244401613e-68,3.078941589314964e-29,1.0674977009231126e-39,1.5699576136962871e-53,8.33351445983688e-58,1.8125188455504033e-135,2.128616472587863e-86,2.9607421963667674e-88
