Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CH3X(55),C2H4(47),O(29),COX(50),OH(D)X(68),CH4OX(63),CHOX(53),C2H6X(52),acetyl(44),C2H4X(215),C2H4X(70)
6.331085628352644e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999677,0.11866996602996221,0.02282156769305424,0.0,1.578303606223009e-45,1.9972687008547914e-30,4.351925059545876e-72,1.0664872688438763e-45,3.780908971846353e-110,5.587685131738367e-17,1.523973106934976e-89,5.587685131737436e-17,8.250502147095156e-61,6.204766454403513e-59,4.944618625217297e-93,5.733274014998712e-94,7.194170662782413e-32,4.303410228788613e-71,3.0515882470950665e-15,9.035210431555686e-17,3.617097712235926e-19,6.058221350849173e-32,2.2432556572661384e-31,3.6170977046619e-19,1.2808980847397755e-45,3.758895853819124e-28,7.307146036685123e-34,1.2665090408304248e-38,8.324344094885905e-64,8.284563630462832e-44,2.0181723282176273e-31,2.1425480986086726e-61,6.793025952911524e-25,8.707938756886833e-87,2.0945037101856108e-46,5.831616882573868e-73,6.216379661194877e-90,1.0691276348864717e-59,2.6440605223702606e-102,2.1180178062674817e-75,4.2363311262872096e-85
1.2667671765504899e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999936,0.1186699660299591,0.022821567693054195,0.0,1.2636025633176509e-44,7.994279885743373e-30,2.833359834488074e-70,8.54054774268162e-45,9.845629363703907e-108,1.1180224898691598e-16,9.768502631256039e-88,1.1180224898687866e-16,1.3215141997863355e-59,9.939179635442186e-58,6.438149155198311e-91,7.46501925557754e-92,2.8795431201091653e-31,2.1139112113664472e-69,6.10582774375164e-15,1.8078270741852746e-16,7.237338001761393e-19,2.424867354935755e-31,8.978868716582417e-31,7.237337971445521e-19,1.0254973051284418e-44,1.5045350112739218e-27,5.850147603625991e-33,1.0305923154858978e-37,2.7100989053144696e-62,6.632688312332892e-43,8.077948813844139e-31,6.864604277672998e-60,1.3591955192954326e-24,1.13381865728994e-84,1.676876514636175e-45,1.868361455365286e-71,8.09842158451474e-88,1.712462254692411e-58,6.8885851473878e-100,1.3572291172903995e-73,4.156640733015769e-83
2.534084403980941e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998733,0.11866996602995289,0.022821567693054105,0.0,1.0112660887556384e-43,3.1987532973842114e-29,1.871653812779319e-68,6.835899721301329e-44,2.6010880731287068e-105,2.236530443259955e-16,6.2566699529254546e-86,2.236530443258461e-16,2.1155704585451503e-58,1.591193607273989e-56,8.504848621663403e-89,9.861352567390164e-90,1.1521923259147953e-30,1.1476676456062794e-67,1.2214306737060087e-14,3.6164391362446253e-16,1.4477818603623515e-18,9.702627928109026e-31,3.592717034087213e-30,1.4477818482320298e-18,8.207095080105628e-44,6.020076370927356e-27,4.681876401486062e-32,8.513809938728907e-37,8.953164069886402e-61,5.308166521042236e-42,3.232231720771709e-30,2.1980196034073898e-58,2.7189817995164208e-24,1.4977838810777579e-82,1.342010846416996e-44,5.982349637946686e-70,1.0702818097457563e-85,2.741426886020389e-57,1.8204735974198652e-97,8.691676440135044e-72,4.508946811110177e-81
5.068718858841843e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997473,0.11866996602994044,0.022821567693053924,0.0,8.091665232602251e-43,1.279709641192618e-28,1.2714292140425573e-66,5.4701047252978234e-43,7.065541311765774e-103,4.473546350042137e-16,4.005814511457791e-84,4.473546350036164e-16,3.385831185719489e-57,2.546649890748133e-55,1.1552400434333492e-86,1.3394981928358317e-87,4.6095195663275826e-30,6.687728451769155e-66,2.4431264723658193e-14,7.233663260363082e-16,2.895877989859372e-18,3.881682946322776e-30,1.4373207538328264e-29,2.8958779413299983e-18,6.5669229182240205e-43,2.4084038119368677e-26,3.7461809991525535e-31,7.237919895868319e-36,3.0422663496196475e-59,4.24733981180789e-41,1.293103153537647e-29,7.035773857083438e-57,5.4385560888081084e-24,2.0344864289143037e-80,1.0738125718256385e-43,1.9149269464914027e-68,1.4545700647978904e-83,4.3874731788489e-56,4.946669958417185e-95,5.564370565470892e-70,5.251583365247643e-79
1.0137987768563648e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999496,0.11866996602991556,0.022821567693053563,0.0,6.473946927729784e-42,5.11925543054021e-28,9.075446828920988e-65,4.376637825906488e-42,2.0162710286418935e-100,8.947578163608878e-16,2.5642160349963197e-82,8.947578163584987e-16,5.418064761140423e-56,4.075231966898271e-54,1.648628879297522e-84,1.9115814184752727e-85,1.8439578898007313e-29,4.069659862237628e-64,4.886518069677924e-14,1.446811150859902e-15,5.792070285352783e-18,1.5527995292764064e-29,5.749750908130489e-29,5.792070091217993e-18,5.2540370208389285e-42,9.634249374082973e-26,2.9971790195117617e-30,6.471859207876592e-35,1.0865669513620752e-57,3.3981946405848573e-40,5.172833544216437e-29,2.25175754516169e-55,1.0877711582790326e-23,2.90339057929944e-78,8.591316196375559e-43,6.128686385105384e-67,2.077406724156014e-81,7.020909348640228e-55,1.4121960532620547e-92,3.561696678747809e-68,6.389092930186982e-77
2.0276525588007256e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679989924,0.11866996602986579,0.02282156769305284,0.0,5.179403559120268e-41,2.047785701628161e-27,7.008168902615572e-63,3.501531890482077e-41,6.222989080864586e-98,1.7895641790751867e-15,1.6412565980903246e-80,1.789564179065629e-15,8.669491543471096e-55,6.520844737353503e-53,2.5448264849017014e-82,2.950720484837572e-83,7.376131696825562e-29,2.53715171126095e-62,9.77330126427207e-14,2.8937008005066983e-15,1.1584455022344957e-17,6.211450721458613e-29,2.2999939284093277e-28,1.1584454245762216e-17,4.203428927939722e-41,3.8537366197494305e-25,2.3977764945679817e-29,6.267289336842919e-34,4.199809254863617e-56,2.7186850257015785e-39,2.0692175824011496e-28,7.205941290058847e-54,2.1756050232350135e-23,4.481678828204614e-76,6.873379152625018e-42,1.9613268140245586e-65,3.2102152866209293e-79,1.1234216815269282e-53,4.3610189947393595e-90,2.2795896305561406e-66,7.964722553964489e-75
4.055360122689447e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767997986,0.11866996602976626,0.02282156769305139,0.0,4.14362142812981e-40,8.191311094509543e-27,6.020583317636161e-61,2.80131416373251e-40,2.136311707630075e-95,3.579176904507585e-15,1.0504548912705565e-78,3.579176904469353e-15,1.3871656803097166e-53,1.043372994963835e-51,4.36954530828031e-80,5.066477751439588e-81,2.9505127076408574e-28,1.6021192331180093e-60,1.9546867653340105e-13,5.787480099798726e-15,2.3169225080413652e-17,2.484630725441445e-28,9.200162713404603e-28,2.3169221973923623e-17,3.3628225907624913e-40,1.5414300612070694e-24,1.9181378538462731e-28,6.75711172291504e-33,1.8063809858617158e-54,2.1750000510199637e-38,8.277038467660073e-28,2.3058375633071537e-52,4.3512838177851254e-23,7.695180120190774e-74,5.498833690818675e-41,6.276480858768103e-64,5.5194165203925345e-77,1.797535639034633e-52,1.4981153774661422e-87,1.4588987594435587e-64,1.005781326383975e-72
8.110775250466891e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767995973,0.11866996602956718,0.022821567693048498,0.0,3.314936849654706e-39,3.276559076465207e-26,5.817937374574324e-59,2.2410867868474227e-39,8.24958214850999e-93,7.158402355387582e-15,6.723073425060342e-77,7.158402355234652e-15,2.2195027082581967e-52,1.6694268964246248e-50,8.439454980955879e-78,9.785528544517536e-79,1.1802170891993037e-27,1.0183258652015381e-58,3.9094000430995147e-13,1.1575038698376521e-14,4.6338767533391704e-17,9.938623097081883e-28,3.68010237854519e-27,4.6338755106538513e-17,2.690289407235632e-39,6.165015498794047e-24,1.534322330283382e-27,8.194300668294963e-32,8.739310924752536e-53,1.7400213392381313e-37,3.3108488594777056e-27,7.377846372469388e-51,8.702685665437948e-23,1.4862672922931619e-71,4.399118920077075e-40,2.008511209239166e-62,1.0674344189684685e-74,2.876105775239242e-51,5.78892389434904e-85,9.335909561462722e-63,1.2785030356531536e-70
1.6221605506021778e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767991947,0.11866996602916903,0.02282156769304271,0.0,2.6519658015562676e-38,1.3106313426412534e-25,6.23737071235375e-57,1.792883603581208e-38,3.535003768350619e-90,1.431685325720839e-14,4.3028188422649444e-75,1.4316853256596656e-14,3.551234405000897e-51,2.6711065877839244e-49,1.8086467304133937e-75,2.097121649211315e-76,4.7208923712217575e-27,6.493513609029184e-57,7.818826598438112e-13,2.3150155895507085e-14,9.267786179073194e-17,3.975468734546494e-27,1.4720483244054158e-26,9.267781207693843e-17,2.1522433474606255e-38,2.465404978901334e-23,1.2271353964015078e-26,1.1015441347509757e-30,4.689509573687567e-51,1.3920263680491886e-36,1.3243461139060592e-26,2.3603091370258027e-49,1.7405666394953982e-22,3.185196435923975e-69,3.5193156339501457e-39,6.427293845219571e-61,2.2899651470668804e-72,4.601808220693139e-50,2.4818776922226945e-82,5.973472705387568e-61,1.6304657195692093e-68
3.244326601713155e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679838945,0.11866996602837274,0.022821567693031137,0.0,2.1215798721853507e-37,5.2425470639540305e-25,7.207200513523175e-55,1.434312539168698e-37,1.6330299352274242e-87,2.8633755061093256e-14,2.7538206138611303e-73,2.863375505864631e-14,5.681999027809957e-50,4.2737876863038323e-48,4.1783187424072743e-73,4.84475054734304e-74,1.8883617530097045e-26,4.146612267609042e-55,1.5637679708345664e-12,4.630039028966807e-14,1.8535608774314715e-16,1.5901909582193534e-26,5.888207358168628e-26,1.8535588883843404e-16,1.7217982670345877e-37,9.856738293793223e-23,9.811839888318035e-26,1.5942775908339602e-29,2.7111746404686556e-49,1.1136260557113981e-35,5.297396600702681e-26,7.549031848963255e-48,3.481233599082755e-22,7.358409417385129e-67,2.815460243591914e-38,2.0567421801647324e-59,5.293827803485027e-70,7.362924266251662e-49,1.146917859351387e-79,3.8210356700341276e-59,2.082315929305407e-66
