Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),COX(50),O(29),CHOX(53),acetyl(44),C2H4X(215),CO2X(24),C2H4X(70),C2H6X(52),CH4OX(63),HOCO(73),S(216),CHO2(74)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.106167949390087e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,-6.456662232536759e-120,5.852212541467356e-54,3.772711912220001e-36,3.6473794367304203e-88,2.5756051120290192e-54,1.5756640381766244e-131,6.271756745260255e-20,-1.3427417100569894e-105,6.271756745260253e-20,4.1903297649196846e-72,3.5960759961467706e-71,9.222996281943684e-112,1.0694043149197012e-112,1.3589325006584998e-37,2.2172667675261934e-85,3.4251785348053283e-18,1.0141344874121237e-19,4.0599204172195457e-22,1.1443589938867382e-37,4.237365451411085e-37,4.0599204171589076e-22,3.0286557280108335e-33,4.929711367111899e-41,3.5849389041656404e-45,5.748437741765971e-76,4.749458751097418e-54,3.071844151841622e-52,3.812197541577014e-37,1.0649553764912616e-76,1.624256447914648e-105,7.624660450979385e-28,-7.550774192770531e-108,-1.6671670647197323e-123,2.3244402926309066e-93,-2.3464200545617475e-107,4.8395494565601325e-102,5.4299693170155514e-71,7.344257365553919e-88,-9.006218427818363e-145,-1.4825843619813653e-211,-1.4752927131594717e-146
1.9897270258292246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,1.1697275947591544e-117,6.947746729252281e-53,2.2787179970716e-35,4.030484285854798e-86,3.8922544206989203e-53,5.6854929520805096e-129,1.756091888672872e-19,2.5921828234221935e-104,1.756091888672871e-19,1.1817400317796866e-70,1.130663829171674e-69,1.8437361312586335e-109,2.1378078382171634e-110,8.20795230397736e-37,1.1478690474307439e-83,9.590499897454917e-18,2.839576564753946e-19,1.1367777168313092e-21,6.911928322996307e-37,2.5593687326493557e-36,1.136777716794684e-21,1.8293080309532045e-32,5.852553247666547e-40,4.256070313983486e-44,3.4970801256905095e-74,5.638557429221186e-53,3.646893380130537e-51,2.302567315108248e-36,6.478643158529372e-75,3.246992851233726e-103,2.134904926714522e-27,7.64163469077019e-106,3.0783571075832247e-121,2.5685711984942765e-91,2.374655157271049e-105,4.558138927462493e-100,1.5313382175724565e-69,4.22991621204373e-86,3.0118333852960897e-142,2.7586050059445698e-208,4.7961587671043596e-144
4.547947487609656e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,4.937993813471897e-115,6.821338938403271e-52,1.0971046272096546e-34,3.6465349093918026e-84,4.187109690359417e-52,2.0586127330110987e-126,4.0139243169665647e-19,2.7370713102990332e-102,4.0139243169665603e-19,2.5705426918866166e-69,2.5224488050277782e-68,3.3379472335695695e-107,3.8703422027115524e-108,3.951775711914943e-36,5.0133480145948023e-82,2.1921142622754077e-17,6.490460719437593e-19,2.5983490670893627e-21,3.327795954103241e-36,1.2322258732659328e-35,2.5983490669130276e-21,8.80733042557542e-32,5.7460712986626583e-39,4.178700412262379e-43,1.5787734560562184e-72,5.535969120025973e-52,3.5805415528854995e-50,1.1085870450841922e-35,2.92476911451935e-73,5.878439230759384e-101,4.879782691708862e-27,1.6003002204461495e-103,1.2831662000750787e-118,2.3238500083885028e-89,4.972968907524344e-103,3.984865810808712e-98,3.3309951073247103e-68,1.896871970012896e-84,2.5913763802907626e-139,2.4342645164463432e-203,4.06663976594302e-141
9.664388411170519e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,1.5883539767417964e-112,6.033397041895907e-51,4.791344160925535e-34,2.759837362032462e-82,3.8486751807720714e-51,6.242252112842336e-124,8.529589173553949e-19,2.163426757825844e-100,8.529589173553932e-19,4.765352930704467e-68,4.7242674468499606e-67,5.058044035677786e-105,5.8647905208167365e-106,1.7258442758363191e-35,1.86731186455777e-80,4.658242807335231e-17,1.3792229028804885e-18,5.5214917677628475e-21,1.4533359221127825e-35,5.3814541232465e-35,5.521491766992747e-21,3.846392328711031e-31,5.082334662267474e-38,3.696129426316517e-42,5.961332701558685e-71,4.8965019934997144e-51,3.1669484667303352e-49,4.841490877736636e-35,1.104337096757573e-71,8.907691586915977e-99,1.0369538228742246e-26,2.5718518230075456e-101,4.130314685944189e-116,1.7587246103297504e-87,7.992087352842191e-101,2.9743636826973392e-96,6.175103547961177e-67,7.13650643600207e-83,1.6804515633534734e-136,7.094246324062476e-199,2.6171301750181207e-138
1.9897270258292245e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,4.5438252620997476e-110,5.071433753297509e-50,2.0002918850245606e-33,1.9174439563812443e-80,3.2926226456729896e-50,1.7363184485483046e-121,1.756091888672872e-18,1.533360269531575e-98,1.756091888672865e-18,8.190424134882405e-67,8.159997171599898e-66,7.032522805800781e-103,8.154194150511506e-104,7.205060118491583e-35,6.439845097364981e-79,9.590499897454848e-17,2.8395765647539465e-18,1.1367777169739326e-20,6.0673913844771e-35,2.2466511622971353e-34,1.1367777166524307e-20,1.605792865714939e-30,4.272007963445754e-37,3.107015028668818e-41,2.068391358192155e-69,4.115804961396378e-50,2.6620110286703344e-48,2.021227136484576e-34,3.831457915833108e-70,1.2384934529892948e-96,2.134904933098781e-26,3.677238102607248e-99,1.1820620574971106e-113,1.221828598574973e-85,1.1427100068339017e-98,2.0538106973395163e-94,1.0613425253092305e-65,2.471145600870458e-81,9.652141895580166e-134,1.531843574765195e-194,1.4976623812987834e-135
4.03630339525357e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,1.2288213329363218e-107,4.157867794305991e-49,8.171845157279642e-33,1.2781253537487759e-78,2.7224040765190357e-49,4.6317076630235536e-119,3.562357831307827e-18,1.031881167426919e-96,3.562357831307797e-18,1.3575027346255553e-65,1.3557957342062666e-64,9.37833918700241e-101,1.0874162893092992e-101,2.943502153726518e-34,2.1415792216669673e-77,1.9455014077693961e-16,5.760283888500861e-18,2.306034797621032e-20,2.4787273541782984e-34,9.178303062027143e-34,2.3060347963075917e-20,6.560186055627866e-30,3.502449324056815e-36,2.5476393024835174e-40,6.889460215802526e-68,3.374385572965619e-49,2.1824775050889658e-47,8.257372362453227e-34,1.2760351300107245e-68,1.6516137954252702e-94,4.3308071648194144e-26,4.971309452104586e-97,3.1974202782231954e-111,8.143433801518169e-84,1.5448455887373752e-96,1.3667505980242016e-92,1.75909740051982e-64,8.221657065245519e-80,5.230683261363132e-131,2.871888069165447e-190,8.101308197408424e-133
8.12945613410226e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,3.2332616339378446e-105,3.367149140205554e-48,3.3031905724439416e-32,8.348699654173778e-77,2.213813782480758e-48,1.2104534634861637e-116,7.174889716577737e-18,6.770549769017167e-95,7.174889716577618e-18,2.2103412937154512e-64,2.2102892313992987e-63,1.2253750752375998e-98,1.420819604345633e-99,1.189810633086696e-33,7.006890590917244e-76,3.9184042438171695e-16,1.160169853599468e-17,4.644548959922447e-20,1.0019412276062098e-33,3.710016845966369e-33,4.6445489546133086e-20,2.6517306706545244e-29,2.836372798708251e-35,2.0636637353658185e-39,2.2493917000821083e-66,2.7326649224663636e-48,1.767426919763399e-46,3.337761932717883e-33,4.1651890653278534e-67,2.1580008340163646e-92,8.72261167334676e-26,6.53955312026676e-95,8.413908802749718e-109,5.317971471937925e-82,2.0321808368921804e-94,8.945841230811351e-91,2.864234100503821e-63,2.68231996069022e-78,2.7552243371216473e-128,5.025600511788054e-186,4.263437037721968e-130
1.631576161179964e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996453,0.022821567693054275,8.394153988247828e-103,2.710174563994657e-47,1.328198484300298e-31,5.399816566263126e-75,1.7855210164799505e-47,3.1319763967850917e-114,1.439995348711757e-17,4.3872154901551795e-93,1.4399953487117092e-17,3.5674997594655303e-63,3.5696230109744393e-62,1.5852314818981416e-96,1.8380722868965376e-97,4.7841762258694686e-33,2.2811243242725557e-74,7.864209915912519e-16,2.3284527830982297e-17,9.321577288554149e-20,4.028761606065398e-33,1.4917814563993403e-32,9.321577267206328e-20,1.0662480968641138e-28,2.28295721919938e-34,1.6618521905182348e-38,7.273246449088627e-65,2.199486463862542e-47,1.4225790307441077e-45,1.3420993929659139e-32,1.3461157577741663e-65,2.7917418338334126e-90,1.7506220870745773e-25,8.488516942850752e-93,2.1845211395665303e-106,3.4378928893603485e-80,2.637825733795981e-92,5.825184660487079e-89,4.622885385926883e-62,8.666579831406218e-77,1.431298948611433e-125,8.494058462055364e-182,2.213795323459586e-127
3.26883725671944e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999827,0.11866996602996373,0.022821567693054264,2.165610312607191e-100,2.1747444077404408e-46,5.326670639715086e-31,3.4766879554718985e-73,1.4342275812306842e-46,8.066562556197381e-112,2.8850081028197256e-17,2.8252439622437755e-91,2.885008102819535e-17,5.732876341294283e-62,5.738064729773507e-61,2.041385095526383e-94,2.3669813611586976e-95,1.918668644085693e-32,7.452315164903965e-73,1.575582126010244e-15,4.6650186420957425e-17,1.8675633961933105e-19,1.6157135922620507e-32,5.982710854787923e-32,1.8675633876318704e-19,4.276122591098543e-28,1.831925592355737e-33,1.3348735264685206e-37,2.3412832136897902e-63,1.7649493648779142e-46,1.1415302145613315e-44,5.382418833057267e-32,4.328897700955441e-64,3.5950712776005587e-88,3.5073439986921074e-25,1.0949507891594164e-90,5.635981369605127e-104,2.2113205470979563e-78,3.402584223864393e-90,3.805916002174337e-87,7.428852710450807e-61,2.7866855675626366e-75,7.386972697027631e-123,1.4087849837031296e-177,1.1422913025430865e-124
