Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36),HOX(23),H2OX(35),OCX(21),CXHO(27)
2.0699604642157944e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806001,0.0,0.17647058999999932,1.5950511031734991e-87,3.941804341213812e-63,4.5428049515968294e-45,3.1616271304655447e-56,0.0,1.3058424249812863e-35,0.0,0.0,1.252292338997232e-35,0.0,0.11764705999999457,3.908076915911016e-54,0.0,6.566082064415549e-50,0.0,5.421285926596625e-15,1.4170944260612636e-15,5.3143075117135264e-18,4.8018065299465906e-18,4.616273949236345e-23,5.125008009645908e-19,1.9876631534457537e-25,4.618070346334594e-23,3.552456996139574e-49,1.3981132808983336e-36,4.452743578270773e-58,9.765031376710232e-40,1.2309623361235766e-76,1.263961178715046e-58,1.0723797552276726e-51
4.1408197388806624e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618059327,0.0,0.1764705899999986,1.0165196846046961e-85,1.2620850821198195e-61,3.6360851350171624e-44,2.5384087096763272e-55,0.0,5.242555863032459e-35,0.0,0.0,5.010800542297543e-35,0.0,0.11764705999998915,3.1374206449363705e-53,0.0,1.0511433965048639e-48,0.0,1.0844925862637142e-14,2.8348041775351227e-15,1.0630922582050663e-17,9.605697721937731e-18,9.270585358517727e-23,1.025224136668074e-18,3.990506131740559e-25,9.23814593381163e-23,2.8519269674052564e-48,5.5942742504768456e-36,7.128256843255631e-57,7.81598291815729e-39,7.882650254247974e-75,2.0132586879217634e-57,8.609107391010831e-51
8.282538288210397e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618057955,0.0,0.17647058999999718,6.44572643600023e-84,4.0398049169595533e-60,2.909604757389188e-43,2.04452735626284e-54,0.0,2.111354175609331e-34,0.0,0.0,2.0046465006544527e-34,0.0,0.11764705999997829,2.5260503643734785e-52,0.0,1.6822857772097797e-47,0.0,2.169220573188129e-14,5.6702236804806405e-15,2.126415272272294e-17,1.9213479024693706e-17,1.8687330625632326e-22,2.0506708037788903e-18,8.039151659266999e-25,1.8478297108771832e-22,2.2961883091192115e-47,2.2380739774540768e-35,1.1408305520636665e-55,6.254369847282685e-38,5.0463338322026846e-73,3.1909030745386274e-56,6.931498334722326e-50
1.656597538686987e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618055213,0.0,0.17647058999999435,4.0499941437133463e-82,1.2929188255144722e-58,2.3279785016368376e-42,1.6584155580329871e-53,0.0,8.558036789694505e-34,0.0,0.0,8.019238616557333e-34,0.0,0.11764705999995657,2.046054033511956e-51,0.0,2.692022369249886e-46,0.0,4.3386765459022043e-14,1.1341062686355243e-14,4.2530613004059474e-17,3.842903730530144e-17,3.7953310856724423e-22,4.1015641208159216e-18,1.6308280996627333e-24,3.6958599458717344e-22,1.859868708281302e-46,8.953024516233695e-35,1.825576482807498e-54,5.004129359244203e-37,3.230113777956383e-71,5.011279400641038e-55,5.6143786871340036e-49
3.3132849584188814e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618049734,0.0,0.1764705899999887,2.5031631080774476e-80,4.1376302655009316e-57,1.862500686792604e-41,1.3665518095404336e-52,0.0,3.512903812473816e-33,0.0,0.0,3.207825974053653e-33,0.0,0.11764705999991314,1.676957879291656e-50,0.0,4.3075279104589935e-45,0.0,8.677588486791336e-14,2.2682740697977717e-14,8.506353356670051e-17,7.686013656690791e-17,7.821522932761928e-22,8.203350686151585e-18,3.353389278905875e-24,7.391920415872082e-22,1.5243571411860026e-45,3.581355532969728e-34,2.921120461485008e-53,4.003556893785382e-36,2.067420067723024e-69,7.740963632158163e-54,4.601566793761497e-48
6.626659797882669e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561803877,0.0,0.17647058999997733,1.5053286915006938e-78,1.3240880894975501e-55,1.4900477050624148e-40,1.1670435894303276e-51,0.0,1.4768313590938431e-32,0.0,0.0,1.2831564955686468e-32,0.0,0.11764705999982628,1.4056589991615962e-49,0.0,6.892278355231993e-44,0.0,1.735541235041352e-13,4.536609672022766e-14,1.701293746918545e-16,1.537222658917472e-16,1.6565889207435727e-21,1.6406923541869318e-17,7.073452875261215e-24,1.4784041355922363e-21,1.2777424622895395e-44,1.4325713590057121e-33,4.6739512001153536e-52,3.202946878015026e-35,1.3231959627103928e-67,1.1632498549868466e-52,3.8571053612064366e-47
1.3253409476810247e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618016844,0.0,0.17647058999995466,8.707671303409594e-77,4.237156128192213e-54,1.1920570265826523e-39,1.0791989904095922e-50,0.0,6.480520497106472e-32,0.0,0.0,5.132678194604082e-32,0.0,0.11764705999965255,1.2270398242861997e-48,0.0,1.1027832312326913e-42,0.0,3.471106000503358e-13,9.073280875684293e-14,3.402610569416499e-16,3.074462477484292e-16,3.6822547094898914e-21,3.2814068153490486e-17,1.561334494572622e-23,2.9568283236264788e-21,1.1153715618530563e-43,5.730343728213743e-33,7.478448643520355e-51,2.562398043865295e-34,8.468604914805926e-66,1.6810853043329662e-51,3.3669455693693915e-46
2.6506908834665403e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561797299,0.0,0.17647058999990928,4.835095012435551e-75,1.3559018352259462e-52,9.536531663264823e-39,1.1672962215590201e-49,0.0,3.0507303688589766e-31,0.0,0.0,2.0530817203303085e-31,0.0,0.1176470599993051,1.1456397429201968e-47,0.0,1.7644681195459764e-41,0.0,6.942235502377647e-13,1.8146623276729817e-13,6.805244214391906e-16,6.148931042937904e-16,8.840752435051127e-21,6.562835297747621e-17,3.709218800789948e-23,5.913676699826532e-21,1.0413677492258489e-42,2.2921491498154683e-32,1.1965619054603222e-49,2.0499346445023706e-33,5.419955345976399e-64,2.3319117674312415e-50,3.1435283151944374e-45
5.3013907550375714e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561788528,0.0,0.17647058999981854,2.6258460195603743e-73,4.3389048396112566e-51,7.629255510803769e-38,1.6070864949636333e-48,0.0,1.5871012585935488e-30,0.0,0.0,8.212347766155487e-31,0.0,0.11764705999861019,1.1789257501210138e-46,0.0,2.823160929870652e-40,0.0,1.3884494389927333e-12,3.629330802872135e-13,1.3610511504260718e-15,1.2297823887444194e-15,2.3586380582057064e-20,1.3125690502842582e-16,9.764610509901636e-23,1.1827373453031479e-20,1.0716003735322319e-41,9.168619916865701e-32,1.9145070972980276e-48,1.6399541866989298e-32,3.468786791093597e-62,3.1647313248175088e-49,3.2347416558868076e-44
1.0602790498179632e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995617709873,0.0,0.17647058999963708,1.4430587654692832e-71,1.3884525597381497e-49,6.103416480479342e-37,2.8976213011284447e-47,0.0,9.282831083617364e-30,0.0,0.0,3.284943283282032e-30,0.0,0.11764705999722037,1.3630235245680332e-45,0.0,4.51706696042198e-39,0.0,2.7769011700231163e-12,7.258667713239102e-13,2.7221046083670336e-15,2.4595432433404034e-15,7.079191248752078e-20,2.625139387422759e-16,2.8913882540278326e-22,2.3654766964081756e-20,1.2388837945959397e-40,3.66745263084835e-31,3.0632176362293035e-47,1.3119659142323901e-31,2.2200283896843475e-60,4.348978774461704e-48,3.73959335690249e-43
