Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36),HOX(23),H2OX(35),OCX(21),CXHO(27),COX(37),HOOH(147),HOOHX(163),CH4O3(153),SX(168),SX(167),SX(137),OCO(154),SX(194),SX(193),SX(164),CH4O4(184)
1.1905307419305886e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559956180603,0.0,0.17647058999999962,5.793371556455962e-89,2.4833828611232404e-64,8.645409851771216e-46,6.010304373500183e-57,0.0,4.314442937430557e-36,0.0,0.0,4.1434035089538406e-36,0.0,0.11764705999999688,7.429476009685272e-55,0.0,7.189580750041415e-51,0.0,3.1180342176694863e-15,8.150370539002711e-16,3.056505944989003e-18,2.7617427871655892e-18,2.650635128120017e-23,2.947630980021514e-19,1.1414498260137237e-25,2.656067500203084e-23,6.753422867567496e-50,4.625874720775499e-37,4.875565080985048e-59,1.8583825878268786e-40,4.46223779693626e-78,1.3872689604655328e-59,2.038655031337273e-52,9.092874194787398e-71,1.0256252923500838e-39,1.508547808344975e-53,1.0656261953233328e-64,1.0318996113727408e-78,3.1149944559605776e-81,6.111101527715471e-43,2.6194682484963274e-62,2.8822407573473714e-76,8.700617657925341e-79,5.267670750017102e-72,6.945348928959811e-131
2.382095828554427e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618059904,0.0,0.1764705899999992,3.7020086278572477e-87,7.955746810438581e-63,6.923339432808423e-45,4.820712202030897e-56,0.0,1.730231452568364e-35,0.0,0.0,1.6584412056989763e-35,0.0,0.11764705999999375,5.958805031383514e-54,0.0,1.1515823985760206e-49,0.0,6.238777413494899e-15,1.6307822199237418e-15,6.1156674120846386e-18,5.5258848840655266e-18,5.315500408529218e-23,5.897822885781703e-19,2.288630330483114e-25,5.314442617696331e-23,5.41657662140152e-49,1.8515554260545962e-36,7.809377159236078e-58,1.4882132848018766e-39,2.8590900416418003e-76,2.215132319222876e-58,1.6351012871336897e-51,1.458625098084859e-69,4.105174026051497e-39,1.2077555082786384e-52,1.7069860870937437e-63,3.3060495397856476e-77,9.979968859704782e-80,4.89383744500807e-42,8.394845736485925e-61,1.8474398024369943e-74,5.576864918920942e-77,1.688177865699403e-70,3.566825618449352e-128
4.765226001802104e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618059116,0.0,0.1764705899999984,2.357575844635434e-85,2.5472673165170105e-61,5.541477537454746e-44,3.872384955104101e-55,0.0,6.949827425944626e-35,0.0,0.0,6.635925042501669e-35,0.0,0.11764705999998751,4.785992394819024e-53,0.0,1.8435319904734712e-48,0.0,1.2480263804206483e-14,3.2622725519702227e-15,1.2233990346275249e-17,1.1054168719891797e-17,1.0681028269924447e-22,1.1798206683078341e-18,4.597214440661048e-25,1.0631192852684867e-22,4.3504845517343907e-48,7.408633466848093e-36,1.2501785740881975e-56,1.1911738082285514e-38,1.8308607974246036e-74,3.5257386412871755e-57,1.3132800309680902e-50,2.3431506158978554e-68,1.642604334100138e-38,9.66571468102673e-52,2.732766045927367e-62,1.0585715961736871e-75,3.1955091534523537e-78,3.91705329560991e-41,2.6883598625340695e-59,1.1832600683799446e-72,3.57190613572993e-75,5.406209623354535e-69,1.8289863479088322e-125
9.531486348297458e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561805754,0.0,0.17647058999999676,1.4928528134214163e-83,8.153541449511616e-60,4.434304700587393e-43,3.122220853758036e-54,0.0,2.801705292211569e-34,0.0,0.0,2.6548021224879434e-34,0.0,0.11764705999997502,3.856946084109268e-52,0.0,2.950451534638684e-47,0.0,2.4963236581872695e-14,6.5252532160598886e-15,2.4470636214653814e-17,2.21107349596501e-17,2.155527317647805e-22,2.3598974220776657e-18,9.271275065699231e-25,2.1264693322670266e-22,3.5059766373508314e-47,2.963935807980048e-35,2.000828455120632e-55,9.531803775565462e-38,1.172084830060045e-72,5.580263166194934e-56,1.058348279981084e-49,3.777567514488355e-67,6.571486936110217e-38,7.734040303626098e-51,4.3736964995062586e-61,3.3884464744689924e-74,1.0228700416161605e-76,3.1344359766337276e-40,8.605967282656595e-58,7.575740848381666e-71,2.286888229012212e-73,1.730633725342374e-67,9.371511542593828e-123
1.9064007041288165e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618054386,0.0,0.1764705899999935,9.35555175467862e-82,2.6094990849718954e-58,3.5478928835461855e-42,2.538321523498045e-53,0.0,1.1378321323427536e-33,0.0,0.0,1.0620072762464736e-33,0.0,0.11764705999995002,3.1297340689254e-51,0.0,4.721362825459476e-46,0.0,4.992918212217728e-14,1.3051214544214416e-14,4.8943927951400343e-17,4.422386171159127e-17,4.387651957628734e-22,4.720050906859344e-18,1.8846965932310445e-24,4.25316942626741e-22,2.8449362155265733e-46,1.1856708143122856e-34,3.2017597763312736e-54,7.626408460417027e-37,7.502411620099856e-71,8.740795718113798e-55,8.587997038057008e-49,6.138985301614688e-66,2.6288087096220916e-37,6.187819727736761e-50,6.998930472680602e-60,1.0844655639387353e-72,3.2736752524054245e-75,2.5078658529489785e-39,2.754423890665715e-56,4.849394333276703e-69,1.4638862446994469e-71,5.539062116573272e-66,4.800032242879619e-120
3.812904842726958e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561804808,0.0,0.17647058999998697,5.756060020079195e-80,8.35098242661969e-57,2.8384939670290854e-41,2.1022584168035126e-52,0.0,4.687989674754996e-33,0.0,0.0,4.248201965636156e-33,0.0,0.11764705999990005,2.5741243482123313e-50,0.0,7.554692849782513e-45,0.0,9.986107314267513e-14,2.610313720033127e-14,9.7890511424851e-17,8.84500923051837e-17,9.081003753589634e-22,9.440357785390765e-18,3.8908626114116966e-24,8.506569614282105e-22,2.339881764583105e-45,4.742876246367014e-34,5.123163055858773e-53,6.101512965002606e-36,4.801885445241841e-69,1.3440153124073498e-53,7.06338353823616e-48,1.0156890692743269e-64,1.0515662724089206e-36,4.950490786366177e-49,1.1199099269156529e-58,3.4705493979431965e-71,1.0476544446410955e-73,2.0064190336821376e-38,8.814977816193413e-55,3.103906272291964e-67,9.369759163353892e-70,1.7726649444823067e-64,2.458081625631112e-117
7.625913119923241e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561803546,0.0,0.17647058999997392,3.4371986805101974e-78,2.672408034397954e-55,2.270867039886291e-40,1.81618920389097e-51,0.0,1.9844169068907684e-32,0.0,0.0,1.6993153589943445e-32,0.0,0.11764705999980009,2.171700633169483e-49,0.0,1.2087918426241657e-43,0.0,1.997248549432255e-13,5.2206982511052335e-14,1.9578367837158264e-16,1.7690246185130356e-16,1.938411646004726e-21,1.888097117832588e-17,8.267306013162408e-24,1.701336999038186e-21,1.9740717766775786e-44,1.8971890970635273e-33,8.197338799781562e-52,4.881364850697682e-35,3.0733161254297604e-67,2.005395191671712e-52,5.959102633902641e-47,1.7504508118670918e-63,4.2063506682900606e-36,3.9604866295818194e-48,1.7919199547476725e-57,1.1106168724923342e-69,3.3526181890828254e-72,1.605184992868411e-37,2.82092323987202e-53,1.986593306254014e-65,5.996927490923573e-68,5.672789244421147e-63,1.2586563814490224e-114
1.5251929674315807e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618010227,0.0,0.17647058999994783,1.9710994646422593e-76,8.551855549461809e-54,1.816722378841604e-39,1.7212095860425025e-50,0.0,8.811218893398907e-32,0.0,0.0,6.797330582027469e-32,0.0,0.11764705999960016,1.917148310080879e-48,0.0,1.9340997344173274e-42,0.0,3.9945241758254484e-13,1.0441467312049321e-13,3.9157001226436707e-16,3.538068343800435e-16,4.3655970735508084e-21,3.7762196507685305e-17,1.8476638165867694e-23,3.402697074283766e-21,1.7426729328993404e-43,7.588833586019796e-33,1.3115964314425372e-50,3.905153665279694e-34,1.9669573334762276e-65,2.872998187970219e-51,5.260559279374685e-46,3.300348686426146e-62,1.6825573832071682e-35,3.1684268984548304e-47,2.8671207155728194e-56,3.5540366793618474e-68,1.0728567457966426e-70,1.2841666590593662e-36,9.027155958405923e-52,1.271448596263175e-63,3.8381207826077916e-66,1.8153326590145114e-61,6.444619213919018e-112
3.050396278310094e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561795976,0.0,0.17647058999989562,1.0871229087350267e-74,2.736617739544353e-52,1.4533894019159917e-38,1.943390058855933e-49,0.0,4.223283136481799e-31,0.0,0.0,2.718946062046438e-31,0.0,0.11764705999920032,1.8213614698398797e-47,0.0,3.0945857918540774e-41,0.0,7.989075390140579e-13,2.0883005424376426e-13,7.83142680047221e-16,7.076141131895946e-16,1.0686213397277942e-20,7.552464134036187e-17,4.472108296926182e-23,6.805417224914233e-21,1.6555821598163246e-42,3.035548874077866e-32,2.0985720380452992e-49,3.124147633338301e-33,1.2588638867164532e-63,3.958561713283762e-50,4.997617417490412e-45,7.387494894582926e-61,6.730263764853297e-35,2.534756547335547e-46,4.5874242703747756e-55,1.1372998357822096e-66,3.4331660450086553e-69,1.0273388059485148e-35,2.88871770880338e-50,8.137350965369845e-62,2.4564214448798098e-64,5.809117610835404e-60,3.2997162796215592e-109
6.10080290006712e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561785883,0.0,0.1764705899997912,5.901275485459182e-73,8.757215032752715e-51,1.162716121058543e-37,2.827043071163326e-48,0.0,2.2483373878108324e-30,0.0,0.0,1.0875811906429282e-30,0.0,0.11764705999840062,1.9173232772100714e-46,0.0,4.951358196854568e-40,0.0,1.5978177664885824e-12,4.1766081572701946e-13,1.5662880156020691e-15,1.4152228058656678e-15,2.919237930799794e-20,1.5104950770155288e-16,1.2051308737734026e-22,1.361085752748236e-20,1.7427650731662882e-41,1.214222637661864e-31,3.35772935927572e-48,2.499327964355452e-32,8.056764546244415e-62,5.37050873423633e-49,5.26070121924984e-44,2.127167664401889e-59,2.6921123525473835e-34,2.0278112342819756e-45,7.339878436492734e-54,3.6393600692842056e-65,1.0986133215443775e-67,8.218700559733087e-35,9.243912646304544e-49,5.207914237613903e-60,1.572112641094845e-62,1.8589190509515597e-58,1.6894676618212595e-106
