Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20)
1.5029285327518048e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559955684107,0.0,0.17647058994855985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705960638058,0.0,0.0,0.0,0.0,3.9361942930880894e-10,1.0288032226383448e-10
2.049448001839338e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995550357444,0.0,0.17647058992986028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705946324718,0.0,0.0,0.0,0.0,5.367528430333448e-10,1.4027949169251106e-10
2.595967470926871e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995532305334,0.0,0.17647058991116615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705932011427,0.0,0.0,0.0,0.0,6.798857628325705e-10,1.776677184826093e-10
3.142486940014404e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995514254656,0.0,0.17647058989247902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705917698183,0.0,0.0,0.0,0.0,8.230181886987056e-10,2.150420906279011e-10
3.6890064091019365e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559954962057,0.0,0.17647058987380018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705903384991,0.0,0.0,0.0,0.0,9.66150120621422e-10,2.5239970043473954e-10
4.235525878189469e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599547815876,0.0,0.1764705898551312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705889071846,0.0,0.0,0.0,0.0,1.1092815585964966e-09,2.897376454496406e-10
4.782045347277002e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599546011413,0.0,0.17647058983647348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705874758752,0.0,0.0,0.0,0.0,1.2524125026235433e-09,3.27053028616305e-10
5.454105752826127e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995437928056,0.0,0.17647058981354757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705857157866,0.0,0.0,0.0,0.0,1.4284213653292265e-09,3.729049301938579e-10
6.1261661583752524e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995415746444,0.0,0.17647058979064356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705839557055,0.0,0.0,0.0,0.0,1.6044294810999554e-09,4.187129900560313e-10
6.798226563924378e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599539356981,0.0,0.17647058976776409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705821956319,0.0,0.0,0.0,0.0,1.780436849940889e-09,4.644718728314468e-10
