Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44)
1.1068274398168922e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561439847,0.0,0.17647058999621137,0.0,0.0,6.107282612197654e-34,4.005023022096374e-61,0.0,4.3129718372319907e-44,0.0,0.0,3.380832030431977e-28,0.0,0.11764705997098346,5.2857264713549503e-73,0.0,0.0,0.0,2.8988115891076966e-11,7.577331840171116e-12,2.84161049324915e-14,2.5670853588671873e-14,4.861081038847313e-18,2.7403902627818895e-15
1.4757699458188927e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561317773,0.0,0.1764705899949485,0.0,0.0,1.3307406918548308e-33,1.5133267309247575e-60,0.0,1.473773054397975e-43,0.0,0.0,5.7673018387269085e-28,0.0,0.11764705996131128,3.192175459408748e-72,0.0,0.0,0.0,3.865081711834429e-11,1.0103104142839944e-11,3.78881405757635e-14,3.422599469755721e-14,8.292130293219267e-18,3.653853747915141e-15
2.2136549578228936e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561073625,0.0,0.1764705899924227,0.0,0.0,3.862708602445512e-33,1.0932120063353977e-59,0.0,9.060548725172728e-43,0.0,0.0,1.1940466158895182e-27,0.0,0.11764705994196693,8.11592082861964e-71,0.0,0.0,0.0,5.7976214289649255e-11,1.5154637847245858e-11,5.683221185857892e-14,5.1334264382391043e-14,1.716675836887411e-17,5.480780717822078e-15
2.9515399698268947e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560829477,0.0,0.17647058998989698,0.0,0.0,8.447276198306493e-33,4.189115866490056e-59,0.0,3.041411212920181e-42,0.0,0.0,2.030760574806818e-27,0.0,0.1176470599226226,4.446581694812342e-70,0.0,0.0,0.0,7.73016031828024e-11,2.020615106062345e-11,7.577628313555212e-14,6.843938097852669e-14,2.919446986406625e-17,7.307707687165612e-15
3.689424981830896e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995605853296,0.0,0.17647058998737122,0.0,0.0,1.5848200509208965e-32,1.2736341054862373e-58,0.0,8.21864130075791e-42,0.0,0.0,3.1025433122493818e-27,0.0,0.11764705990327828,1.970257406014224e-69,0.0,0.0,0.0,9.662698320651068e-11,2.5257636158832433e-11,9.472035440626569e-14,8.554111983981738e-14,4.459991054846723e-17,9.134634655905493e-15
4.427309993834897e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995603411827,0.0,0.17647058998484555,0.0,0.0,2.682810403802911e-32,3.342181968452446e-58,0.0,1.9164050110141562e-41,0.0,0.0,4.413678271834664e-27,0.0,0.11764705988393398,7.53313862538084e-69,0.0,0.0,0.0,1.1595235419915839e-10,3.0309085529285866e-11,1.1366442567060545e-13,1.0263942009146203e-13,6.3443955119885e-17,1.0961561624030711e-14
5.903080017842899e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599559852891,0.0,0.17647058997979415,0.0,0.0,6.236590197743677e-32,1.7851502473731278e-57,0.0,7.759890892972162e-41,0.0,0.0,7.750519152393488e-27,0.0,0.11764705984524536,8.648098722178797e-68,0.0,0.0,0.0,1.5460306922280893e-10,4.041184872884044e-11,1.5155256818025612e-13,1.368257575945665e-13,1.1139502725434218e-16,1.4615415558446052e-14
7.378850041850901e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599559364601,0.0,0.17647058997474288,0.0,0.0,1.2091171817270761e-31,6.44161704993372e-57,0.0,2.2982647519317446e-40,0.0,0.0,1.2044127290544614e-26,0.0,0.11764705980655679,4.729271667765624e-67,0.0,0.0,0.0,1.932537481464772e-10,5.0514382258504654e-11,1.8944071066442764e-13,1.7099835816607643e-13,1.7308300796198768e-16,1.8269269490404232e-14
8.854620065858903e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599558876315,0.0,0.17647058996969175,0.0,0.0,2.08259581236869e-31,1.8357967076296015e-56,0.0,5.594646134936463e-40,0.0,0.0,1.729383108287882e-26,0.0,0.11764705976786827,1.8741036417467265e-66,0.0,0.0,0.0,2.319043909955375e-10,6.061662829185018e-11,2.2732885312313715e-13,2.051572369970887e-13,2.484927061618238e-16,2.1923123419906885e-14
1.0330390089866905e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599558388033,0.0,0.1764705899646408,0.0,0.0,3.3017459712094474e-31,4.471015707145059e-56,0.0,1.1906632809767875e-39,0.0,0.0,2.3498686039483283e-26,0.0,0.11764705972917978,6.09835219618347e-66,0.0,0.0,0.0,2.705549978056602e-10,7.071852929772585e-11,2.6521699555640916e-13,2.3930241317385663e-13,3.3760503562262265e-16,2.5576977346956354e-14
1.328193013788291e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599557411483,0.0,0.17647058995453954,0.0,0.0,7.007287991417143e-31,2.0578804789496377e-55,0.0,4.200504872719601e-39,0.0,0.0,3.8772964071537045e-26,0.0,0.11764705965180289,4.992171993085023e-65,0.0,0.0,0.0,3.4785610334263336e-10,9.092106653456895e-11,3.409932803466613e-13,3.075516922455603e-13,5.569029074451111e-16,3.288468519369763e-14
1.6233470185898914e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995564349557,0.0,0.17647058994443926,0.0,0.0,1.2786489360839185e-30,6.763601377607671e-55,0.0,1.1381949747680144e-38,0.0,0.0,5.786536760188211e-26,0.0,0.11764705957442614,2.3856185677647965e-64,0.0,0.0,0.0,4.251570648178006e-10,1.1112153436310575e-10,4.1676956503522134e-13,3.7574626220424234e-13,8.309098004083777e-16,4.019239303063143e-14
2.2136550281930923e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599554481988,0.0,0.17647058992424283,0.0,0.0,3.24089291131921e-30,4.6663570538831615e-54,0.0,5.496029694249755e-38,0.0,0.0,1.075055986258664e-25,0.0,0.1176470594196731,3.302600389696987e-63,0.0,0.0,0.0,5.797585555442679e-10,1.5151442462046432e-10,5.683221341072175e-13,5.119714350547863e-13,1.5428903774703503e-15,5.480780867507137e-14
2.803963037796293e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599552529166,0.0,0.17647058990405326,0.0,0.0,6.585540504622015e-30,1.8770738321792182e-53,0.0,1.7724474941072497e-37,0.0,0.0,1.724183583889085e-25,0.0,0.11764705926492064,2.001544093427157e-62,0.0,0.0,0.0,7.343594700257233e-10,1.9189352742365084e-10,7.198747027723874e-13,6.47978296872759e-13,2.473181619529956e-15,6.942322428027366e-14
3.394271047399494e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599550576527,0.0,0.17647058988387246,0.0,0.0,1.1681230465452302e-29,5.69281137817905e-53,0.0,4.53840056957632e-37,0.0,0.0,2.5260394016848464e-25,0.0,0.11764705911016876,8.50335066434561e-62,0.0,0.0,0.0,8.889598082532501e-10,2.322551749745932e-10,8.714272710306897e-13,7.83767193348957e-13,3.6214378357554806e-15,8.403863984623278e-14
3.9845790570026945e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599548624107,0.0,0.17647058986370218,0.0,0.0,1.8896603432520564e-29,1.4452099726145886e-52,0.0,9.996508750549395e-37,0.0,0.0,3.4806271608245815e-25,0.0,0.11764705895541744,2.914313662851075e-61,0.0,0.0,0.0,1.0435595702149596e-09,2.7259570581575416e-10,1.022979838882085e-12,9.193384684711437e-13,4.987315038348736e-15,9.865405537294339e-14
4.5748870666058954e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599546671942,0.0,0.17647058984354433,0.0,0.0,2.860030037816401e-29,3.2361290960050396e-52,0.0,1.9771159260542245e-36,0.0,0.0,4.58794869510754e-25,0.0,0.11764705880066671,8.528016992145984e-61,0.0,0.0,0.0,1.1981587559060863e-09,3.1291146618916314e-10,1.174532406326543e-12,1.0546924683780483e-12,6.570467088555135e-15,1.1326947086040104e-13
5.165195076209096e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559954472007,0.0,0.17647058982340066,0.0,0.0,4.11609621594403e-29,6.560179701308958e-52,0.0,3.597544536063721e-36,0.0,0.0,5.848004652386377e-25,0.0,0.11764705864591654,2.187659326347064e-60,0.0,0.0,0.0,1.3527573653263409e-09,3.5319881026434764e-10,1.3260849733640399e-12,1.1898295404218264e-12,8.370546634199562e-15,1.2788488630860188e-13
5.847945477321725e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599542462945,0.0,0.1764705898001226,0.0,0.0,5.973547950510004e-29,1.3578053129392282e-51,0.0,6.647976751105969e-36,0.0,0.0,7.49587018484407e-25,0.0,0.11764705846693319,5.792290552992849e-60,0.0,0.0,0.0,1.5315654394531754e-09,3.997549548871248e-10,1.5013707122521696e-12,1.345859026056035e-12,1.0722606537612935e-14,1.447890796592743e-13
6.5306958784343534e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599540206316,0.0,0.17647058977686877,0.0,0.0,8.319533256228691e-29,2.6043362882974437e-51,0.0,1.1497940307675077e-35,0.0,0.0,9.348051762656433e-25,0.0,0.1176470582879506,1.3832754938343246e-59,0.0,0.0,0.0,1.71037274269659e-09,4.4626262191605574e-10,1.676656450595856e-12,1.5015993247048835e-12,1.336385293448698e-14,1.616932729574234e-13
7.213446279546982e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995379502386,0.0,0.17647058975364194,0.0,0.0,1.12110886522681e-28,4.6947457356714285e-51,0.0,1.8849711178158603e-35,0.0,0.0,1.1404549238433801e-24,0.0,0.11764705810896878,3.036027965062186e-59,0.0,0.0,0.0,1.8891792750604856e-09,4.927162314502606e-10,1.8519421883950865e-12,1.6570509725281428e-12,1.6293749665042146e-14,1.7859746620304543e-13
