Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40)
9.70510336188039e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995617739577,0.0,0.17647058999966783,0.0,0.0,4.680723214380569e-37,8.014471118239588e-48,0.0,7.361199946775845e-30,0.0,0.0,2.752249777913633e-30,0.0,0.11764705999745571,9.906977012354779e-46,0.0,0.0,0.0,2.541794350013033e-12,6.644111334145116e-13,2.4916371393606777e-15,2.2513092396214596e-15,6.113750942513425e-20,2.402881641485486e-16,2.501132115879218e-22,2.165203192527372e-20,9.005481629084785e-41
1.9410214950885812e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995617418456,0.0,0.17647058999933563,0.0,0.0,3.744582274560112e-36,1.0225848474426504e-46,0.0,4.7447776913526736e-29,0.0,0.0,1.1009006109752045e-29,0.0,0.11764705999491143,1.2640540019041084e-44,0.0,0.0,0.0,5.0835906470413326e-12,1.3288228020013966e-12,4.9832763907635486e-15,4.502541233219917e-15,2.0142942126991668e-19,4.805762174656171e-16,8.14738954192974e-22,4.3304082238657035e-20,1.1490300933958626e-39
3.8820438128896655e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561677622,0.0,0.1764705899986712,0.0,0.0,2.995667300604028e-35,1.428326233623025e-45,0.0,3.338088046905559e-28,0.0,0.0,4.403603842776333e-29,0.0,0.11764705998982285,1.7656054597380095e-43,0.0,0.0,0.0,1.016718261802077e-11,2.6576459428666712e-12,9.96655489312958e-15,9.00476777117928e-15,7.194620850090703e-19,9.611513805221105e-16,2.887525679035047e-21,8.660818306957547e-20,1.6049422504587027e-38
7.764088448491834e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561549174,0.0,0.1764705899973424,0.0,0.0,2.396534432438481e-34,2.118994700057933e-44,0.0,2.4872794958539383e-27,0.0,0.0,1.7614418162901723e-28,0.0,0.11764705997964571,2.6193653112035715e-42,0.0,0.0,0.0,2.0334364067671618e-11,5.315290654389455e-12,1.993311189610278e-14,1.800827115032249e-14,2.7052225972344985e-18,1.9222979323393454e-15,1.0807225266405282e-20,1.7321638630401676e-19,2.3810129768474004e-37
1.1646133084094003e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995614207264,0.0,0.17647058999601356,0.0,0.0,7.1146845486540345e-34,7.662604211934268e-44,0.0,6.977416229207778e-27,0.0,0.0,3.7430640334339577e-28,0.0,0.11764705996946856,9.472019238018814e-42,0.0,0.0,0.0,3.0501543025015024e-11,7.972932749074416e-12,2.9899668897317094e-14,2.7010824932849976e-14,5.640578129644517e-18,2.8834407098756586e-15,2.2501036170822348e-20,2.5982459172220347e-19,8.61010077578264e-37
1.552817771969617e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995612922797,0.0,0.17647058999468473,0.0,0.0,1.5502473604000353e-33,1.9230679124239408e-43,0.0,1.4560056684969746e-26,0.0,0.0,6.385227035187923e-28,0.0,0.11764705995929141,2.3771729372774556e-41,0.0,0.0,0.0,4.066871949005161e-11,1.0630571180296443e-11,3.986622589677252e-14,3.6012429218919624e-14,9.525428527593972e-18,3.844579713145858e-15,3.796894357141655e-20,3.464328002247649e-19,2.1608589332918753e-36
1.941022235529834e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995611638324,0.0,0.1764705899933559,0.0,0.0,2.7056616091304485e-33,3.626691511654084e-43,0.0,2.4608376247575787e-26,0.0,0.0,9.476557770226697e-28,0.0,0.11764705994911429,4.483082782724387e-41,0.0,0.0,0.0,5.083589426031988e-11,1.3288206450529147e-11,4.9832782895031894e-14,4.501338789547033e-14,1.4055887363261034e-17,4.805716149922205e-15,5.600322947541235e-20,4.3304101125695324e-19,4.075138575295193e-36
2.494026194650431e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560980857,0.0,0.17647058999146298,0.0,0.0,5.276986489470173e-33,7.833202582033823e-43,0.0,4.5773376266693764e-26,0.0,0.0,1.4929096307142903e-27,0.0,0.11764705993461677,9.682900716501447e-41,0.0,0.0,0.0,6.531920625811761e-11,1.7074044527889662e-11,6.403031536853303e-14,5.783390143001722e-14,2.201706697199307e-17,6.174865601054394e-15,8.768629842986847e-20,5.564159097183356e-19,8.80179149595772e-36
3.047030153771028e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560797882,0.0,0.17647058998957005,0.0,0.0,9.208072015429203e-33,1.5068487857618093e-42,0.0,7.694385623204791e-26,0.0,0.0,2.1671766655115148e-27,0.0,0.11764705992011926,1.862669355517285e-40,0.0,0.0,0.0,7.980251338808238e-11,2.0859869030953947e-11,7.82278478385987e-14,7.065256098591181e-14,3.1832222119307466e-17,7.544007680576013e-15,1.2674064664853726e-19,6.797908181816894e-19,1.6931730234267806e-35
3.6000341128916247e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995606149065,0.0,0.17647058998767717,0.0,0.0,1.4807649898067075e-32,2.659423546278732e-42,0.0,1.2031196363378755e-25,0.0,0.0,2.9737460739620892e-27,0.0,0.11764705990562177,3.2874078141810964e-40,0.0,0.0,0.0,9.428581552611034e-11,2.4645676877884518e-11,9.24253803051413e-14,8.3469319552618e-14,4.354836325989804e-17,8.913142200585754e-15,1.7335416699294657e-19,8.031657388374315e-19,2.9882651274035536e-35
