Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136)
9.620941266630523e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060376,0.0,0.1764705899999997,0.0,0.0,4.562642421793472e-46,3.1708280218362964e-57,0.0,2.816553134305941e-36,0.0,0.0,2.705896169112785e-36,0.0,0.11764705999999749,3.919575073119883e-55,0.0,0.0,0.0,2.5197521592079966e-15,6.586494031213619e-16,2.4700298062156984e-18,2.2318252123224678e-18,2.141112733114659e-23,2.38204554826284e-19,9.220636611411988e-26,2.146426675066008e-23,3.5629094960157163e-50,3.0209794094859855e-37
1.9250241300651688e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806006,0.0,0.17647058999999937,0.0,0.0,3.65381430588138e-45,2.542284238138199e-56,0.0,1.1291126346333688e-35,0.0,0.0,1.0830636445381648e-35,0.0,0.11764705999999496,3.142609394038741e-54,0.0,0.0,0.0,5.041693503406416e-15,1.3178710472532063e-15,4.9422055983619355e-18,4.465589378214147e-18,4.291874913446744e-23,4.766160637781928e-19,1.8480232614641516e-25,4.294718186513918e-23,2.856644570658546e-49,1.2091790537498955e-36
3.850884136869402e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561805942,0.0,0.1764705899999987,0.0,0.0,2.92453231544968e-44,2.0405124020997764e-55,0.0,4.531984781721015e-35,0.0,0.0,4.3336653338791007e-35,0.0,0.11764705999998991,2.5223510994257528e-53,0.0,0.0,0.0,1.0085576191189873e-14,2.63631433551664e-15,9.886557182653975e-18,8.933117476218818e-18,8.616777103639852e-23,9.534390807531131e-19,3.7092310180299317e-25,8.59130120941107e-23,2.2928272876222466e-48,4.838291243655533e-36
7.702604150477869e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618058144,0.0,0.17647058999999737,0.0,0.0,2.340218345336534e-43,1.642181517941098e-54,0.0,1.8243416531854163e-34,0.0,0.0,1.733748324890454e-34,0.0,0.1176470599999798,2.029959902470669e-52,0.0,0.0,0.0,2.0173341564303266e-14,5.273200912041718e-15,1.9775260351236322e-17,1.786817273711351e-17,1.7360092792355096e-22,1.9070851109873638e-18,7.468800754696222e-25,1.7184467255210774e-22,1.8452417102458582e-47,1.9356315480683064e-35
1.54060441776948e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618055596,0.0,0.17647058999999474,0.0,0.0,1.8724117023957666e-42,1.329009905112761e-53,0.0,7.387988923011689e-34,0.0,0.0,6.935557722428896e-34,0.0,0.11764705999995961,1.6428371573225532e-51,0.0,0.0,0.0,4.034887230071595e-14,1.0546974065078586e-14,3.9552666688394094e-17,3.5738279518445097e-17,3.5220769324809504e-22,3.814377156593508e-18,1.5136557121009629e-24,3.4370799346831632e-22,1.4933455785693424e-46,7.743156338363548e-35
3.081292423212867e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559956180505,0.0,0.17647058999998946,0.0,0.0,1.498024178153529e-41,1.0874834587062016e-52,0.0,3.0273414443317236e-33,0.0,0.0,2.7743359775606636e-33,0.0,0.11764705999991923,1.3442775905872564e-50,0.0,0.0,0.0,8.069993373428494e-14,2.1094520371050107e-14,7.910747936268194e-17,7.147847811928328e-17,7.243830238345856e-22,7.62896118835637e-18,3.106653741629487e-24,6.874346353016964e-22,1.2219537318470896e-45,3.0973885690542405e-34
6.16266843409964e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618040303,0.0,0.17647058999997892,0.0,0.0,1.198457270173371e-40,9.08768408482969e-52,0.0,1.268582846520897e-32,0.0,0.0,1.1097569691410491e-32,0.0,0.11764705999983845,1.1233614595712104e-49,0.0,0.0,0.0,1.6140205644439736e-13,4.218961298219172e-14,1.582171047111468e-16,1.4295881547370977e-16,1.5285808346494e-21,1.5258129014084388e-17,6.530436818338025e-24,1.3748879189726794e-21,1.0211400799157641e-44,1.2389806348151416e-33
1.2325420455873185e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618019914,0.0,0.17647058999995782,0.0,0.0,9.58780987427699e-40,7.890415967260072e-51,0.0,5.535360130509875e-32,0.0,0.0,4.4390730331758807e-32,0.0,0.11764705999967688,9.753628205587629e-49,0.0,0.0,0.0,3.2280630123652016e-13,8.437979819812869e-14,3.1643635540763326e-16,2.859192507939639e-16,3.376364653987201e-21,3.051646371434966e-17,1.432915098306599e-23,2.7497944863350363e-21,8.866087205876404e-44,4.9559729541247104e-33
2.4650924499420277e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561797913,0.0,0.17647058999991563,0.0,0.0,7.670308584997171e-39,7.304665418773475e-50,0.0,2.5829379017140176e-31,0.0,0.0,1.7756382446138232e-31,0.0,0.11764705999935375,9.029560760319255e-48,0.0,0.0,0.0,6.456147883083572e-13,1.687601685794937e-13,6.328748567988331e-16,5.718391638832903e-16,8.029481876585892e-21,6.103312931011766e-17,3.3731170883404735e-23,5.499607621169321e-21,8.207906956030952e-43,1.982399264698468e-32
4.930193258651446e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995617897567,0.0,0.17647058999983126,0.0,0.0,6.136271142251106e-38,7.431418468308203e-49,0.0,1.3282030278598387e-30,0.0,0.0,7.102571041029952e-31,0.0,0.1176470599987075,9.186244716316356e-47,0.0,0.0,0.0,1.2912317524023972e-12,3.3752090893919626e-13,1.2657518595741411e-15,1.1436751598828397e-15,2.116588900291961e-20,1.220664452826073e-16,8.775357317272877e-23,1.099923389150023e-20,8.350333230858374e-42,7.929617225312176e-32
