Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36),HOX(23),H2OX(35)
6.445072919493143e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561803937,0.0,0.17647058999997797,0.0,1.1523454191314835e-55,1.3708806719179353e-40,1.0435774795782404e-51,0.0,1.3932885885665695e-32,0.0,0.0,1.2137966849976242e-32,0.0,0.11764705999983104,1.2900038223080075e-49,0.0,6.167305321882757e-44,0.0,1.6879831101421238e-13,4.412295339630923e-14,1.6546740878220167e-16,1.495099002860779e-16,1.6062764047554187e-21,1.5957333251840326e-17,6.860082843375933e-24,1.4378922034618932e-21,1.1726186570244703e-44,1.3551350693294761e-33,4.182315720593661e-52,2.946790195776609e-35,1.120013166226106e-67
1.289023325706812e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618018043,0.0,0.1764705899999559,0.0,3.68756995361119e-54,1.0967218915303075e-39,9.09063627259017e-51,0.0,6.100509408186571e-32,0.0,0.0,4.855236130032934e-32,0.0,0.11764705999966207,1.1237263879127308e-48,0.0,9.867855795643745e-43,0.0,3.3759891061712157e-13,8.824650524828613e-14,3.3093706188956404e-16,2.9902147935134074e-16,3.561680138199969e-21,3.191488155465657e-17,1.5107340194751412e-23,2.875803909878172e-21,1.0214717988887475e-43,5.420595418577959e-33,6.691818548310485e-51,2.3574694559102936e-34,7.168211869409572e-66
2.5780553932218077e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995617975394,0.0,0.17647058999991178,0.0,1.1800327193547514e-52,8.773844548663803e-39,8.459623771323134e-50,0.0,2.8620558266428053e-31,0.0,0.0,1.942104330043821e-31,0.0,0.11764705999932414,1.0457246492190607e-47,0.0,1.578870304597261e-41,0.0,6.752001070749931e-13,1.764936088944773e-13,6.618763681023494e-16,5.980435901605707e-16,8.519807141040333e-21,6.382997399883005e-17,3.5763126880605076e-23,5.75162732279409e-21,9.505679010256995e-43,2.168249195757336e-32,1.0707000259845043e-49,1.885990478045721e-33,4.5876963968188474e-64
5.1561195282517995e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561789009,0.0,0.17647058999982354,0.0,3.7761212098225745e-51,7.019103405458166e-38,8.66702901010938e-49,0.0,1.4822959306205482e-30,0.0,0.0,7.76843707610613e-31,0.0,0.11764705999864827,1.0713627517679111e-46,0.0,2.526203170942098e-40,0.0,1.350402488998949e-12,3.5298781572590043e-13,1.3237549805201638e-15,1.1960836225232146e-15,2.2625309944407967e-20,1.2766014224134534e-16,9.371978384387755e-23,1.1503274149137075e-20,9.738730305837652e-42,8.673018840030262e-32,1.7131272451559964e-48,1.5087983364795877e-32,2.936138705322063e-62
1.0312247798311782e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561771949,0.0,0.17647058999964704,0.0,1.2083614085447684e-49,5.615293830762812e-37,9.972500970785081e-48,0.0,8.628929944604261e-30,0.0,0.0,3.1073787814934853e-30,0.0,0.11764705999729655,1.232736836161381e-45,0.0,4.041933552788118e-39,0.0,2.7008072088797153e-12,7.059762257056392e-13,2.6475122053247637e-15,2.3921469304600714e-15,6.759307598110947e-20,2.5532041214308427e-16,2.762133974097414e-22,2.300656780674666e-20,1.1205626999088696e-40,3.469211947992321e-31,2.741009217349927e-47,1.2070410298742578e-31,1.8791328736006115e-60
2.0624504338431748e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995617378277,0.0,0.17647058999929405,0.0,3.866760540597873e-48,4.4922395067957976e-36,1.2840093009534855e-46,0.0,5.611318079750011e-29,0.0,0.0,1.242952302696415e-29,0.0,0.11764705999459309,1.5872101896223412e-44,0.0,6.467100193575439e-38,0.0,5.401616472772673e-12,1.411953016218527e-12,5.295026654809851e-15,4.7842065210579496e-15,2.245537717163412e-19,5.106406856136727e-16,9.075215452843597e-22,4.6013155154061726e-20,1.4427803418650762e-39,1.3876856623676205e-30,4.385618806958303e-46,9.6563372559751e-31,1.2026462627488924e-58
4.124901741867168e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561669586,0.0,0.17647058999858808,0.0,1.2373638719544499e-46,3.593793381708176e-35,1.8051082410414082e-45,0.0,3.9722461653857045e-28,0.0,0.0,4.971810790091136e-29,0.0,0.11764705998918618,2.2313592429181708e-43,0.0,1.0347364268166022e-36,0.0,1.0803234297084386e-11,2.823906361744706e-12,1.0590055553283569e-14,9.568057616173846e-15,8.065607942418813e-19,1.021280167225514e-15,3.2354193014937e-21,9.202633009045452e-20,2.0283142397803072e-38,5.5507444274486815e-30,7.016991927656267e-45,7.725072439456399e-30,7.696938590983397e-57
8.249804357915154e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561533103,0.0,0.17647058999717613,0.0,3.959563697376715e-45,2.8750354149096618e-34,2.6886199981912876e-44,0.0,2.9709495984992586e-27,0.0,0.0,1.9887246311831871e-28,0.0,0.11764705997837235,3.323499515441883e-42,0.0,1.6555779624902508e-35,0.0,2.160646713181173e-11,5.647811169094349e-12,2.1180113348245152e-14,1.9134687582260552e-14,3.0427971882445493e-18,2.042554869149633e-15,1.2152322875735309e-20,1.840526818372209e-19,3.0210735831563042e-37,2.2202981446340142e-29,1.1227184038792324e-43,6.180056519318671e-29,4.926039019439927e-55
1.237470697396314e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559956139662,0.0,0.17647058999576418,0.0,1.8471633043329513e-44,8.535228938943472e-34,9.731879824396664e-44,0.0,8.343005430577663e-27,0.0,0.0,4.226040037427281e-28,0.0,0.11764705996755853,1.2029924651610344e-41,0.0,6.263386351213773e-35,0.0,3.2409697152643736e-11,8.471712837137738e-12,3.177017114122083e-14,2.870024544436755e-14,6.3511357722288684e-18,3.0638253097919734e-15,2.5330316732021685e-20,2.760790361111094e-19,1.0935246106040119e-36,4.718133818180737e-29,4.247458888826783e-43,1.8347037574763933e-28,2.754727596316061e-54
1.6499609590011128e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561260137,0.0,0.17647058999435222,0.0,5.625006509385233e-44,1.859775516555928e-33,2.443814303543198e-43,0.0,1.7420119227099288e-26,0.0,0.0,7.209127297116284e-28,0.0,0.11764705995674471,3.0208860898944387e-41,0.0,1.6303554173874578e-34,0.0,4.321292435958113e-11,1.1295610110278037e-11,4.236022893221057e-14,3.826473132263775e-14,1.0731456395029038e-17,4.085091489170305e-15,4.276938309031857e-20,3.68105394072563e-19,2.7459964888942216e-36,8.048581496668833e-29,1.1056080304006318e-42,3.9977212760738744e-28,9.643376624240759e-54
2.0624512206059115e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561123654,0.0,0.17647058999294027,0.0,1.1766433465292664e-43,3.245884073043007e-33,4.6101554495533816e-43,0.0,2.945186893618977e-26,0.0,0.0,1.0699339416847765e-27,0.0,0.11764705994593089,5.698777519547338e-41,0.0,3.139581365462338e-34,0.0,5.401614965307053e-11,1.4119503591309766e-11,5.295028672184983e-14,4.782848830956321e-14,1.5840667135973845e-17,5.1063547708976414e-15,6.31059702155899e-20,4.601317550984955e-19,5.180209384213437e-36,1.194520535710545e-28,2.1290704017945673e-42,6.977275994382864e-28,2.1585815424780234e-53
2.4749414822107103e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560987171,0.0,0.17647058999152831,0.0,2.3200890640008336e-43,5.258375554539891e-33,8.050370543740494e-43,0.0,4.615425890218728e-26,0.0,0.0,1.4875661640878404e-27,0.0,0.11764705993511707,9.951349663190143e-41,0.0,5.6380384164763335e-34,0.0,6.481937235777792e-11,1.6943390819199632e-11,6.354034450966197e-14,5.739125923858017e-14,2.1935934129402222e-17,6.127614132286836e-15,8.736271929324917e-20,5.521581207992662e-19,9.045812441060397e-36,1.6607832324420888e-28,3.823362118555352e-42,1.1303304584759667e-27,4.641137737377791e-53
2.887431743815509e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560850688,0.0,0.17647058999011636,0.0,4.200385886939506e-43,8.000891575618896e-33,1.3101880540152213e-42,0.0,6.821025231710436e-26,0.0,0.0,1.9750026318433226e-27,0.0,0.11764705992430327,1.619570041703838e-40,0.0,9.40657803913702e-34,0.0,7.562259242868144e-11,1.9767270759357703e-11,7.413040229561513e-14,6.695302704058822e-14,2.903432644454673e-17,7.148869505169891e-15,1.1560779525084554e-19,6.441844919184052e-19,1.4721948972757288e-35,2.2049784225555317e-28,6.378937198430301e-42,1.7198594121137535e-27,9.04601360549456e-53
3.712412267025106e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995605777235,0.0,0.17647058998729248,0.0,1.2298116694723093e-42,1.636368791829722e-32,3.0860265806390065e-42,0.0,1.3336225610962683e-25,0.0,0.0,3.171366763168584e-27,0.0,0.11764705990267567,3.8147468570604336e-40,0.0,2.3202174075742857e-33,0.0,9.72290242133445e-11,2.5415001911748955e-11,9.531051786162275e-14,8.607338022621988e-14,4.641352410891752e-17,9.191367595352651e-15,1.847529617304354e-19,8.282372551526254e-19,3.467618039387622e-35,3.540651227803602e-28,1.573418076065591e-41,3.51751956720875e-27,3.106921320298543e-52
4.4250213928221813e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559956034194,0.0,0.17647058998485332,0.0,2.6529468246439798e-42,2.7179796639072506e-32,5.7140340831675574e-42,0.0,2.1582695371717227e-25,0.0,0.0,4.4430363971951746e-27,0.0,0.11764705988399397,7.0633195841940274e-40,0.0,4.422175643955065e-33,0.0,1.1589241397338843e-10,3.0293414263084845e-11,1.1360566933237346e-13,1.0258590862171834e-13,6.484841194895666e-17,1.0955641425317101e-14,2.5809303269709906e-19,9.872200391113213e-19,6.420581309466892e-35,4.960398442682627e-28,2.9988231437457077e-41,5.842539371816026e-27,7.506206691416658e-52
