Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45)
8.672200016013879e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806041,0.0,0.17647058999999973,0.0,0.0,2.7278590192709592e-46,0.0,0.0,0.0,0.0,0.0,1.986518279789836e-36,0.0,0.11764705999999774,0.0,0.0,0.0,0.0,2.271274099896352e-15,5.936986003758318e-16,2.011740269803896e-18,2.011740269803896e-18
1.735193452378798e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806012,0.0,0.17647058999999943,0.0,0.0,2.1844996064296688e-45,0.0,0.0,0.0,0.0,0.0,7.95125013520519e-36,0.0,0.11764705999999546,0.0,0.0,0.0,0.0,4.544521504665658e-15,1.1879130118727172e-15,4.025228359129671e-18,4.025228359129671e-18
3.471140353933618e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561805955,0.0,0.17647058999999884,0.0,0.0,1.7484850740420552e-44,0.0,0.0,0.0,0.0,0.0,3.1815357523735894e-35,0.0,0.11764705999999091,0.0,0.0,0.0,0.0,9.0910163137059e-15,2.3763418348662967e-15,8.052204537780901e-18,8.052204537780901e-18
6.943034157043258e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559956180584,0.0,0.17647058999999765,0.0,0.0,1.3991423012950418e-43,0.0,0.0,0.0,0.0,0.0,1.2728214701156893e-34,0.0,0.1176470599999818,0.0,0.0,0.0,0.0,1.8184005929792897e-14,4.753199480852125e-15,1.6106156895082094e-17,1.6106156895082094e-17
1.3886821763262538e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559956180561,0.0,0.17647058999999526,0.0,0.0,1.1194555551610071e-42,0.0,0.0,0.0,0.0,0.0,5.091700248300947e-34,0.0,0.1176470599999636,0.0,0.0,0.0,0.0,3.636998515399292e-14,9.506914772813967e-15,3.2214061609679385e-17,3.2214061609679385e-17
2.7774396975701097e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618051505,0.0,0.17647058999999052,0.0,0.0,8.956211332383294e-42,0.0,0.0,0.0,0.0,0.0,2.036762975836772e-33,0.0,0.1176470599999272,0.0,0.0,0.0,0.0,7.274194357049716e-14,1.9014345356662458e-14,6.442987103885364e-17,6.442987103885364e-17
5.554954740057822e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561804232,0.0,0.176470589999981,0.0,0.0,7.165195829254467e-41,0.0,0.0,0.0,0.0,0.0,8.147217659314121e-33,0.0,0.11764705999985439,0.0,0.0,0.0,0.0,1.4548586027592242e-13,3.802920652377119e-14,1.288614898971208e-16,1.288614898971208e-16
1.1109984825033246e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561802394,0.0,0.17647058999996199,0.0,0.0,5.732247370109675e-40,0.0,0.0,0.0,0.0,0.0,3.258920215200872e-32,0.0,0.11764705999970877,0.0,0.0,0.0,0.0,2.9097369317643984e-13,7.605892885333559e-14,2.5772472761332974e-16,2.577247276133298e-16
2.2220044994984096e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995617987184,0.0,0.17647058999992396,0.0,0.0,4.5858341790195946e-39,0.0,0.0,0.0,0.0,0.0,1.3035747163942899e-31,0.0,0.11764705999941753,0.0,0.0,0.0,0.0,5.819493569361426e-13,1.5211837347545187e-13,5.154512030444462e-16,5.154512030444462e-16
4.444016533488579e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995617913676,0.0,0.1764705899998479,0.0,0.0,3.6686818563999394e-38,0.0,0.0,0.0,0.0,0.0,5.214312126149655e-31,0.0,0.11764705999883507,0.0,0.0,0.0,0.0,1.16390067629022e-12,3.0423726242443244e-13,1.0309041539014732e-15,1.0309041539014738e-15
8.888040601468918e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995617766655,0.0,0.17647058999969578,0.0,0.0,2.9349512903345806e-37,0.0,0.0,0.0,0.0,0.0,2.085727502509395e-30,0.0,0.11764705999767014,0.0,0.0,0.0,0.0,2.3278032823370614e-12,6.084750379637695e-13,2.061810055594703e-15,2.061810055594706e-15
1.7776088737429598e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561747261,0.0,0.17647058999939155,0.0,0.0,2.3479633542434886e-36,0.0,0.0,0.0,0.0,0.0,8.34291531359626e-30,0.0,0.11764705999534027,0.0,0.0,0.0,0.0,4.6556083637855e-12,1.216950570187022e-12,4.123621858897867e-15,4.123621858897875e-15
3.5552185009350954e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995616884533,0.0,0.17647058999878307,0.0,0.0,1.8783716120059787e-35,0.0,0.0,0.0,0.0,0.0,3.337167185715867e-29,0.0,0.11764705999068054,0.0,0.0,0.0,0.0,9.311218004101467e-12,2.433901483844458e-12,8.24724546517101e-15,8.247245465171043e-15
7.110437755319367e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995615708374,0.0,0.17647058999756612,0.0,0.0,1.5026976607620087e-34,0.0,0.0,0.0,0.0,0.0,1.334867085994114e-28,0.0,0.11764705998136107,0.0,0.0,0.0,0.0,1.8622435194410207e-11,4.867802105064737e-12,1.649449267638455e-14,1.649449267638468e-14
1.0665657009703638e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995614532215,0.0,0.17647058999634918,0.0,0.0,4.461133993232639e-34,0.0,0.0,0.0,0.0,0.0,2.8365926896636505e-28,0.0,0.11764705997204161,0.0,0.0,0.0,0.0,2.793365029439624e-11,7.301700716273726e-12,2.4741739886265335e-14,2.474173988626562e-14
1.422087626408791e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995613356056,0.0,0.17647058999513224,0.0,0.0,9.720576546785278e-34,0.0,0.0,0.0,0.0,0.0,4.838893529275928e-28,0.0,0.11764705996272215,0.0,0.0,0.0,0.0,3.724486330406002e-11,9.735596513557926e-12,3.2988987094813356e-14,3.298898709481384e-14
2.1331314772856452e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995611003737,0.0,0.17647058999269835,0.0,0.0,2.8215836140834916e-33,0.0,0.0,0.0,0.0,0.0,1.0018314638850811e-27,0.0,0.11764705994408323,0.0,0.0,0.0,0.0,5.586728441753069e-11,1.4603378354013726e-11,4.948348150878145e-14,4.9483481508782454e-14
2.8441753281624994e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560865142,0.0,0.17647058999026446,0.0,0.0,6.170485260848195e-33,0.0,0.0,0.0,0.0,0.0,1.703852942209569e-27,0.0,0.11764705992544433,0.0,0.0,0.0,0.0,7.448969784414481e-11,1.9471141859176984e-11,6.597797591784843e-14,6.597797591785013e-14
