Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36),HOX(23),H2OX(35),OCX(21),CXHO(27),COX(37),HOOH(147),HOOHX(163),CH4O3(153),SX(168),SX(167),SX(137),OCO(154)
2.282797800671307e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561805994,0.0,0.17647058999999923,2.868062090287116e-87,6.430163823456657e-63,6.093127628028357e-45,4.241986709958882e-56,0.0,1.588733143887895e-35,0.0,0.0,1.52305825013173e-35,0.0,0.11764705999999402,5.243469761673932e-54,0.0,9.712429642331457e-50,0.0,5.978713025624243e-15,1.5628028143917927e-15,5.8607348833720765e-18,5.295537539502541e-18,5.092970242088507e-23,5.651971239747926e-19,2.192849887801225e-25,5.0929092667246265e-23,4.766334158893144e-49,1.7004080443358397e-36,6.586417637508223e-58,1.3097542840501987e-39,2.2145073910233775e-76,1.868680986637939e-58,1.438812686956096e-51,1.230019958179901e-69,3.770057779026862e-39,1.062927583840075e-52,1.4396696507854172e-63,2.672086063959635e-77,8.066223868634845e-80,4.306993248377587e-42,6.785061756799604e-61
4.566586829219588e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561805918,0.0,0.17647058999999846,1.8269059367452112e-85,2.0588068647309215e-61,4.876971613374701e-44,3.4069645140153825e-55,0.0,6.380454401837893e-35,0.0,0.0,6.094216875766977e-35,0.0,0.11764705999998804,4.210823037789882e-53,0.0,1.5548322701925468e-48,0.0,1.1960022104386801e-14,3.1262842231445384e-15,1.1724014593006202e-17,1.0593374049162703e-17,1.0231975851746642e-22,1.1306396639781351e-18,4.404064209204067e-25,1.0188029957362589e-22,3.8276535722993124e-48,6.803847061390982e-36,1.0543988390645458e-56,1.0483342772931312e-38,1.4180927178960402e-74,2.9749918550016703e-57,1.155453145447388e-50,1.9756132916325952e-68,1.508514184377657e-38,8.506651124007357e-52,2.3048110202261254e-62,8.555813758903679e-76,2.5827427526405395e-78,3.4473401120568437e-41,2.172843705385677e-59
9.13416488631615e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561805767,0.0,0.1764705899999969,1.1573354731680704e-83,6.590029636614768e-60,3.902565336347502e-43,2.7460456600709764e-54,0.0,2.57136220795246e-34,0.0,0.0,2.4380835818767944e-34,0.0,0.11764705999997606,3.392428414009575e-52,0.0,2.4884066462802125e-47,0.0,2.3922640258461653e-14,6.253247040647116e-15,2.345057401227202e-17,2.1189045753478098e-17,2.0641487343285484e-22,2.261524738759773e-18,8.878740978779816e-25,2.0378271338646194e-22,3.083728656750732e-47,2.721981864471378e-35,1.6874958858094742e-55,8.388798136254299e-38,9.078379768832781e-73,4.7106799335490315e-56,9.308844102775756e-50,3.1840058236133e-67,6.035039022958206e-38,6.806613355919692e-51,3.688769456273624e-61,2.7386826888126457e-74,8.267259043225756e-77,2.7585703057271465e-40,6.955698955906162e-58
1.8269321000509273e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618054647,0.0,0.17647058999999377,7.258867708150537e-82,2.1091051555185912e-58,3.122447535589473e-42,2.230879252766974e-53,0.0,1.0436417944639263e-33,0.0,0.0,9.753128047162388e-34,0.0,0.1176470599999521,2.75121231296675e-51,0.0,3.981990721281898e-46,0.0,4.784787655281028e-14,1.2507172675630379e-14,4.690369285079392e-17,4.2380383902090506e-17,4.1986511284691506e-22,4.523294867422857e-18,1.8037087023080294e-24,4.075875410124509e-22,2.5008591478630806e-46,1.0888813600826643e-34,2.7003596616995315e-54,6.711888178384704e-37,5.8109908194850216e-71,7.384818100004333e-55,7.549333380358377e-49,5.17075766942305e-66,2.4142120802651245e-37,5.445807721435877e-50,5.902888120305179e-60,8.765099600877048e-73,2.6459198523120696e-75,2.2071353094280768e-39,2.226239405023544e-56
3.653963322889552e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559956180486,0.0,0.17647058999998752,4.472459651895384e-80,6.749609605732035e-57,2.4981161447234924e-41,1.8446214919864065e-52,0.0,4.2948474922753716e-33,0.0,0.0,3.901409968442086e-33,0.0,0.11764705999990421,2.260296283790505e-50,0.0,6.371617251808055e-45,0.0,9.569834908630325e-14,2.501502394542751e-14,9.380993052779876e-17,8.476303915925217e-17,8.678056195632037e-22,9.046835041148271e-18,3.718974911682706e-24,8.151971962657878e-22,2.0546119992105763e-45,4.355702675234927e-34,4.320868467412474e-53,5.369850428770576e-36,3.719299027182714e-69,1.1371536866214317e-53,6.202242402961298e-48,8.541501250853697e-65,9.657241277224929e-37,4.3568530009279716e-49,9.445304690984787e-59,2.8050417194640284e-71,8.467576996414293e-74,1.7658194711831254e-38,7.124630034412317e-55
7.308025768566801e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561803651,0.0,0.176470589999975,2.6765591986238194e-78,2.1599507721205825e-55,1.9985561642038306e-40,1.5877237687832956e-51,0.0,1.8140641823814833e-32,0.0,0.0,1.5605957378525232e-32,0.0,0.11764705999980841,1.903037666035028e-49,0.0,1.019493328433059e-43,0.0,1.9139929393247203e-13,5.0030726483689563e-14,1.8762240588165253e-16,1.695282655134067e-16,1.8478466609877268e-21,1.8093915054196084e-17,7.883895320130249e-24,1.6304165067786268e-21,1.7298581138527125e-44,1.7423165177109554e-33,6.913623938532518e-52,4.296016297642583e-35,2.380436144769082e-67,1.7004815848760343e-52,5.221899244999509e-47,1.4667901195792212e-63,3.862975103530963e-36,3.4855651293491006e-48,1.511302824712898e-57,8.976465619684564e-70,2.7097248973471394e-72,1.4126994131590493e-37,2.2799870049650776e-53
1.4616150659921301e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561801233,0.0,0.17647058999995,1.5389520832888315e-76,6.911963577927936e-54,1.598870231109612e-39,1.4930023206245866e-50,0.0,8.025059008517257e-32,0.0,0.0,6.242446452886974e-32,0.0,0.11764705999961683,1.6740634906246192e-48,0.0,1.6312169775223992e-42,0.0,3.8280118274154096e-13,1.0006213154964771e-13,3.75247356588737e-16,3.390583815817083e-16,4.1445681873206196e-21,3.618807374267972e-17,1.7551287996937237e-23,3.2608551278348043e-21,1.5217115370585221e-43,6.969336966759492e-33,1.1061985738717366e-50,3.4368674143146627e-34,1.5235062524862184e-65,2.442619153007279e-51,4.5935508026016154e-46,2.7446072860196688e-62,1.5452057600898955e-35,2.788485190384632e-47,2.4181257830589552e-56,2.872519800432266e-68,8.671273042228362e-71,1.1301760178606458e-36,7.296121662471386e-52
2.9232400442630298e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561796397,0.0,0.17647058999989995,8.504388665976551e-75,2.2118477139221715e-52,1.2791063048482942e-38,1.6632896671627187e-49,0.0,3.8250238756258865e-31,0.0,0.0,2.4969912814749046e-31,0.0,0.11764705999923365,1.5818482946110623e-47,0.0,2.609969275857231e-41,0.0,7.656049568266046e-13,2.0012494159740322e-13,7.504972580004125e-16,6.781172671636326e-16,1.0084563666225107e-20,7.237638576919994e-17,4.223627999914894e-23,6.5217323701158594e-21,1.4378708774440032e-42,2.787748966006529e-32,1.7699326880739197e-49,2.749515671210482e-33,9.750526718414295e-64,3.3721049313801944e-50,4.340427128685668e-45,6.062940990746016e-61,6.180854477965118e-35,2.2308013792030556e-46,3.869027874655015e-55,9.192129683708369e-67,2.7748274034194556e-69,9.041457332327907e-36,2.334781602879997e-50
5.84649000080483e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995617867247,0.0,0.1764705899997999,4.616369971192593e-73,7.077943616705487e-51,1.0232890918539616e-37,2.3793218349650827e-48,0.0,2.02199872224488e-30,0.0,0.0,9.987990526342098e-31,0.0,0.1176470599984673,1.6536385167792804e-46,0.0,4.175968495901996e-40,0.0,1.531212490864434e-12,4.002505610210955e-13,1.5009970608137898e-15,1.356229652151543e-15,2.7350721545476785e-20,1.4475298842045845e-16,1.1300708426956977e-22,1.3043486855726407e-20,1.5030900652053144e-41,1.1151024223402172e-31,2.831904196172188e-48,2.199621213821408e-32,6.240364735652868e-62,4.5746042496623906e-49,4.537226034576712e-44,1.7167038281465908e-59,2.472348078866282e-34,1.784646381446938e-45,6.190445451151787e-54,2.941482534860257e-65,8.879450877364355e-68,7.233158719783995e-35,7.471315324402846e-49
1.169298991388843e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559956176738,0.0,0.17647058999959978,2.5476828556639935e-71,2.2649468627733078e-49,8.186328926374177e-37,4.445940672422751e-47,0.0,1.2023842408036847e-29,0.0,0.0,3.99520129042757e-30,0.0,0.11764705999693457,1.9440008947030983e-45,0.0,6.681563585829144e-39,0.0,3.062427502410906e-12,8.005017944998013e-13,3.001996666400652e-15,2.7124328777658888e-15,8.342736274436006e-20,2.8950610811589773e-16,3.401519232475923e-22,2.608699583304724e-20,1.7669316353465324e-40,4.460415362078355e-31,4.53105597185104e-47,1.7597004059471308e-31,3.993842123603436e-60,6.313521886360031e-48,5.333482814508467e-43,6.360667899950645e-58,9.889404892599282e-34,1.4277191961680804e-44,9.904620320371236e-53,9.412659024508775e-64,2.841398633187071e-66,5.786481185428416e-34,2.390796965372661e-47
2.338598974005563e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995617286906,0.0,0.1764705899991995,1.4623293091700908e-69,7.247837448136423e-48,6.549069617098968e-36,1.030234457253635e-45,0.0,7.958131783181779e-29,0.0,0.0,1.5980815319870038e-29,0.0,0.11764705999386914,2.549063241118783e-44,0.0,1.069051238796878e-37,0.0,6.1248572993871156e-12,1.6010042185312684e-12,6.0039958774148015e-15,5.424753154286523e-15,2.8175520897093294e-19,5.7901200507887125e-16,1.136854117936728e-21,5.2174013833833246e-20,2.316657238468134e-39,1.7841672806289495e-30,7.249696134954151e-46,1.4077616243057903e-30,2.5560615194601044e-58,9.066086896827023e-47,6.992372049020819e-42,2.9318942752169374e-56,3.9557644751720795e-33,1.1421761613119584e-43,1.5847084352260157e-51,3.0119932178657665e-62,9.092301778836098e-65,4.629097887095228e-33,7.65040090080136e-46
4.6771989392390025e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561651312,0.0,0.176470589998399,8.738489072236833e-68,2.319308845645422e-46,5.239258283082593e-35,2.753930709453858e-44,0.0,5.701999899101364e-28,0.0,0.0,6.392328158278658e-29,0.0,0.11764705998773828,3.629812871682344e-43,0.0,1.7104825814196408e-36,0.0,1.2249715988872735e-11,3.2020087232806817e-12,1.20079942988048e-14,1.0849049030397412e-14,1.0230872547292108e-18,1.1580224292964374e-15,4.099905334132019e-21,1.0434805018527121e-19,3.2982331739775503e-38,7.136671413202619e-30,1.1599516435456688e-44,1.1262096456919559e-29,1.6358798356784413e-56,1.3553606738504132e-45,9.953765146439502e-41,1.5627688493169035e-54,1.5823062978681988e-32,9.1374120060573e-43,2.5354309908405344e-50,9.637994547366922e-61,2.9094208809045743e-63,3.703133320535783e-32,2.4480275658177616e-44
9.354398869705881e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995614965546,0.0,0.17647058999679802,5.377669726635311e-66,7.421786200663604e-45,4.191407660631381e-34,8.007297365117706e-43,0.0,4.295592746589127e-27,0.0,0.0,2.556931668336139e-28,0.0,0.11764705997547656,5.449973703775811e-42,0.0,2.736771296394855e-35,0.0,2.4499429749977836e-11,6.404014986650435e-12,2.4015991139031544e-14,2.1696262250090155e-14,3.884281565650265e-18,2.3160377989239674e-15,1.5504569152990593e-20,2.086961256097515e-19,4.950210193821152e-37,2.854669053161337e-29,1.855921993006922e-43,9.009674028818435e-29,1.0469626009716674e-54,2.0862526257268622e-44,1.493538232343625e-39,9.073558198061858e-53,6.329226272536179e-32,7.30992992142218e-42,4.056358212667081e-49,3.0839100377186525e-59,9.309398511869297e-62,2.9622718454505223e-31,7.833033424647422e-43
1.403159880017276e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561341797,0.0,0.17647058999519702,2.979020897861202e-65,3.462313365738057e-44,1.2443194185780481e-33,3.586355678490729e-42,0.0,1.2087113418714201e-26,0.0,0.0,5.433480047183033e-28,0.0,0.11764705996321484,1.9767272365241504e-41,0.0,1.0353758713184785e-34,0.0,3.674913989321787e-11,9.606016673395295e-12,3.6023987976704965e-14,3.2542097112427756e-14,8.12383092255878e-18,3.4740476897698066e-15,3.2387768437861376e-20,3.130442060022019e-19,1.795124130589328e-36,6.066172101178851e-29,7.0213083486670485e-43,2.674745975768365e-28,5.854798532133642e-54,7.608732686915665e-44,5.4154200720306886e-39,4.901280223779429e-52,1.3449606633433223e-31,2.0901830227375492e-41,1.5464462181406527e-48,1.4473570763701757e-58,4.3691366518784736e-61,8.793846747717641e-31,3.747431055426183e-42
1.870879873063964e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559956118704,0.0,0.17647058999359602,1.117527585700986e-64,1.054348243042346e-43,2.7112978526094974e-33,1.0562452235405448e-41,0.0,2.5266566568402467e-26,0.0,0.0,9.268877951457213e-28,0.0,0.11764705995095312,4.970201711863156e-41,0.0,2.6950764587522124e-34,0.0,4.89988464185939e-11,1.280801195303202e-11,4.803198481182501e-14,4.338655379255448e-14,1.3741560178023278e-17,4.632052101859877e-15,5.474947726796779e-20,4.173922917599162e-19,4.512823374660061e-36,1.0348176340298712e-28,1.8276373860185575e-42,5.82812761106773e-28,2.0495683015198717e-53,1.919118649566313e-43,1.3612453321272478e-38,1.6664093788611023e-51,2.294344750185975e-31,4.4088011586617424e-41,4.160614194350897e-48,4.5116719896929264e-58,1.3619384247241736e-60,1.916040686452909e-30,1.2402014713652797e-41
2.338599866110652e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995610322826,0.0,0.17647058999199502,2.8921353144284426e-64,2.205493976288299e-43,4.732054185301316e-33,2.1751457579061254e-41,0.0,4.274422624181748e-26,0.0,0.0,1.3756293532584508e-27,0.0,0.1176470599386914,9.382463800948214e-41,0.0,5.1899182087748166e-34,0.0,6.124855048382291e-11,1.601000170434002e-11,6.003998164520872e-14,5.423007339283992e-14,2.0296367700860798e-17,5.790052788408468e-15,8.083656014690094e-20,5.217403813568452e-19,8.518156190598637e-36,1.5358121420053652e-28,3.519482933694135e-42,1.0171907235266493e-27,4.5877708237143505e-53,3.628525259485587e-43,2.5692291452311596e-38,3.6883796211458616e-51,3.405124158317328e-31,7.494961724065657e-41,8.415242583196044e-48,9.624465030959567e-58,2.905337307017273e-60,3.343957728999824e-30,2.9386320392394376e-41
2.80631985915734e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995608775264,0.0,0.17647058999039403,6.756665331872949e-64,4.3487621158425366e-43,7.665990987381948e-33,4.1809957800700264e-41,0.0,6.701844280350865e-26,0.0,0.0,1.9125850675836327e-27,0.0,0.11764705992642971,1.6394424471116153e-40,0.0,9.32001803954562e-34,0.0,7.349825122061857e-11,1.921198233949441e-11,7.20479784762432e-14,6.507232530925817e-14,2.811885696151382e-17,6.948048434537827e-15,1.119638357262346e-19,6.260884776555398e-19,1.488230133325165e-35,2.135292768855265e-28,6.32025010436366e-42,1.6478658474038423e-27,9.864104853565598e-53,6.348849874335497e-43,4.4883871392237915e-38,7.75226449911282e-51,4.734261953670047e-31,1.1797676921272034e-40,1.5715302420953445e-47,1.970380562083014e-57,5.947988057133993e-60,5.417026733811979e-30,6.350767237501377e-41
3.2740398522040283e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995607227697,0.0,0.17647058998879303,1.4336841744071034e-63,7.87317936348851e-43,1.1664203530497868e-32,7.404958657997072e-41,0.0,9.908458339368458e-26,0.0,0.0,2.5392890972992503e-27,0.0,0.117647059914168,2.669613172995658e-40,0.0,1.554963970239926e-33,0.0,8.574794857109572e-11,2.2413952350220736e-11,8.405597530488755e-14,7.591328761136282e-14,3.723095836806665e-17,8.106038952605697e-15,1.4821894232547377e-19,7.304365814293077e-19,2.4230894843978134e-35,2.8349723221355936e-28,1.0544770910274483e-41,2.5073172673548668e-27,1.9226065906023185e-52,1.0349143470884007e-42,7.30725014247174e-38,1.4827608705606206e-50,6.285555685548885e-31,1.7497319105237144e-40,2.7133249152636524e-47,3.687136488749334e-57,1.1130359656841287e-59,8.241928284512514e-30,1.255227765314999e-40
3.7417598452507165e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560568013,0.0,0.17647058998719203,2.7908703887313035e-63,1.3539431846047743e-42,1.6945268332998927e-32,1.2462850359042613e-40,0.0,1.4055008370863002e-25,0.0,0.0,3.260343920034324e-27,0.0,0.1176470599019063,4.1466407821308635e-40,0.0,2.4700807899685165e-33,0.0,9.799764236159802e-11,2.561590955462818e-11,9.606397213101914e-14,8.675289432513596e-14,4.769864582664305e-17,9.264024079658249e-15,1.8986482194351462e-19,8.347846945949738e-19,3.7632475558010944e-35,3.6399892171706193e-28,1.6750484973646515e-41,3.642529440977351e-27,3.553348482803653e-52,1.608897620232262e-42,1.1347764032409601e-37,2.6880888482536206e-50,8.070397985641208e-31,2.4884786648321353e-40,4.408917804078339e-47,6.507394653258152e-57,1.9643874060569225e-59,1.1973002198140938e-29,2.2961195072583503e-40
