Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36),HOX(23),H2OX(35),OCX(21),CXHO(27),COX(37),HOOH(147)
1.0621231571983266e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806034,0.0,0.17647058999999965,2.9219280261679432e-89,1.4035083379834912e-64,6.138869159085095e-46,4.266915115160461e-57,0.0,3.433230354604952e-36,0.0,0.0,3.297810956106168e-36,0.0,0.11764705999999722,5.274443677232314e-55,0.0,4.554499092402132e-51,0.0,2.781731064055566e-15,7.271292528896775e-16,2.726839072649887e-18,2.463868316867814e-18,2.36417109123618e-23,2.62970708169231e-19,1.0181081784696146e-25,2.3695908889112958e-23,4.794490067455107e-50,3.6818186553110746e-37,3.088602452437374e-59,1.3195866650441864e-40,2.249874490042087e-78,8.790859139761984e-60,1.4473122093490268e-52,5.7591148380955385e-71,8.1631400819701e-40
2.125169097330796e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561805999,0.0,0.1764705899999993,1.8676976414964922e-87,4.496268842868031e-63,4.9160740382063514e-45,3.4216998144425417e-56,0.0,1.3765513393889036e-35,0.0,0.0,1.3199838167808576e-35,0.0,0.11764705999999443,4.2295446275436636e-54,0.0,7.295113820276536e-50,0.0,5.56587892287861e-15,1.4548902427496567e-15,5.456047249619883e-18,4.9298771715730406e-18,4.739889318463911e-23,5.261698874713996e-19,2.0408727370660803e-25,4.741240501445117e-23,3.844672368267576e-49,1.4736869717577095e-36,4.9471314700520256e-58,1.0567395638757262e-39,1.4415622927806523e-76,1.4041140106772133e-58,1.1605907698720037e-51,9.236644580164063e-70,3.267383408490003e-39
4.251260977595734e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561805929,0.0,0.17647058999999857,1.1901242366704522e-85,1.4396132685841688e-61,3.934851688202574e-44,2.7474574447629446e-55,0.0,5.526920333355113e-35,0.0,0.0,5.281654625664908e-35,0.0,0.11764705999998885,3.395777429439074e-53,0.0,1.1678517940674196e-48,0.0,1.1134174639777139e-14,2.9104122224692805e-15,1.0914463603559349e-17,9.861894596065722e-18,9.519817502347802e-23,1.0525682449436433e-18,4.0977222817817757e-25,9.484539726514364e-23,3.086774210697003e-48,5.8966674532053663e-36,7.919706835965038e-57,8.458199530088218e-39,9.231258374191905e-75,2.236208641025238e-57,9.318040330705518e-51,1.4831953852911437e-68,1.307378959794013e-38
8.503444738125612e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618057883,0.0,0.17647058999999712,7.544682828012465e-84,4.6080544357264344e-60,3.1486785282767902e-43,2.2133097123606926e-54,0.0,2.2262680354690257e-34,0.0,0.0,2.113005770960044e-34,0.0,0.11764705999997771,2.734511239378166e-52,0.0,1.8690698810212675e-47,0.0,2.2270766070583964e-14,5.821456181906153e-15,2.1831296311436176e-17,1.9725928305380138e-17,1.9193640774661672e-22,2.1053649553597555e-18,8.2567030811094465e-25,1.8971138176659494e-22,2.4856799013454696e-47,2.3590509492084035e-35,1.2674969098897057e-55,6.768273249446194e-38,5.909688993496361e-73,3.543383235376895e-56,7.503516070135001e-50,2.3891805974700783e-67,5.23036715323079e-38
1.7007812259185365e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561805507,0.0,0.1764705899999942,4.738294676451066e-82,1.4747841669019748e-58,2.519261732638569e-42,1.7960357880063117e-53,0.0,9.02692682589942e-34,0.0,0.0,8.452710974208644e-34,0.0,0.11764705999995541,2.2156167455796583e-51,0.0,2.9909174752165092e-46,0.0,4.45439489202367e-14,1.164354410076215e-14,4.3664961727181374e-17,3.9453991165326174e-17,3.899715483213272e-22,4.2109583580784824e-18,1.675579151779171e-24,3.7944335076977084e-22,2.014001600997964e-46,9.436971787382052e-35,2.0282701462313578e-54,5.415304132263449e-37,3.782739801953775e-71,5.562245412288874e-55,6.07965891706783e-49,3.8757038508183596e-66,2.0923171362300404e-37
3.401654730130487e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561804944,0.0,0.17647058999998838,2.9261830270257335e-80,4.7196401533880094e-57,2.0155369579015995e-41,1.4812684692433124e-52,0.0,3.707825503991938e-33,0.0,0.0,3.3812219726507996e-33,0.0,0.11764705999991082,1.8170597928172225e-50,0.0,4.7857925139680857e-45,0.0,8.909031457169844e-14,2.3287719938337133e-14,8.733229255863803e-17,7.891009865049569e-17,8.042765215572586e-22,8.422145091061946e-18,3.447847573079841e-24,7.589072887771994e-22,1.651709859089539e-45,3.7749423185356993e-34,3.2454523165875364e-53,4.3325175338038845e-36,2.421125915331064e-69,8.584967105728509e-54,4.986005345513399e-48,6.386399756289458e-65,8.369609106929498e-37
6.803401738554389e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561803818,0.0,0.17647058999997672,1.7574626277073496e-78,1.5103377809615878e-55,1.6124805965904543e-40,1.2675732827354075e-51,0.0,1.5606881720593205e-32,0.0,0.0,1.352516306139647e-32,0.0,0.11764705999982164,1.5248558764501018e-49,0.0,7.657527668155748e-44,0.0,1.7818304568324705e-13,4.6576071612410854e-14,1.7466695422141622e-16,1.5782224068201155e-16,1.705825168957501e-21,1.6844518267212923e-17,7.282187341565637e-24,1.5178351647967703e-21,1.3860920825235966e-44,1.5100076486813573e-33,5.1928997616816956e-52,3.4661237186277574e-35,1.549575766523653e-67,1.2884140395618147e-52,4.1841785952046234e-47,1.0905456541650115e-63,3.347911756393418e-36
1.3606895755402192e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561801567,0.0,0.17647058999995344,1.0149705373378942e-76,4.833165583634686e-54,1.2900048896843572e-39,1.177264480364451e-50,0.0,6.86304394889937e-32,0.0,0.0,5.410120259175053e-32,0.0,0.11764705999964328,1.3337789889978455e-48,0.0,1.2252251968641051e-42,0.0,3.563685071408448e-13,9.315277495202794e-14,3.493362775464325e-16,3.1564623299029313e-16,3.8006767281304e-21,3.368926346025116e-17,1.6110078502295456e-23,3.035690916857313e-21,1.2123964353670195e-43,6.040092037839344e-33,8.308780410203155e-51,2.7729428473554817e-34,9.917461449630105e-66,1.8589422332462178e-51,3.659831505760867e-46,2.0161251237829543e-62,1.339178325409598e-35
2.7213883789097796e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995617970653,0.0,0.17647058999990686,5.628312286479258e-75,1.5466265310259781e-52,1.0320120767631436e-38,1.2832968265292286e-49,0.0,3.2414148029735165e-31,0.0,0.0,2.164059110616657e-31,0.0,0.11764705999928657,1.2492408542540504e-47,0.0,1.9603769241513593e-41,0.0,7.127394269940426e-13,1.863061815633373e-13,6.986749241943042e-16,6.312930505921598e-16,9.157392589228307e-21,6.737874920927339e-17,3.8402706680552816e-23,6.071402421130572e-21,1.1355387860126184e-42,2.4160491038597704e-32,1.3294161114190717e-49,2.2183718188758462e-33,6.347231772918044e-64,2.575204916597822e-50,3.4277966622688697e-45,4.3592807757935e-61,5.356740547562268e-35
5.442785985648901e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561788061,0.0,0.17647058999981372,3.056015433320856e-73,4.9492265326581814e-51,8.256129274109422e-38,1.784990557327908e-48,0.0,1.6935144882617195e-30,0.0,0.0,8.656258456203735e-31,0.0,0.11764705999857313,1.2909428157968066e-46,0.0,3.136616341849428e-40,0.0,1.4254812544524469e-12,3.726129942438296e-13,1.3973522174814043e-15,1.2625820177716582e-15,2.4538840764940277e-20,1.347577021591061e-16,1.015353413583777e-22,1.2142825430541014e-20,1.173418401309782e-41,9.664220993486936e-32,2.1270747185087405e-48,1.7747044573626644e-32,4.062246331471341e-62,3.494287387147747e-49,3.542087564833643e-44,1.2002072974468517e-59,2.142701668338607e-34
