Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36),HOX(23),H2OX(35),OCX(21),CXHO(27),COX(37),HOOH(147),HOOHX(163),CH4O3(153)
1.0890166070092376e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060337,0.0,0.17647058999999965,3.394685104322107e-89,1.590424734360578e-64,6.61709320099453e-46,4.5995010843342e-57,0.0,3.609450662548025e-36,0.0,0.0,3.466929466675704e-36,0.0,0.11764705999999715,5.685559305888735e-55,0.0,5.0336048483375796e-51,0.0,2.8521657817699742e-15,7.455405020335296e-16,2.7958838997452487e-18,2.5262546015124906e-18,2.424156118534103e-23,2.696292481782333e-19,1.0439360676106987e-25,2.4295900266868372e-23,5.168195780525513e-50,3.870629868403958e-37,3.413504748539818e-59,1.4223837848794657e-40,2.6140629432034266e-78,9.714978251122464e-60,1.5601227109903668e-52,6.365192010551169e-71,8.58176265027616e-40,1.154624432751747e-53,7.46071485663533e-65
2.1789793622435047e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618059976,0.0,0.1764705899999993,2.169746968955604e-87,5.095072816097684e-63,5.299041118291078e-45,3.688559498887426e-56,0.0,1.4472695816241306e-35,0.0,0.0,1.387675294564483e-35,0.0,0.1176470599999943,4.5594005947177287e-54,0.0,8.062515668549597e-50,0.0,5.70680955266278e-15,1.491728736909767e-15,5.5941968906282324e-18,5.054703937805277e-18,4.860398315347916e-23,5.394927524744126e-19,2.09274438245073e-25,4.86129090483096e-23,4.1445126947139594e-49,1.5492606626170865e-36,5.4675397771855816e-58,1.1390606318727666e-39,1.674908794489837e-76,1.551619420569082e-58,1.2511035280604491e-51,1.0209102777275514e-69,3.4349415320022324e-39,9.24401607254033e-53,1.1951035490150412e-63
4.3589048727120394e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618059254,0.0,0.17647058999999854,1.3824225457054297e-85,1.6313380464513456e-61,4.241380566711305e-44,2.9619867336995828e-55,0.0,5.811359454641707e-35,0.0,0.0,5.552508709032272e-35,0.0,0.11764705999998858,3.660904468521285e-53,0.0,1.2907027388695784e-48,0.0,1.1416097093662499e-14,2.984105206661882e-15,1.1190822872393646e-17,1.0111602310861912e-17,9.762835552646028e-23,1.0792197598766213e-18,4.202261974397015e-25,9.724692661120892e-23,3.327775636681461e-48,6.199060655933904e-36,8.752812091433879e-57,9.117101725514885e-39,1.0725527375759037e-74,2.4708177856419163e-57,1.0045550884243175e-50,1.639486076778878e-68,1.374424034655182e-38,7.398022302704209e-52,1.9132776973442727e-62
8.718755893649109e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561805781,0.0,0.17647058999999704,8.761631870825217e-84,5.22174578766362e-60,3.3939637320243145e-43,2.386559752215651e-54,0.0,2.341241627432217e-34,0.0,0.0,2.221365041265633e-34,0.0,0.11764705999997714,2.948480725366437e-52,0.0,2.0656847271369203e-47,0.0,2.2834672172518355e-14,5.968858146163561e-15,2.2384074835922253e-17,2.0225397858859575e-17,1.9687521387730944e-22,2.1586737699204396e-18,8.468901007144538e-25,1.9451496173707736e-22,2.6801788334932933e-47,2.4800279209627264e-35,1.4008299181229202e-55,7.295528498890866e-38,6.866293685232682e-73,3.914183809532189e-56,8.090649438644834e-50,2.6413973449685995e-67,5.498591109806226e-38,5.919541859569962e-51,3.0621340715069814e-61
1.7438457935523249e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618054925,0.0,0.17647058999999404,5.500097456746463e-82,1.671192933719566e-58,2.7155147390455373e-42,1.9373750385194326e-53,0.0,9.496294764147868e-34,0.0,0.0,8.88618333185993e-34,0.0,0.11764705999995428,2.389732984887952e-51,0.0,3.3055439025443243e-46,0.0,4.567182231765576e-14,1.1938364025147821e-14,4.477057876297059e-17,4.04529841623936e-17,4.0016138386307425e-22,4.317581770965681e-18,1.719259446637982e-24,3.890510319891021e-22,2.1722736525600744e-46,9.920919058530225e-35,2.2416318971887274e-54,5.837161735460548e-37,4.395054027920115e-71,6.141522515005392e-55,6.557433990194091e-49,4.286454563930676e-66,2.1996154509081044e-37,4.73608314164189e-50,4.900125952807614e-60
3.4877862019271526e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618049157,0.0,0.17647058999998808,3.3939520040042064e-80,5.34819226497517e-57,2.172549300997051e-41,1.599228655004917e-52,0.0,3.903129535043247e-33,0.0,0.0,3.554617971247923e-33,0.0,0.11764705999990857,1.961038664969832e-50,0.0,5.289228938696835e-45,0.0,9.134612255763332e-14,2.3877375782968787e-14,8.954358661703179e-17,8.090813759962545e-17,8.259035278871224e-22,8.635397696886587e-18,3.5401642946374674e-24,7.781231724943821e-22,1.7825867216944534e-45,3.96852910410231e-34,3.586854269278671e-53,4.6700249789291405e-36,2.8130349331567344e-69,9.471481802132154e-54,5.38108217631075e-48,7.069178138769367e-65,8.798819830359418e-37,3.789046382898232e-49,7.840769176805765e-59
6.975667018676809e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618037616,0.0,0.17647058999997614,2.0358862907678694e-78,1.7114815059817503e-55,1.7380944463756153e-40,1.3712278840991652e-51,0.0,1.6448508635094887e-32,0.0,0.0,1.421876116710627e-32,0.0,0.11764705999981713,1.6475287478391461e-49,0.0,8.463053260649625e-44,0.0,1.826947228363995e-13,4.7755399297451186e-14,1.790896023250122e-16,1.6181836779481717e-16,1.754066959476231e-21,1.7271029244050092e-17,7.486638604496874e-24,1.5562674535097203e-21,1.4976013497363032e-44,1.5874439383576983e-33,5.739161405280951e-52,3.736138219702389e-35,1.800406469949249e-67,1.4196932701995437e-52,4.520789759885729e-47,1.2094512126282051e-63,3.5195995387703084e-36,3.031309053487525e-48,1.2545679879225049e-57
1.395142865217612e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618014535,0.0,0.17647058999995227,1.1739541698422572e-76,5.476836781498176e-54,1.390497559659518e-39,1.278937493317527e-50,0.0,7.248014451177673e-32,0.0,0.0,5.68756232374586e-32,0.0,0.11764705999963425,1.4438979626975024e-48,0.0,1.3541114764571489e-42,0.0,3.65391922589176e-13,9.551144631722324e-14,3.581816337404051e-16,3.2363852146869437e-16,3.917109815458076e-21,3.454229111966396e-17,1.659824559366314e-23,3.1125560155692575e-21,1.3124934843352828e-43,6.349840347484342e-33,9.182813848321259e-51,2.988957865740556e-34,1.1522806527303728e-65,2.0451847309746648e-51,3.961991243490057e-46,2.2451757407875557e-62,1.4078541369693024e-35,2.425076017908746e-47,2.0073431349996973e-56
2.7902951919174743e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561796837,0.0,0.1764705899999045,6.501868591775745e-75,1.752603117920086e-52,1.112406848805734e-38,1.4046224532728728e-49,0.0,3.4340568788211906e-31,0.0,0.0,2.2750365009028706e-31,0.0,0.1176470599992685,1.3565042288288451e-47,0.0,2.1665967184083292e-41,0.0,7.307863188757058e-13,1.9102354028355947e-13,7.16365696568919e-16,6.472776019550777e-16,9.470054847810467e-21,6.908480999603986e-17,3.969609236183078e-23,6.2251331398381684e-21,1.2330386628321105e-42,2.539949057909989e-32,1.4692626438487042e-49,2.3911851997295637e-33,7.374661757443568e-64,2.8297147840424965e-50,3.722113425745868e-45,4.890487607951071e-61,5.631445191020827e-35,1.9400723178468713e-46,3.2117714369733807e-55
5.580599845317199e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995617876045,0.0,0.176470589999809,3.529834013587888e-73,5.608354490201973e-51,8.899289994690449e-38,1.972931233224851e-48,0.0,1.801493819554521e-30,0.0,0.0,9.1001691462509e-31,0.0,0.11764705999853699,1.4074232259356504e-46,0.0,3.466569406859741e-40,0.0,1.4615750985726715e-12,3.8204772763190713e-13,1.4327338222168599e-15,1.29455085551953e-15,2.5483344987391727e-20,1.3816982824938958e-16,1.0539031155387253e-22,1.2450287389300268e-20,1.2792932343221585e-41,1.0159822070125207e-31,2.3508301087495756e-48,1.9129557069511851e-32,4.719804432000679e-62,3.8391666288934905e-49,3.861678948507339e-44,1.3596681922500078e-59,2.2525838051715827e-34,1.5520624451627078e-45,5.138836035355482e-54
