Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58)
4.693404153243654e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559956179054,0.0,0.17647058999983936,0.0,0.0,5.293910208256982e-38,4.49092721937769e-69,0.0,9.204507094352324e-51,0.0,0.0,6.4367050059510935e-31,0.0,0.11764705999876958,1.4400129371108023e-83,0.0,0.0,0.0,1.2292160078982551e-12,3.2131033267552927e-13,1.204959871356111e-15,1.088746782550314e-15,9.256283652192983e-21,1.1620379574452895e-16,3.677762418193731e-23
9.386816263796794e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561775011,0.0,0.1764705899996787,0.0,0.0,4.235136543306221e-37,2.8741655942011082e-67,0.0,2.9454134107053193e-49,0.0,0.0,2.5746852761222685e-30,0.0,0.11764705999753916,3.6863894056301315e-81,0.0,0.0,0.0,2.4584340512654975e-12,6.42621206932472e-13,2.4099217855956854e-15,2.177476898628048e-15,3.7024911880193783e-20,2.324077149451095e-16,1.471106438778407e-22
1.8773640484903072e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995617439517,0.0,0.1764705899993574,0.0,0.0,3.3881125851573386e-36,2.1264439199333376e-65,0.0,1.0919124456781816e-47,0.0,0.0,1.0298747651134488e-29,0.0,0.11764705999507831,1.5703829765280833e-78,0.0,0.0,0.0,4.916869992280306e-12,1.2852429332359501e-12,4.819845613971998e-15,4.354881595275709e-15,1.4809758325630993e-19,4.648153326704065e-16,5.884426303473878e-22
3.754728892711563e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561681834,0.0,0.1764705899987148,0.0,0.0,2.7104914080577163e-35,1.369460027249396e-63,0.0,3.5088667421259095e-46,0.0,0.0,4.119500369109726e-29,0.0,0.11764705999015662,4.0442012810782814e-76,0.0,0.0,0.0,9.833741291431281e-12,2.570486208220226e-12,9.639693270313279e-15,8.709468857870731e-15,5.9237325464670965e-19,9.296296854192207e-16,2.353768715347261e-21
7.509458581154075e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561557599,0.0,0.17647058999742954,0.0,0.0,2.1683936619810533e-34,8.76558330124589e-62,0.0,1.1228615015139425e-44,0.0,0.0,1.6478004088363e-28,0.0,0.11764705998031325,1.0353170495368888e-73,0.0,0.0,0.0,1.966748155821923e-11,5.140971337450645e-12,1.9279388581350458e-14,1.7417754950898656e-14,2.3693552728998018e-18,1.8592548601231387e-15,9.415055923644068e-21
1.1264188269596587e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561433364,0.0,0.1764705899961443,0.0,0.0,6.437394211098605e-34,4.691099527916443e-61,0.0,4.963937304067172e-44,0.0,0.0,3.501576031416237e-28,0.0,0.11764705997046987,6.482587013161624e-73,0.0,0.0,0.0,2.950121949349373e-11,7.711454098947782e-12,2.8919083890742234e-14,2.6125152702399453e-14,5.0346773370794755e-18,2.7888765040467345e-15,2.000696476037982e-20
1.5018917958039099e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561309129,0.0,0.17647058999485904,0.0,0.0,1.4026698324084911e-33,1.7725663219128923e-60,0.0,1.6962133476629907e-43,0.0,0.0,5.973276904179318e-28,0.0,0.1176470599606265,3.9149878032721455e-72,0.0,0.0,0.0,3.933495509725533e-11,1.0281933545720659e-11,3.8558779198488594e-14,3.4831662202988526e-14,8.588248826308781e-18,3.718494617203436e-15,3.4129481815673234e-20
2.252837733492412e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995610606594,0.0,0.17647058999228857,0.0,0.0,4.0714944217138654e-33,1.280485332126474e-59,0.0,1.0428091843453905e-42,0.0,0.0,1.2366911378264648e-27,0.0,0.11764705994093975,9.953634137707759e-71,0.0,0.0,0.0,5.900242083286224e-11,1.5422880949185855e-11,5.783816981011959e-14,5.224259681472444e-14,1.777977774977297e-17,5.577722557064728e-15,7.066059565778914e-20
3.0037836711809144e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559956081219,0.0,0.1764705899897181,0.0,0.0,8.903863788869465e-33,4.906737498228627e-59,0.0,3.5004651347277145e-42,0.0,0.0,2.1032877380691025e-27,0.0,0.11764705992125303,5.453435863865531e-70,0.0,0.0,0.0,7.866987799466925e-11,2.0563806754169103e-11,7.711756041569968e-14,6.965026576371658e-14,3.023696394968188e-17,7.436937513148259e-15,1.2017490373939229e-19
3.754729608869417e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560563722,0.0,0.17647058998714762,0.0,0.0,1.6704816719023129e-32,1.4918163909912397e-58,0.0,9.459124418615256e-42,0.0,0.0,3.2133484303188604e-27,0.0,0.11764705990156629,2.4163896169901153e-69,0.0,0.0,0.0,9.83373259702658e-11,2.5704702924479395e-11,9.639695101479659e-14,8.705443639385567e-14,4.6192463144768625e-17,9.296138558130952e-15,1.8359968744519479e-19
