Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36)
9.770112042356664e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806037,0.0,0.17647058999999968,0.0,0.0,4.778178572741791e-46,3.3206907059307174e-57,0.0,2.9046406065326944e-36,0.0,0.0,2.790455424397554e-36,0.0,0.11764705999999744,4.1048257511498204e-55,0.0,0.0,0.0,2.558820413944662e-15,6.688616307685617e-16,2.50832712578648e-18,2.266429216555133e-18,2.174371527312377e-23,2.418978689435585e-19,9.363844176301438e-26,2.1797065926214183e-23,3.7313031069494917e-50,3.1153850160324264e-37,2.211366252953019e-59
1.9548712453125456e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806005,0.0,0.17647058999999934,0.0,0.0,3.826418029549732e-45,2.662499979429377e-56,0.0,1.1644535965644019e-35,0.0,0.0,1.1169093834299783e-35,0.0,0.11764705999999488,3.291212414982676e-54,0.0,0.0,0.0,5.119863955753235e-15,1.338304375030356e-15,5.018833510587396e-18,4.534827448540937e-18,4.3586648107643866e-23,4.840059007903135e-19,1.876773930245193e-25,4.36130693554096e-23,2.991725313991939e-49,1.246965899179583e-36,3.542029040766574e-58
3.910591327466304e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559956180594,0.0,0.17647058999999868,0.0,0.0,3.062685249719348e-44,2.137096827400695e-55,0.0,4.6740590136936787e-35,0.0,0.0,4.469092375562793e-35,0.0,0.11764705999998976,2.6417425969166866e-53,0.0,0.0,0.0,1.0241951038737832e-14,2.677189863553678e-15,1.0039846280188783e-17,9.071623671428276e-18,8.751359764331002e-23,9.68221963525898e-19,3.7671317787670826e-25,8.724507621381419e-23,2.4013546387142998e-48,4.9894878450197934e-36,5.6703226461196e-57
7.82203149177382e-20,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618058105,0.0,0.17647058999999735,0.0,0.0,2.4507686817204485e-43,1.7200643207159943e-54,0.0,1.8817121641683863e-34,0.0,0.0,1.787927960043257e-34,0.0,0.1176470599999795,2.126233648695007e-52,0.0,0.0,0.0,2.048612520217683e-14,5.354960840598452e-15,2.008187181938977e-17,1.8145215152865973e-17,1.7633183207865626e-22,1.936654085165365e-18,7.586162768826426e-25,1.745090899306791e-22,1.9327549325032946e-47,1.9961200339454614e-35,9.074977876345544e-56
1.5644911820388851e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561805552,0.0,0.17647058999999468,0.0,0.0,1.9608631684565256e-42,1.3922830952225377e-53,0.0,7.621742524109699e-34,0.0,0.0,7.152293901254604e-34,0.0,0.11764705999995899,1.7210514334979263e-51,0.0,0.0,0.0,4.097447351893404e-14,1.0710502794674105e-14,4.016592289778459e-17,3.62923942583943e-17,3.578256415854888e-22,3.873518313117493e-18,1.5377485919794551e-24,3.4903711736463896e-22,1.564442669943072e-46,7.985129973937724e-35,1.452193418564931e-54
3.129067247761892e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561805034,0.0,0.17647058999998932,0.0,0.0,1.5687898300560373e-41,1.1396421371325588e-52,0.0,3.124249130573381e-33,0.0,0.0,2.861033976859275e-33,0.0,0.11764705999991797,1.4087528172952602e-50,0.0,0.0,0.0,8.19511701119653e-14,2.1421586702718427e-14,8.033402505454567e-17,7.258673704006916e-17,7.362426165843236e-22,7.74724670771453e-18,3.1573176895426046e-24,6.980931722334659e-22,1.2805619719984324e-45,3.1941819618371318e-34,2.323667044060557e-53
6.258219379207904e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618039987,0.0,0.1764705899999786,0.0,0.0,1.2550715833701152e-40,9.529567553228603e-52,0.0,1.310068715438154e-32,0.0,0.0,1.1444368744265799e-32,0.0,0.11764705999983593,1.1779842713989414e-49,0.0,0.0,0.0,1.6390456313609527e-13,4.2843754517968036e-14,1.6067022936795354e-16,1.4517536088594394e-16,1.554793938047506e-21,1.5494703251679716e-17,6.641673746384975e-24,1.3962052819756294e-21,1.0707924352821256e-44,1.2776987796531823e-33,3.7179933231287316e-52
1.2516523642099929e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561801928,0.0,0.17647058999995718,0.0,0.0,1.0040731546635219e-39,8.283293958880743e-51,0.0,5.723081522695788e-32,0.0,0.0,4.577794065461612e-32,0.0,0.11764705999967187,1.0239278882527137e-48,0.0,0.0,0.0,3.278113485366248e-13,8.568809014182227e-14,3.213426379943122e-16,2.90352361708215e-16,3.4387656470387605e-21,3.098961535869462e-17,1.4591257244837918e-23,2.792429501481096e-21,9.307545620801019e-44,5.110847108942244e-33,5.948890124612257e-51
2.503313216788398e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995617977864,0.0,0.17647058999991433,0.0,0.0,8.032648789580893e-39,7.68195707992721e-50,0.0,2.6754478491482844e-31,0.0,0.0,1.831126939757193e-31,0.0,0.11764705999934373,9.49594460894227e-48,0.0,0.0,0.0,6.556249167467627e-13,1.7137676133663999e-13,6.426874552452011e-16,5.80705375878196e-16,8.194181970830156e-21,6.197943564906307e-17,3.4413909284046265e-23,5.5848779406059204e-21,8.63185174435145e-43,2.0443492417216852e-32,9.518304730040014e-50
5.006634921945208e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995617895036,0.0,0.17647058999982865,0.0,0.0,6.426144452539787e-38,7.834032178989439e-49,0.0,1.3791438428954405e-30,0.0,0.0,7.324526386055638e-31,0.0,0.11764705999868746,9.683930060248713e-47,0.0,0.0,0.0,1.3112520428033538e-12,3.4275410330422574e-13,1.2853770897396652e-15,1.1614074543468028e-15,2.16548793755895e-20,1.2395906053515845e-16,8.975314955752689e-23,1.116977481954577e-20,8.802731199059908e-42,8.177417763620832e-32,1.5229351621222688e-48
