Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36),HOX(23),H2OX(35),OCX(21)
0.0,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1082264570534211e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,1.1916687730270258e-116,1.097205533267507e-78,1.2197157458243883e-54,1.2689142879654393e-65,0.0,5.5945663400287644e-42,0.0,0.0,5.38313929931467e-42,0.0,0.11764706,1.568550794595959e-63,0.0,1.7690032967155171e-62,0.0,2.9024769310775754e-18,7.586915606618118e-19,2.8452022573437193e-21,2.570816848703344e-21,2.4618514885547102e-26,2.743854085626549e-22,1.0603379348216041e-28,2.4724470958819193e-26,1.425818977052017e-58,6.009969328185083e-43,1.1997004919050824e-70,2.6217143259867524e-49,3.610056868844679e-95,1.6741251103715483e-81
3.103034079749579e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,1.3554313833308418e-114,5.6987087108696065e-77,1.8431721421933577e-53,1.5064592312989603e-64,0.0,3.3791283290440566e-41,0.0,0.0,3.2514161367860586e-41,0.0,0.11764706,1.8621886810566274e-62,0.0,4.988872416455435e-61,0.0,8.126935407016555e-18,2.124336369853073e-18,7.966566320562413e-21,7.198287176118547e-21,6.893209249645854e-26,7.68279143974437e-22,2.9689561830399e-28,6.922851868469376e-26,1.6927369961173448e-57,3.6300214742237917e-42,3.3832370520183287e-69,3.961934754632394e-48,3.411110211149338e-93,3.74493455296945e-80
7.092649325141895e-23,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,1.227055236045558e-112,2.488633921205395e-75,1.9827790377628363e-52,1.479059478794329e-63,0.0,1.6269152811803895e-40,0.0,0.0,1.5654169082407045e-40,0.0,0.11764705999999998,1.8283188570891983e-61,0.0,1.0851887228829774e-59,0.0,1.8575852358891882e-17,4.855625988235594e-18,1.8209294446999798e-20,1.6453227829945682e-20,1.5756025098598798e-25,1.7560666147940147e-21,6.786232541634124e-28,1.5823661413644293e-25,1.6619491899915218e-56,1.747699080636223e-41,7.359195233920881e-68,4.262068620118344e-47,2.9818537949786113e-91,7.399288885650802e-79
1.5071879815926527e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806069,0.0,0.17647059,9.299809544502625e-111,9.264922565475376e-74,1.8225077658339586e-51,1.308227142278654e-62,0.0,7.105258276670107e-40,0.0,0.0,6.836586910129618e-40,0.0,0.11764705999999996,1.6171468341037592e-60,0.0,2.0117570030815928e-58,0.0,3.947368626263201e-17,1.0318205225000638e-17,3.8694750699874566e-20,3.4963109133586875e-20,3.3482058103587227e-25,3.731641556417226e-21,1.4420944707453102e-27,3.362528050399415e-25,1.4699929722948957e-55,7.632661046795066e-41,1.3642645527956403e-66,3.917575352027502e-46,2.2246457931470655e-89,1.31663864233123e-77
3.103034079749579e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060687,0.0,0.17647059,6.466264491791043e-109,3.191965310247019e-72,1.5591907986068776e-50,1.0996702911885353e-61,0.0,2.966382195833439e-39,0.0,0.0,2.854140456496628e-39,0.0,0.11764705999999991,1.359342175744174e-59,0.0,3.457696282224065e-57,0.0,8.126935407007012e-17,2.1243363698530723e-17,7.966566320562409e-20,7.198287172481697e-20,6.893572934189353e-25,7.682791439599866e-21,2.969100683361317e-27,6.922851868469396e-25,1.2356475016038513e-54,3.1864857378037394e-40,2.344817421142491e-65,3.3515681928268365e-45,1.534576952020205e-87,2.2206182058438694e-76
6.294726276063432e-22,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060676,0.0,0.17647059,4.311397812300407e-107,1.0593066019509769e-70,1.2891679446480456e-49,9.01619686144627e-61,0.0,1.2119266244386934e-38,0.0,0.0,1.1660095047887464e-38,0.0,0.11764705999999983,1.1145246676908882e-58,0.0,5.730878012346344e-56,0.0,1.6486068968477792e-16,4.309368064559087e-17,1.61607488217123e-19,1.460223968430679e-19,1.3984949273181841e-24,1.5585091205710014e-20,6.023368226402166e-27,1.4043499504609394e-24,1.0131074027425526e-53,1.3017833963622087e-39,3.8863591710631414e-64,2.7711413948037213e-44,1.0191296587591583e-85,3.6470918649032743e-75
1.2678110668691137e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060653,0.0,0.17647058999999998,2.8157362508298553e-105,3.451612070692022e-69,1.0483295040056413e-48,7.302255227250463e-60,0.0,4.899308147794429e-38,0.0,0.0,4.713196847236291e-38,0.0,0.11764705999999966,9.026581501709053e-58,0.0,9.331249209923267e-55,0.0,3.320433609135196e-16,8.679431453971108e-17,3.2549113824012026e-19,2.941014468227327e-19,2.817027031648726e-24,3.1389690736909794e-20,1.2132923783719138e-26,2.8284794776889532e-24,8.205198867214833e-53,5.2620166253538476e-39,6.327925471489039e-63,2.2534461602983994e-43,6.643310106369234e-84,5.9111849431764446e-74
2.544487945394655e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561806061,0.0,0.17647058999999993,1.8199411955062178e-103,1.1145071580264881e-67,8.455155408863112e-48,5.878625585076095e-59,0.0,1.9703979559130973e-37,0.0,0.0,1.895155722880871e-37,0.0,0.11764705999999933,7.266781468209346e-57,0.0,1.5060673845520624e-53,0.0,6.664087033683074e-16,1.7419558232795117e-16,6.532584382861129e-19,5.902595457547145e-19,5.655118586434424e-24,6.299888979522727e-20,2.4356116783293658e-26,5.676738532145038e-24,6.6055335632539226e-52,2.1158337418649145e-38,1.0213294862079957e-61,1.8174859649665355e-42,4.2907977093797856e-82,9.516858200568636e-73
5.097841702445737e-21,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618060526,0.0,0.17647058999999984,1.1699807901247396e-101,3.5824877438893103e-66,6.7916399077218795e-47,4.719048819096331e-58,0.0,7.905447192051446e-37,0.0,0.0,7.600422077866137e-37,0.0,0.11764705999999867,5.833386734644064e-56,0.0,2.4202098554862434e-52,0.0,1.3351393882671011e-15,3.489981179044298e-16,1.3087930383780908e-18,1.182575739509287e-18,1.1335411080475769e-23,1.2621728789553398e-19,4.88188303222008e-26,1.1373256641057439e-23,5.302571988901001e-51,8.485439634648898e-38,1.6412488775290053e-60,1.4599035661757547e-41,2.7586795763798835e-80,1.5267294877438223e-71
