Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(40)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.8154667711168604e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.4559292801365455e-84,5.2490762677996544e-42,0.0,3.1918023207634585e-64,0.0,5.9134973074694699e-25,-3.6496844996592949e-125,5.9134973074694699e-25,8.3541274182521648e-87,1.4699607804133384e-106,0.0,0.0,8.2512959505164331e-68,4.3529190619773738e-102,2.3452078798180075e-18
1.628330695912721e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,3.2568555624942469e-83,3.1704420657509912e-41,0.0,4.823451667137728e-63,0.0,1.6557792460914518e-24,6.9405775541283092e-124,1.6557792460914518e-24,2.3559975979857969e-85,8.9424887681154383e-105,0.0,0.0,9.7959385524531093e-67,2.2531962705484681e-100,6.566582063490422e-18
3.721898733514791e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,6.4349977643871926e-82,1.5264313786761396e-40,0.0,5.1888491968187278e-62,0.0,3.7846382767804607e-24,7.3339352794332445e-122,3.7846382767804607e-24,5.1248093898680667e-84,4.0370668898183809e-103,0.0,0.0,9.6177105599219533e-66,9.8383367280758404e-99,1.5009330430835237e-17
7.909034808718931e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,1.1450734701115636e-80,6.6663268601055598e-40,0.0,4.7694463718704086e-61,0.0,8.0423563381584787e-24,5.7969050442044464e-120,8.0423563381584772e-24,9.5005329123397662e-83,1.5243196431367235e-101,0.0,0.0,8.5067560731444178e-65,3.6625660873520744e-97,3.1894827165524818e-17
1.628330695912721e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996527,0.022821567693054285,0.0,1.9313337748000552e-79,2.7830602371873749e-39,0.0,4.080361785236145e-60,0.0,1.6557792460914516e-23,4.1086413635750087e-118,1.6557792460914507e-23,1.6328988679662777e-81,5.2885729598225458e-100,0.0,0.0,7.1504410499823268e-64,1.2618095495099527e-95,6.5665820634903807e-17
3.3031851259943766e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999986,0.1186699660299652,0.022821567693054285,0.0,3.1722215245413052e-78,1.1369709159104742e-38,0.0,3.3737220304934976e-59,0.0,3.3588664706426576e-23,2.7649272883238465e-116,3.3588664706426547e-23,2.7064101225173527e-80,1.7613156024482515e-98,0.0,0.0,5.8623635842273251e-63,4.1874858443108556e-94,1.3320780757366097e-16
6.652893986157688e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999975,0.11866996602996506,0.022821567693054285,0.0,5.142307791586756e-77,4.5958182281194347e-38,0.0,2.7434547258397518e-58,0.0,6.7650409197450685e-23,1.8141699262116082e-114,6.765040919745059e-23,4.4066872934837747e-79,5.7492274792574442e-97,0.0,0.0,4.7474940225471835e-62,1.3644312959913777e-92,2.6829178145117214e-16
1.335231170648431e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999948,0.1186699660299648,0.022821567693054285,0.0,8.2815281698335303e-76,1.8479582963839258e-37,0.0,2.2126956248625441e-57,0.0,1.3577389817949881e-22,1.1755551134872072e-112,1.3577389817949845e-22,7.1124110581083613e-78,1.8580509760938729e-95,0.0,0.0,3.821196211991391e-61,4.4056659742971583e-91,5.3845972920618202e-16
2.6751147147137557e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999892,0.11866996602996426,0.022821567693054285,0.0,1.3293686794409728e-74,7.4111392880486136e-37,0.0,1.777357457439695e-56,0.0,2.7202087614359472e-22,7.5702458521754898e-111,2.7202087614359327e-22,1.1429453632555033e-76,5.9752134842063303e-94,0.0,0.0,3.0662693095914328e-60,1.4161619599531747e-89,1.078795624716151e-15
