Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36),HOX(23),H2OX(35),OCX(21),CXHO(27),COX(37)
3.357760572070611e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618049584,0.0,0.17647058999998852,2.7092161281425637e-80,4.4228922708392796e-57,1.9385153772385333e-41,1.42350038941265e-52,0.0,3.610316246892672e-33,0.0,0.0,3.29452397335223e-33,0.0,0.11764705999991197,1.7465186979901717e-50,0.0,4.5435137345609966e-45,0.0,8.794071396430918e-14,2.2987220639935266e-14,8.620537705503277e-17,7.789186178911212e-17,7.9327899046951355e-22,8.313467700559987e-18,3.400896590095136e-24,7.491145263927196e-22,1.5875879659478876e-45,3.678148925752912e-34,3.081152626837471e-53,4.166955028351381e-36,2.2396200413080065e-69,8.157643289405475e-54,4.7924411426460565e-48,6.058308580846653e-65
6.715612231697093e-19,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618038477,0.0,0.17647058999997703,1.628187239688051e-78,1.415375130468678e-55,1.550861381993133e-40,1.2169146718554808e-51,0.0,1.5187210356344347e-32,0.0,0.0,1.3178364008541498e-32,0.0,0.11764705999982394,1.464818523856623e-49,0.0,7.26986847674733e-44,0.0,1.758838132892529e-13,4.5975064863867645e-14,1.724130926438416e-16,1.5578574183065267e-16,1.6813362127460683e-21,1.6627160547974245e-17,7.178376444169531e-24,1.4982493743753661e-21,1.3315183035547708e-44,1.4712895038438602e-33,4.9300113456436855e-52,3.333669522569442e-35,1.4334078704331825e-67,1.2250656997436102e-52,4.0194376228690466e-47,1.0335147727989983e-63
1.3431315550950057e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995618016256,0.0,0.17647058999995405,9.410635756666879e-77,4.529279777640867e-54,1.2407087379682109e-39,1.1277790250436087e-50,0.0,6.671472380601044e-32,0.0,0.0,5.271399226889588e-32,0.0,0.11764705999964789,1.2799833987528815e-48,0.0,1.1631986748031031e-42,0.0,3.5177001119326903e-13,9.195075330352702e-14,3.448285238209329e-16,3.1157321763985716e-16,3.741724056661011e-21,3.325454511326373e-17,1.5862824403114244e-23,2.996519070360064e-21,1.1634967662521326e-43,5.88521788302359e-33,7.888151817930012e-51,2.6669778140530372e-34,9.173973680200563e-66,1.7689621881524172e-51,3.512219621012165e-46,1.9066857161499496e-62
2.6862722189455985e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995617971813,0.0,0.17647058999990808,5.221887329914932e-75,1.4493822216033105e-52,9.925748433731091e-39,1.2246314673261562e-49,0.0,3.145824711836848e-31,0.0,0.0,2.1085704154735e-31,0.0,0.11764705999929577,1.1969796903431494e-47,0.0,1.861133648141904e-41,0.0,7.035424040178164e-13,1.8390213011751264e-13,6.8965938617301e-16,6.231470321669253e-16,8.999589192099206e-21,6.650930972568729e-17,3.7749672710343763e-23,5.993058462476655e-21,1.0880345942525115e-42,2.3540991268366453e-32,1.2621149676300905e-49,2.1335991220666254e-33,5.871395369736573e-64,2.4521516431906837e-50,3.2843986833265606e-45,4.107073816917299e-61
5.372553546646785e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561788293,0.0,0.17647058999981613,2.835599296782369e-73,4.638043382978682e-51,7.940630158925175e-38,1.69479026876399e-48,0.0,1.640109575605824e-30,0.0,0.0,8.434303111179745e-31,0.0,0.11764705999859154,1.2343741048763812e-46,0.0,2.9778264292299365e-40,0.0,1.4070871777329708e-12,3.67804883224058e-13,1.3793211108687422e-15,1.2462901128888413e-15,2.4063644054560512e-20,1.330188208779176e-16,9.959517397139971e-23,1.1986137247544109e-20,1.1220002320167722e-41,9.41642045517365e-32,2.0193924367722313e-48,1.7068860325927747e-32,3.7577096853598965e-62,3.3275891411384706e-49,3.3868777225773777e-44,1.1250679428038535e-59
1.0745116202049158e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995617705165,0.0,0.17647058999963222,1.5591786809577102e-71,1.4841771006667948e-49,6.352516691662329e-37,3.0708457884068662e-47,0.0,9.614626786281988e-30,0.0,0.0,3.3737255341759685e-30,0.0,0.11764705999718307,1.4303859287224937e-45,0.0,4.764532276579328e-39,0.0,2.8141766774275208e-12,7.356103852707005e-13,2.758644560226519e-15,2.4925580812694586e-15,7.238478656158451e-20,2.660377708919503e-16,2.9557335579379817e-22,2.3972294822495144e-20,1.3001095128905116e-40,3.7665729722464893e-31,3.2310345204763804e-47,1.3655114951009248e-31,2.4049394438354756e-60,4.575321999707916e-48,3.924401174023547e-43,4.0407665327246035e-58
2.14902415128539e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995617349633,0.0,0.1764705899992644,8.902741377775045e-70,4.749371661444358e-48,5.082018378698896e-36,6.9587862017958505e-46,0.0,6.28914175989276e-29,0.0,0.0,1.349491071485399e-29,0.0,0.11764705999436613,1.853004808185302e-44,0.0,7.623259291474644e-38,0.0,5.628355485873599e-12,1.4712213560522342e-12,5.517291458807321e-15,4.985021247902391e-15,2.417970780878912e-19,5.320753817586182e-16,9.766781223514707e-22,4.794461000853602e-20,1.6840870613242126e-39,1.5066301478363412e-30,5.169659988558852e-46,1.0924102126018493e-30,1.5391628025940104e-58,6.535622711003214e-47,5.083137834971908e-42,1.8207587829159832e-56
4.2980492134463385e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995616638574,0.0,0.1764705899985288,5.296489591372599e-68,1.5197995299867323e-46,4.065616712396265e-35,1.8345536176957907e-44,0.0,4.47019770327454e-28,0.0,0.0,5.39796600056185e-29,0.0,0.11764705998873226,2.616567977387035e-43,0.0,1.2197219413355691e-36,0.0,1.1256712338993771e-11,2.942443031200684e-12,1.1034585255429918e-14,9.969656517650862e-15,8.716846912540906e-19,1.0641494468488784e-15,3.4954787528173594e-21,9.588924065343679e-20,2.377621728416711e-38,6.026522522898545e-30,8.271458053464028e-45,8.739284592209428e-30,9.850645018799678e-57,9.727532614001096e-46,7.175596109588658e-41,9.569199574974267e-55
8.596099337768237e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561521645,0.0,0.1764705899970576,3.249982515246344e-66,4.863357485215176e-45,3.2524941725537614e-34,5.292580439700425e-43,0.0,3.351565705989792e-27,0.0,0.0,2.1591867423406384e-28,0.0,0.11764705997746451,3.908718959397631e-42,0.0,1.951554662898991e-35,0.0,2.2513422990147016e-11,5.8848842505001425e-12,2.206917284651904e-14,1.9937762939028777e-14,3.2955760864342342e-18,2.128292950477207e-15,1.3159424288831078e-20,1.9177850406050444e-19,3.550511177072387e-37,2.4106094167304348e-29,1.3234328997780897e-43,6.991425807646015e-29,6.30441041244982e-55,1.493006654398776e-44,1.0712774373054579e-39,5.511952328356995e-53
1.2894149462090134e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995613794327,0.0,0.17647058999558637,1.7994348479518438e-65,2.268789192183309e-44,9.655805365410758e-34,2.3666741459179458e-42,0.0,9.418271206555392e-27,0.0,0.0,4.588272040387076e-28,0.0,0.11764705996619676,1.415954968149253e-41,0.0,7.38312592446184e-35,0.0,3.377013058621397e-11,8.827321918352959e-12,3.310376043545203e-14,2.9904705378225573e-14,6.883447715988772e-18,3.1924318275734344e-15,2.744969398585959e-20,2.876677709510564e-19,1.2859702340266884e-36,5.122545303349033e-29,5.006800240853074e-43,2.0755788900799574e-28,3.525537042617378e-54,5.441246956168401e-44,3.8796394597992914e-39,2.973174957443397e-52
