Time (s),Volume (m^3),Ar,Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),HeX(44),C2H4X(59),C2H3X(53)
0.0,0.0009467769729032257,0.0,0.0,0.0,0.0027456532214193544,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
1.1290643189030641e-24,0.0009467769729032257,0.0,0.0,0.0,0.0027456532214193518,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.9285560280843139e-18,7.2847148929766986e-19,0.0
3.1613800929285797e-24,0.0009467769729032257,0.0,0.0,0.0,0.0027456532214193471,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.3999568786360724e-18,2.0397201700333343e-18,0.0
7.22601164097961e-24,0.0009467769729032257,0.0,0.0,0.0,0.0027456532214193375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.2342758579739567e-17,4.6622175315040967e-18,0.0
1.535527473708167e-23,0.0009467769729032257,0.0,0.0,0.0,0.0027456532214193185,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.6228361981946451e-17,9.9072122544433543e-18,0.0
3.1613800929285794e-23,0.0009467769729032257,0.0,0.0,0.0,0.0027456532214192803,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.3999568786359832e-17,2.0397201700312799e-17,0.0
6.413085331369405e-23,0.0009467769729032257,0.0,0.0,0.0,0.002745653221419204,0.49999999999999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.09541982395185e-16,4.1377180592015423e-17,0.0
1.2916495808251054e-22,0.0009467769729032257,0.0,0.0,0.0,0.0027456532214190509,0.49999999999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,2.2062680961282902e-16,8.3337138375275576e-17,0.0
2.592331676201435e-22,0.0009467769729032257,0.0,0.0,0.0,0.0027456532214187447,0.49999999999999956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999983,4.4279646404809167e-16,1.6725705394121549e-16,0.0
5.193695866954095e-22,0.0009467769729032257,0.0,0.0,0.0,0.0027456532214181323,0.49999999999999911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999967,8.8713577291851529e-16,3.3509688507077367e-16,0.0
1.0396424248459414e-21,0.0009467769729032257,0.0,0.0,0.0,0.0027456532214169081,0.49999999999999822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999933,1.7758143906589566e-15,6.7077654732060401e-16,0.0
2.0801881011470055e-21,0.0009467769729032257,0.0,0.0,0.0,0.0027456532214144595,0.49999999999999645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999867,3.5531716261382133e-15,1.3421358717831204e-15,0.0
4.161279453749133e-21,0.0009467769729032257,0.0,0.0,0.0,0.0027456532214095619,0.49999999999999289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999734,7.1078860970902293e-15,2.6848545205595743e-15,0.0
8.323462158953389e-21,0.0009467769729032257,0.0,0.0,0.0,0.0027456532213997673,0.49999999999998579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999467,1.4217315038968264e-14,5.3702918175181683e-15,0.0
1.66478275693619e-20,0.0009467769729032257,0.0,0.0,0.0,0.0027456532213801775,0.49999999999997158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999998929,2.8436172922620341e-14,1.0741166409058099e-14,0.0
3.329655839017892e-20,0.0009467769729032257,0.0,0.0,0.0,0.0027456532213409979,0.49999999999994316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999997852,5.6873888689508527e-14,2.1482915582628941e-14,0.0
6.659402003181297e-20,0.0009467769729032257,0.0,0.0,0.0,0.0027456532212626391,0.49999999999988626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999995703,1.1374932022162111e-13,4.296641389173454e-14,0.0
1.3318894331508106e-19,0.0009467769729032257,0.0,0.0,0.0,0.0027456532211059211,0.49999999999977252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999991407,2.2750018327919086e-13,8.5933410357801392e-14,0.0
2.663787898816172e-19,0.0009467769729032257,0.0,0.0,0.0,0.0027456532207924852,0.49999999999954503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999982814,4.5500190936770903e-13,1.7186740268135767e-13,0.0
5.327584830146896e-19,0.0009467769729032257,0.0,0.0,0.0,0.0027456532201656138,0.49999999999909001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999965627,9.1000536143825979e-13,3.4373538489416077e-13,0.0
1.0655178692808343e-18,0.0009467769729032257,0.0,0.0,0.0,0.0027456532189118711,0.49999999999818001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999931255,1.820012265153419e-12,6.8747133958252944e-13,0.0
2.131036641813124e-18,0.0009467769729032257,0.0,0.0,0.0,0.0027456532164043855,0.49999999999636002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999986251,3.640026070879968e-12,1.3749432100103187e-12,0.0
4.262074186877703e-18,0.0009467769729032257,0.0,0.0,0.0,0.002745653211389414,0.49999999999271999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999725014,7.2800536755179903e-12,2.7498867950701202e-12,0.0
8.52414927700686e-18,0.0009467769729032257,0.0,0.0,0.0,0.0027456532013594723,0.49999999998543992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999450023,1.4560108857533734e-11,5.4997733420067563e-12,0.0
1.7048299457265175e-17,0.0009467769729032257,0.0,0.0,0.0,0.0027456531812995919,0.49999999997087979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999998900047,2.9120219112524018e-11,1.0999543943149288e-11,0.0
2.557244963752349e-17,0.0009467769729032257,0.0,0.0,0.0,0.0027456531612397137,0.49999999995631966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999835007,4.3680329258473114e-11,1.6499312051562189e-11,0.0
3.4096599817781806e-17,0.0009467769729032257,0.0,0.0,0.0,0.002745653141179838,0.49999999994175953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999997800093,5.8240439295381039e-11,2.1999077667246584e-11,0.0
5.114490017829844e-17,0.0009467769729032257,0.0,0.0,0.0,0.0027456531010600933,0.49999999991263933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999670014,8.7360659113283983e-11,3.2998603048337634e-11,0.0
6.819320053881507e-17,0.0009467769729032257,0.0,0.0,0.0,0.0027456530609403572,0.49999999988351912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999995600186,1.1648087853020377e-10,4.3998119262786178e-11,0.0
8.52415008993317e-17,0.0009467769729032257,0.0,0.0,0.0,0.0027456530208206319,0.49999999985439891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999994500233,1.4560109751749882e-10,5.4997625655839503e-11,0.0
1.1933810162036495e-16,0.0009467769729032257,0.0,0.0,0.0,0.0027456529405812122,0.4999999997961585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999992300342,2.0384153417622885e-10,7.6996608360888095e-11,0.0
1.534347023413982e-16,0.0009467769729032257,0.0,0.0,0.0,0.002745652860341835,0.49999999973791809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999990100452,2.620819690900266e-10,9.8995551176157771e-11,0.0
2.2162790378346473e-16,0.0009467769729032257,0.0,0.0,0.0,0.0027456526998632046,0.49999999962143721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999985700672,3.7856283368356527e-10,1.4299331715454537e-10,0.0
3.580143066675978e-16,0.0009467769729032257,0.0,0.0,0.0,0.002745652378906443,0.4999999993884755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999976901166,6.1152454193460829e-10,2.3098837050881963e-10,0.0
6.307871124358639e-16,0.0009467769729032257,0.0,0.0,0.0,0.0027456517369949178,0.4999999989225522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999959302344,1.0774478746934837e-09,4.0697656284229433e-10,0.0
1.176332723972396e-15,0.0009467769729032257,0.0,0.0,0.0,0.00274565045317986,0.49999999799070582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999924105476,2.0092942052405824e-09,7.5894529016851547e-10,0.0
2.2674239470454605e-15,0.0009467769729032257,0.0,0.0,0.0,0.0027456478855817121,0.49999999612701451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999853714794,3.8729855264679752e-09,1.4628521166955172e-09,0.0
3.358515170118525e-15,0.0009467769729032257,0.0,0.0,0.0,0.0027456453180261871,0.49999999426332498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999783328197,5.7366750612261058e-09,2.1667181073186165e-09,0.0
4.449606393191589e-15,0.0009467769729032257,0.0,0.0,0.0,0.0027456427505132821,0.49999999239963722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999712945686,7.6003628095426584e-09,2.8705432642686804e-09,0.0
5.5406976162646536e-15,0.0009467769729032257,0.0,0.0,0.0,0.0027456401830429941,0.49999999053595123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999964256725,9.4640487714461804e-09,3.574327589850381e-09,0.0
7.722880062410782e-15,0.0009467769729032257,0.0,0.0,0.0,0.0027456350482302633,0.49999998680858471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999501822634,1.3191415336119886e-08,4.9817737554513942e-09,0.0
9.905062508556911e-15,0.0009467769729032257,0.0,0.0,0.0,0.0027456299135879773,0.49999998308122523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999361094349,1.6918774755475956e-08,6.3890566225995802e-09,0.0
1.208724495470304e-14,0.0009467769729032257,0.0,0.0,0.0,0.0027456247791161148,0.49999997935387297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999220382396,2.0646127029755181e-08,7.7961762107460761e-09,0.0
1.426942740084917e-14,0.0009467769729032257,0.0,0.0,0.0,0.0027456196448146569,0.49999997562652787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999079686758,2.4373472159196237e-08,9.2031325391750561e-09,0.0
1.8633792293141426e-14,0.0009467769729032257,0.0,0.0,0.0,0.0027456093767228794,0.49999996817185899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999998798344464,3.1828140984479452e-08,1.201655549085393e-08,0.0
2.256172069620446e-14,0.0009467769729032257,0.0,0.0,0.0,0.0027456001360228748,0.4999999614626815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999998545192215,3.8537318494203833e-08,1.4548077986245658e-08,0.0
2.648964909926749e-14,0.0009467769729032257,0.0,0.0,0.0,0.0027455908958746865,0.49999995475352715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999998292092834,4.5246472858246762e-08,1.7079071810529096e-08,0.0
3.4345505905393554e-14,0.0009467769729032257,0.0,0.0,0.0,0.002745572417233319,0.49999994133528786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999997786052625,5.8664712154687774e-08,2.2139473881996451e-08,0.0
5.0057219517645685e-14,0.0009467769729032257,0.0,0.0,0.0,0.0027455354665675263,0.49999991449908693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999996774606137,8.5500913058788462e-08,3.2253938770133531e-08,0.0
6.523768976129807e-14,0.0009467769729032257,0.0,0.0,0.0,0.0027454997736497339,0.49999988857062139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999995798160907,1.1142937858566413e-07,4.2018391035845642e-08,0.0
8.041816000495044e-14,0.0009467769729032257,0.0,0.0,0.0,0.0027454640889561402,0.49999986264250135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999994822503557,1.3735749862042396e-07,5.1774964595021131e-08,0.0
9.559863024860281e-14,0.0009467769729032257,0.0,0.0,0.0,0.0027454284124803826,0.49999983671472675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999993847633445,1.6328527324085721e-07,6.1523665731686281e-08,0.0
1.1077910049225518e-13,0.0009467769729032257,0.0,0.0,0.0,0.002745392744216106,0.49999981078729749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999992873549948,1.8921270252469164e-07,7.1264500724732874e-08,0.0
1.2595957073590755e-13,0.0009467769729032257,0.0,0.0,0.0,0.0027453570841569574,0.49999978486021351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999991900252438,2.151397865495938e-07,8.0997475847955442e-08,0.0
1.5632051122321232e-13,0.0009467769729032257,0.0,0.0,0.0,0.0027452857886286651,0.49999973300708084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999989956012858,2.6699291913298135e-07,1.0043987155625157e-07,0.0
1.8668145171051706e-13,0.0009467769729032257,0.0,0.0,0.0,0.0027452145258447967,0.49999968115532845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999988014909724,3.1884467161114705e-07,1.1985090294642884e-07,0.0
2.1400629814909134e-13,0.0009467769729032257,0.0,0.0,0.0,0.0027451504172939507,0.49999963448993068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999986270594415,3.6551006936328797e-07,1.3729405603992268e-07,0.0
2.413311445876656e-13,0.0009467769729032257,0.0,0.0,0.0,0.002745086335188226,0.49999958782564979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999984528811925,4.1217435018244414e-07,1.5471188094635111e-07,0.0
2.686559910262399e-13,0.0009467769729032257,0.0,0.0,0.0,0.0027450222794908204,0.49999954116248546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999982789558617,4.5883751451870353e-07,1.7210441401570834e-07,0.0
3.2330568390338845e-13,0.0009467769729032257,0.0,0.0,0.0,0.0027448942471740324,0.49999944783950445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999979318625043,5.521604955397595e-07,2.06813749782632e-07,0.0
3.77955376780537e-13,0.0009467769729032257,0.0,0.0,0.0,0.0027447663200502407,0.49999935452098399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.499999758577647,6.4547901601467009e-07,2.4142235309921282e-07,0.0
4.3260506965768556e-13,0.0009467769729032257,0.0,0.0,0.0,0.0027446384978269409,0.49999926120692045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999972406948728,7.3879307952168051e-07,2.759305128926748e-07,0.0
4.872547625348342e-13,0.0009467769729032257,0.0,0.0,0.0,0.002744510780212464,0.49999916789731036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999968966148295,8.3210268962909757e-07,3.1033851726145708e-07,0.0
5.419044554119827e-13,0.0009467769729032257,0.0,0.0,0.0,0.0027443831669159819,0.49999907459215009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999965535334667,9.2540784989531981e-07,3.4464665347781254e-07,0.0
5.965541482891313e-13,0.0009467769729032257,0.0,0.0,0.0,0.0027442556576474956,0.49999898129143611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999962114479218,1.0187085638688675e-06,3.7885520799023204e-07,0.0
7.058535340434284e-13,0.0009467769729032257,0.0,0.0,0.0,0.0027440009500386804,0.49999879470333292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999955302528654,1.2052966670827856e-06,4.4697471359170094e-07,0.0
8.151529197977255e-13,0.0009467769729032257,0.0,0.0,0.0,0.0027437466550826266,0.49999860813297253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999948530069094,1.3918670274624966e-06,5.1469930926672194e-07,0.0
9.244523055520226e-13,0.0009467769729032257,0.0,0.0,0.0,0.0027434927704891266,0.49999842158032687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999941796874303,1.5784196730433743e-06,5.8203125718508388e-07,0.0
1e-12,0.0009467769729032257,0.0,0.0,0.0,0.0027433175242068562,0.49999829264554763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999937165724023,1.7073544524239903e-06,6.283427600754686e-07,0.0
1.0337516913063197e-12,0.0009467769729032257,0.0,0.0,0.0,0.0027432392939810905,0.49999823504536833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999935102719367,1.7649546317054117e-06,6.4897280655978256e-07,0.0
1.1430510770606168e-12,0.0009467769729032257,0.0,0.0,0.0,0.0027429862232944608,0.49999804852806889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999928447380654,1.9514719311741121e-06,7.1552619372127747e-07,0.0
1.361649848569211e-12,0.0009467769729032257,0.0,0.0,0.0,0.0027424812903939335,0.49999767554633734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999915252263744,2.3244536626663652e-06,8.4747736275621479e-07,0.0
1.5583887429269459e-12,0.0009467769729032257,0.0,0.0,0.0,0.0027420282162439495,0.49999733992289846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999903507192645,2.6600771015785455e-06,9.64928073827437e-07,0.0
1.7551276372846807e-12,0.0009467769729032257,0.0,0.0,0.0,0.0027415764223327308,0.49999700435625105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999891884466258,2.9956437489233629e-06,1.0811553377012762e-06,0.0
1.9518665316424157e-12,0.0009467769729032257,0.0,0.0,0.0,0.0027411258959179506,0.49999666884623906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999880382825979,3.3311537609253212e-06,1.1961717404792869e-06,0.0
2.1486054260001505e-12,0.0009467769729032257,0.0,0.0,0.0,0.002740676624388295,0.49999633339270777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999869001026143,3.6666072922563964e-06,1.3099897388037265e-06,0.0
2.3453443203578853e-12,0.0009467769729032257,0.0,0.0,0.0,0.0027402285952621138,0.49999599799550393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999857737833908,4.0020044960519978e-06,1.4226216611894119e-06,0.0
2.54208321471562e-12,0.0009467769729032257,0.0,0.0,0.0,0.0027397817961860868,0.49999566265447609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999984659202909,4.337345523926776e-06,1.5340797093417967e-06,0.0
2.738822109073355e-12,0.0009467769729032257,0.0,0.0,0.0,0.0027393362149339038,0.49999532736947394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999835562404071,4.6726305259902523e-06,1.644375959461497e-06,0.0
2.9355610034310897e-12,0.0009467769729032257,0.0,0.0,0.0,0.0027388918394049581,0.49999499214034915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999824647763669,5.0078596508622972e-06,1.7535223635351623e-06,0.0
