Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CH3X(55),C2H4(47),COX(50),H2OX(23),CHOX(53),O(29),acetyl(44),C2H4X(215),C2H4X(70),C2H6X(52),CO2X(24)
6.258727987672922e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999677,0.11866996602996226,0.022821567693054243,1.7276760072503217e-100,1.5248046842220464e-45,1.9518762222612707e-30,2.845448128925251e-72,1.0303371143854014e-45,2.4158197265563606e-110,5.5238237757677016e-17,1.4224094878716062e-89,5.52382377576667e-17,7.879740945353333e-61,9.013268171108108e-60,3.1959411368781495e-93,3.7056864568126534e-94,7.030666784052328e-32,6.319810840684325e-71,3.01671180743725e-15,8.931947492424932e-17,3.575758093839534e-19,5.920534358587276e-32,2.192272574161683e-31,3.575758088660079e-19,2.5561328901069724e-28,3.4181088484088867e-34,4.150849936753514e-39,2.665926745776469e-64,8.003746130916825e-44,1.9723047753256785e-31,4.1778811984381296e-61,5.628353124927228e-87,1.2374801323804309e-45,2.795671416112205e-90,6.715388812720604e-25,1.6894714624267752e-102,4.0828460129783043e-75,6.142108599227219e-85,1.0210831595732362e-59,1.4190163235339793e-90
1.2522893619123145e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999366,0.11866996602995918,0.0228215676930542,4.5305899578045105e-98,1.220770895978678e-44,7.81259164151632e-30,1.8645567711733376e-70,8.251053316497868e-45,6.331416245279248e-108,1.1052446703383022e-16,9.117490828395488e-88,1.1052446703378887e-16,1.26212797287038e-59,1.4438011681811837e-58,4.1881405241842206e-91,4.856139381766338e-92,2.814098958264097e-31,3.441979423982331e-69,6.036044563445896e-15,1.7871655147744906e-16,7.154622846296509e-19,2.369756618442321e-31,8.774803518600203e-31,7.154622825565179e-19,1.0231179344201914e-27,2.736561249040683e-33,3.400040948133741e-38,8.735925489747439e-63,6.407863537441751e-43,7.894359068251793e-31,1.338570520672518e-59,7.375709619787929e-85,9.907365210124328e-45,3.665760798868241e-88,1.3436613427940473e-24,4.4300531461874484e-100,2.6162955565069992e-73,6.683936686568333e-83,1.635507597633376e-58,1.8606530590006244e-88
2.505122488202359e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998745,0.11866996602995303,0.022821567693054108,1.2121901541213966e-95,9.769877373010263e-44,3.126054306783266e-29,1.2468146328256104e-68,6.604186846998212e-44,1.693117993178084e-105,2.2109692558615843e-16,5.839700624253495e-86,2.2109692558599292e-16,2.0205009184302202e-58,2.3114253156812458e-57,5.600293474343241e-89,6.493527502792818e-90,1.1260061366699275e-30,2.009672867029319e-67,1.2074710075458597e-14,3.5751070458384263e-16,1.4312352366790292e-18,9.482112738344031e-31,3.511064374319174e-30,1.431235228383786e-18,4.0937934543479466e-27,2.1900739956256102e-32,2.8440516281073024e-37,2.9217308591033747e-61,5.128238330366688e-42,3.1587719090775126e-30,4.2860555799684434e-58,9.86264385015624e-83,7.928902805847218e-44,4.904369164546972e-86,2.6879066882274395e-24,1.185104229642023e-97,1.6754739106432778e-71,7.800231917476713e-81,2.618232599455633e-57,2.4893413816500837e-86
5.010788740782448e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799975,0.11866996602994073,0.022821567693053928,3.3676906741686956e-93,7.817386337518719e-43,1.2506252895387337e-28,8.657522136098294e-67,5.28468748131372e-43,4.700654587473967e-103,4.4224184269090234e-16,3.7388511269701187e-84,4.4224184269024024e-16,3.2336786483132845e-57,3.699355479612727e-56,7.77520582207334e-87,9.015333399309139e-88,4.504757757845674e-30,1.2243111500592313e-65,2.4152041099465637e-14,7.150990107966059e-16,2.8627811470097763e-18,3.793462144284108e-30,1.4046543731419785e-29,2.862781113823314e-18,1.6377751872732415e-26,1.752381222659428e-31,2.4724858821491118e-36,1.014952444974459e-59,4.103369854794334e-41,1.2637144456159425e-29,1.3719525265632032e-56,1.3692869129793235e-80,6.3443262616383405e-43,6.813570013699712e-84,5.376399068651896e-24,3.291511624194442e-95,1.0726329421246579e-69,9.500508448152855e-79,4.190308837104343e-56,3.4584068443409633e-84
1.0022121245942626e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995014,0.11866996602991613,0.02282156769305357,9.970820496801713e-91,6.254502972883019e-42,5.002908383169486e-28,6.406324357146519e-65,4.228285251032699e-42,1.3904124598177727e-100,8.845316769007402e-16,2.3933264972561492e-82,8.845316768980912e-16,5.174587678571482e-56,5.919828456157648e-55,1.1501740764633035e-84,1.3336242135923074e-85,1.8020497558165866e-29,7.637426748166586e-64,4.8306703147406263e-14,1.4302756232220367e-15,5.725872992599692e-18,1.5175080427666125e-29,5.619074751752225e-29,5.7258728598423355e-18,6.551563792898755e-26,1.4020209334418892e-30,2.2931007747210693e-35,3.758563579787573e-58,3.283007631495798e-40,5.055269146390268e-29,4.3908721109541854e-55,2.0255647711874686e-78,5.0759418747078374e-42,1.0088812279068853e-81,1.0753390587731496e-23,9.740870088670034e-93,6.865844315679622e-68,1.1850788076982934e-76,6.705403609840855e-55,5.120843548998816e-82
2.0044786256262983e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999004,0.11866996602986693,0.022821567693052856,3.242877049656536e-88,5.003840054204634e-41,2.001244851064332e-27,5.207158169642787e-63,3.382842318926499e-41,4.516473146159011e-98,1.7691113453218148e-15,1.5318767421766712e-80,1.7691113453112187e-15,8.279901793103838e-55,9.472411955694872e-54,1.8686202067388468e-82,2.1666608531128752e-83,7.208492339079184e-29,4.824441694509395e-62,9.661602724299371e-14,2.8606288480725165e-15,1.1452056783496888e-17,6.070276681721358e-29,2.247721339627082e-28,1.1452056252440253e-17,2.6206760470030697e-25,1.1216425414581471e-29,2.3384525375263644e-34,1.5293842256402367e-56,2.626530871979499e-39,2.022189910798704e-28,1.4051535327224831e-53,3.2908159635787425e-76,4.0609445876338355e-41,1.6411239139194628e-79,2.150740065881345e-23,3.166135839224453e-90,4.3943795110932593e-66,1.497038429518717e-74,1.0729373399320875e-53,8.329962658822169e-80
4.0090116276903697e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679980093,0.11866996602976854,0.022821567693051426,1.1835337506884505e-85,4.003167279562986e-40,8.005142801875904e-27,4.7493574827029345e-61,2.7063595028162935e-40,1.646096198251645e-95,3.5382706821695624e-15,9.804484071962015e-79,3.538270682127177e-15,1.3248292072910498e-53,1.515640387140796e-52,3.406376474546167e-80,3.9496857009550293e-81,2.883455599848727e-28,3.0672076143854367e-60,1.9323467543299335e-13,5.721335297771946e-15,2.2904424764190134e-17,2.4281580811045426e-28,8.991068110280138e-28,2.2904422639875576e-17,1.0482468613313594e-24,8.972914095139166e-29,2.6769840102690683e-33,6.984077742687616e-55,2.101274703317085e-38,8.088923962830399e-28,4.4964479154897334e-52,5.998949248824473e-74,3.2488300775761315e-40,2.995759123875115e-77,4.301552893266836e-23,1.1547385560339418e-87,2.812378564106079e-64,1.903426801539155e-72,1.7167579543718468e-52,1.5205790405054912e-77
8.018077631818512e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767996019,0.11866996602957174,0.022821567693048564,4.8386827025455385e-83,3.202572179921081e-39,3.202090119820238e-26,4.852733878131816e-59,2.1651218583595206e-39,6.721732081740417e-93,7.076589355887446e-15,6.275021128489126e-77,7.076589355717902e-15,2.119762662873206e-52,2.4250667850190498e-51,6.956920014234146e-78,8.066532679480193e-79,1.1533939728954418e-27,1.9563334563159675e-58,3.8647197180829175e-13,1.1442748197164692e-14,4.5809162321407705e-17,9.712715185406206e-28,3.5964636913224414e-27,4.5809153823704325e-17,4.192671057867476e-24,7.177713783242503e-28,3.4313287598618024e-32,3.572293932924632e-53,1.6810399214938227e-37,3.235602299128803e-27,1.438752387468619e-50,1.2251789609881528e-71,2.5990905778893735e-39,6.125627089529044e-75,8.603221800714223e-23,4.718130018479448e-85,1.7997854209003879e-62,2.4280283631466045e-70,2.746859291478247e-51,3.1092348076747326e-75
1.6036209640074798e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767992039,0.11866996602917813,0.022821567693042843,2.1645523746018233e-80,2.5620735045978944e-38,1.280842903104664e-25,5.425895926598629e-57,1.7321111836566354e-38,3.004344030064027e-90,1.415322670341277e-14,4.016061924489874e-75,1.4153226702734595e-14,3.3916489874260754e-51,3.880136061876498e-50,1.5550615321056635e-75,1.803090206562412e-76,4.613599357662944e-27,1.2497369830138824e-56,7.729465645400847e-13,2.2885573995925716e-14,9.161864382104766e-17,3.8850930811206066e-27,1.4385926832279308e-26,9.161860982719504e-17,1.676789787594687e-23,5.741081068189744e-27,4.8080509783451765e-31,1.9988117106602683e-51,1.3448402507653217e-36,1.294247342301415e-26,4.603164689046617e-49,2.7386091371508935e-69,2.0792778726388108e-38,1.3704129722100928e-72,1.7206732626314603e-22,2.1097171476063382e-82,1.1516537009343442e-60,3.1020746538627662e-68,4.395012103146902e-50,6.955945027496735e-73
3.2072473656587367e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767984079,0.11866996602839094,0.0228215676930314,1.0278904526418748e-77,2.04966577683749e-37,5.12338736432701e-25,6.440673704978959e-55,1.3856944168088147e-37,1.4259331826522397e-87,2.830650139882164e-14,2.570295092852087e-73,2.830650139610895e-14,5.426661302589672e-50,6.208226577609127e-49,3.690828326173802e-73,4.279506585503248e-74,1.8454444363437265e-26,7.988614607172951e-55,1.5458957499284556e-12,4.577122559334991e-14,1.832376323762003e-16,1.5540309816688092e-26,5.754384484136863e-26,1.832374963775166e-16,6.704879977481858e-23,4.5910808925831504e-26,7.145341296705957e-30,1.1869411938822303e-49,1.0758759258037882e-35,5.177001253105282e-26,1.4724521857229075e-47,6.49989331117078e-67,1.663416148607053e-37,3.2542669680574547e-70,3.4414446320337744e-22,1.0015848350557574e-79,7.36780194545179e-59,3.965784886013106e-66,7.032049106156101e-49,1.651814544284558e-70
