Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),H2OX(23),COX(50),CHOX(53),CH3X(55),C2H4X(215),C2H4X(70)
2.3857615845157708e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998806,0.11866996602995361,0.022821567693054115,0.0,5.464541217368394e-52,2.83525868136505e-29,9.26480048680126e-69,5.704447928148661e-44,1.1411087753516592e-105,2.1056238859418962e-16,4.356914107338824e-86,2.1056238859404053e-16,1.6620776001650467e-58,9.090251401139083e-58,3.9632310621483816e-89,4.595356931948565e-90,9.702094696222348e-43,1.506649832450224e-67,1.1499389581891383e-14,3.404764873039618e-16,1.3630415525319502e-18,8.600055780952137e-31,3.184453844972488e-30,1.3630415450083586e-18,3.712976197666373e-27,1.891703309619268e-32,2.4464615499636757e-37,2.279624701833191e-61,4.429578949245141e-42,3.3577505597305546e-58,6.848687079529116e-44,6.979622211508168e-83,3.470635019742311e-86,2.8649327887322227e-30,1.2500470975688795e-71,5.56938879714157e-81
4.772041024812856e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997623,0.1186699660299419,0.022821567693053945,0.0,8.745044272495715e-51,1.134288102481508e-28,6.41123306102452e-67,4.5647140597770036e-43,3.15732008892383e-103,4.211704820698816e-16,2.7895014262983228e-84,4.2117048206928506e-16,2.6600457334744707e-57,1.4548629143242634e-56,5.483637457105068e-87,6.358264503501398e-88,7.76314913650093e-42,9.157656565060476e-66,2.3001275232695205e-14,6.810268787727098e-16,2.7263789757538626e-18,3.440581978244866e-30,1.27398889426165e-29,2.7263789456545224e-18,1.4854246815657732e-26,1.5136412430383823e-31,2.1194403138194384e-36,7.891755379134869e-60,3.544336193468907e-41,1.0748054009885645e-56,5.479989675229532e-43,9.657200671733086e-81,4.805181192649477e-84,1.1461596644894838e-29,8.002763095179942e-70,6.767772858938327e-79
9.544599905407026e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995253,0.11866996602991847,0.022821567693053605,0.0,1.3993491658670206e-49,4.537521749966584e-28,4.7181931350393185e-65,3.6522335904689924e-42,9.288186355888299e-101,8.423866690215828e-16,1.785625437097011e-82,8.423866690191967e-16,4.256650512984888e-56,2.3281185322174888e-55,8.06760630634297e-85,9.354370183842432e-86,6.211107874385889e-41,5.705618582163454e-64,4.600504653423622e-14,1.3621276617101196e-15,5.453053844807145e-18,1.3763445307318466e-29,5.096370301671551e-29,5.453053724399378e-18,5.94212172722153e-26,1.2110138584067539e-30,1.9547724530951714e-35,2.9064155105040658e-58,2.835738228558073e-40,3.439868127916528e-55,4.384407137071255e-42,1.4207812453393222e-78,7.076009689420714e-82,4.5850117571797146e-29,5.122512524401558e-68,8.431510203434202e-77
1.9089717666595367e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999051,0.11866996602987162,0.022821567693052925,0.0,2.2390716936566148e-48,1.815082613721346e-27,3.806297471432744e-63,2.9219718196031567e-41,2.9945250783920186e-98,1.6848190429262545e-15,1.1429105391935378e-80,1.6848190429167097e-15,6.811102720812852e-55,3.7252588868371416e-54,1.3008924293165415e-82,1.508381650518246e-83,4.969120378794141e-40,3.6018346339848503e-62,9.20125891370518e-14,2.7243292275845915e-15,1.0906403673354715e-17,5.505599996050021e-29,2.038631054582588e-28,1.0906403191699208e-17,2.3768969449520755e-25,9.688344970307492e-30,1.97839258619032e-34,1.1737604234426717e-56,2.268698348339777e-39,1.1008173955821405e-53,3.5076908337511264e-41,2.2909937253305327e-76,1.1424069579623196e-79,1.8340793050988352e-28,3.278590176019933e-66,1.0644125788544072e-74
3.817995318897205e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679981036,0.1186699660297779,0.02282156769305156,0.0,3.5826030724545674e-47,7.26047862973705e-27,3.442711588831788e-61,2.3376514350396143e-40,1.0822992936356116e-95,3.369683790740675e-15,7.314980291585892e-79,3.3696837907024937e-15,1.089813387241833e-53,5.960626152632998e-53,2.351671659473113e-80,2.726757630076632e-81,3.9753877622522145e-39,2.2891712423686625e-60,1.84027674341617e-13,5.44873235933215e-15,2.181310369223931e-17,2.202283082866553e-28,8.154689977395365e-28,2.181310176553936e-17,9.50739351416224e-25,7.750498636697178e-29,2.245923113123706e-33,5.315401663475683e-55,1.8150018663793332e-38,3.522589762427172e-52,2.806217048732408e-40,4.141514516896008e-74,2.0679991713174086e-77,7.336466265309711e-28,2.0982843455630943e-64,1.3529150861449405e-72
7.636042423372542e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679962085,0.11866996602959048,0.022821567693048838,0.0,5.732229006041504e-46,2.904221362893438e-26,3.4916600594379173e-59,1.870150737359053e-39,4.38678900502228e-93,6.739413286389821e-15,4.6817002868430626e-77,6.7394132862370954e-15,1.743730977140509e-52,9.537160311848403e-52,4.767344454781199e-78,5.527724355634181e-79,3.1803433139738767e-38,1.4598490200085064e-58,3.680578447464838e-13,1.089753862282172e-14,4.3626505177369705e-17,8.80920817337833e-28,3.261909053693343e-27,4.362649747018173e-17,3.802685962076776e-24,6.199894455601203e-28,2.857703173037034e-32,2.698748655450244e-53,1.4520188969756013e-37,1.1271469831450396e-50,2.2449967205452095e-39,8.395740620456369e-72,4.197377660699762e-75,2.9346161856151215e-27,1.3428059887084783e-62,1.7255102311889646e-70
1.5272136632323213e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767992418,0.11866996602921565,0.022821567693043388,0.0,9.171596558781168e-45,1.1616947479368828e-25,3.88325658421164e-57,1.4961324211212425e-38,1.9502316523505946e-90,1.3478872277769342e-14,2.996324296813636e-75,1.3478872277158439e-14,2.789993195271341e-51,1.5259547809491683e-50,1.0599388351490331e-75,1.2289964836720816e-76,2.544282324946491e-37,9.325055842096809e-57,7.361181855391629e-13,2.1795151149778667e-14,8.725331393870187e-17,3.523690175632828e-27,1.3047701625553934e-26,8.725328310731545e-17,1.5208340730434665e-23,4.959020339008361e-27,3.98323616222317e-31,1.5020252505671558e-51,1.1616222848167524e-36,3.606243073937757e-49,1.7960023347698142e-38,1.8666514925175095e-69,9.340361605308227e-73,1.1738523063650025e-26,8.592477504401737e-61,2.2043653431219917e-68
3.0544325050224555e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767984837,0.11866996602846595,0.02282156769303249,0.0,1.4674511019207214e-43,4.646793160821004e-25,4.5943426671959235e-55,1.1969106620690506e-37,9.225641733524319e-88,2.6957790260853285e-14,1.9176590866320947e-73,2.6957790258409675e-14,4.464007971893664e-50,2.4415236057344152e-49,2.5073798781852856e-73,2.9073006863471483e-74,2.0354200207688024e-36,5.960655940723549e-55,1.4722388670563024e-12,4.3590376203603815e-14,1.7450695463864245e-16,1.409470841840382e-26,5.21909316041921e-26,1.74506831292985e-16,6.081368275979573e-23,3.965749265598286e-26,5.900433258964821e-30,8.89018541853834e-50,9.293010236136046e-36,1.1535798374752278e-47,1.43679701225369e-37,4.4157297561454396e-67,2.210738957185883e-70,4.6954200592778906e-26,5.497210265919681e-59,2.818060095737289e-66
6.108870188602724e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679696753,0.11866996602696658,0.022821567693010695,0.0,2.3478966553357574e-42,1.8587215074333362e-24,5.63706585381034e-53,9.575304079843145e-37,4.5267576181821793e-85,5.39156262283208e-14,1.2273054820469058e-71,5.391562621854633e-14,7.142427695105118e-49,3.906398219111997e-48,6.151964386327422e-71,7.133186594528898e-72,1.6283194272807635e-35,3.8103781507254337e-53,2.9444802298177084e-12,8.71808263108991e-14,3.4901432885169426e-16,5.637820034208235e-26,2.0876393086199744e-25,3.4901383530998144e-16,2.4309650591214485e-22,3.170240248092086e-25,9.057799128630914e-29,5.455603650429861e-48,7.434426228242255e-35,3.6887563994047866e-46,1.1494247255430575e-36,1.0834178557879065e-64,5.425723264000196e-68,1.8781695261206207e-25,3.5156626129594034e-57,3.602856043731578e-64
1.2217745555763263e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767939352,0.11866996602396783,0.022821567692967105,0.0,3.75654534983984e-41,7.434905766289433e-24,7.052055307681263e-51,7.660250589304494e-36,2.2649493544735852e-82,1.078312981684543e-13,7.854766496386501e-70,1.0783129812935643e-13,1.1427895792158885e-47,6.250089307020242e-47,1.5391189677518028e-68,1.784604063424798e-69,1.3026261011327983e-34,2.4345637891051207e-51,5.888962954249028e-12,1.7436172652406964e-13,6.980294493606097e-16,2.255073047713392e-25,8.350557662669406e-25,6.980274739269987e-16,9.711206762408536e-22,2.5324188281988097e-24,1.4171164819779582e-27,3.413060902313557e-46,5.947556591057685e-34,1.178673522212363e-44,9.195171201676425e-36,2.7105287524532412e-62,1.3576002034837783e-65,7.512675794458126e-25,2.2467552414069006e-55,4.603811364737479e-62
