Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),H2OX(23),COX(50),O(29),CHOX(53),acetyl(44),C2H4X(215),C2H6X(52),C2H4X(70),CO2X(24),HOCO(73),CHO2(74)
6.4026255885859006e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999967,0.11866996602996219,0.02282156769305424,6.110477443567158e-100,1.632414445624549e-45,2.0426617575705134e-30,4.65628845299607e-72,1.1030512091140086e-45,4.1372732432083174e-110,5.650826443428808e-17,1.6302607817785993e-89,5.650826443427854e-17,8.629789404985044e-61,6.741949513593813e-60,5.350212295523924e-93,6.203557094291999e-94,7.357676652575115e-32,4.5795330413852526e-71,3.086070564135249e-15,9.137306443664241e-17,3.6579701694980787e-19,6.195907870463761e-32,2.2942396822883723e-31,3.6579701617519134e-19,3.844325920016742e-28,7.557665724666731e-34,1.310172644783492e-38,8.807017145068098e-64,8.56859307260787e-44,2.2663673935857707e-61,2.064040473340829e-31,1.3248121748213363e-45,9.42222456317981e-87,6.869785830625692e-25,6.72629872179504e-90,2.893274714204288e-102,2.265735757043627e-75,1.1182772080524018e-59,4.558990478066664e-85,4.9059490537862965e-90,1.0509274567065846e-121,6.3075124501096144e-124
1.2810813840584995e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999355,0.11866996602995904,0.022821567693054195,1.5923328149434174e-97,1.3069241366397266e-44,8.175970412035961e-30,3.032049248081177e-70,8.833355811427701e-45,1.0775491533627186e-107,1.1306562379858494e-16,1.044979512037054e-87,1.1306562379854678e-16,1.3822660774483268e-59,1.0799672654404186e-58,6.967468501981469e-91,8.07876141327363e-92,2.944988126904087e-31,2.2536502436791167e-69,6.1748223364045495e-15,1.8282551468078635e-16,7.319118426847021e-19,2.4799777139782924e-31,9.18293768468851e-31,7.319118395842142e-19,1.5387292011283894e-27,6.050715116023026e-33,1.0663135616441152e-37,2.8677453402017774e-62,6.860084569884066e-43,7.261314204088367e-60,8.26154092990198e-31,1.0606552264541247e-44,1.227036408672292e-84,1.374554167084092e-24,8.764261742520148e-88,7.539181839586909e-100,1.4518869771437925e-73,1.7911869888900685e-58,4.4814032681402346e-83,6.392374873123434e-88,5.478490103734583e-119,3.287338570205703e-121
2.5627190344583186e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998717,0.11866996602995275,0.022821567693054105,4.210010594331562e-95,1.0459365138742194e-43,3.271453175556534e-29,2.003572827218538e-68,7.070264852880271e-44,2.8476917935453422e-105,2.261803425271938e-16,6.693033887767725e-86,2.261803425270412e-16,2.2128262259814187e-58,1.7289525250082706e-57,9.20714841158416e-89,1.0675664376848592e-89,1.178378853229376e-30,1.2252469486303485e-67,1.2352325880938344e-14,3.6573041516906793e-16,1.4641414964874533e-18,9.923140100938115e-31,3.6743712023943244e-30,1.4641414840814392e-18,6.1568968673456204e-27,4.842390464134506e-32,8.811914039960935e-37,9.477157988516614e-61,5.4901526402887895e-42,2.3250444710043545e-58,3.3056924809585376e-30,8.488464464311747e-44,1.6214649982052704e-82,2.7497057771627018e-24,1.1586672126447021e-85,1.993073919743864e-97,9.29786363061501e-72,2.8674548333969165e-57,4.868070373507576e-81,8.450952121342242e-86,2.8965734465907536e-116,1.738271010437704e-118
5.1259943352579565e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997446,0.11866996602994016,0.02282156769305392,1.1449058934687667e-92,8.369081312455347e-43,1.3087943274881048e-28,1.3618735623479638e-66,5.6576443127518966e-43,7.740109016343318e-103,4.524097799844723e-16,4.285195235634399e-84,4.524097799838615e-16,3.541482636146305e-57,2.7671281192512216e-56,1.251396474999007e-86,1.450990921547231e-87,4.7142827271461424e-30,7.146269197478234e-66,2.4707332969986714e-14,7.315402161456062e-16,2.928600813424934e-18,3.9699013358821924e-30,1.4699877380362895e-29,2.928600763792607e-18,2.463140277229073e-26,3.874615190585314e-31,7.4960127930082e-36,3.2222967444758443e-59,4.3929563618054746e-41,7.442374741252202e-57,1.322492240916302e-29,6.792059833582254e-43,2.2038262940452556e-80,5.500010765462178e-24,1.5756548099988324e-83,5.4189672084704514e-95,5.952448215057747e-70,4.589172608328829e-56,5.675021338678855e-79,1.1492329176020377e-83,1.5746497283171715e-113,9.454153625383641e-116
1.0252544936857233e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679994903,0.118669966029915,0.022821567693053556,3.2730857491377618e-90,6.695900868313648e-42,5.235603653019082e-28,9.731059648434094e-65,4.526688491006527e-42,2.2110383750701908e-100,9.048686548992722e-16,2.743054204033662e-82,9.04868654896829e-16,5.667140864524217e-56,4.428048025416333e-55,1.7876888100057352e-84,2.0728204701318975e-85,1.885866564633681e-29,4.350967559108322e-64,4.941734714800659e-14,1.4631598180985829e-15,5.857519484628828e-18,1.5880890862312227e-29,5.880429478745729e-29,5.857519286081812e-18,9.853207914548456e-26,3.0999338142976686e-30,6.70965806129145e-35,1.1520589510032585e-57,3.514698949060647e-40,2.3818872929007066e-55,5.290399459979015e-29,5.434161507620732e-42,3.148287259286858e-78,1.1000627814630161e-23,2.252665386067477e-81,1.5486222785934024e-92,3.810100506061616e-68,7.343672212862634e-55,6.9078827869839435e-77,1.6430234850126818e-81,8.994627327558169e-111,5.405353557775248e-113
2.0505646140055784e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679989813,0.11866996602986467,0.022821567693052824,1.0128605107419349e-87,5.356975147339636e-41,2.094326891401792e-27,7.525944435685376e-63,3.621580020986914e-41,6.834535136360617e-98,1.809786404729844e-15,1.75572406918459e-80,1.809786404720069e-15,9.068040336542218e-55,7.085390241196844e-54,2.76369651628755e-82,3.2044988262944908e-83,7.543773217016103e-29,2.713292161901099e-62,9.883737550373888e-14,2.926399022004136e-15,1.1715356976360477e-17,6.352609326478104e-29,2.352267482917689e-28,1.1715356182127708e-17,3.9413194877942874e-25,2.479980529951402e-29,6.507624647255231e-34,4.459790525376194e-56,2.8118929088386677e-39,7.622371962095941e-54,2.1162458611909275e-28,4.3475319226859984e-41,4.867128084595253e-76,2.2001890203242236e-23,3.486380815575267e-79,4.789632943458334e-90,2.438574412136765e-66,1.175067242177023e-53,8.613897341867443e-75,2.5428580908767274e-79,5.558573004582206e-108,3.345292413991167e-110
4.1011848546452885e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767997963,0.11866996602976401,0.02282156769305136,3.488313675644978e-85,4.285682080490187e-40,8.377479697272075e-27,6.477596194146733e-61,2.8973557074491275e-40,2.3506756593225144e-95,3.619621904394876e-15,1.1237176065553628e-78,3.619621904355774e-15,1.4509356493535661e-53,1.1337031701391963e-52,4.754302446731506e-80,5.512601119834559e-81,3.017570679596961e-28,1.7135957519500426e-60,1.9767743221397354e-13,5.852877429813641e-15,2.3431032557184334e-17,2.541091022705966e-28,9.40926117944836e-28,2.3431029380089468e-17,1.576460631843576e-24,1.983896718882197e-28,7.02951612627948e-33,1.9218258292920442e-54,2.2495681460842307e-38,2.4390898770972148e-52,8.465155401192976e-28,3.478102225824749e-40,8.372771106425109e-74,4.4004528141570843e-23,6.005555021122109e-77,1.6484589429118816e-87,1.560645170066228e-64,1.8801713379485114e-52,1.0879188677085254e-72,4.380270013885269e-77,3.8217345101820105e-105,2.3043580372992964e-107
8.202425335924709e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679959276,0.11866996602956269,0.022821567693048436,1.35132433003397e-82,3.4285867361037305e-39,3.3510273199305294e-26,6.271196932032211e-59,2.3179212373244667e-39,9.094252914613463e-93,7.239292903740485e-15,7.19196610944497e-77,7.239292903584076e-15,2.321536388042455e-52,1.813956563161835e-51,9.199657348328365e-78,1.0666978237824297e-78,1.207040550507234e-27,1.0892615909349778e-58,3.953575456295232e-13,1.1705834245426253e-14,4.686238610879434e-17,1.0164432235193291e-27,3.763742610900365e-27,4.686237339949308e-17,6.305112897840294e-24,1.5869205697917926e-27,8.540407411938411e-32,9.315083378140738e-53,1.7996765530589068e-37,7.804193926343564e-51,3.3860963912413694e-27,2.7825054143467968e-39,1.6201455829328913e-71,8.801025666264587e-23,1.1636079039963018e-74,6.381710599715453e-85,9.986999074782213e-63,3.008325134638255e-51,1.3830147795322362e-70,8.487020624777507e-75,2.9556083047216136e-102,1.7858151428672477e-104
1.640490629848355e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767991856,0.11866996602916004,0.022821567693042583,5.805006471075754e-80,2.7428862754644904e-38,1.3404188273815656e-25,6.733150253167806e-57,1.8543516497842166e-38,3.9026726642260226e-90,1.44786349024939e-14,4.602913776032271e-75,1.4478634901868264e-14,3.714489674715569e-51,2.9023521902035346e-50,1.9744564708337688e-75,2.2893769686964774e-76,4.828186759483544e-27,6.946088396931419e-57,7.907177724409444e-13,2.3411747876625874e-14,9.372510277602564e-17,4.065765370658627e-27,1.5055045835982084e-26,9.372505193222265e-17,2.521423186140991e-23,1.2691990811895742e-26,1.1497318079492207e-30,5.005758478428868e-51,1.4397508699388043e-36,2.4966981225213043e-49,1.3544452740174536e-26,2.2260025182453172e-38,3.4772018831906536e-69,1.7602352428246715e-22,2.499933392584009e-72,2.740031752236475e-82,6.390045781928132e-61,4.81336098737033e-50,1.7638107222728443e-68,1.8233865943572015e-72,2.5357138108469965e-99,1.5353922606201173e-101
3.280986822360123e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767983713,0.11866996602835475,0.022821567693030877,2.6860923444702608e-77,2.1943165074703243e-37,5.361697592437663e-25,7.787552470875277e-55,1.4834871698462523e-37,1.804619997150485e-87,2.8957318900249504e-14,2.945882525465264e-73,2.8957318897746954e-14,5.943208560514251e-50,4.643769643594261e-49,4.565771545598058e-73,5.293999552007192e-74,1.9312796153020017e-26,4.435674393175882e-55,1.5814382259850731e-12,4.6823575138922706e-14,1.8745057439977246e-16,1.6262877220647312e-26,6.022032703941449e-26,1.8745037097338647e-16,1.0080643550001781e-22,1.0148108069861972e-25,1.6655941504279363e-29,2.896778286822314e-49,1.1518058466568004e-35,7.985200230473569e-48,5.417793501841987e-26,1.7807832628449273e-37,8.040747534217109e-67,3.5205730183279403e-22,5.784765976263832e-70,1.2674351314395752e-79,4.087479658087226e-59,7.701410122135297e-49,2.252644399772751e-66,4.219291820713042e-70,2.344468343838942e-96,1.423181106745691e-98
6.561979207383659e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679674265,0.11866996602674416,0.022821567693007465,1.3010842115348615e-74,1.755457372677573e-36,2.1446886722934045e-24,9.429349715384499e-53,1.1867920535316724e-36,8.737748042868213e-85,5.791468689675581e-14,1.8853704313766767e-71,5.791468688674556e-14,9.509153498536505e-49,7.430000463912055e-48,1.105452934426089e-70,1.2817695030623286e-71,7.725128284289949e-26,2.8334359473496514e-53,3.162879132758476e-12,9.364722966310676e-14,3.7490167107033247e-16,6.504978669813012e-26,2.408815388320731e-25,3.7490085695865745e-16,4.0282083793309286e-22,8.109687227831947e-25,2.523888442290797e-28,1.7544282409526336e-47,9.214488138209862e-35,2.552539752776374e-46,2.1671190584547396e-25,1.424590268484449e-36,1.9468043990832996e-64,7.041538261761813e-22,1.401120290675603e-67,6.1379547926498744e-77,2.6132200252417747e-57,1.2322281988191261e-47,2.8778467542908598e-64,1.0219651614703083e-67,2.270038107095728e-93,1.3832722375412443e-95
